Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.30,22.45,21.66,21.70,-0.45,-2.03,"33,911",27.00,16.15,0.24,1.11,23.09,18.58
1st Source,SRCE,55.24,55.97,54.94,55.66,0.35,0.63,"29,286",56.42,44.59,0.96,1.72,20.46,12.56
2U,TWOU,95.59,97.31,95.18,96.33,0.02,0.02,"474,958",98.58,44.48,...,...,...,49.33
8Point3 Energy Partners,CAFD,12.42,12.44,12.40,12.42,...,...,"1,462,147",15.92,11.69,1.12,9.02,17.01,-18.34
21st Century Fox Cl A,FOXA,44.82,44.82,44.34,44.56,-0.10,-0.22,"9,835,311",45.05,24.81,0.36,0.81,20.53,29.05
21st Century Fox Cl B,FOX,44.43,44.67,44.15,44.37,-0.19,-0.43,"4,294,052",44.83,24.30,0.36,0.81,20.45,30.04
21Vianet Group ADR,VNET,8.53,8.67,8.35,8.66,0.02,0.23,"563,284",9.59,4.17,...,...,...,8.52
51job ADR,JOBS,106.59,107.59,105.03,107.00,-0.10,-0.09,"318,222",114.62,42.60,...,...,...,75.84
1347 Property Insurance Holdings,PIH,7.80,7.80,7.60,7.65,0.05,0.66,"810",8.45,6.55,...,...,23.91,5.52
1-800-FLOWERS.COM Cl A,FLWS,12.80,13.10,12.80,13.05,0.20,1.56,"70,309",13.32,7.80,...,...,15.35,21.96
AAON,AAON,33.05,33.70,32.51,33.60,0.30,0.90,"169,240",40.25,29.05,0.32,0.95,36.52,-8.45
Abaxis,ABAX,83.14,83.22,83.00,83.03,-0.23,-0.28,"80,139",83.98,43.66,0.72,0.87,70.36,67.67
Abiomed,ABMD,440.09,446.81,435.77,443.15,-0.43,-0.10,"683,591",446.81,139.49,...,...,180.88,136.46
Acacia Communications,ACIA,34.74,35.41,34.15,35.26,0.28,0.80,"415,688",50.10,24.72,...,...,...,-2.68
Acacia Research - Acacia Technologies,ACTG,4.35,4.40,4.25,4.30,-0.10,-2.27,"174,935",5.50,2.90,0.50,11.63,93.89,6.17
Acadia Healthcare,ACHC,41.48,42.37,41.25,42.20,0.39,0.93,"663,942",54.34,26.92,...,...,17.09,29.33
ACADIA Pharmaceuticals,ACAD,15.56,15.94,15.39,15.83,0.10,0.64,"1,787,132",41.20,14.51,...,...,...,-47.43
Acceleron Pharma,XLRN,35.95,36.85,35.54,36.81,0.79,2.19,"186,665",46.93,29.35,...,...,...,-13.27
Access National,ANCX,28.93,29.45,28.89,29.37,0.23,0.79,"69,120",30.99,24.36,0.60,2.04,27.45,5.50
Accuray,ARAY,4.35,4.40,4.17,4.40,0.05,1.15,"515,897",6.15,3.60,...,...,...,2.33
AcelRx Pharmaceuticals,ACRX,4.25,4.30,4.00,4.10,-0.10,-2.38,"909,293",5.75,1.55,...,...,...,102.47
Aceto,ACET,3.99,4.04,3.85,4.02,-0.01,-0.25,"357,203",17.10,2.22,0.04,1.00,...,-61.08
Achaogen,AKAO,11.80,11.86,11.31,11.71,-0.09,-0.76,"781,080",25.22,9.83,...,...,...,9.03
Achillion Pharmaceuticals,ACHN,2.95,3.01,2.90,2.99,0.02,0.67,"856,770",5.66,2.58,...,...,...,3.82
AC Immune,ACIU,9.80,9.80,8.90,9.29,-0.31,-3.23,"39,618",13.91,6.03,...,...,...,-27.42
ACI Worldwide,ACIW,26.04,26.63,25.92,26.57,0.43,1.64,"638,438",26.63,20.23,...,...,...,17.20
Aclaris Therapeutics,ACRS,19.91,20.08,19.56,19.85,-0.08,-0.40,"175,734",30.08,16.01,...,...,...,-19.51
ACM Research Cl A,ACMR,13.99,14.80,13.42,13.58,-0.40,-2.86,"167,042",15.60,4.74,...,...,...,158.67
Acorda Therapeutics,ACOR,31.00,31.30,30.45,30.70,-0.45,-1.44,"607,926",36.35,16.55,...,...,...,43.12
Activision Blizzard,ATVI,77.02,77.93,76.47,77.87,0.46,0.59,"3,549,947",79.63,55.86,0.34,0.44,176.41,22.98
Acxiom,ACXM,29.91,30.39,29.84,30.15,0.13,0.43,"706,358",32.93,18.60,...,...,107.68,9.40
Adamas Pharmaceuticals,ADMS,26.00,26.13,25.36,25.80,-0.32,-1.23,"517,933",44.00,13.50,...,...,...,-23.87
Adaptimmune Therapeutics ADR,ADAP,12.44,12.56,12.18,12.38,-0.13,-1.04,"232,076",14.63,4.28,...,...,...,85.33
Addus HomeCare,ADUS,56.20,57.05,55.73,57.00,0.65,1.15,"50,161",58.80,30.95,...,...,46.72,63.79
ADDvantage Technologies Group,AEY,1.29,1.30,1.28,1.29,-0.01,-0.77,"13,838",2.33,1.21,...,...,...,-12.24
Adobe Systems,ADBE,250.52,256.77,249.80,255.69,3.87,1.54,"3,521,277",258.91,138.31,...,...,58.91,45.91
Adtran,ADTN,15.45,15.50,15.20,15.50,0.05,0.32,"191,678",25.10,13.95,0.36,2.32,110.71,-19.90
Aduro Biotech,ADRO,7.90,8.25,7.75,8.15,0.25,3.16,"332,571",14.05,5.83,...,...,...,8.67
Advanced Emissions Solutions,ADES,11.24,11.26,11.05,11.17,-0.10,-0.89,"48,383",12.20,7.00,1.00,8.95,8.80,15.63
Advanced Energy Industries,AEIS,60.00,60.84,58.76,60.70,0.44,0.73,"309,317",95.00,57.35,...,...,16.68,-10.05
Advaxis,ADXS,1.72,1.81,1.68,1.79,0.08,4.68,"712,103",7.45,1.51,...,...,...,-36.97
Adverum Biotechnologies,ADVM,5.55,5.75,5.40,5.55,...,...,"511,387",8.59,2.40,...,...,...,58.57
Aegion,AEGN,25.85,26.24,25.85,26.13,0.22,0.85,"114,403",28.19,19.11,...,...,...,2.75
Aeglea BioTherapeutics,AGLE,10.50,11.30,10.50,10.89,0.30,2.83,"274,943",12.00,2.81,...,...,...,101.29
Aemetis,AMTX,1.43,1.59,1.40,1.48,0.05,3.50,"176,421",3.12,0.45,...,...,...,169.09
Aerie Pharmaceuticals,AERI,63.75,65.80,63.25,64.45,0.30,0.47,"342,904",66.60,47.05,...,...,...,7.87
AeroVironment,AVAV,59.00,60.31,58.50,60.26,0.93,1.57,"243,003",62.20,30.05,...,...,44.31,7.30
