Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.10,21.20,20.90,21.15,0.05,0.24,"17,244",22.52,16.15,0.24,1.13,22.50,15.57
1st Source,SRCE,53.48,54.01,53.25,53.74,0.42,0.79,"34,922",54.65,44.33,0.96,1.79,19.76,8.68
2U,TWOU,95.98,97.76,94.70,95.53,-0.15,-0.16,"259,922",98.58,41.67,...,...,...,48.09
8Point3 Energy Partners,CAFD,12.15,12.25,12.13,12.19,0.04,0.33,"67,735",15.92,11.69,1.12,9.19,16.70,-19.86
21st Century Fox Cl A,FOXA,37.81,38.08,37.72,37.93,0.27,0.72,"5,889,428",39.35,24.81,0.36,0.95,17.48,9.85
21st Century Fox Cl B,FOX,37.36,37.64,37.30,37.45,0.18,0.48,"1,963,516",38.71,24.30,0.36,0.96,17.26,9.76
21Vianet Group ADR,VNET,6.85,7.69,6.85,7.34,0.64,9.55,"2,079,212",9.59,4.17,...,...,...,-8.02
51job ADR,JOBS,104.71,104.99,103.21,104.80,2.17,2.11,"247,092",106.60,42.57,...,...,...,72.23
1347 Property Insurance Holdings,PIH,7.60,7.80,7.55,7.80,0.20,2.63,"30,701",8.50,6.55,...,...,24.38,7.59
1-800-FLOWERS.COM Cl A,FLWS,12.45,12.65,12.40,12.55,0.15,1.21,"68,105",13.32,7.80,...,...,14.76,17.29
AAON,AAON,31.65,31.75,31.30,31.50,-0.05,-0.16,"202,882",40.25,29.05,0.32,1.02,34.24,-14.17
Abaxis,ABAX,83.43,83.78,82.92,83.00,-0.32,-0.38,"782,127",83.98,43.66,0.72,0.87,70.34,67.61
Abiomed,ABMD,387.28,389.79,378.71,379.17,-5.19,-1.35,"633,225",389.79,134.10,...,...,154.76,102.32
Ablynx ADR,ABLX,52.95,52.97,52.67,52.89,0.09,0.17,"9,775",55.29,17.75,...,...,...,111.64
Acacia Communications,ACIA,34.10,34.25,32.64,33.21,0.21,0.64,"797,864",50.10,24.72,...,...,...,-8.34
Acacia Research - Acacia Technologies,ACTG,3.90,4.03,3.86,3.95,0.05,1.28,"190,878",5.50,2.90,0.50,12.66,86.24,-2.47
Acadia Healthcare,ACHC,42.26,42.66,42.19,42.38,0.20,0.47,"567,612",54.34,26.92,...,...,17.16,29.88
ACADIA Pharmaceuticals,ACAD,18.02,18.25,17.59,17.67,-0.33,-1.83,"1,638,649",41.20,14.51,...,...,...,-41.32
Acceleron Pharma,XLRN,35.89,36.21,34.52,35.07,-0.67,-1.87,"201,112",46.93,24.37,...,...,...,-17.37
Access National,ANCX,28.00,28.58,28.00,28.33,0.54,1.94,"40,044",30.99,24.36,0.60,2.12,26.48,1.76
Accuray,ARAY,5.00,5.05,4.90,5.00,...,...,"293,585",6.15,3.60,...,...,...,16.28
AcelRx Pharmaceuticals,ACRX,2.95,3.00,2.85,2.90,-0.05,-1.69,"347,154",5.75,1.55,...,...,...,43.21
Aceto,ACET,2.79,2.84,2.77,2.80,0.02,0.72,"303,429",17.10,2.22,0.04,1.43,...,-72.89
Achaogen,AKAO,12.48,12.61,11.79,11.81,-0.64,-5.14,"1,054,423",26.50,9.83,...,...,...,9.96
Achillion Pharmaceuticals,ACHN,3.85,3.93,3.63,3.66,-0.04,-1.08,"1,207,869",5.66,2.58,...,...,...,27.08
AC Immune,ACIU,10.31,10.31,10.31,10.31,-0.14,-1.36,"715",13.91,6.03,...,...,...,-19.47
