Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.78,20.24,19.78,19.85,...,...,"4,733",27.00,16.15,0.30,1.51,18.21,8.47
1st Source,SRCE,46.89,47.68,46.89,46.95,-0.09,-0.19,"39,171",59.33,39.93,1.00,2.13,15.55,-5.06
2U,TWOU,63.81,64.12,62.39,63.28,-0.52,-0.82,"608,484",98.58,57.84,...,...,...,-1.91
21st Century Fox Cl A,FOXA,46.71,46.90,46.53,46.87,0.33,0.71,"4,404,539",50.15,24.81,0.36,0.77,19.53,35.74
21st Century Fox Cl B,FOX,46.44,46.51,46.13,46.41,0.33,0.72,"2,805,059",49.65,24.30,0.36,0.78,19.34,36.02
21Vianet Group ADR,VNET,10.80,10.83,10.38,10.76,-0.05,-0.46,"279,522",11.54,5.01,...,...,...,34.84
51job ADR,JOBS,65.39,65.92,61.67,62.87,-2.77,-4.22,"214,204",114.62,52.15,...,...,...,3.32
111 ADR,YI,11.20,11.95,11.20,11.20,-0.08,-0.71,"23,570",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.85,5.87,5.84,5.84,0.09,1.57,"782",8.25,5.25,...,...,18.25,-19.45
1-800-FLOWERS.COM Cl A,FLWS,13.23,13.30,12.86,13.05,-0.32,-2.39,"376,494",15.00,8.85,...,...,24.62,21.96
AAON,AAON,39.01,40.64,38.92,40.45,1.44,3.69,"350,362",43.30,29.05,0.32,0.79,46.62,10.22
Abiomed,ABMD,385.85,395.24,379.51,392.91,8.78,2.29,"658,691",459.75,186.72,...,...,109.75,109.65
Acacia Communications,ACIA,44.76,47.26,44.51,46.12,1.37,3.06,"1,457,461",47.26,24.72,...,...,...,27.30
Acacia Research - Acacia Technologies,ACTG,3.28,3.29,3.21,3.26,-0.02,-0.61,"110,801",4.53,2.85,0.50,15.34,...,-19.51
Acadia Healthcare,ACHC,44.72,44.75,38.73,40.58,-4.17,-9.32,"8,400,356",45.35,26.92,...,...,15.79,24.36
