Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.30,19.36,19.16,19.29,...,...,"12,073",27.00,16.15,0.24,1.24,20.74,5.41
1st Source,SRCE,49.37,50.12,49.37,49.67,0.22,0.44,"44,132",59.33,47.16,1.00,2.01,17.01,0.44
2U,TWOU,64.23,65.07,62.71,64.82,0.51,0.79,"625,852",98.58,57.84,...,...,...,0.48
21st Century Fox Cl A,FOXA,45.45,45.87,45.28,45.52,0.16,0.35,"6,138,530",50.15,24.81,0.36,0.79,18.97,31.83
21st Century Fox Cl B,FOX,44.99,45.48,44.88,45.13,0.19,0.42,"2,588,152",49.65,24.30,0.36,0.80,18.80,32.27
21Vianet Group ADR,VNET,9.92,10.08,9.78,9.93,-0.19,-1.88,"226,224",11.54,5.01,...,...,...,24.44
51job ADR,JOBS,61.27,62.87,60.78,62.50,1.11,1.81,"278,878",114.62,56.22,...,...,...,2.71
111 ADR,YI,9.31,10.00,8.29,9.99,0.64,6.84,"48,125",16.83,8.29,...,...,...,...
1347 Property Insurance Holdings,PIH,6.20,6.23,6.16,6.16,-0.18,-2.84,"3,239",8.25,6.10,...,...,19.25,-15.03
1-800-FLOWERS.COM Cl A,FLWS,11.04,11.23,10.98,11.06,-0.01,-0.09,"130,325",15.00,8.85,...,...,18.43,3.36
AAON,AAON,31.88,32.36,31.55,32.25,0.36,1.13,"149,215",43.30,29.05,0.32,0.99,36.65,-12.13
Abiomed,ABMD,383.78,387.97,367.24,372.08,-12.70,-3.30,"641,129",459.75,164.80,...,...,103.93,98.54
Acacia Communications,ACIA,37.46,38.40,37.23,38.26,0.66,1.76,"298,100",46.43,24.72,...,...,...,5.60
Acacia Research - Acacia Technologies,ACTG,3.11,3.19,3.02,3.09,-0.03,-0.96,"105,072",4.70,3.00,0.50,16.18,...,-23.70
Acadia Healthcare,ACHC,34.00,36.01,33.62,35.94,2.64,7.93,"5,319,451",45.27,26.92,...,...,13.98,10.14
ACADIA Pharmaceuticals,ACAD,21.67,22.00,20.83,21.28,-0.44,-2.03,"1,459,099",38.00,12.77,...,...,...,-29.33
Acceleron Pharma,XLRN,49.70,49.75,48.36,48.65,-1.21,-2.43,"212,009",59.59,32.53,...,...,...,14.63
Access National,ANCX,27.01,27.50,26.97,27.23,0.16,0.59,"120,397",30.99,25.81,0.64,2.35,20.79,-2.19
Accuray,ARAY,3.71,3.86,3.68,3.69,-0.06,-1.47,"1,176,215",6.15,3.20,...,...,...,-14.19
AcelRx Pharmaceuticals,ACRX,4.77,5.03,4.01,4.29,0.31,7.79,"22,372,491",5.03,1.55,...,...,...,111.85
Aceto,ACET,2.21,2.23,2.13,2.15,-0.06,-2.71,"218,320",11.98,2.10,0.04,1.86,...,-79.19
Achaogen,AKAO,3.71,3.80,3.31,3.75,0.03,0.81,"742,698",15.00,3.31,...,...,...,-65.08
Achillion Pharmaceuticals,ACHN,3.14,3.16,2.90,2.91,-0.22,-7.03,"3,095,161",4.63,2.33,...,...,...,1.04
