Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.05,20.65,19.95,20.15,-0.05,-0.25,"7,465",27.00,16.15,0.24,1.19,21.67,10.11
1st Source,SRCE,54.28,55.18,53.35,53.60,-0.71,-1.31,"27,985",59.33,47.16,1.00,1.87,18.36,8.39
2U,TWOU,75.54,77.19,74.50,77.01,0.67,0.88,"499,844",98.58,51.54,...,...,...,19.38
21st Century Fox Cl A,FOXA,44.68,45.05,44.43,45.01,0.68,1.53,"20,070,096",50.15,24.81,0.36,0.80,18.75,30.35
21st Century Fox Cl B,FOX,44.04,44.68,44.04,44.65,0.76,1.73,"3,701,708",49.65,24.30,0.36,0.81,18.60,30.86
21Vianet Group ADR,VNET,10.26,10.29,9.83,10.04,-0.34,-3.28,"371,955",11.54,5.01,...,...,...,25.81
51job ADR,JOBS,72.58,75.25,71.70,74.02,-1.22,-1.62,"199,532",114.62,56.22,...,...,...,21.64
111 ADR,YI,15.12,15.12,14.31,14.81,-0.63,-4.08,"76,008",16.83,11.57,...,...,...,...
1347 Property Insurance Holdings,PIH,6.85,6.90,6.35,6.55,-0.35,-5.07,"4,210",8.25,6.10,...,...,20.47,-9.65
1-800-FLOWERS.COM Cl A,FLWS,12.00,12.00,11.50,11.60,-0.35,-2.93,"231,161",15.00,8.85,...,...,19.33,8.41
AAON,AAON,39.90,40.00,38.85,39.30,-0.55,-1.38,"158,325",43.30,29.05,0.32,0.81,44.66,7.08
Abiomed,ABMD,381.03,422.91,378.00,419.61,34.73,9.02,"987,133",450.93,158.71,...,...,117.21,123.90
Acacia Communications,ACIA,39.49,40.26,39.09,40.26,0.47,1.18,"286,816",48.90,24.72,...,...,...,11.12
Acacia Research - Acacia Technologies,ACTG,3.25,3.35,3.15,3.15,-0.15,-4.55,"173,001",5.50,3.05,0.50,15.87,...,-22.22
Acadia Healthcare,ACHC,35.69,36.04,34.99,36.00,0.31,0.87,"951,413",48.35,26.92,...,...,14.01,10.33
ACADIA Pharmaceuticals,ACAD,20.22,20.60,19.71,19.85,-0.32,-1.59,"3,267,673",41.20,12.77,...,...,...,-34.08
Acceleron Pharma,XLRN,56.45,58.37,56.01,58.02,1.36,2.40,"572,939",59.59,32.53,...,...,...,36.71
Access National,ANCX,27.93,27.93,27.22,27.28,-0.63,-2.26,"26,441",30.99,26.07,0.64,2.35,20.82,-2.01
Accuray,ARAY,4.05,4.10,3.95,4.00,-0.10,-2.44,"549,098",6.15,3.20,...,...,...,-6.98
AcelRx Pharmaceuticals,ACRX,4.00,4.70,3.90,4.60,0.65,16.46,"3,708,700",5.75,1.55,...,...,...,127.16
Aceto,ACET,3.01,3.03,2.90,2.92,-0.12,-3.95,"148,421",11.98,2.22,0.04,1.37,...,-71.73
Achaogen,AKAO,4.16,4.41,4.15,4.40,0.20,4.76,"655,705",16.49,4.06,...,...,...,-59.03
Achillion Pharmaceuticals,ACHN,3.52,3.63,3.46,3.51,...,...,"664,232",4.82,2.33,...,...,...,21.88
AC Immune,ACIU,8.63,8.79,8.26,8.37,-0.23,-2.67,"28,248",17.40,7.57,...,...,...,-34.61
ACI Worldwide,ACIW,28.27,28.41,28.03,28.38,0.03,0.11,"208,485",28.98,20.23,...,...,2838.00,25.19
Aclaris Therapeutics,ACRS,15.19,15.86,15.06,15.22,0.05,0.33,"84,891",28.62,14.12,...,...,...,-38.28
ACM Research Cl A,ACMR,11.85,11.85,11.56,11.64,-0.27,-2.27,"11,016",15.60,4.74,...,...,194.00,121.71
Acorda Therapeutics,ACOR,18.10,18.95,18.10,18.75,0.55,3.02,"700,542",36.35,15.60,...,...,...,-12.59
Activision Blizzard,ATVI,79.70,80.69,79.35,80.60,0.31,0.39,"5,584,458",82.03,57.29,0.34,0.42,182.60,27.29
Acxiom Holdings,ACXM,50.66,51.51,50.66,51.05,0.15,0.29,"744,026",51.51,18.60,...,...,196.35,85.23
Adamas Pharmaceuticals,ADMS,19.14,19.55,18.93,19.13,-0.04,-0.21,"270,458",44.00,17.68,...,...,...,-43.55
Adaptimmune Therapeutics ADR,ADAP,11.75,12.08,11.63,11.89,0.18,1.54,"245,005",14.63,6.60,...,...,...,77.99
Addus HomeCare,ADUS,69.45,71.15,69.30,71.00,1.70,2.45,"164,169",72.55,30.95,...,...,52.59,104.02
ADDvantage Technologies Group,AEY,1.43,1.43,1.39,1.39,-0.01,-0.71,"818",2.33,1.21,...,...,...,-5.44
Adobe Systems,ADBE,260.00,264.46,257.07,264.09,3.21,1.23,"2,543,276",277.61,143.95,...,...,54.56,50.70
Adtran,ADTN,18.65,18.75,18.20,18.25,-0.35,-1.88,"157,866",25.10,13.95,0.36,1.97,...,-5.68
Aduro Biotech,ADRO,6.15,6.35,5.55,5.95,-0.25,-4.03,"389,151",11.55,5.10,...,...,...,-20.67
Advanced Emissions Solutions,ADES,11.67,11.89,11.54,11.58,-0.15,-1.28,"57,837",12.20,7.00,1.00,8.64,6.69,19.88
Advanced Energy Industries,AEIS,53.99,54.09,53.14,54.00,-0.07,-0.13,"477,315",95.00,51.94,...,...,14.71,-19.98
Advaxis,ADXS,0.86,0.93,0.84,0.92,0.06,7.32,"1,166,081",4.71,0.78,...,...,...,-67.53
Adverum Biotechnologies,ADVM,5.90,6.10,5.65,6.00,0.10,1.69,"703,344",8.59,2.85,...,...,...,71.43
Aegion,AEGN,24.76,24.92,24.39,24.57,-0.20,-0.81,"64,719",28.19,19.81,...,...,...,-3.38
Aeglea BioTherapeutics,AGLE,9.07,9.24,8.50,8.92,-0.24,-2.62,"203,180",12.00,3.75,...,...,...,64.88
