Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.79,22.10,21.66,22.00,0.30,1.38,"6,085",22.52,16.15,0.24,1.09,26.51,20.22
1st Source,SRCE,50.79,52.28,50.73,52.03,1.12,2.20,"53,836",54.65,44.12,0.88,1.69,19.93,5.22
2U,TWOU,86.64,87.28,85.43,85.51,-1.78,-2.04,"363,863",91.00,39.58,...,...,...,32.55
8Point3 Energy Partners,CAFD,12.05,12.09,12.00,12.04,...,...,"33,911",15.92,11.69,1.12,9.31,16.49,-20.84
21st Century Fox Cl A,FOXA,37.30,37.97,37.08,37.20,-0.11,-0.29,"8,567,331",39.13,24.81,0.36,0.97,17.38,7.73
21st Century Fox Cl B,FOX,36.78,37.40,36.58,36.68,-0.14,-0.38,"1,787,471",38.56,24.30,0.36,0.98,17.14,7.50
21Vianet Group ADR,VNET,6.43,6.43,6.11,6.16,-0.29,-4.50,"239,896",9.59,4.17,...,...,...,-22.81
51job ADR,JOBS,92.35,92.39,89.01,90.19,-2.32,-2.51,"243,743",93.16,39.38,...,...,106.23,48.22
1347 Property Insurance Holdings,PIH,6.60,6.75,6.60,6.75,...,...,"277",8.50,6.55,...,...,168.75,-6.90
1-800-FLOWERS.COM Cl A,FLWS,13.15,13.25,12.95,13.00,-0.20,-1.52,"136,147",13.32,7.80,...,...,16.05,21.50
AAON,AAON,36.10,36.30,35.60,35.90,-0.25,-0.69,"117,635",40.25,29.95,0.26,0.72,34.85,-2.18
Abaxis,ABAX,73.42,73.99,72.35,73.30,-0.14,-0.19,"74,122",78.53,43.66,0.64,0.87,67.86,48.02
Abiomed,ABMD,305.74,307.05,303.51,306.45,-1.18,-0.38,"329,741",309.28,122.60,...,...,154.77,63.52
Ablynx ADR,ABLX,55.15,55.15,54.83,54.91,-0.32,-0.58,"11,995",55.29,17.75,...,...,...,119.73
Acacia Communications,ACIA,25.66,27.42,25.55,26.48,0.91,3.56,"2,017,464",54.37,24.72,...,...,29.75,-26.91
Acacia Research - Acacia Technologies,ACTG,3.50,3.65,3.50,3.55,...,...,"97,240",5.50,2.90,0.50,14.08,8.15,-12.35
Acadia Healthcare,ACHC,39.14,39.48,38.98,39.16,-0.09,-0.23,"540,668",54.34,26.92,...,...,17.10,20.01
ACADIA Pharmaceuticals,ACAD,19.73,20.00,19.20,19.66,-0.32,-1.60,"2,209,706",41.20,15.74,...,...,...,-34.71
