Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.65,22.60,21.65,22.45,0.65,2.98,"16,234",27.00,16.15,0.24,1.07,24.14,22.68
1st Source,SRCE,56.57,57.51,56.57,57.37,0.71,1.25,"29,971",59.33,44.59,1.00,1.74,19.65,16.02
2U,TWOU,76.77,81.12,76.65,80.21,3.40,4.43,"889,518",98.58,45.50,...,...,...,24.34
21st Century Fox Cl A,FOXA,44.80,45.17,44.80,45.03,0.03,0.07,"12,387,810",50.15,24.81,0.36,0.80,20.75,30.41
21st Century Fox Cl B,FOX,44.40,44.76,44.38,44.66,0.13,0.29,"3,020,690",49.65,24.30,0.36,0.81,20.58,30.89
21Vianet Group ADR,VNET,8.63,8.97,8.24,8.94,0.05,0.56,"650,626",11.54,4.17,...,...,...,12.03
51job ADR,JOBS,92.02,93.91,90.53,93.09,0.27,0.29,"201,697",114.62,49.25,...,...,...,52.98
1347 Property Insurance Holdings,PIH,7.19,7.19,7.15,7.15,0.09,1.25,"1,808",8.25,6.55,...,...,22.34,-1.38
1-800-FLOWERS.COM Cl A,FLWS,14.20,14.50,14.20,14.40,0.10,0.70,"73,921",14.99,7.80,...,...,16.94,34.58
AAON,AAON,37.25,38.30,36.65,37.10,-0.40,-1.07,"349,888",40.25,29.05,0.32,0.86,40.33,1.09
Abiomed,ABMD,361.02,373.09,358.00,372.20,9.01,2.48,"766,009",450.93,144.01,...,...,103.97,98.60
Acacia Communications,ACIA,32.98,34.05,32.74,33.66,1.25,3.86,"1,077,666",50.10,24.72,...,...,...,-7.09
Acacia Research - Acacia Technologies,ACTG,3.75,3.80,3.65,3.70,-0.10,-2.63,"116,249",5.50,2.90,0.50,13.51,80.79,-8.64
Acadia Healthcare,ACHC,40.53,41.09,39.65,39.99,-0.38,-0.95,"1,393,310",53.09,26.92,...,...,15.56,22.56
ACADIA Pharmaceuticals,ACAD,15.19,15.85,15.09,15.49,0.13,0.85,"1,643,304",41.20,14.51,...,...,...,-48.56
Acceleron Pharma,XLRN,43.46,43.99,43.21,43.65,0.12,0.28,"237,738",50.00,31.80,...,...,...,2.85
Access National,ANCX,27.71,28.15,27.71,28.13,0.25,0.90,"26,972",30.99,24.36,0.60,2.13,21.47,1.04
Accuray,ARAY,3.75,3.95,3.75,3.85,0.05,1.32,"235,794",6.15,3.60,...,...,...,-10.47
