Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.05,19.50,18.79,19.10,-0.11,-0.57,"16,746",27.00,16.15,0.30,1.57,17.49,4.37
1st Source,SRCE,39.52,40.88,38.54,39.75,-0.20,-0.50,"48,668",59.33,38.44,1.00,2.52,13.16,-19.62
2U,TWOU,46.69,48.39,45.88,48.38,0.79,1.66,"396,693",98.58,44.50,...,...,...,-25.00
21st Century Fox Cl A,FOXA,47.33,48.10,47.05,48.01,0.15,0.31,"6,878,509",50.15,34.12,0.36,0.75,18.25,39.04
21st Century Fox Cl B,FOX,47.13,47.83,46.70,47.75,0.22,0.46,"5,233,661",49.65,33.75,0.36,0.75,18.16,39.95
21Vianet Group ADR,VNET,8.79,8.90,8.46,8.72,-0.18,-2.02,"232,156",11.98,5.01,...,...,9.21,9.27
51job ADR,JOBS,60.44,62.51,57.39,59.06,-2.09,-3.42,"164,423",114.62,52.15,...,...,42.79,-2.94
111 ADR,YI,6.27,6.27,6.02,6.03,-0.34,-5.34,"1,882",16.83,6.00,...,...,...,...
360 Finance ADR,QFIN,15.95,15.95,15.00,15.02,-0.24,-1.57,"6,404",17.53,15.00,...,...,...,...
1347 Property Insurance Holdings,PIH,3.75,3.96,3.75,3.75,...,...,"18,118",8.25,3.75,...,...,42.23,-48.28
1-800-FLOWERS.COM Cl A,FLWS,11.34,11.91,11.34,11.85,0.32,2.78,"183,475",15.00,9.76,...,...,22.24,10.75
AAON,AAON,32.95,33.90,32.37,33.83,0.43,1.29,"122,108",44.90,29.05,0.32,0.95,38.89,-7.82
Abiomed,ABMD,302.92,315.91,300.05,315.67,8.23,2.68,"623,462",459.75,187.01,...,...,76.46,68.44
Acacia Communications,ACIA,37.30,38.31,36.46,37.66,-0.37,-0.97,"402,692",47.26,24.72,...,...,...,3.95
Acacia Research - Acacia Technologies,ACTG,2.82,2.87,2.79,2.87,0.02,0.70,"208,134",4.40,2.75,0.50,17.42,...,-29.14
Acadia Healthcare,ACHC,25.68,25.80,24.73,25.80,-0.11,-0.42,"984,149",45.35,24.27,...,...,10.01,-20.93
ACADIA Pharmaceuticals,ACAD,15.65,15.78,14.56,15.45,-0.39,-2.46,"1,568,816",32.99,12.77,...,...,...,-48.69
Acceleron Pharma,XLRN,42.35,42.84,41.31,42.63,-0.60,-1.39,"295,437",59.59,32.53,...,...,...,0.45
Access National,ANCX,21.02,21.12,20.38,20.95,-0.34,-1.60,"45,257",30.40,20.34,0.68,3.25,14.66,-24.75
Accuray,ARAY,3.24,3.38,3.23,3.31,-0.05,-1.49,"622,752",6.15,3.17,...,...,...,-23.02
AcelRx Pharmaceuticals,ACRX,2.18,2.51,2.08,2.35,0.16,7.31,"2,667,998",5.05,1.65,...,...,...,16.05
Aceto,ACET,0.93,0.95,0.82,0.82,-0.11,-11.77,"501,817",11.98,0.82,0.04,4.88,...,-92.06
Achaogen,AKAO,1.31,1.44,1.31,1.37,0.06,4.58,"531,734",15.00,1.14,...,...,...,-87.24
Achillion Pharmaceuticals,ACHN,1.39,1.44,1.34,1.41,...,...,"3,509,724",4.34,1.29,...,...,...,-51.04
AC Immune,ACIU,9.56,9.97,8.70,9.45,-0.16,-1.66,"67,372",17.40,7.16,...,...,...,-26.17
ACI Worldwide,ACIW,26.41,27.51,26.32,27.48,0.55,2.04,"606,530",30.25,20.23,...,...,237.92,21.22
Aclaris Therapeutics,ACRS,7.03,7.19,6.70,6.99,-0.15,-2.10,"1,133,286",26.25,6.15,...,...,...,-71.65
ACM Research Cl A,ACMR,10.36,10.50,10.10,10.46,0.04,0.38,"32,350",15.60,4.74,...,...,23.66,99.24
Acorda Therapeutics,ACOR,15.15,15.66,14.32,14.85,-0.83,-5.29,"872,058",36.35,12.86,...,...,...,-30.77
Activision Blizzard,ATVI,45.71,47.06,45.21,47.04,0.62,1.34,"7,209,489",84.68,43.71,0.34,0.72,106.57,-25.71
Adamas Pharmaceuticals,ADMS,8.16,8.54,7.87,8.45,0.12,1.44,"565,454",44.00,7.42,...,...,...,-75.07
Adaptimmune Therapeutics ADR,ADAP,4.41,4.86,4.29,4.85,0.36,8.02,"867,333",14.63,3.60,...,...,...,-27.40
Addus HomeCare,ADUS,64.75,66.79,63.66,66.64,0.95,1.45,"149,253",77.82,33.25,...,...,49.82,91.49
ADDvantage Technologies Group,AEY,1.29,1.30,1.28,1.28,-0.01,-0.78,"16,502",1.83,1.21,...,...,...,-12.93
Adobe,ADBE,219.99,225.17,214.16,225.14,2.19,0.98,"3,601,703",277.61,174.85,...,...,43.21,28.48
Adtran,ADTN,10.87,11.12,10.59,10.95,-0.12,-1.08,"285,007",22.45,10.21,0.36,3.29,...,-43.41
Aduro Biotech,ADRO,2.57,2.63,2.45,2.57,-0.03,-1.15,"1,180,916",9.93,2.34,...,...,...,-65.73
Advanced Emissions Solutions,ADES,9.73,9.93,9.62,9.89,0.05,0.51,"67,990",12.37,7.00,1.00,10.11,5.72,2.38
Advanced Energy Industries,AEIS,40.67,42.76,40.67,42.69,1.27,3.07,"349,383",77.99,38.74,...,...,17.28,-36.74
