Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.50,19.50,19.22,19.23,-0.27,-1.38,"4,024",27.00,16.15,0.30,1.56,17.61,-3.51
1st Source,SRCE,41.11,42.00,41.01,41.24,-0.02,-0.05,"41,949",59.33,38.44,1.00,2.42,13.66,2.23
2U,TWOU,48.77,49.73,47.63,48.73,-0.91,-1.83,"585,439",98.58,44.50,...,...,...,-1.99
21st Century Fox Cl A,FOXA,47.66,47.92,47.13,47.48,-0.31,-0.65,"10,181,143",50.15,34.12,0.36,0.76,18.05,-1.33
21st Century Fox Cl B,FOX,47.31,47.57,46.85,47.18,-0.29,-0.61,"5,197,861",49.65,33.75,0.36,0.76,17.94,-1.26
21Vianet Group ADR,VNET,8.50,8.79,8.42,8.59,0.04,0.47,"282,179",11.98,5.01,...,...,9.07,-0.58
51job ADR,JOBS,62.20,62.20,59.49,61.14,-1.82,-2.89,"122,599",114.62,52.15,...,...,44.30,-2.08
111 ADR,YI,6.02,6.05,5.95,6.05,0.05,0.83,"4,696",16.83,5.95,...,...,...,-1.47
360 Finance ADR,QFIN,14.85,15.60,14.52,14.57,-0.21,-1.42,"20,952",17.53,14.33,...,...,...,-6.04
1347 Property Insurance Holdings,PIH,4.20,4.46,4.08,4.14,-0.16,-3.72,"10,894",8.25,3.75,...,...,46.62,2.99
1-800-FLOWERS.COM Cl A,FLWS,12.08,12.28,11.82,12.06,-0.12,-0.99,"116,038",15.00,9.76,...,...,22.64,-1.39
AAON,AAON,34.95,35.08,33.52,33.77,-1.30,-3.71,"161,643",44.90,29.05,0.32,0.95,38.82,-3.68
Abiomed,ABMD,307.25,311.74,293.66,302.29,-7.67,-2.47,"611,248",459.75,197.27,...,...,73.22,-7.00
Acacia Communications,ACIA,37.74,38.00,36.05,36.73,-1.63,-4.25,"499,127",47.26,24.72,...,...,...,-3.34
