Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.35,21.80,21.15,21.80,0.50,2.35,"14,950",27.00,16.15,0.24,1.10,23.19,19.13
1st Source,SRCE,54.75,55.01,54.30,54.98,0.49,0.90,"22,240",56.77,44.59,0.96,1.75,20.21,11.18
2U,TWOU,85.75,86.62,84.93,86.40,0.98,1.15,"381,444",98.58,44.69,...,...,...,33.93
21st Century Fox Cl A,FOXA,49.04,49.08,48.29,48.74,0.14,0.29,"13,044,060",50.15,24.81,0.36,0.74,22.46,41.15
21st Century Fox Cl B,FOX,48.45,48.51,47.80,48.17,0.14,0.29,"4,631,792",49.65,24.30,0.36,0.75,22.20,41.18
21Vianet Group ADR,VNET,10.11,10.17,9.56,9.72,-0.50,-4.89,"455,910",10.96,4.17,...,...,...,21.80
51job ADR,JOBS,95.77,96.32,94.43,95.53,-0.25,-0.26,"313,402",114.62,44.81,...,...,...,56.99
1347 Property Insurance Holdings,PIH,7.00,7.00,7.00,7.00,-0.20,-2.75,"161",8.25,6.55,...,...,21.88,-3.42
1-800-FLOWERS.COM Cl A,FLWS,13.00,13.05,12.85,12.95,0.05,0.39,"63,861",13.32,7.80,...,...,15.24,21.03
AAON,AAON,34.60,35.25,34.35,35.25,0.75,2.17,"215,950",40.25,29.05,0.32,0.91,38.32,-3.95
Abaxis,ABAX,82.97,83.27,82.91,83.25,0.24,0.29,"357,998",83.98,43.66,0.72,0.86,70.55,68.11
Abiomed,ABMD,410.20,411.40,392.20,400.58,-8.95,-2.19,"780,151",450.93,139.55,...,...,163.50,113.75
Acacia Communications,ACIA,34.29,35.08,34.13,34.70,0.53,1.55,"295,831",50.10,24.72,...,...,...,-4.22
Acacia Research - Acacia Technologies,ACTG,4.10,4.15,4.05,4.05,-0.05,-1.22,"303,195",5.50,2.90,0.50,12.35,88.43,...
Acadia Healthcare,ACHC,42.11,42.43,41.57,41.89,0.07,0.17,"582,615",54.34,26.92,...,...,16.96,28.38
ACADIA Pharmaceuticals,ACAD,16.49,16.99,16.32,16.64,0.24,1.46,"1,973,401",41.20,14.51,...,...,...,-44.74
Acceleron Pharma,XLRN,46.82,47.51,45.05,46.23,-0.85,-1.81,"393,339",50.00,29.57,...,...,...,8.93
Access National,ANCX,29.50,29.81,29.40,29.67,0.17,0.58,"32,356",30.99,24.36,0.60,2.02,27.73,6.57
Accuray,ARAY,4.10,4.15,4.00,4.05,-0.03,-0.61,"292,015",6.15,3.60,...,...,...,-5.81
AcelRx Pharmaceuticals,ACRX,3.55,3.88,3.50,3.70,0.15,4.23,"540,845",5.75,1.55,...,...,...,82.72
Aceto,ACET,3.69,3.75,3.50,3.67,-0.01,-0.27,"286,294",17.10,2.22,0.04,1.09,...,-64.47
Achaogen,AKAO,9.01,9.07,8.50,8.58,-0.41,-4.56,"674,748",25.22,8.22,...,...,...,-20.11
Achillion Pharmaceuticals,ACHN,2.92,2.95,2.86,2.94,0.03,1.03,"689,948",5.66,2.58,...,...,...,2.08
AC Immune,ACIU,9.80,9.80,9.20,9.30,...,...,"34,374",13.91,6.03,...,...,...,-27.34
ACI Worldwide,ACIW,25.32,25.69,25.17,25.62,0.47,1.87,"453,476",27.16,20.23,...,...,...,13.01
Aclaris Therapeutics,ACRS,19.84,20.79,19.84,20.75,0.99,5.01,"226,407",30.08,16.01,...,...,...,-15.86
ACM Research Cl A,ACMR,10.98,11.22,10.50,10.62,-0.37,-3.37,"100,127",15.60,4.74,...,...,...,102.29
Acorda Therapeutics,ACOR,29.40,30.30,29.30,30.25,1.10,3.77,"313,067",36.35,16.55,...,...,...,41.03
Activision Blizzard,ATVI,76.51,76.81,75.69,76.19,0.31,0.41,"7,767,654",79.63,56.31,0.34,0.45,172.61,20.33
Acxiom,ACXM,38.88,39.75,38.44,39.54,0.09,0.23,"1,732,101",39.88,18.60,...,...,141.21,43.47
Adamas Pharmaceuticals,ADMS,25.43,25.64,24.96,25.34,0.01,0.04,"325,915",44.00,13.50,...,...,...,-25.23
Adaptimmune Therapeutics ADR,ADAP,11.78,11.78,11.45,11.58,-0.16,-1.36,"164,906",14.63,4.48,...,...,...,73.35
Addus HomeCare,ADUS,59.20,59.20,57.90,58.35,-0.40,-0.68,"55,308",61.25,30.95,...,...,47.83,67.67
ADDvantage Technologies Group,AEY,1.31,1.32,1.30,1.31,-0.01,-0.60,"21,450",2.33,1.21,...,...,...,-11.05
Adobe Systems,ADBE,243.04,244.62,242.14,244.18,2.17,0.90,"1,778,236",258.91,138.88,...,...,56.26,39.34
Adtran,ADTN,15.05,15.45,15.00,15.35,0.35,2.33,"220,445",25.10,13.95,0.36,2.35,109.64,-20.67
Aduro Biotech,ADRO,7.20,7.50,7.08,7.30,0.10,1.39,"306,079",14.05,5.83,...,...,...,-2.67
Advanced Emissions Solutions,ADES,11.63,11.86,11.63,11.75,0.22,1.91,"87,340",12.20,7.00,1.00,8.51,9.25,21.64
Advanced Energy Industries,AEIS,59.44,60.51,59.08,60.27,2.72,4.73,"346,404",95.00,57.03,...,...,16.56,-10.68
Advaxis,ADXS,1.54,1.57,1.49,1.51,-0.04,-2.58,"309,494",7.45,1.42,...,...,...,-46.83
Adverum Biotechnologies,ADVM,5.75,5.80,5.50,5.55,...,...,"278,316",8.59,2.40,...,...,...,58.57
Aegion,AEGN,25.77,26.09,25.55,26.06,0.46,1.80,"89,026",28.19,19.11,...,...,...,2.48
Aeglea BioTherapeutics,AGLE,10.40,10.77,9.90,10.22,-0.17,-1.64,"237,467",12.00,2.81,...,...,...,88.91
Aemetis,AMTX,1.70,1.97,1.60,1.69,0.10,6.29,"206,733",3.12,0.45,...,...,...,207.27
Aerie Pharmaceuticals,AERI,64.60,64.95,63.95,64.55,0.50,0.78,"325,333",71.30,47.05,...,...,...,8.03
AeroVironment,AVAV,70.49,72.09,69.96,72.06,1.84,2.62,"411,653",73.63,36.71,...,...,86.82,28.31
Aevi Genomic Medicine,GNMX,1.01,1.05,1.00,1.03,...,...,"62,109",2.65,1.00,...,...,...,-14.17
Affimed,AFMD,1.70,1.85,1.70,1.80,0.10,5.88,"193,167",2.85,1.15,...,...,...,38.46
Agile Therapeutics,AGRX,0.56,0.56,0.50,0.55,0.02,2.83,"455,681",5.60,0.44,...,...,...,-79.74
Agilysys,AGYS,15.77,15.95,15.65,15.93,0.22,1.40,"209,049",15.95,9.80,...,...,...,29.72
Agios Pharmaceuticals,AGIO,85.27,85.46,82.78,83.66,-0.95,-1.12,"387,958",99.82,51.62,...,...,...,46.34
AGNC Investment,AGNC,18.96,19.04,18.89,19.04,0.09,0.47,"3,391,248",21.94,17.84,2.16,11.34,6.78,-5.70
AgroFresh Solutions,AGFS,7.09,7.17,7.05,7.12,0.04,0.56,"54,813",9.05,4.94,...,...,15.82,-3.78
AgroFresh Solutions WT,AGFSW,0.38,0.38,0.27,0.37,...,...,"5,701",1.25,0.05,...,...,...,-9.76
Aileron Therapeutics,ALRN,5.43,5.43,5.14,5.32,-0.13,-2.39,"21,845",15.48,4.90,...,...,...,-49.53
Aimmune Therapeutics,AIMT,27.81,28.17,27.43,27.91,0.13,0.47,"200,191",42.00,18.25,...,...,...,-26.20
AirMedia Group ADR,AMCN,0.62,0.63,0.58,0.62,-0.01,-1.59,"251,100",2.87,0.58,...,...,...,-46.09
Air Transport Services Group,ATSG,23.28,23.40,23.01,23.38,0.24,1.04,"244,559",27.67,19.17,...,...,130.76,1.04
Akamai Technologies,AKAM,73.62,74.58,73.45,74.34,0.11,0.15,"1,538,698",83.08,44.65,...,...,67.58,14.30
Akcea Therapeutics,AKCA,25.38,25.84,24.33,24.70,-0.48,-1.91,"121,340",33.99,8.10,...,...,...,42.28
Akebia Therapeutics,AKBA,9.81,10.02,9.65,9.98,0.19,1.94,"591,727",20.25,7.90,...,...,...,-32.89
Akorn,AKRX,17.06,17.71,16.90,17.53,0.42,2.45,"2,795,487",33.73,10.76,...,...,...,-45.61
Alarm.Com Holdings,ALRM,41.60,42.43,41.31,42.15,0.67,1.62,"443,123",49.49,33.39,...,...,57.74,11.66
Alaska Communications Systems Group,ALSK,1.75,1.76,1.68,1.68,-0.06,-3.45,"65,206",2.91,1.39,...,...,...,-37.31
Alder BioPharmaceuticals,ALDR,16.40,16.95,16.25,16.85,0.58,3.53,"604,993",19.35,8.60,...,...,...,47.16
Alexion Pharmaceuticals,ALXN,126.83,128.74,125.51,128.08,2.32,1.84,"1,052,926",149.34,102.10,...,...,55.21,7.10
Alico,ALCO,31.20,31.35,30.95,31.35,0.25,0.80,"26,561",34.80,25.55,0.24,0.77,...,6.27
Align Technology,ALGN,342.18,343.23,333.57,341.38,2.70,0.80,"675,234",371.55,149.50,...,...,108.03,53.64
Alimera Sciences,ALIM,1.02,1.02,0.97,1.01,...,...,"52,654",1.65,0.74,...,...,...,-24.06
ALJ Regional Holdings,ALJJ,1.90,1.94,1.90,1.91,0.01,0.58,"6,287",3.75,1.42,...,...,7.64,-39.33
Alkermes,ALKS,40.87,41.56,40.77,41.21,0.52,1.28,"660,044",71.22,39.54,...,...,...,-24.70
Allegiance Bancshares,ABTX,43.75,45.75,43.55,43.85,0.30,0.69,"34,530",46.85,31.75,...,...,30.66,16.47
Allegiant Travel,ALGT,140.15,142.28,138.95,142.15,2.70,1.94,"130,281",181.45,111.54,2.80,1.97,11.04,-8.14
Allena Pharmaceuticals,ALNA,13.55,13.55,12.98,13.22,-0.28,-2.07,"131,311",17.56,6.13,...,...,...,31.41
Alliance Resource Partners,ARLP,18.05,18.25,18.05,18.20,0.20,1.11,"228,724",21.90,15.55,2.06,11.32,5.97,-7.61
Allied Motion Technologies,AMOT,48.63,50.49,48.50,50.26,1.76,3.63,"115,878",50.49,22.78,0.12,0.24,48.80,51.89
Allot Communications,ALLT,5.28,5.38,5.25,5.31,...,...,"116,713",6.09,4.74,...,...,...,-0.38
Allscripts Healthcare Solutions,MDRX,12.06,12.33,12.06,12.32,0.28,2.33,"974,656",16.13,10.78,...,...,...,-15.33
Alnylam Pharmaceuticals,ALNY,100.00,100.63,96.45,98.05,-0.57,-0.58,"648,971",153.99,70.76,...,...,...,-22.83
Alphabet Cl A,GOOGL,1124.60,1144.14,1123.12,1141.29,25.01,2.24,"1,389,494",1201.49,918.60,...,...,48.44,8.34
Alphabet Cl C,GOOG,1110.53,1127.50,1108.48,1124.27,21.38,1.94,"1,040,211",1186.89,899.70,...,...,47.72,7.44
Alpha&Omega Semiconductor,AOSL,14.29,14.57,14.26,14.53,0.33,2.32,"60,771",18.72,12.92,...,...,20.76,-11.19
Alphatec Holdings,ATEC,2.77,2.87,2.72,2.85,0.08,2.89,"73,723",4.27,1.58,...,...,...,7.14
Alpine Immune Sciences,ALPN,7.75,7.92,7.72,7.92,0.20,2.53,"4,544",12.87,6.85,...,...,...,-29.33
Altaba,AABA,73.30,73.49,71.81,73.35,0.56,0.77,"14,044,392",82.45,54.27,...,...,2.95,5.01
Altair Engineering Cl A,ALTR,33.95,34.25,33.51,34.04,0.24,0.71,"228,294",37.77,16.55,...,...,...,42.31
Altimmune,ALT,0.43,0.44,0.40,0.43,0.02,3.60,"384,961",3.31,0.40,...,...,...,-78.29
Altisource Portfolio Solutions,ASPS,30.32,31.23,30.20,31.16,0.92,3.04,"62,735",33.17,19.28,...,...,1.91,11.29
Altra Industrial Motion,AIMC,43.45,43.80,43.10,43.80,0.55,1.27,"99,538",53.70,38.80,0.68,1.55,25.32,-13.10
AMAG Pharmaceuticals,AMAG,19.80,20.30,19.80,20.00,-0.15,-0.74,"367,568",25.63,11.93,...,...,...,50.94
Amarin ADR,AMRN,3.06,3.06,2.91,2.93,-0.07,-2.33,"1,247,126",4.60,2.66,...,...,...,-26.93
A-Mark Precious Metals,AMRK,13.23,13.24,12.80,13.00,-0.60,-4.41,"8,661",18.83,10.39,...,...,108.33,-11.26
Amazon.com,AMZN,1705.38,1710.69,1682.15,1699.73,5.77,0.34,"2,951,074",1763.10,931.75,...,...,214.29,45.34
Ambac Financial Group,AMBC,19.49,19.68,19.33,19.49,0.01,0.05,"323,532",22.02,13.17,...,...,8.74,21.96
Ambac Financial Group WT,AMBCW,9.25,9.39,9.06,9.26,0.05,0.50,"3,830",12.50,5.04,...,...,...,61.26
Ambarella,AMBA,38.00,39.07,37.56,39.04,1.06,2.79,"602,049",66.23,37.17,...,...,216.89,-33.55
AMC Networks Cl A,AMCX,62.09,62.77,61.56,62.12,0.40,0.65,"463,816",69.02,46.89,...,...,8.01,14.87
Amdocs,DOX,66.80,67.10,66.19,67.07,0.68,1.02,"522,812",71.72,61.00,1.00,1.49,22.06,2.43
Amedisys,AMED,91.99,92.40,89.81,90.39,-1.42,-1.55,"316,977",92.96,45.60,...,...,73.49,71.49
Amerco,UHAL,366.98,370.73,361.50,368.79,3.39,0.93,"83,727",400.99,317.43,...,...,9.14,-2.41
America First Multifamily Investors,ATAX,6.40,6.40,6.35,6.40,0.03,0.39,"22,596",6.50,5.85,0.50,7.81,14.88,5.79
American Airlines Group,AAL,37.85,38.18,37.52,37.99,0.24,0.64,"4,912,170",59.08,36.76,0.40,1.05,9.89,-26.98
American National Bankshares,AMNB,41.00,41.30,40.85,41.10,0.10,0.24,"8,137",42.99,34.95,1.00,2.43,21.08,7.31
American National Insurance,ANAT,120.42,121.33,119.23,119.79,-0.13,-0.11,"91,612",134.03,110.43,3.28,2.74,6.83,-6.60
American Outdoor Brands,AOBC,11.79,11.81,11.58,11.76,0.03,0.26,"1,075,031",22.53,8.32,...,...,31.78,-8.41
American Public Education,APEI,43.95,44.20,43.40,44.20,0.40,0.91,"53,099",45.75,17.40,...,...,34.26,76.45
American Railcar Industries,ARII,39.81,40.27,39.62,40.25,0.63,1.59,"37,657",42.52,34.30,1.60,3.98,5.32,-3.34
