Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.80,22.10,21.63,22.00,0.35,1.62,"27,975",22.52,16.15,0.24,1.09,23.40,20.22
1st Source,SRCE,55.17,55.27,54.39,55.23,0.30,0.55,"37,926",56.42,44.59,0.96,1.74,20.31,11.69
2U,TWOU,96.39,97.41,95.65,96.58,0.29,0.30,"503,068",98.58,43.61,...,...,...,49.71
8Point3 Energy Partners,CAFD,12.44,12.45,12.42,12.43,...,...,"293,868",15.92,11.69,1.12,9.02,17.03,-18.28
21st Century Fox Cl A,FOXA,44.12,44.70,44.10,44.58,0.92,2.11,"24,237,249",44.70,24.81,0.36,0.81,20.54,29.11
21st Century Fox Cl B,FOX,44.05,44.49,43.83,44.42,1.01,2.33,"5,927,377",44.49,24.30,0.36,0.81,20.47,30.19
21Vianet Group ADR,VNET,8.85,8.96,8.73,8.84,0.04,0.45,"636,887",9.59,4.17,...,...,...,10.78
51job ADR,JOBS,110.17,110.73,104.39,105.79,-3.69,-3.37,"409,935",114.62,42.57,...,...,...,73.85
1347 Property Insurance Holdings,PIH,7.75,7.80,7.70,7.80,0.10,1.30,"3,438",8.50,6.55,...,...,24.38,7.59
1-800-FLOWERS.COM Cl A,FLWS,12.90,12.95,12.60,12.80,-0.05,-0.39,"236,579",13.32,7.80,...,...,15.06,19.63
AAON,AAON,33.10,33.55,32.48,33.15,0.40,1.22,"245,276",40.25,29.05,0.32,0.97,36.03,-9.67
Abaxis,ABAX,83.08,83.37,83.04,83.37,0.36,0.43,"202,678",83.98,43.66,0.72,0.86,70.65,68.36
Abiomed,ABMD,435.19,444.80,434.59,440.65,7.58,1.75,"696,022",444.80,139.49,...,...,179.86,135.13
Acacia Communications,ACIA,35.41,35.64,35.01,35.32,0.12,0.34,"434,191",50.10,24.72,...,...,...,-2.51
Acacia Research - Acacia Technologies,ACTG,4.20,4.39,4.15,4.35,0.15,3.57,"442,419",5.50,2.90,0.50,11.49,94.98,7.41
Acadia Healthcare,ACHC,41.35,41.36,40.42,41.16,0.04,0.10,"1,150,158",54.34,26.92,...,...,16.66,26.14
ACADIA Pharmaceuticals,ACAD,16.40,16.45,15.31,15.35,-0.83,-5.13,"3,614,288",41.20,14.51,...,...,...,-49.02
Acceleron Pharma,XLRN,36.09,36.16,35.25,36.12,0.18,0.50,"155,162",46.93,28.50,...,...,...,-14.89
Access National,ANCX,29.01,29.05,28.68,29.00,0.04,0.14,"44,266",30.99,24.36,0.60,2.07,27.10,4.17
Accuray,ARAY,4.60,4.75,4.50,4.70,0.10,2.17,"459,453",6.15,3.60,...,...,...,9.30
AcelRx Pharmaceuticals,ACRX,3.95,4.25,3.95,4.13,0.23,5.77,"994,038",5.75,1.55,...,...,...,103.70
Aceto,ACET,3.64,3.84,3.60,3.82,0.19,5.23,"252,450",17.10,2.22,0.04,1.05,...,-63.02
Achaogen,AKAO,11.96,12.19,11.86,12.12,0.17,1.42,"786,526",25.22,9.83,...,...,...,12.85
Achillion Pharmaceuticals,ACHN,2.98,3.07,2.94,2.99,0.01,0.34,"732,100",5.66,2.58,...,...,...,3.82
AC Immune,ACIU,9.61,9.61,9.07,9.18,-0.47,-4.87,"28,135",13.91,6.03,...,...,...,-28.28
ACI Worldwide,ACIW,25.79,25.88,25.34,25.79,0.13,0.51,"716,785",26.37,20.23,...,...,...,13.76
Aclaris Therapeutics,ACRS,19.79,20.16,19.45,19.78,-0.04,-0.20,"258,625",30.08,16.01,...,...,...,-19.79
ACM Research Cl A,ACMR,13.49,13.80,13.26,13.41,0.05,0.37,"90,837",15.60,4.74,...,...,...,155.43
Acorda Therapeutics,ACOR,31.85,31.95,31.20,31.50,-0.15,-0.47,"419,364",36.35,16.55,...,...,...,46.85
Activision Blizzard,ATVI,76.83,79.25,76.80,77.71,1.04,1.36,"6,548,133",79.63,55.86,0.34,0.44,176.05,22.73
Acxiom,ACXM,30.20,30.53,30.14,30.33,0.20,0.66,"311,693",32.93,18.60,...,...,108.32,10.05
Adamas Pharmaceuticals,ADMS,27.43,27.81,27.08,27.47,0.03,0.11,"364,262",44.00,13.50,...,...,...,-18.94
Adaptimmune Therapeutics ADR,ADAP,12.38,12.39,11.99,12.25,-0.13,-1.05,"339,578",14.63,4.28,...,...,...,83.38
Addus HomeCare,ADUS,56.10,57.05,55.80,56.65,0.70,1.25,"42,500",58.80,30.95,...,...,46.43,62.79
ADDvantage Technologies Group,AEY,1.31,1.31,1.29,1.29,-0.02,-1.50,"5,980",2.33,1.21,...,...,...,-12.22
Adobe Systems,ADBE,257.15,258.91,256.58,258.10,1.97,0.77,"4,235,319",258.91,134.45,...,...,68.64,47.28
Adtran,ADTN,14.75,15.30,14.70,15.15,0.40,2.71,"314,764",25.10,13.95,0.36,2.38,108.21,-21.71
Aduro Biotech,ADRO,7.10,7.80,7.05,7.70,0.60,8.45,"402,821",14.05,5.83,...,...,...,2.67
Advanced Emissions Solutions,ADES,11.20,11.24,11.05,11.06,-0.12,-1.07,"100,386",12.20,7.00,1.00,9.04,8.71,14.49
Advanced Energy Industries,AEIS,62.00,62.67,61.72,61.93,0.10,0.16,"258,642",95.00,57.35,...,...,17.01,-8.22
Advaxis,ADXS,1.71,1.76,1.67,1.69,0.01,0.60,"561,245",7.45,1.51,...,...,...,-40.49
Adverum Biotechnologies,ADVM,5.70,5.92,5.40,5.55,-0.10,-1.77,"533,215",8.59,2.40,...,...,...,58.57
Aegion,AEGN,25.64,25.70,25.26,25.41,-0.17,-0.66,"83,916",28.19,19.11,...,...,...,-0.08
Aeglea BioTherapeutics,AGLE,10.99,10.99,10.10,10.40,0.31,3.07,"251,310",12.00,2.81,...,...,...,92.24
Aemetis,AMTX,1.50,1.51,1.47,1.48,...,...,"51,232",3.12,0.45,...,...,...,169.09
Aerie Pharmaceuticals,AERI,63.55,64.40,60.70,64.20,1.20,1.90,"292,481",66.60,47.05,...,...,...,7.45
AeroVironment,AVAV,60.05,60.51,58.67,59.25,-0.75,-1.25,"297,908",62.20,30.05,...,...,43.57,5.50
Aevi Genomic Medicine,GNMX,1.32,1.36,1.25,1.27,-0.03,-2.31,"117,289",2.65,1.01,...,...,...,5.83
Affimed,AFMD,2.30,2.60,2.30,2.45,0.20,8.89,"3,682,726",2.85,1.15,...,...,...,88.46
