Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.80,22.00,21.55,21.75,0.15,0.69,"14,861",22.52,16.15,0.24,1.10,26.20,18.85
1st Source,SRCE,50.99,51.42,50.58,50.62,0.06,0.12,"78,354",54.65,43.58,0.88,1.74,19.39,2.37
2U,TWOU,81.20,85.50,80.28,84.03,3.55,4.41,"832,926",91.00,38.28,...,...,...,30.26
8Point3 Energy Partners,CAFD,11.80,12.16,11.80,12.15,0.23,1.93,"246,479",15.92,11.51,1.12,9.22,29.63,-20.12
21st Century Fox Cl A,FOXA,36.09,36.82,35.87,36.69,0.81,2.26,"11,749,871",39.13,24.81,0.36,0.98,17.14,6.26
21st Century Fox Cl B,FOX,35.70,36.46,35.45,36.37,0.87,2.45,"4,620,736",38.56,24.30,0.36,0.99,17.00,6.59
21Vianet Group ADR,VNET,6.91,7.03,6.82,6.93,0.05,0.73,"129,270",9.59,4.17,...,...,6.53,-13.16
51job ADR,JOBS,85.84,87.00,85.06,86.04,0.38,0.44,"296,363",89.31,34.88,...,...,101.34,41.40
1347 Property Insurance Holdings,PIH,6.60,7.15,6.60,7.15,0.08,1.06,"6,333",9.00,6.55,...,...,178.75,-1.38
1-800-FLOWERS.COM Cl A,FLWS,11.90,12.10,11.72,11.80,-0.05,-0.42,"291,857",13.10,7.80,...,...,14.57,10.28
AAON,AAON,38.75,39.60,38.45,39.00,0.40,1.04,"246,628",40.25,29.95,0.26,0.67,37.86,6.27
Abaxis,ABAX,69.04,71.44,68.34,70.62,2.01,2.93,"150,197",78.53,43.66,0.64,0.91,65.38,42.61
Abiomed,ABMD,284.05,294.85,283.15,290.99,8.00,2.83,"408,262",304.28,117.36,...,...,146.96,55.27
Ablynx ADR,ABLX,54.81,55.01,54.52,54.56,0.70,1.30,"50,928",55.01,17.75,...,...,...,118.33
Acacia Communications,ACIA,37.51,38.90,36.29,38.46,1.20,3.22,"549,422",61.15,33.68,...,...,43.21,6.16
Acacia Research - Acacia Technologies,ACTG,3.35,3.50,3.30,3.50,0.15,4.48,"128,616",5.75,2.90,0.50,14.29,8.03,-13.58
