Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.90,21.90,21.73,21.85,0.11,0.51,"6,801",22.52,16.15,0.24,1.10,23.24,19.40
1st Source,SRCE,53.22,53.46,52.97,53.05,-0.16,-0.30,"20,700",54.65,44.33,0.96,1.81,19.50,7.28
2U,TWOU,93.21,96.54,90.10,96.50,3.82,4.12,"637,696",96.54,39.58,...,...,...,49.59
8Point3 Energy Partners,CAFD,12.15,12.23,12.05,12.07,-0.10,-0.82,"92,467",15.92,11.69,1.12,9.29,16.53,-20.64
21st Century Fox Cl A,FOXA,37.79,38.27,37.69,37.92,0.22,0.58,"8,127,615",39.35,24.81,0.36,0.95,17.72,9.82
21st Century Fox Cl B,FOX,37.49,37.74,37.21,37.46,0.22,0.59,"2,422,281",38.71,24.30,0.36,0.96,17.50,9.79
21Vianet Group ADR,VNET,5.22,5.35,5.09,5.14,-0.03,-0.58,"411,735",9.59,4.17,...,...,...,-35.59
51job ADR,JOBS,100.78,101.20,97.98,98.20,-3.56,-3.50,"175,510",102.51,42.39,...,...,119.55,61.38
1347 Property Insurance Holdings,PIH,6.84,7.00,6.84,6.88,0.20,2.94,"2,956",8.50,6.55,...,...,172.00,-5.10
1-800-FLOWERS.COM Cl A,FLWS,12.45,12.50,12.20,12.35,-0.10,-0.80,"107,386",13.32,7.80,...,...,14.53,15.42
AAON,AAON,30.25,30.25,29.60,29.70,-0.45,-1.49,"235,673",40.25,29.05,0.26,0.88,32.28,-19.07
Abaxis,ABAX,68.49,70.08,68.49,69.86,1.46,2.13,"197,635",78.53,43.66,0.72,1.03,59.20,41.07
Abiomed,ABMD,358.72,371.45,358.72,368.88,10.72,2.99,"488,096",371.45,129.55,...,...,150.56,96.83
Ablynx ADR,ABLX,53.31,53.53,53.10,53.41,0.45,0.85,"2,697",55.29,17.75,...,...,...,113.73
Acacia Communications,ACIA,31.17,31.21,30.36,30.96,-0.21,-0.67,"403,644",50.10,24.72,...,...,...,-14.55
Acacia Research - Acacia Technologies,ACTG,3.80,3.85,3.70,3.75,-0.05,-1.32,"222,730",5.50,2.90,0.50,13.33,81.88,-7.41
Acadia Healthcare,ACHC,42.03,42.49,41.43,42.06,...,...,"749,460",54.34,26.92,...,...,17.03,28.90
ACADIA Pharmaceuticals,ACAD,18.59,18.76,18.22,18.26,-0.32,-1.72,"1,279,696",41.20,14.51,...,...,...,-39.36
Acceleron Pharma,XLRN,36.31,36.35,34.74,34.94,-1.30,-3.59,"321,289",46.93,24.37,...,...,...,-17.67
Access National,ANCX,27.34,27.54,27.18,27.39,0.06,0.22,"28,399",30.99,24.36,0.60,2.19,25.60,-1.62
Accuray,ARAY,4.70,4.90,4.65,4.75,0.10,2.15,"330,357",6.15,3.60,...,...,...,10.47
AcelRx Pharmaceuticals,ACRX,2.50,2.55,2.40,2.50,...,...,"474,677",5.75,1.55,...,...,...,23.46
