Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.12,20.30,19.75,20.05,-0.07,-0.35,"6,178",27.00,16.15,0.30,1.50,18.36,9.56
1st Source,SRCE,46.27,47.45,45.86,47.41,0.87,1.87,"65,193",59.33,39.93,1.00,2.11,15.70,-4.13
2U,TWOU,51.62,54.56,50.81,54.40,2.63,5.08,"506,493",98.58,49.73,...,...,...,-15.67
21st Century Fox Cl A,FOXA,47.60,48.37,47.50,48.27,0.34,0.71,"7,483,499",50.15,28.36,0.36,0.75,18.35,39.79
21st Century Fox Cl B,FOX,47.15,47.91,47.01,47.79,0.36,0.76,"4,703,786",49.65,27.56,0.36,0.75,18.17,40.06
21Vianet Group ADR,VNET,10.94,11.80,10.79,11.71,0.80,7.33,"645,409",11.80,5.01,...,...,...,46.74
51job ADR,JOBS,66.61,69.36,65.39,68.17,1.53,2.30,"189,304",114.62,52.15,...,...,49.39,12.03
111 ADR,YI,9.79,10.30,9.75,10.00,0.20,2.04,"12,315",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.55,5.55,5.26,5.26,-0.29,-5.23,"26,980",8.25,5.25,...,...,59.23,-27.45
1-800-FLOWERS.COM Cl A,FLWS,12.94,13.16,12.86,12.98,0.03,0.23,"232,395",15.00,9.00,...,...,24.36,21.31
AAON,AAON,41.26,41.60,40.34,40.96,-0.56,-1.35,"403,249",44.90,29.05,0.32,0.78,47.21,11.61
Abiomed,ABMD,310.58,324.27,301.12,320.78,8.22,2.63,"923,940",459.75,186.72,...,...,89.60,71.16
Acacia Communications,ACIA,44.48,45.41,44.24,44.94,0.32,0.72,"618,102",47.26,24.72,...,...,...,24.04
Acacia Research - Acacia Technologies,ACTG,3.14,3.17,3.09,3.15,-0.01,-0.32,"80,866",4.45,2.85,0.50,15.87,...,-22.22
Acadia Healthcare,ACHC,37.06,37.99,36.34,37.86,0.37,0.99,"1,719,267",45.35,28.07,...,...,14.69,16.03
ACADIA Pharmaceuticals,ACAD,17.40,18.83,17.40,18.63,1.10,6.27,"1,381,706",32.99,12.77,...,...,...,-38.13
Acceleron Pharma,XLRN,49.62,50.72,49.24,50.66,0.66,1.32,"284,833",59.59,32.53,...,...,...,19.37
Access National,ANCX,25.81,26.26,25.79,26.24,0.34,1.31,"36,326",30.40,23.95,0.68,2.59,18.36,-5.75
Accuray,ARAY,4.56,4.65,4.50,4.61,0.02,0.44,"334,267",6.15,3.20,...,...,...,7.21
AcelRx Pharmaceuticals,ACRX,2.93,3.07,2.75,2.84,-0.16,-5.33,"3,404,917",5.05,1.65,...,...,...,40.25
Aceto,ACET,1.88,1.92,1.74,1.85,-0.02,-1.07,"222,225",11.98,1.53,0.04,2.16,...,-82.09
Achaogen,AKAO,1.80,1.80,1.76,1.77,-0.03,-1.39,"541,775",15.00,1.70,...,...,...,-83.47
Achillion Pharmaceuticals,ACHN,2.60,2.78,2.59,2.72,0.10,3.82,"1,061,505",4.34,2.33,...,...,...,-5.56
AC Immune,ACIU,8.79,9.77,8.79,9.65,0.81,9.16,"84,164",17.40,7.16,...,...,...,-24.61
ACI Worldwide,ACIW,28.36,29.25,28.10,29.23,0.72,2.53,"671,821",30.25,20.23,...,...,257.53,28.94
Aclaris Therapeutics,ACRS,9.08,9.43,8.63,8.68,-0.43,-4.72,"425,720",26.25,8.63,...,...,...,-64.80
ACM Research Cl A,ACMR,11.20,11.72,10.66,11.52,0.17,1.50,"17,259",15.60,4.74,...,...,26.18,119.43
Acorda Therapeutics,ACOR,18.55,19.32,18.27,18.97,0.37,1.99,"547,346",36.35,15.60,...,...,...,-11.56
Activision Blizzard,ATVI,51.41,53.67,51.03,53.56,1.96,3.80,"11,830,480",84.68,51.03,0.34,0.63,121.34,-15.41
Adamas Pharmaceuticals,ADMS,10.74,11.23,10.74,10.84,-0.02,-0.18,"364,999",44.00,10.58,...,...,...,-68.01
Adaptimmune Therapeutics ADR,ADAP,5.55,5.86,5.35,5.50,-0.15,-2.65,"485,677",14.63,5.35,...,...,...,-17.66
Addus HomeCare,ADUS,67.81,70.91,66.93,70.30,2.02,2.96,"123,758",76.89,31.20,...,...,52.38,102.01
ADDvantage Technologies Group,AEY,1.34,1.37,1.34,1.37,0.03,2.24,"21,254",2.33,1.21,...,...,...,-6.80
Adobe,ADBE,233.98,241.43,231.33,239.95,4.73,2.01,"3,230,845",277.61,165.68,...,...,49.58,36.93
Adtran,ADTN,13.66,13.82,13.36,13.78,0.15,1.10,"185,270",23.15,13.05,0.36,2.61,...,-28.79
Aduro Biotech,ADRO,3.29,3.48,3.20,3.29,-0.04,-1.20,"1,718,970",10.00,3.19,...,...,...,-56.13
Advanced Emissions Solutions,ADES,9.78,9.94,9.55,9.71,-0.14,-1.42,"53,010",12.37,7.00,1.00,10.30,5.61,0.52
Advanced Energy Industries,AEIS,41.66,43.23,41.02,42.96,0.95,2.26,"247,124",86.36,40.43,...,...,17.39,-36.34
Advanced Micro Devices,AMD,20.72,21.77,20.42,21.49,0.68,3.27,"92,799,538",34.14,9.04,...,...,63.21,109.05
Advaxis,ADXS,0.49,0.52,0.44,0.45,-0.04,-7.59,"1,130,617",3.58,0.44,...,...,...,-84.22
Adverum Biotechnologies,ADVM,3.54,3.74,3.48,3.73,0.17,4.78,"944,443",8.59,2.62,...,...,...,6.57
Aegion,AEGN,18.60,19.13,18.60,19.02,0.27,1.44,"149,301",28.19,18.27,...,...,...,-25.21
Aeglea BioTherapeutics,AGLE,7.79,8.25,7.73,8.07,0.23,2.93,"194,689",12.00,3.75,...,...,...,49.17
Aemetis,AMTX,0.99,0.99,0.90,0.90,-0.03,-2.76,"13,428",3.12,0.45,...,...,...,63.64
Aerie Pharmaceuticals,AERI,41.24,43.20,40.92,42.73,1.33,3.21,"655,175",74.75,40.50,...,...,...,-28.49
AeroVironment,AVAV,93.96,98.63,93.01,98.15,3.65,3.86,"135,038",121.32,41.60,...,...,54.83,74.77
Aevi Genomic Medicine,GNMX,1.13,1.22,1.05,1.08,-0.05,-4.42,"198,597",2.65,0.83,...,...,...,-10.00
Affimed,AFMD,3.78,4.25,3.78,4.13,0.33,8.68,"834,371",7.35,1.15,...,...,...,217.69
Agile Therapeutics,AGRX,0.88,0.90,0.80,0.84,-0.02,-2.02,"713,888",5.33,0.23,...,...,...,-68.64
