Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.60,19.67,19.45,19.54,-0.11,-0.56,"5,566",27.00,16.15,0.24,1.23,21.01,6.78
1st Source,SRCE,52.10,53.80,50.93,50.99,-1.24,-2.37,"47,591",59.33,47.16,1.00,1.96,17.46,3.11
2U,TWOU,65.51,67.22,62.69,62.85,-3.74,-5.62,"1,184,741",98.58,57.84,...,...,...,-2.57
21st Century Fox Cl A,FOXA,44.83,45.30,44.41,45.11,0.49,1.10,"15,410,203",50.15,24.81,0.36,0.80,18.80,30.64
21st Century Fox Cl B,FOX,44.42,45.00,44.14,44.79,0.39,0.88,"5,787,333",49.65,24.30,0.36,0.80,18.66,31.27
21Vianet Group ADR,VNET,9.58,9.88,9.44,9.71,0.04,0.41,"724,936",11.54,5.01,...,...,...,21.68
51job ADR,JOBS,60.00,63.02,58.20,58.40,-2.15,-3.55,"408,791",114.62,56.22,...,...,...,-4.03
111 ADR,YI,10.40,10.44,9.73,9.85,-0.66,-6.28,"31,815",16.83,9.73,...,...,...,...
1347 Property Insurance Holdings,PIH,6.28,6.37,6.20,6.34,0.08,1.28,"9,792",8.25,6.10,...,...,19.81,-12.55
1-800-FLOWERS.COM Cl A,FLWS,10.97,11.25,10.83,10.98,-0.06,-0.54,"199,690",15.00,8.85,...,...,18.30,2.62
AAON,AAON,32.83,33.67,31.80,31.84,-1.16,-3.52,"202,725",43.30,29.05,0.32,1.01,36.18,-13.24
Abiomed,ABMD,372.00,383.88,363.63,367.54,-9.35,-2.48,"803,539",459.75,164.80,...,...,102.66,96.12
Acacia Communications,ACIA,36.37,37.76,36.37,36.64,0.13,0.36,"320,048",46.59,24.72,...,...,...,1.13
Acacia Research - Acacia Technologies,ACTG,3.11,3.11,3.00,3.05,-0.05,-1.61,"172,871",4.70,3.00,0.50,16.39,...,-24.69
Acadia Healthcare,ACHC,36.28,36.49,33.58,34.69,-1.86,-5.09,"4,102,379",45.27,26.92,...,...,13.50,6.31
ACADIA Pharmaceuticals,ACAD,20.22,21.24,19.81,20.99,0.75,3.71,"2,574,010",38.00,12.77,...,...,...,-30.29
Acceleron Pharma,XLRN,48.25,49.10,47.44,48.49,-0.02,-0.04,"381,661",59.59,32.53,...,...,...,14.26
Access National,ANCX,28.90,29.34,28.01,28.04,-0.93,-3.21,"185,950",30.99,25.81,0.64,2.28,21.40,0.72
Accuray,ARAY,3.95,4.08,3.92,3.92,-0.09,-2.24,"622,306",6.15,3.20,...,...,...,-8.84
AcelRx Pharmaceuticals,ACRX,3.65,4.06,3.11,3.98,0.39,10.71,"12,854,896",4.70,1.55,...,...,...,96.54
Aceto,ACET,2.25,2.33,2.22,2.23,-0.04,-1.76,"348,721",11.98,2.10,0.04,1.79,...,-78.41
Achaogen,AKAO,3.91,4.10,3.81,3.84,-0.11,-2.78,"590,588",15.00,3.81,...,...,...,-64.25
