Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,17.80,21.07,16.45,20.80,0.20,0.97,"45,158",27.00,16.15,0.24,1.15,22.37,13.66
1st Source,SRCE,55.89,56.68,55.85,55.92,-0.22,-0.39,"29,271",59.33,44.59,1.00,1.79,19.15,13.08
2U,TWOU,85.35,85.35,82.69,83.28,-2.23,-2.61,"445,629",98.58,49.85,...,...,...,29.10
21st Century Fox Cl A,FOXA,45.23,45.51,45.15,45.34,0.10,0.22,"7,289,099",50.15,24.81,0.36,0.79,18.89,31.31
21st Century Fox Cl B,FOX,44.71,44.99,44.59,44.88,0.16,0.36,"3,842,816",49.65,24.30,0.36,0.80,18.70,31.54
21Vianet Group ADR,VNET,9.85,9.96,9.55,9.66,-0.15,-1.53,"462,450",11.54,5.01,...,...,...,21.05
51job ADR,JOBS,73.29,73.81,70.26,72.11,-0.84,-1.15,"798,451",114.62,56.22,...,...,...,18.50
1347 Property Insurance Holdings,PIH,6.80,6.80,6.80,6.80,...,0.01,"615",8.25,6.55,...,...,21.25,-6.21
1-800-FLOWERS.COM Cl A,FLWS,11.85,12.00,11.80,11.90,0.05,0.42,"147,716",15.00,8.85,...,...,19.83,11.21
AAON,AAON,39.95,40.25,39.65,39.75,-0.20,-0.50,"138,501",43.30,29.05,0.32,0.81,45.17,8.31
Abiomed,ABMD,385.10,386.44,376.14,383.10,-0.73,-0.19,"513,631",450.93,151.43,...,...,107.01,104.42
Acacia Communications,ACIA,40.26,40.49,39.30,39.75,-0.49,-1.22,"312,312",50.08,24.72,...,...,...,9.72
Acacia Research - Acacia Technologies,ACTG,3.80,3.85,3.35,3.35,-0.45,-11.84,"257,044",5.50,3.25,0.50,14.93,...,-17.28
Acadia Healthcare,ACHC,40.01,40.21,39.51,39.88,-0.12,-0.30,"1,003,765",49.05,26.92,...,...,15.52,22.22
ACADIA Pharmaceuticals,ACAD,14.45,14.48,13.92,14.03,-0.35,-2.43,"1,400,852",41.20,12.77,...,...,...,-53.40
Acceleron Pharma,XLRN,52.40,52.70,50.25,51.09,-1.43,-2.72,"366,346",54.34,32.53,...,...,...,20.38
Access National,ANCX,27.06,27.74,26.91,27.68,0.63,2.33,"94,636",30.99,24.49,0.64,2.31,21.13,-0.57
Accuray,ARAY,3.90,4.00,3.70,3.75,-0.15,-3.85,"249,178",6.15,3.20,...,...,...,-12.79
AcelRx Pharmaceuticals,ACRX,3.25,3.30,3.10,3.20,-0.05,-1.54,"464,017",5.75,1.55,...,...,...,58.02
Aceto,ACET,3.30,3.48,3.27,3.40,0.11,3.34,"179,363",11.98,2.22,0.04,1.18,...,-67.09
Achaogen,AKAO,5.05,5.09,4.87,4.99,-0.04,-0.80,"822,190",18.71,4.87,...,...,...,-53.54
Achillion Pharmaceuticals,ACHN,3.54,3.56,3.27,3.38,-0.13,-3.70,"1,849,899",5.00,2.33,...,...,...,17.36
AC Immune,ACIU,8.65,8.75,8.17,8.20,-0.40,-4.65,"42,135",17.40,7.57,...,...,...,-35.94
ACI Worldwide,ACIW,27.93,28.14,27.82,28.09,0.22,0.79,"284,887",28.58,20.23,...,...,2809.00,23.91
Aclaris Therapeutics,ACRS,16.06,16.49,15.25,15.26,-0.74,-4.63,"197,505",28.93,14.12,...,...,...,-38.12
ACM Research Cl A,ACMR,13.63,13.71,13.13,13.30,-0.34,-2.49,"16,158",15.60,4.74,...,...,221.67,153.33
Acorda Therapeutics,ACOR,28.20,28.50,27.15,27.80,-0.40,-1.42,"332,438",36.35,16.55,...,...,...,29.60
Activision Blizzard,ATVI,71.63,72.43,71.15,71.96,0.31,0.43,"5,710,129",81.64,57.29,0.34,0.47,163.02,13.64
Acxiom,ACXM,45.44,45.80,44.77,45.36,-0.14,-0.31,"301,365",46.39,18.60,...,...,174.46,64.59
Adamas Pharmaceuticals,ADMS,22.95,23.27,22.14,22.45,-0.54,-2.35,"320,186",44.00,17.68,...,...,...,-33.76
Adaptimmune Therapeutics ADR,ADAP,10.89,11.59,10.72,11.08,0.22,2.03,"532,194",14.63,6.60,...,...,...,65.87
Addus HomeCare,ADUS,66.75,67.75,66.05,67.35,0.65,0.97,"94,644",71.78,30.95,...,...,49.89,93.53
