Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.21,22.00,21.20,22.00,0.10,0.46,"10,712",22.52,16.15,0.24,1.09,26.51,20.22
1st Source,SRCE,51.94,52.04,50.96,51.23,-0.53,-1.02,"22,378",54.65,43.95,0.88,1.72,19.63,3.60
2U,TWOU,83.23,87.12,82.85,86.93,4.25,5.14,"564,586",91.00,39.58,...,...,...,34.75
8Point3 Energy Partners,CAFD,12.06,12.07,11.96,11.98,-0.02,-0.17,"79,140",15.92,11.69,1.12,9.36,16.41,-21.24
21st Century Fox Cl A,FOXA,37.28,37.89,37.13,37.54,0.50,1.35,"7,471,587",39.13,24.81,0.36,0.96,17.54,8.72
21st Century Fox Cl B,FOX,36.85,37.36,36.65,37.09,0.58,1.59,"2,828,192",38.56,24.30,0.36,0.97,17.33,8.70
21Vianet Group ADR,VNET,6.42,6.61,6.42,6.53,0.12,1.87,"120,044",9.59,4.17,...,...,6.15,-18.17
51job ADR,JOBS,91.11,92.21,90.00,90.37,-0.54,-0.59,"133,564",92.63,37.00,...,...,106.44,48.51
1347 Property Insurance Holdings,PIH,6.70,6.85,6.70,6.75,-0.05,-0.66,"2,979",8.50,6.55,...,...,168.87,-6.83
1-800-FLOWERS.COM Cl A,FLWS,13.00,13.25,13.00,13.05,0.10,0.77,"156,885",13.32,7.80,...,...,16.11,21.96
AAON,AAON,35.45,35.90,34.80,35.80,0.50,1.42,"136,707",40.25,29.95,0.26,0.73,34.76,-2.45
Abaxis,ABAX,74.21,74.85,72.71,73.86,0.08,0.11,"134,502",78.53,43.66,0.64,0.87,68.38,49.15
Abiomed,ABMD,298.06,305.77,294.28,304.43,8.11,2.74,"518,810",305.77,117.36,...,...,153.75,62.44
Ablynx ADR,ABLX,55.07,55.07,54.88,54.93,-0.16,-0.29,"18,289",55.16,17.75,...,...,...,119.81
Acacia Communications,ACIA,25.51,27.00,25.00,26.43,0.80,3.12,"4,325,669",54.37,24.72,...,...,29.70,-27.05
Acacia Research - Acacia Technologies,ACTG,3.35,3.55,3.27,3.45,0.15,4.55,"2,101,519",5.50,2.90,0.50,14.49,7.92,-14.81
Acadia Healthcare,ACHC,39.23,39.37,38.45,38.90,0.10,0.26,"1,568,112",54.34,26.92,...,...,16.99,19.22
ACADIA Pharmaceuticals,ACAD,19.17,19.99,19.08,19.88,0.90,4.74,"1,367,648",41.20,15.74,...,...,...,-33.98
Acceleron Pharma,XLRN,37.19,38.31,37.09,37.96,0.48,1.28,"155,405",46.93,24.37,...,...,...,-10.56
Access National,ANCX,29.60,29.60,29.06,29.26,-0.18,-0.61,"29,091",30.99,24.36,0.60,2.05,31.80,5.10
Accuray,ARAY,4.85,5.20,4.80,5.15,0.30,6.19,"446,777",6.15,3.60,...,...,...,19.77
AcelRx Pharmaceuticals,ACRX,2.40,2.45,2.35,2.40,...,...,"457,492",5.75,1.55,...,...,...,18.52
Aceto,ACET,7.33,7.40,7.32,7.37,0.07,0.96,"335,195",17.10,6.85,0.26,3.53,...,-28.65
Achaogen,AKAO,12.25,12.54,12.09,12.34,0.13,1.06,"823,941",27.49,9.83,...,...,...,14.90
Achillion Pharmaceuticals,ACHN,3.59,3.86,3.55,3.84,0.28,7.87,"1,363,049",5.66,2.58,...,...,...,33.33
AC Immune,ACIU,8.92,9.33,8.70,9.22,0.42,4.77,"23,896",13.91,6.03,...,...,...,-27.97
ACI Worldwide,ACIW,24.63,25.18,24.63,25.00,0.48,1.96,"314,938",26.37,20.23,...,...,500.00,10.28
Aclaris Therapeutics,ACRS,17.84,18.29,17.64,18.23,0.45,2.53,"221,984",33.02,16.01,...,...,...,-26.07
ACM Research Cl A,ACMR,12.82,12.85,12.16,12.31,-0.39,-3.07,"35,200",15.60,4.74,...,...,...,134.48
Acorda Therapeutics,ACOR,23.45,24.00,23.30,23.90,0.55,2.36,"271,959",29.60,13.60,...,...,...,11.42
Activision Blizzard,ATVI,67.25,68.52,67.10,68.28,1.72,2.58,"5,610,480",79.63,48.51,0.34,0.50,154.69,7.83
Acxiom,ACXM,24.59,25.44,24.59,25.24,0.65,2.64,"855,716",32.93,18.60,...,...,210.33,-8.42
Adamas Pharmaceuticals,ADMS,24.43,25.48,24.41,25.01,0.64,2.63,"434,041",44.00,13.50,...,...,...,-26.20
Adaptimmune Therapeutics ADR,ADAP,12.42,12.48,12.02,12.34,-0.02,-0.16,"319,375",13.41,4.28,...,...,...,84.73
Addus HomeCare,ADUS,54.10,55.40,52.60,53.05,-0.70,-1.30,"66,173",55.40,30.95,...,...,45.34,52.44
ADDvantage Technologies Group,AEY,1.23,1.29,1.21,1.23,...,...,"53,337",2.33,1.21,...,...,...,-16.33
Adobe Systems,ADBE,228.56,232.21,228.07,231.16,4.64,2.05,"2,826,245",232.21,129.48,...,...,61.48,31.91
Adtran,ADTN,15.60,16.25,15.57,16.05,0.50,3.22,"576,263",25.10,14.80,0.36,2.24,32.10,-17.05
Aduro Biotech,ADRO,7.60,7.65,7.28,7.45,-0.05,-0.67,"275,732",14.05,5.83,...,...,...,-0.67
Advanced Emissions Solutions,ADES,11.07,11.16,11.02,11.04,0.01,0.09,"112,906",12.20,7.00,1.00,9.06,8.56,14.29
Advanced Energy Industries,AEIS,68.00,68.94,67.31,68.42,1.17,1.74,"333,115",95.00,60.06,...,...,20.06,1.39
Advaxis,ADXS,1.79,1.81,1.68,1.70,-0.06,-3.41,"438,966",9.55,1.51,...,...,...,-40.14
Adverum Biotechnologies,ADVM,6.35,6.80,6.35,6.70,0.35,5.51,"475,634",8.59,2.40,...,...,...,91.43
Aegion,AEGN,24.17,24.20,23.59,24.01,0.10,0.42,"139,260",28.19,19.11,...,...,...,-5.58
Aeglea BioTherapeutics,AGLE,9.11,9.89,9.07,9.42,0.41,4.55,"79,686",11.35,2.81,...,...,...,74.12
Aemetis,AMTX,1.71,1.85,1.71,1.80,0.09,5.26,"218,043",3.12,0.45,...,...,...,227.27
Aerie Pharmaceuticals,AERI,53.50,55.25,52.95,55.15,2.05,3.86,"280,732",66.60,38.14,...,...,...,-7.70
AeroVironment,AVAV,56.91,58.06,56.87,57.23,0.50,0.88,"231,294",58.99,27.76,...,...,42.08,1.91
Aevi Genomic Medicine,GNMX,1.56,1.65,1.55,1.55,...,0.11,"142,048",2.65,0.98,...,...,...,29.17
Affimed,AFMD,2.10,2.15,2.05,2.15,0.02,1.18,"138,448",2.85,1.15,...,...,...,65.38
Agile Therapeutics,AGRX,2.90,2.97,2.83,2.86,-0.05,-1.72,"54,709",5.60,1.93,...,...,...,6.32
Agilysys,AGYS,12.26,12.40,12.23,12.35,0.16,1.31,"21,256",13.00,9.08,...,...,...,0.57
Agios Pharmaceuticals,AGIO,86.73,88.72,86.02,86.86,0.84,0.98,"345,656",89.33,45.11,...,...,...,51.93
AGNC Investment,AGNC,18.78,18.81,18.70,18.78,0.04,0.21,"2,458,041",22.34,17.84,2.16,11.50,9.58,-6.98
AgroFresh Solutions,AGFS,7.36,7.41,7.24,7.34,-0.01,-0.14,"167,163",9.05,4.75,...,...,15.62,-0.81
AgroFresh Solutions WT,AGFSW,0.48,0.48,0.48,0.48,-0.02,-4.00,"1,000",1.25,0.13,...,...,...,17.07
Aileron Therapeutics,ALRN,6.98,7.05,6.93,6.99,0.03,0.43,"17,012",15.48,6.12,...,...,...,-33.68
Aimmune Therapeutics,AIMT,31.10,32.95,30.77,32.06,1.05,3.39,"803,649",42.00,15.97,...,...,...,-15.23
AirMedia Group ADR,AMCN,0.76,0.77,0.73,0.75,...,0.43,"120,666",3.00,0.68,...,...,...,-34.50
Air Transport Services Group,ATSG,22.27,22.27,21.14,21.39,-0.74,-3.34,"1,077,408",27.67,16.41,...,...,551.29,-7.56
Akamai Technologies,AKAM,71.99,72.77,71.75,72.49,0.85,1.19,"837,829",78.28,44.65,...,...,57.99,11.45
Akcea Therapeutics,AKCA,22.47,24.25,22.12,23.93,1.56,6.97,"163,437",33.99,8.10,...,...,...,37.85
Akebia Therapeutics,AKBA,9.99,9.99,9.76,9.85,-0.10,-1.01,"250,863",20.25,9.00,...,...,...,-33.76
