Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.20,22.45,22.15,22.45,0.15,0.67,"11,931",27.00,16.15,0.24,1.07,24.14,22.68
1st Source,SRCE,55.92,57.29,55.81,56.67,0.74,1.32,"19,706",59.33,44.59,1.00,1.76,19.41,14.60
2U,TWOU,72.29,74.72,72.29,74.40,2.27,3.15,"872,585",98.58,47.20,...,...,...,15.33
21st Century Fox Cl A,FOXA,45.48,45.81,45.33,45.48,0.16,0.35,"6,011,090",50.15,24.81,0.36,0.79,21.29,31.71
21st Century Fox Cl B,FOX,44.86,45.23,44.77,44.97,0.26,0.58,"3,620,716",49.65,24.30,0.36,0.80,21.05,31.80
21Vianet Group ADR,VNET,9.04,9.62,9.00,9.31,0.37,4.14,"481,492",11.54,4.18,...,...,...,16.67
51job ADR,JOBS,72.01,72.97,69.82,70.08,-2.41,-3.32,"270,154",114.62,55.73,...,...,...,15.17
1347 Property Insurance Holdings,PIH,7.30,7.45,7.30,7.45,0.05,0.69,"2,854",8.25,6.55,...,...,23.27,2.73
1-800-FLOWERS.COM Cl A,FLWS,14.80,15.00,14.50,14.60,-0.05,-0.34,"147,460",15.00,7.80,...,...,17.18,36.45
AAON,AAON,39.15,39.95,39.00,39.75,0.75,1.92,"65,881",40.25,29.05,0.32,0.81,45.17,8.31
Abiomed,ABMD,368.42,372.37,361.87,371.25,3.25,0.88,"412,289",450.93,144.01,...,...,103.70,98.10
Acacia Communications,ACIA,39.00,39.58,38.67,39.08,-0.15,-0.38,"659,307",50.10,24.72,...,...,...,7.87
Acacia Research - Acacia Technologies,ACTG,3.90,3.90,3.75,3.85,-0.05,-1.28,"187,772",5.50,2.90,0.50,12.99,...,-4.94
Acadia Healthcare,ACHC,38.65,39.18,38.50,38.88,0.33,0.86,"644,420",52.83,26.92,...,...,15.13,19.15
ACADIA Pharmaceuticals,ACAD,14.51,14.79,14.27,14.33,0.04,0.28,"1,815,823",41.20,12.77,...,...,...,-52.41
Acceleron Pharma,XLRN,47.51,48.89,47.48,47.62,...,...,"197,059",50.00,32.46,...,...,...,12.21
Access National,ANCX,27.68,27.97,27.64,27.75,0.11,0.40,"30,130",30.99,24.36,0.64,2.31,21.18,-0.32
Accuray,ARAY,3.75,3.85,3.55,3.63,-0.13,-3.33,"381,001",6.15,3.55,...,...,...,-15.70
AcelRx Pharmaceuticals,ACRX,3.10,3.12,3.00,3.05,...,...,"172,193",5.75,1.55,...,...,...,50.62
Aceto,ACET,3.18,3.28,3.15,3.22,0.04,1.26,"162,524",16.51,2.22,0.04,1.24,...,-68.83
Achaogen,AKAO,5.85,5.98,5.48,5.65,-0.17,-2.92,"586,880",19.74,5.11,...,...,...,-47.39
Achillion Pharmaceuticals,ACHN,2.68,2.70,2.60,2.64,-0.03,-1.12,"559,700",5.19,2.33,...,...,...,-8.33
AC Immune,ACIU,9.14,9.21,8.91,9.02,-0.08,-0.88,"64,854",17.40,6.94,...,...,...,-29.53
ACI Worldwide,ACIW,27.22,27.40,27.16,27.22,...,...,"746,578",28.00,20.23,...,...,2722.00,20.07
Aclaris Therapeutics,ACRS,17.11,17.22,16.24,16.27,-0.85,-4.96,"126,343",28.93,16.01,...,...,...,-34.02
ACM Research Cl A,ACMR,13.73,13.89,12.91,13.36,-0.39,-2.84,"52,175",15.60,4.74,...,...,222.67,154.48
Acorda Therapeutics,ACOR,28.45,29.10,27.95,28.45,0.70,2.52,"336,546",36.35,16.55,...,...,...,32.63
Activision Blizzard,ATVI,71.05,71.74,70.18,71.29,0.77,1.09,"4,790,022",81.64,57.29,0.34,0.48,161.51,12.59
Acxiom,ACXM,43.31,44.07,43.31,44.05,0.87,2.01,"466,213",45.72,18.60,...,...,169.42,59.83
Adamas Pharmaceuticals,ADMS,23.05,23.71,22.88,23.41,...,...,"261,318",44.00,13.50,...,...,...,-30.92
Adaptimmune Therapeutics ADR,ADAP,8.60,8.73,8.38,8.43,-0.20,-2.32,"240,529",14.63,4.84,...,...,...,26.20
Addus HomeCare,ADUS,62.85,63.25,60.67,62.40,-2.30,-3.55,"204,980",71.78,30.95,...,...,46.22,79.31
ADDvantage Technologies Group,AEY,1.40,1.40,1.32,1.39,-0.07,-4.69,"46,748",2.33,1.21,...,...,...,-5.44
Adobe Systems,ADBE,254.38,256.25,252.09,256.05,2.51,0.99,"1,754,410",263.83,143.95,...,...,59.00,46.11
Adtran,ADTN,16.10,16.25,16.00,16.20,0.10,0.62,"147,712",25.10,13.95,0.36,2.22,...,-16.28
Aduro Biotech,ADRO,5.50,5.70,5.30,5.40,-0.10,-1.82,"305,911",12.35,5.10,...,...,...,-28.00
Advanced Emissions Solutions,ADES,11.26,11.36,11.18,11.29,0.06,0.53,"56,769",12.20,7.00,1.00,8.86,6.53,16.87
Advanced Energy Industries,AEIS,59.86,60.71,59.86,60.04,0.47,0.79,"415,625",95.00,56.22,...,...,16.36,-11.03
Advaxis,ADXS,1.47,1.52,1.46,1.51,0.03,2.03,"268,350",7.45,1.15,...,...,...,-46.83
Adverum Biotechnologies,ADVM,5.30,5.35,5.15,5.25,-0.05,-0.94,"254,330",8.59,2.40,...,...,...,50.00
Aegion,AEGN,24.50,24.91,24.50,24.89,0.47,1.92,"94,718",28.19,19.81,...,...,...,-2.12
Aeglea BioTherapeutics,AGLE,9.63,9.82,9.10,9.16,-0.44,-4.58,"160,465",12.00,2.81,...,...,...,69.32
Aemetis,AMTX,1.31,1.31,1.23,1.26,-0.04,-3.08,"15,927",3.12,0.45,...,...,...,129.09
Aerie Pharmaceuticals,AERI,64.35,65.90,64.28,65.75,1.60,2.49,"310,843",74.75,47.05,...,...,...,10.04
AeroVironment,AVAV,81.07,82.90,80.82,82.47,1.91,2.37,"207,809",82.90,37.01,...,...,99.36,46.85
Aevi Genomic Medicine,GNMX,1.00,1.00,0.95,0.96,-0.02,-2.04,"64,117",2.65,0.83,...,...,...,-20.00
Affimed,AFMD,1.55,1.60,1.40,1.45,-0.10,-6.45,"206,560",2.85,1.15,...,...,...,11.54
Agile Therapeutics,AGRX,0.26,0.27,0.25,0.27,0.02,6.48,"370,416",5.40,0.23,...,...,...,-90.10
Agilysys,AGYS,15.85,16.08,15.75,15.95,0.11,0.69,"86,296",16.80,10.00,...,...,...,29.89
Agios Pharmaceuticals,AGIO,77.93,79.48,77.47,78.03,0.66,0.85,"485,210",99.82,51.62,...,...,...,36.49
AGNC Investment,AGNC,19.00,19.09,18.91,18.93,-0.10,-0.53,"4,509,996",21.94,17.84,2.16,11.41,5.47,-6.24
AgroFresh Solutions,AGFS,6.05,6.21,6.05,6.11,0.10,1.58,"106,479",8.75,4.94,...,...,...,-17.43
AgroFresh Solutions WT,AGFSW,0.16,0.16,0.13,0.16,0.03,27.05,"48,722",0.77,0.05,...,...,...,-62.20
Aileron Therapeutics,ALRN,2.27,2.34,2.14,2.24,-0.01,-0.44,"46,478",15.48,2.14,...,...,...,-78.75
Aimmune Therapeutics,AIMT,28.39,29.08,28.08,28.28,-0.06,-0.21,"268,742",42.00,18.74,...,...,...,-25.22
AirMedia Group ADR,AMCN,0.43,0.46,0.38,0.43,-0.04,-7.76,"165,684",2.87,0.38,...,...,...,-62.78
Air Transport Services Group,ATSG,20.24,20.55,20.09,20.12,...,...,"310,374",27.67,19.17,...,...,15.49,-13.05
Akamai Technologies,AKAM,72.24,72.79,71.75,72.20,0.20,0.28,"1,921,985",83.08,44.65,...,...,70.78,11.01
Akcea Therapeutics,AKCA,36.11,38.00,36.11,37.36,1.40,3.89,"155,985",40.75,13.75,...,...,...,115.21
Akebia Therapeutics,AKBA,8.30,8.43,7.76,7.83,0.01,0.13,"821,023",20.25,7.69,...,...,...,-47.34
Akorn,AKRX,18.83,19.02,18.64,18.99,0.27,1.44,"936,390",33.63,10.76,...,...,...,-41.08
Alarm.Com Holdings,ALRM,51.00,51.71,50.36,50.64,-0.06,-0.12,"355,014",52.60,33.39,...,...,67.52,34.15
Alaska Communications Systems Group,ALSK,1.72,1.74,1.70,1.73,0.01,0.58,"72,800",2.91,1.39,...,...,34.60,-35.45
