Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.19,20.29,19.87,19.90,-0.31,-1.53,"6,635",27.00,16.15,0.30,1.51,18.22,8.74
1st Source,SRCE,48.02,49.59,45.67,45.79,-2.48,-5.14,"48,860",59.33,39.93,1.00,2.18,15.16,-7.40
2U,TWOU,56.94,58.30,55.78,56.76,-0.59,-1.03,"1,140,926",98.58,47.83,...,...,...,-12.01
21st Century Fox Cl A,FOXA,49.69,49.73,48.90,49.12,-0.54,-1.09,"14,947,345",50.15,32.35,0.36,0.73,18.68,42.25
21st Century Fox Cl B,FOX,49.33,49.41,48.77,48.92,-0.47,-0.95,"5,127,073",49.65,32.02,0.36,0.74,18.60,43.38
21Vianet Group ADR,VNET,9.89,9.91,9.45,9.48,-0.50,-5.01,"282,132",11.98,5.01,...,...,10.01,18.80
51job ADR,JOBS,71.79,72.05,67.97,68.43,-3.88,-5.37,"299,435",114.62,52.15,...,...,49.58,12.46
111 ADR,YI,9.35,9.35,7.17,7.17,-2.38,-24.96,"59,658",16.83,7.17,...,...,...,...
1347 Property Insurance Holdings,PIH,5.03,5.03,4.85,4.99,-0.01,-0.20,"2,122",8.25,4.77,...,...,56.19,-31.17
1-800-FLOWERS.COM Cl A,FLWS,12.61,12.68,12.14,12.29,-0.31,-2.46,"289,267",15.00,9.76,...,...,23.07,14.86
AAON,AAON,38.75,38.79,36.14,36.29,-2.50,-6.44,"177,745",44.90,29.05,0.32,0.88,41.83,-1.12
Abiomed,ABMD,340.83,343.20,321.90,327.18,-16.27,-4.74,"580,989",459.75,186.72,...,...,91.39,74.58
Acacia Communications,ACIA,43.30,44.28,42.66,42.74,-0.93,-2.13,"456,058",47.26,24.72,...,...,...,17.97
Acacia Research - Acacia Technologies,ACTG,3.18,3.18,2.96,2.99,-0.19,-5.97,"87,852",4.45,2.85,0.50,16.72,...,-26.17
Acadia Healthcare,ACHC,33.94,34.27,33.03,33.10,-0.79,-2.33,"926,253",45.35,28.02,...,...,12.84,1.44
ACADIA Pharmaceuticals,ACAD,20.22,20.79,18.75,18.82,-1.48,-7.29,"2,266,192",32.99,12.77,...,...,...,-37.50
Acceleron Pharma,XLRN,53.54,54.90,48.85,48.94,-4.91,-9.12,"528,041",59.59,32.53,...,...,...,15.32
Access National,ANCX,26.16,26.16,24.49,24.59,-1.64,-6.25,"75,402",30.40,23.95,0.68,2.77,17.21,-11.67
Accuray,ARAY,4.00,4.04,3.82,3.97,-0.03,-0.75,"722,060",6.15,3.20,...,...,...,-7.67
AcelRx Pharmaceuticals,ACRX,3.27,3.28,3.16,3.21,-0.05,-1.53,"1,182,107",5.05,1.65,...,...,...,58.52
Aceto,ACET,1.60,1.62,1.50,1.53,-0.07,-4.38,"207,247",11.98,1.50,0.04,2.61,...,-85.19
Achaogen,AKAO,1.63,1.66,1.50,1.51,-0.15,-9.04,"791,445",15.00,1.50,...,...,...,-85.94
Achillion Pharmaceuticals,ACHN,3.13,3.18,3.00,3.01,-0.11,-3.53,"1,308,709",4.34,2.33,...,...,...,4.51
AC Immune,ACIU,11.18,11.44,10.72,10.91,-0.39,-3.45,"50,607",17.40,7.16,...,...,...,-14.77
ACI Worldwide,ACIW,29.41,29.41,28.02,28.25,-1.19,-4.04,"695,567",30.25,20.23,...,...,248.90,24.61
Aclaris Therapeutics,ACRS,9.46,9.52,8.68,8.79,-0.68,-7.18,"497,519",26.25,8.23,...,...,...,-64.36
ACM Research Cl A,ACMR,11.03,11.10,10.32,10.47,-0.56,-5.12,"28,212",15.60,4.74,...,...,23.68,99.43
Acorda Therapeutics,ACOR,20.60,20.93,18.30,18.55,-2.23,-10.73,"786,264",36.35,15.60,...,...,...,-13.52
Activision Blizzard,ATVI,46.66,48.40,46.34,46.52,-0.08,-0.17,"22,303,109",84.68,46.34,0.34,0.73,105.39,-26.53
Adamas Pharmaceuticals,ADMS,11.00,11.01,10.09,10.14,-0.93,-8.40,"566,560",44.00,9.69,...,...,...,-70.08
Adaptimmune Therapeutics ADR,ADAP,6.23,6.42,5.63,5.96,-0.29,-4.64,"828,465",14.63,4.91,...,...,...,-10.78
Addus HomeCare,ADUS,76.23,77.65,75.21,76.34,-0.09,-0.12,"215,521",77.82,31.20,...,...,56.88,119.37
ADDvantage Technologies Group,AEY,1.33,1.60,1.25,1.35,0.02,1.50,"153,407",2.33,1.21,...,...,...,-8.16
Adobe,ADBE,253.22,254.71,244.98,245.82,-9.44,-3.70,"3,726,528",277.61,165.68,...,...,50.79,40.28
Adtran,ADTN,12.76,12.82,12.12,12.54,-0.24,-1.88,"294,359",23.05,11.93,0.36,2.87,...,-35.19
Aduro Biotech,ADRO,2.52,2.97,2.50,2.57,0.07,2.80,"1,648,175",9.93,2.47,...,...,...,-65.73
Advanced Emissions Solutions,ADES,10.52,10.76,10.40,10.46,-0.31,-2.88,"81,676",12.37,7.00,1.00,9.56,6.05,8.28
Advanced Energy Industries,AEIS,46.80,47.18,44.33,44.73,-2.27,-4.83,"275,163",77.99,40.43,...,...,18.11,-33.71
Advanced Micro Devices,AMD,23.35,23.42,21.07,21.12,-2.59,-10.92,"126,252,007",34.14,9.04,...,...,62.12,105.45
Advaxis,ADXS,0.44,0.44,0.41,0.41,-0.03,-5.99,"236,595",3.58,0.39,...,...,...,-85.48
Adverum Biotechnologies,ADVM,3.76,3.86,3.62,3.65,-0.11,-2.93,"328,700",8.59,2.62,...,...,...,4.29
Aegion,AEGN,18.85,18.90,17.57,17.59,-1.25,-6.63,"188,103",27.49,17.57,...,...,...,-30.83
Aeglea BioTherapeutics,AGLE,8.37,8.82,8.07,8.11,-0.36,-4.25,"124,274",12.00,4.57,...,...,...,49.91
Aemetis,AMTX,0.77,0.78,0.75,0.75,-0.03,-3.42,"13,054",3.12,0.45,...,...,...,36.62
Aerie Pharmaceuticals,AERI,41.42,42.36,40.54,40.87,-0.68,-1.64,"597,773",74.75,38.50,...,...,...,-31.60
AeroVironment,AVAV,73.32,73.94,70.59,71.08,-2.23,-3.04,"365,226",121.32,41.60,...,...,40.21,26.57
Aevi Genomic Medicine,GNMX,1.06,1.12,1.06,1.10,0.02,1.85,"43,811",2.65,0.83,...,...,...,-8.33
Affimed,AFMD,4.55,4.68,4.26,4.35,-0.32,-6.85,"917,667",7.35,1.15,...,...,...,234.62
Agile Therapeutics,AGRX,0.86,0.87,0.78,0.81,-0.03,-2.98,"410,073",5.18,0.23,...,...,...,-69.70
Agilysys,AGYS,16.48,16.61,15.80,15.87,-0.62,-3.76,"45,001",17.52,10.77,...,...,...,29.23
Agios Pharmaceuticals,AGIO,57.00,60.50,53.42,54.05,-2.76,-4.86,"1,274,253",99.82,51.62,...,...,...,-5.46
AGNC Investment,AGNC,17.83,17.94,17.59,17.64,-0.16,-0.90,"4,907,444",20.84,17.26,2.16,12.24,5.57,-12.63
AgroFresh Solutions,AGFS,4.21,4.33,4.21,4.21,-0.04,-0.94,"218,572",8.75,3.88,...,...,...,-43.11
AgroFresh Solutions WT,AGFSW,0.19,0.19,0.10,0.12,-0.01,-7.69,"32,092",0.77,0.05,...,...,...,-70.73
Aileron Therapeutics,ALRN,2.20,2.20,2.00,2.06,-0.17,-7.62,"53,289",11.35,1.75,...,...,...,-80.46
Aimmune Therapeutics,AIMT,23.75,24.23,22.23,22.39,-1.47,-6.16,"850,316",42.00,22.23,...,...,...,-40.80
Air Transport Services Group,ATSG,18.62,18.62,17.55,17.82,-0.82,-4.40,"595,645",27.67,17.55,...,...,8.50,-22.99
Akamai Technologies,AKAM,69.91,70.31,68.14,68.71,-1.53,-2.18,"1,792,632",83.08,55.51,...,...,52.45,5.64
Akcea Therapeutics,AKCA,34.08,34.21,31.32,32.00,-2.05,-6.02,"279,805",40.75,15.23,...,...,...,84.33
Akebia Therapeutics,AKBA,8.35,8.75,8.18,8.32,-0.11,-1.30,"2,242,050",16.03,6.68,...,...,...,-44.05
Akorn,AKRX,6.83,6.93,6.40,6.48,-0.35,-5.12,"3,443,400",33.63,5.25,...,...,...,-79.89
Alarm.Com Holdings,ALRM,50.77,52.48,50.74,50.90,-0.38,-0.74,"609,375",60.20,33.39,...,...,181.79,34.83
Alaska Communications Systems Group,ALSK,1.52,1.54,1.48,1.52,-0.01,-0.65,"45,856",2.91,1.37,...,...,20.65,-43.28
Alder BioPharmaceuticals,ALDR,13.86,14.12,13.16,13.26,-0.77,-5.49,"573,113",20.87,10.20,...,...,...,15.81
Alexion Pharmaceuticals,ALXN,125.66,129.36,122.00,122.30,-3.17,-2.53,"1,816,236",140.77,102.10,...,...,185.30,2.27
Alico,ALCO,33.12,33.12,32.36,32.53,-0.66,-1.99,"3,307",34.65,25.55,0.24,0.74,...,10.27
Align Technology,ALGN,234.22,234.36,218.31,220.95,-14.75,-6.26,"1,498,361",398.88,188.57,...,...,57.54,-0.56
Alimera Sciences,ALIM,1.03,1.04,1.00,1.01,-0.02,-1.94,"215,862",1.38,0.74,...,...,8.17,-24.06
ALJ Regional Holdings,ALJJ,1.85,1.85,1.62,1.62,-0.15,-8.47,"19,722",3.74,1.42,...,...,11.57,-48.57
Alkermes,ALKS,36.43,37.31,35.03,35.11,-1.29,-3.54,"1,389,928",71.22,32.61,...,...,...,-35.85
Allakos,ALLK,59.68,62.32,58.99,59.17,-0.74,-1.24,"101,957",62.32,26.00,...,...,...,...
Allegiance Bancshares,ABTX,37.21,37.21,35.16,35.25,-2.11,-5.65,"92,497",46.85,33.05,...,...,17.54,-6.37
Allegiant Travel,ALGT,132.72,135.00,125.93,126.51,-7.17,-5.36,"180,923",181.45,105.21,2.80,2.21,10.05,-18.25
Allena Pharmaceuticals,ALNA,9.29,9.50,8.93,9.20,-0.25,-2.65,"19,404",17.56,6.13,...,...,...,-8.55
Alliance Resource Partners,ARLP,19.64,19.75,19.48,19.48,-0.15,-0.76,"768,820",21.90,15.55,2.10,10.78,6.71,-1.12
Allied Motion Technologies,AMOT,46.99,47.26,44.34,44.61,-2.64,-5.59,"55,864",55.47,28.08,0.12,0.27,31.23,34.81
Allogene Therapeutics,ALLO,31.78,33.96,29.95,30.45,-1.24,-3.91,"670,374",35.55,21.67,...,...,...,...
Allot Communications,ALLT,6.83,6.83,6.68,6.70,-0.13,-1.90,"84,097",7.32,4.74,...,...,...,25.70
Allscripts Healthcare Solutions,MDRX,10.39,10.49,9.76,9.82,-0.58,-5.58,"1,227,670",16.13,9.41,...,...,...,-32.51
Alnylam Pharmaceuticals,ALNY,83.74,85.55,78.14,78.35,-5.94,-7.05,"785,867",153.99,63.57,...,...,...,-38.33
Alphabet Cl A,GOOGL,1112.99,1114.24,1060.78,1062.47,-53.89,-4.83,"2,150,864",1291.44,984.00,...,...,39.97,0.86
