Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.46,19.66,19.41,19.66,0.19,0.98,"3,839",27.00,16.15,0.30,1.53,18.00,-1.35
1st Source,SRCE,43.64,43.88,42.80,43.60,0.23,0.53,"43,297",59.33,38.44,1.00,2.29,14.44,8.08
2U,TWOU,53.83,54.36,52.82,53.97,0.67,1.26,"577,272",98.58,44.50,...,...,...,8.55
21st Century Fox Cl A,FOXA,48.50,48.71,48.33,48.61,0.43,0.89,"6,599,578",50.15,34.12,0.36,0.74,18.48,1.02
21st Century Fox Cl B,FOX,48.09,48.45,48.07,48.36,0.42,0.88,"2,875,312",49.65,33.75,0.36,0.74,18.39,1.21
21Vianet Group ADR,VNET,8.93,9.40,8.86,9.40,0.54,6.09,"192,771",11.98,5.01,...,...,9.92,8.80
51job ADR,JOBS,63.78,63.97,61.54,63.51,0.06,0.09,"170,322",114.62,52.15,...,...,46.02,1.71
111 ADR,YI,7.00,9.76,6.90,9.55,2.55,36.43,"60,197",16.83,5.95,...,...,...,55.54
360 Finance ADR,QFIN,13.74,14.20,13.03,13.18,-0.61,-4.39,"59,193",17.53,13.03,...,...,...,-15.00
1-800-FLOWERS.COM Cl A,FLWS,12.84,13.08,12.67,12.96,0.27,2.13,"183,800",15.00,9.76,...,...,24.32,5.97
AAON,AAON,36.55,36.91,35.89,36.33,0.18,0.50,"136,573",44.90,29.05,0.32,0.88,41.76,3.62
Abiomed,ABMD,318.45,323.10,312.22,318.42,3.62,1.15,"542,559",459.75,206.54,...,...,77.13,-2.04
Acacia Communications,ACIA,39.70,41.77,39.23,41.66,2.49,6.36,"679,512",47.26,24.72,...,...,...,9.63
Acacia Research - Acacia Technologies,ACTG,3.07,3.18,3.01,3.14,0.07,2.28,"132,735",4.40,2.75,0.50,15.92,...,5.37
Acadia Healthcare,ACHC,26.61,27.03,26.19,26.99,0.69,2.62,"680,230",45.35,24.27,...,...,10.47,4.98
ACADIA Pharmaceuticals,ACAD,18.41,18.54,17.60,18.54,0.31,1.70,"1,647,916",32.99,12.77,...,...,...,14.66
Acceleron Pharma,XLRN,45.05,46.44,43.69,46.30,1.28,2.84,"420,050",59.59,32.53,...,...,...,6.31
Access National,ANCX,23.81,23.97,23.47,23.93,0.28,1.18,"89,268",30.40,20.34,0.68,2.84,16.74,12.19
Accuray,ARAY,3.59,3.67,3.54,3.62,0.07,1.97,"303,480",6.15,3.17,...,...,...,6.16
AcelRx Pharmaceuticals,ACRX,2.89,2.90,2.70,2.74,-0.10,-3.52,"1,327,664",5.05,1.65,...,...,...,18.61
Aceto,ACET,1.13,1.35,1.13,1.21,0.10,9.01,"444,104",11.98,0.79,0.04,3.31,...,44.05
Achaogen,AKAO,1.71,1.71,1.36,1.48,-0.21,-12.43,"1,760,834",15.00,1.14,...,...,...,20.33
Achillion Pharmaceuticals,ACHN,2.05,2.08,1.91,2.01,0.02,1.01,"2,940,454",4.34,1.29,...,...,...,26.42
AC Immune,ACIU,10.68,10.99,10.42,10.71,0.21,2.00,"505,607",17.40,7.16,...,...,...,13.33
ACI Worldwide,ACIW,26.81,27.43,26.53,27.39,0.88,3.32,"659,043",30.25,20.23,...,...,237.14,-1.01
Aclaris Therapeutics,ACRS,7.88,8.19,7.66,7.71,-0.13,-1.66,"347,702",26.25,6.15,...,...,...,4.33
ACM Research Cl A,ACMR,10.80,10.80,10.43,10.73,-0.02,-0.19,"11,791",15.60,4.74,...,...,24.27,-1.38
Acorda Therapeutics,ACOR,16.78,16.88,15.94,16.18,-0.32,-1.94,"1,214,663",36.35,12.86,...,...,...,3.85
Activision Blizzard,ATVI,49.07,51.10,49.00,49.97,1.47,3.03,"12,228,107",84.68,43.71,0.34,0.68,113.21,7.30
Adamas Pharmaceuticals,ADMS,9.78,9.91,9.41,9.56,-0.06,-0.62,"372,779",44.00,7.42,...,...,...,11.94
Adaptimmune Therapeutics ADR,ADAP,6.22,6.31,5.69,5.80,-0.26,-4.29,"357,390",14.63,3.60,...,...,...,0.87
Addus HomeCare,ADUS,68.06,69.02,65.27,65.93,-1.41,-2.09,"179,621",77.82,33.25,...,...,49.29,-2.87
ADDvantage Technologies Group,AEY,1.40,1.45,1.40,1.44,0.04,2.86,"4,158",1.83,1.21,...,...,...,0.35
Adobe,ADBE,232.65,233.77,228.33,232.68,3.42,1.49,"3,484,280",277.61,179.34,...,...,44.66,2.85
Adtran,ADTN,11.61,11.87,11.49,11.83,0.29,2.51,"486,392",20.45,10.21,0.36,3.04,...,10.15
Aduro Biotech,ADRO,3.09,3.14,2.95,2.98,-0.07,-2.30,"1,350,172",9.93,2.34,...,...,...,12.88
Advanced Emissions Solutions,ADES,10.88,10.94,10.40,10.73,-0.12,-1.11,"65,685",12.37,7.00,1.00,9.32,6.20,1.71
Advanced Energy Industries,AEIS,44.34,44.34,42.34,42.97,-1.07,-2.43,"214,738",77.99,38.74,...,...,17.40,0.09
Advanced Micro Devices,AMD,21.19,21.20,19.68,20.75,0.18,0.88,"116,885,584",34.14,9.04,...,...,61.03,12.41
Advaxis,ADXS,0.41,0.42,0.33,0.35,-0.06,-15.11,"2,305,984",3.29,0.18,...,...,...,84.26
Adverum Biotechnologies,ADVM,3.58,3.58,3.32,3.51,-0.03,-0.85,"195,516",8.59,2.62,...,...,...,11.43
Aegion,AEGN,17.63,17.86,17.41,17.70,0.07,0.40,"126,401",26.80,15.12,...,...,...,8.46
Aeglea BioTherapeutics,AGLE,8.48,8.55,8.14,8.43,0.06,0.72,"118,404",12.00,5.07,...,...,...,12.55
Aemetis,AMTX,0.67,0.72,0.67,0.70,0.03,4.31,"27,053",3.12,0.42,...,...,...,15.42
Aerie Pharmaceuticals,AERI,40.65,41.62,39.37,39.69,-0.68,-1.68,"417,325",74.75,32.18,...,...,...,9.94
AeroVironment,AVAV,70.35,73.27,70.19,72.95,3.36,4.83,"215,603",121.32,41.60,...,...,41.27,7.36
Aevi Genomic Medicine,GNMX,0.26,0.27,0.22,0.23,-0.02,-7.18,"6,588,425",2.65,0.17,...,...,...,-67.84
Affimed,AFMD,3.45,3.52,3.37,3.50,0.09,2.64,"213,077",7.35,1.25,...,...,...,12.54
Agilysys,AGYS,14.69,15.12,14.63,14.86,0.29,1.99,"32,020",17.52,10.77,...,...,...,3.63
Agios Pharmaceuticals,AGIO,51.51,54.30,50.18,53.00,2.00,3.92,"756,160",99.82,41.63,...,...,...,14.94
AGNC Investment,AGNC,17.86,17.93,17.80,17.80,-0.13,-0.73,"6,398,698",19.95,16.96,2.16,12.13,5.62,1.48
AgroFresh Solutions,AGFS,4.04,4.12,3.96,4.05,0.01,0.25,"128,904",8.75,3.51,...,...,...,6.86
AgroFresh Solutions WT,AGFSW,0.18,0.18,0.18,0.18,0.04,30.79,"155",0.77,0.05,...,...,...,15.64
Aileron Therapeutics,ALRN,1.10,1.24,1.09,1.24,0.16,14.81,"45,746",10.65,0.52,...,...,...,47.62
Aimmune Therapeutics,AIMT,25.36,25.84,23.58,25.75,0.57,2.26,"855,231",42.00,21.38,...,...,...,7.65
Air Transport Services Group,ATSG,23.50,23.81,23.12,23.73,0.48,2.06,"645,451",27.67,17.06,...,...,11.31,4.03
