Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.45,22.30,21.35,22.25,0.90,4.22,"20,900",27.00,16.15,0.24,1.08,23.92,21.58
1st Source,SRCE,57.01,57.01,56.29,56.56,-0.44,-0.77,"24,402",59.33,44.59,1.00,1.77,19.37,14.38
2U,TWOU,74.95,76.28,71.40,75.66,0.22,0.29,"1,259,311",98.58,45.50,...,...,...,17.28
21st Century Fox Cl A,FOXA,45.30,45.40,44.91,45.00,-0.16,-0.35,"11,761,854",50.15,24.81,0.36,0.80,20.74,30.32
21st Century Fox Cl B,FOX,44.62,44.82,44.34,44.42,-0.11,-0.25,"5,592,365",49.65,24.30,0.36,0.81,20.47,30.19
21Vianet Group ADR,VNET,9.50,9.85,9.40,9.44,-0.08,-0.84,"505,044",11.54,4.17,...,...,...,18.30
51job ADR,JOBS,89.43,92.04,89.01,91.77,2.09,2.33,"222,851",114.62,48.86,...,...,...,50.81
1347 Property Insurance Holdings,PIH,7.15,7.16,7.15,7.15,0.02,0.27,"2,603",8.25,6.55,...,...,22.34,-1.38
1-800-FLOWERS.COM Cl A,FLWS,14.35,14.60,14.22,14.50,0.20,1.40,"329,848",14.99,7.80,...,...,17.06,35.51
AAON,AAON,36.90,37.80,36.78,37.75,1.10,3.00,"227,298",40.25,29.05,0.32,0.85,41.03,2.86
Abaxis,ABAX,83.11,83.24,83.00,83.00,-0.09,-0.11,"331,934",83.98,43.66,0.72,0.87,70.34,67.61
Abiomed,ABMD,358.40,363.96,344.11,354.53,-1.89,-0.53,"1,097,524",450.93,144.01,...,...,99.03,89.17
Acacia Communications,ACIA,31.75,32.58,31.75,32.14,0.36,1.13,"293,124",50.10,24.72,...,...,...,-11.29
Acacia Research - Acacia Technologies,ACTG,3.70,3.80,3.67,3.80,0.10,2.70,"97,114",5.50,2.90,0.50,13.16,82.97,-6.17
Acadia Healthcare,ACHC,38.26,40.15,36.50,39.48,-3.62,-8.40,"5,051,598",53.65,26.92,...,...,15.36,20.99
