Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.40,22.45,21.80,21.95,-0.35,-1.57,"17,488",27.00,16.15,0.24,1.09,23.35,19.95
1st Source,SRCE,55.18,55.63,54.63,55.26,0.12,0.22,"20,808",56.77,44.59,0.96,1.74,20.32,11.75
2U,TWOU,83.42,85.75,83.42,84.46,1.24,1.49,"635,842",98.58,44.69,...,...,...,30.93
21st Century Fox Cl A,FOXA,48.22,48.66,47.50,47.68,-0.46,-0.96,"23,393,343",49.24,24.81,0.36,0.76,21.97,38.08
21st Century Fox Cl B,FOX,47.88,48.26,47.22,47.42,-0.47,-0.98,"5,710,455",48.86,24.30,0.36,0.76,21.85,38.98
21Vianet Group ADR,VNET,8.47,8.73,8.47,8.66,0.18,2.12,"659,576",9.59,4.17,...,...,...,8.52
51job ADR,JOBS,103.08,105.26,101.73,103.86,-0.09,-0.09,"212,040",114.62,44.63,...,...,...,70.68
1347 Property Insurance Holdings,PIH,7.55,7.55,7.31,7.31,-0.04,-0.54,"993",8.25,6.55,...,...,22.84,0.83
1-800-FLOWERS.COM Cl A,FLWS,12.50,12.70,12.30,12.60,0.10,0.80,"193,303",13.32,7.80,...,...,14.82,17.76
AAON,AAON,32.95,33.35,32.45,33.15,0.30,0.91,"145,286",40.25,29.05,0.32,0.97,36.03,-9.67
Abaxis,ABAX,83.15,83.24,83.04,83.16,0.05,0.06,"128,266",83.98,43.66,0.72,0.87,70.47,67.93
Abiomed,ABMD,419.23,430.77,413.02,428.37,12.17,2.92,"824,203",450.93,139.49,...,...,174.84,128.57
Acacia Communications,ACIA,32.94,34.46,32.73,34.23,1.29,3.92,"429,220",50.10,24.72,...,...,...,-5.52
Acacia Research - Acacia Technologies,ACTG,4.30,4.30,4.20,4.25,-0.05,-1.16,"96,995",5.50,2.90,0.50,11.76,92.79,4.94
Acadia Healthcare,ACHC,42.73,43.62,42.63,43.39,0.73,1.71,"817,635",54.34,26.92,...,...,17.57,32.98
ACADIA Pharmaceuticals,ACAD,16.00,16.58,15.60,16.30,0.23,1.43,"2,792,863",41.20,14.51,...,...,...,-45.87
Acceleron Pharma,XLRN,35.84,36.03,34.50,35.59,-0.20,-0.56,"461,024",46.93,29.35,...,...,...,-16.14
Access National,ANCX,29.89,30.11,29.51,29.98,0.02,0.07,"57,289",30.99,24.36,0.60,2.00,28.02,7.69
Accuray,ARAY,3.90,4.10,3.88,4.05,0.20,5.19,"382,314",6.15,3.60,...,...,...,-5.81
AcelRx Pharmaceuticals,ACRX,3.85,3.91,3.80,3.85,-0.05,-1.28,"363,530",5.75,1.55,...,...,...,90.12
Aceto,ACET,3.92,3.99,3.72,3.79,-0.13,-3.32,"456,580",17.10,2.22,0.04,1.06,...,-63.31
Achaogen,AKAO,10.50,10.57,8.73,9.59,-2.43,-20.22,"8,495,036",25.22,8.73,...,...,...,-10.71
Achillion Pharmaceuticals,ACHN,2.83,2.87,2.75,2.81,-0.03,-1.06,"551,761",5.66,2.58,...,...,...,-2.43
AC Immune,ACIU,9.60,9.65,9.45,9.52,-0.08,-0.83,"22,054",13.91,6.03,...,...,...,-25.63
ACI Worldwide,ACIW,25.24,25.45,25.00,25.17,-0.03,-0.12,"545,899",27.16,20.23,...,...,...,11.03
Aclaris Therapeutics,ACRS,18.82,19.67,18.66,19.47,0.59,3.13,"200,717",30.08,16.01,...,...,...,-21.05
ACM Research Cl A,ACMR,12.04,12.23,11.68,11.93,-0.03,-0.25,"114,795",15.60,4.74,...,...,...,127.24
Acorda Therapeutics,ACOR,28.90,29.30,28.55,28.90,0.05,0.17,"266,217",36.35,16.55,...,...,...,34.73
Activision Blizzard,ATVI,75.32,76.42,74.43,75.27,0.57,0.76,"4,778,250",79.63,55.86,0.34,0.45,170.52,18.87
Acxiom,ACXM,29.43,29.82,29.03,29.77,0.37,1.26,"1,175,051",32.93,18.60,...,...,106.32,8.02
Adamas Pharmaceuticals,ADMS,24.71,25.73,24.06,25.37,1.03,4.23,"502,521",44.00,13.50,...,...,...,-25.14
Adaptimmune Therapeutics ADR,ADAP,12.86,12.94,12.07,12.61,-0.28,-2.17,"347,581",14.63,4.36,...,...,...,88.77
Addus HomeCare,ADUS,58.30,58.65,57.35,57.75,-0.75,-1.28,"87,340",61.25,30.95,...,...,47.34,65.95
ADDvantage Technologies Group,AEY,1.33,1.33,1.29,1.31,0.02,1.87,"1,902",2.33,1.21,...,...,...,-10.88
Adobe Systems,ADBE,240.67,244.23,239.66,242.25,2.57,1.07,"2,870,136",258.91,138.31,...,...,55.82,38.24
Adtran,ADTN,14.30,14.55,14.15,14.50,0.20,1.40,"203,893",25.10,13.95,0.36,2.48,103.57,-25.06
Aduro Biotech,ADRO,8.00,8.10,7.72,7.80,-0.25,-3.11,"247,246",14.05,5.83,...,...,...,4.00
Advanced Emissions Solutions,ADES,11.17,11.24,11.10,11.11,-0.05,-0.45,"50,593",12.20,7.00,1.00,9.00,8.75,15.01
Advanced Energy Industries,AEIS,59.76,60.98,59.76,60.37,1.38,2.34,"444,331",95.00,57.35,...,...,16.59,-10.54
Advaxis,ADXS,1.58,1.62,1.52,1.57,-0.01,-0.63,"466,117",7.45,1.51,...,...,...,-44.72
Adverum Biotechnologies,ADVM,6.05,6.15,5.85,6.10,0.10,1.67,"610,078",8.59,2.40,...,...,...,74.29
Aegion,AEGN,25.64,25.85,25.12,25.68,0.07,0.27,"89,071",28.19,19.11,...,...,...,0.98
Aeglea BioTherapeutics,AGLE,10.76,10.93,10.21,10.53,-0.09,-0.85,"289,450",12.00,2.81,...,...,...,94.64
Aemetis,AMTX,1.55,1.55,1.40,1.47,-0.08,-5.16,"18,994",3.12,0.45,...,...,...,167.27
Aerie Pharmaceuticals,AERI,67.70,69.30,67.58,68.05,-0.05,-0.07,"343,279",71.30,47.05,...,...,...,13.89
AeroVironment,AVAV,58.22,62.46,57.78,62.23,3.98,6.83,"664,137",62.46,30.05,...,...,45.76,10.81
Aevi Genomic Medicine,GNMX,1.19,1.22,1.14,1.16,-0.02,-1.69,"139,741",2.65,1.01,...,...,...,-3.33
Affimed,AFMD,1.65,1.70,1.65,1.68,0.03,1.52,"306,221",2.85,1.15,...,...,...,28.85
Agile Therapeutics,AGRX,0.54,0.57,0.54,0.56,0.02,2.88,"219,516",5.60,0.53,...,...,...,-79.17
Agilysys,AGYS,15.19,15.32,15.03,15.32,0.13,0.86,"45,683",15.62,9.80,...,...,...,24.76
Agios Pharmaceuticals,AGIO,92.94,93.00,87.28,87.62,-4.90,-5.30,"447,787",99.82,50.91,...,...,...,53.26
AGNC Investment,AGNC,18.90,18.94,18.80,18.81,-0.09,-0.48,"3,790,756",22.31,17.84,2.16,11.48,6.69,-6.84
AgroFresh Solutions,AGFS,7.21,7.25,7.07,7.16,-0.05,-0.69,"141,747",9.05,4.94,...,...,15.91,-3.24
AgroFresh Solutions WT,AGFSW,0.19,0.34,0.19,0.34,0.04,13.33,"2,100",1.25,0.05,...,...,...,-17.07
Aileron Therapeutics,ALRN,5.73,5.75,5.20,5.29,-0.44,-7.68,"24,831",15.48,4.90,...,...,...,-49.81
Aimmune Therapeutics,AIMT,27.52,28.24,26.92,27.93,0.34,1.23,"589,895",42.00,18.25,...,...,...,-26.15
AirMedia Group ADR,AMCN,0.64,0.65,0.63,0.64,-0.02,-3.77,"36,169",2.87,0.61,...,...,...,-44.77
Air Transport Services Group,ATSG,22.51,22.51,21.94,22.10,-0.36,-1.60,"302,652",27.67,19.17,...,...,123.60,-4.49
Akamai Technologies,AKAM,74.49,76.10,73.48,75.72,-1.93,-2.49,"4,050,228",83.08,44.65,...,...,68.84,16.42
Akcea Therapeutics,AKCA,26.35,26.89,25.46,25.59,-0.78,-2.96,"80,141",33.99,8.10,...,...,...,47.41
Akebia Therapeutics,AKBA,10.76,11.31,10.54,10.79,0.09,0.84,"375,184",20.25,8.93,...,...,...,-27.44
Akorn,AKRX,15.73,16.07,15.46,16.00,0.35,2.24,"1,383,339",33.73,10.76,...,...,...,-50.36
Alarm.Com Holdings,ALRM,39.08,39.86,38.72,39.24,0.15,0.38,"407,970",49.49,33.39,...,...,53.75,3.95
Alaska Communications Systems Group,ALSK,1.70,1.78,1.70,1.72,0.02,1.18,"148,503",2.91,1.39,...,...,...,-35.82
Alder BioPharmaceuticals,ALDR,16.20,16.35,15.60,16.00,-0.15,-0.93,"657,171",19.35,8.60,...,...,...,39.74
Alexion Pharmaceuticals,ALXN,125.05,125.90,121.87,122.43,-2.40,-1.92,"1,144,466",149.34,102.10,...,...,52.77,2.37
Alico,ALCO,31.20,32.30,30.97,32.25,0.45,1.42,"7,486",34.80,25.55,0.24,0.74,...,9.32
Align Technology,ALGN,349.27,357.69,348.30,352.42,6.12,1.77,"880,525",371.55,148.01,...,...,111.53,58.61
