Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.85,21.85,21.55,21.60,-0.25,-1.14,"17,365",22.52,16.15,0.24,1.11,22.98,18.03
1st Source,SRCE,52.56,53.08,52.54,53.03,0.69,1.32,"36,953",54.65,44.33,0.96,1.81,19.50,7.24
2U,TWOU,88.57,91.38,88.37,90.88,2.57,2.91,"387,555",91.38,39.58,...,...,...,40.88
8Point3 Energy Partners,CAFD,12.05,12.17,12.02,12.10,0.01,0.08,"137,878",15.92,11.69,1.12,9.26,16.58,-20.45
21st Century Fox Cl A,FOXA,38.96,39.35,37.85,37.99,-0.05,-0.13,"16,555,276",39.35,24.81,0.36,0.95,17.75,10.02
21st Century Fox Cl B,FOX,38.34,38.71,37.30,37.45,-0.03,-0.08,"4,812,253",38.71,24.30,0.36,0.96,17.50,9.76
21Vianet Group ADR,VNET,5.36,5.36,5.06,5.14,-0.25,-4.64,"414,040",9.59,4.17,...,...,...,-35.59
51job ADR,JOBS,96.34,97.79,95.02,97.23,0.14,0.14,"381,866",98.36,41.81,...,...,118.37,59.79
1347 Property Insurance Holdings,PIH,6.71,6.76,6.68,6.76,-0.02,-0.33,"2,843",8.50,6.55,...,...,169.03,-6.74
1-800-FLOWERS.COM Cl A,FLWS,12.10,12.55,12.08,12.35,0.20,1.65,"310,801",13.32,7.80,...,...,14.53,15.42
AAON,AAON,29.75,30.75,29.05,30.50,0.80,2.69,"270,451",40.25,29.05,0.26,0.85,33.15,-16.89
Abaxis,ABAX,68.71,68.71,65.51,68.27,-0.50,-0.73,"125,623",78.53,43.66,0.72,1.05,57.86,37.86
Abiomed,ABMD,341.84,347.60,339.75,347.38,-0.19,-0.05,"465,009",354.39,129.55,...,...,141.79,85.36
Ablynx ADR,ABLX,53.01,53.34,52.91,53.34,-0.38,-0.71,"4,222",55.29,17.75,...,...,...,113.45
Acacia Communications,ACIA,31.00,31.44,30.07,30.97,...,...,"836,026",50.10,24.72,...,...,...,-14.52
Acacia Research - Acacia Technologies,ACTG,3.60,3.85,3.60,3.75,0.15,4.17,"182,157",5.50,2.90,0.50,13.33,81.88,-7.41
Acadia Healthcare,ACHC,40.79,41.51,40.79,41.25,0.45,1.10,"1,176,583",54.34,26.92,...,...,16.70,26.42
ACADIA Pharmaceuticals,ACAD,18.40,18.41,17.84,18.11,-0.43,-2.32,"1,736,032",41.20,14.51,...,...,...,-39.85
Acceleron Pharma,XLRN,35.93,37.01,35.47,35.99,-0.07,-0.19,"150,576",46.93,24.37,...,...,...,-15.20
Access National,ANCX,27.29,27.48,27.10,27.36,0.02,0.07,"44,263",30.99,24.36,0.60,2.19,25.57,-1.72
Accuray,ARAY,4.65,4.65,4.45,4.50,-0.15,-3.23,"424,897",6.15,3.60,...,...,...,4.65
AcelRx Pharmaceuticals,ACRX,2.55,2.55,2.46,2.50,...,...,"311,141",5.75,1.55,...,...,...,23.46
Aceto,ACET,2.75,2.76,2.50,2.69,-0.09,-3.24,"1,231,864",17.10,2.22,0.04,1.49,...,-73.96
Achaogen,AKAO,12.59,13.32,12.55,13.08,0.67,5.40,"1,901,188",27.49,9.83,...,...,...,21.79
Achillion Pharmaceuticals,ACHN,3.60,3.71,3.54,3.67,0.06,1.66,"1,011,975",5.66,2.58,...,...,...,27.43
AC Immune,ACIU,10.13,10.21,10.00,10.13,-0.17,-1.65,"11,795",13.91,6.03,...,...,...,-20.86
ACI Worldwide,ACIW,23.47,23.81,23.42,23.50,0.04,0.17,"510,618",26.37,20.23,...,...,470.00,3.66
Aclaris Therapeutics,ACRS,18.18,19.34,18.10,18.37,0.27,1.49,"234,186",30.08,16.01,...,...,...,-25.51
ACM Research Cl A,ACMR,12.08,12.08,10.58,11.54,-0.97,-7.75,"78,390",15.60,4.74,...,...,...,119.81
Acorda Therapeutics,ACOR,23.55,23.80,23.00,23.35,-0.10,-0.43,"271,082",29.60,13.60,...,...,...,8.86
Activision Blizzard,ATVI,69.66,70.16,69.18,69.61,-0.76,-1.08,"3,623,788",79.63,53.66,0.34,0.49,157.70,9.93
Acxiom,ACXM,26.77,26.98,26.49,26.61,-0.05,-0.19,"578,275",32.93,18.60,...,...,221.75,-3.45
Adamas Pharmaceuticals,ADMS,31.14,31.88,30.91,31.18,-0.16,-0.51,"620,761",44.00,13.50,...,...,...,-8.00
Adaptimmune Therapeutics ADR,ADAP,13.40,13.61,12.65,12.84,-0.47,-3.53,"389,731",13.72,4.28,...,...,...,92.22
