Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.97,20.19,19.88,20.10,0.25,1.26,"2,284",27.00,16.15,0.30,1.49,18.44,9.84
1st Source,SRCE,46.83,47.72,46.81,47.38,0.43,0.92,"20,867",59.33,39.93,1.00,2.11,15.69,-4.19
2U,TWOU,52.62,57.75,49.73,53.42,-9.86,-15.58,"5,691,846",98.58,49.73,...,...,...,-17.19
21st Century Fox Cl A,FOXA,46.63,47.21,46.60,47.16,0.29,0.62,"6,062,641",50.15,27.29,0.36,0.76,19.65,36.58
21st Century Fox Cl B,FOX,46.17,46.82,46.17,46.78,0.37,0.80,"2,591,483",49.65,26.57,0.36,0.77,19.49,37.10
21Vianet Group ADR,VNET,10.75,11.02,10.71,10.96,0.20,1.86,"225,474",11.54,5.01,...,...,...,37.34
51job ADR,JOBS,63.18,66.09,63.18,64.70,1.83,2.91,"166,915",114.62,52.15,...,...,...,6.33
111 ADR,YI,11.10,11.65,10.12,11.50,0.30,2.68,"12,527",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.91,5.91,5.84,5.90,0.06,1.03,"866",8.25,5.25,...,...,18.44,-18.62
1-800-FLOWERS.COM Cl A,FLWS,13.04,13.27,12.65,12.66,-0.39,-2.99,"501,014",15.00,8.85,...,...,23.89,18.32
AAON,AAON,40.28,41.93,40.12,41.86,1.41,3.49,"313,505",43.30,29.05,0.32,0.76,48.25,14.06
Abiomed,ABMD,392.78,399.58,381.84,389.85,-3.06,-0.78,"430,327",459.75,186.72,...,...,108.90,108.02
Acacia Communications,ACIA,45.61,45.61,42.96,43.11,-3.01,-6.53,"1,170,201",47.26,24.72,...,...,...,18.99
Acacia Research - Acacia Technologies,ACTG,3.27,3.31,3.23,3.24,-0.02,-0.61,"39,804",4.45,2.85,0.50,15.43,...,-20.00
Acadia Healthcare,ACHC,41.07,41.74,38.00,39.00,-1.58,-3.89,"11,087,171",45.35,26.92,...,...,15.18,19.52
ACADIA Pharmaceuticals,ACAD,21.51,22.20,21.13,21.88,0.22,1.02,"2,648,554",33.52,12.77,...,...,...,-27.33
Acceleron Pharma,XLRN,53.62,55.75,52.84,53.50,-0.45,-0.83,"306,011",59.59,32.53,...,...,...,26.06
Access National,ANCX,26.59,26.75,26.40,26.65,0.06,0.23,"47,066",30.40,23.95,0.68,2.55,18.64,-4.27
Accuray,ARAY,4.80,4.90,4.72,4.88,0.09,1.88,"707,359",6.15,3.20,...,...,...,13.49
AcelRx Pharmaceuticals,ACRX,4.13,4.15,3.80,3.90,-0.37,-8.67,"5,055,750",5.05,1.65,...,...,...,92.59
Aceto,ACET,2.09,2.15,2.07,2.08,0.01,0.48,"167,098",11.98,2.00,0.04,1.92,...,-79.86
Achaogen,AKAO,3.25,3.32,3.20,3.25,-0.02,-0.61,"740,373",15.00,3.20,...,...,...,-69.74
Achillion Pharmaceuticals,ACHN,3.10,3.10,2.88,2.95,-0.13,-4.22,"482,299",4.34,2.33,...,...,...,2.43
AC Immune,ACIU,8.43,8.82,8.17,8.60,-0.32,-3.59,"46,101",17.40,7.16,...,...,...,-32.81
ACI Worldwide,ACIW,25.10,25.52,25.10,25.39,0.21,0.83,"411,135",28.98,20.23,...,...,2539.00,12.00
Aclaris Therapeutics,ACRS,12.16,12.24,11.57,11.75,-0.49,-4.00,"220,198",26.25,11.00,...,...,...,-52.35
ACM Research Cl A,ACMR,10.00,10.12,9.94,10.00,0.01,0.10,"8,515",15.60,4.74,...,...,166.67,90.48
Acorda Therapeutics,ACOR,20.14,21.23,20.12,20.58,0.30,1.48,"943,796",36.35,15.60,...,...,...,-4.06
Activision Blizzard,ATVI,64.32,65.98,63.67,64.25,-0.09,-0.14,"9,320,221",84.68,57.29,0.34,0.53,145.56,1.47
Adamas Pharmaceuticals,ADMS,11.22,12.63,10.93,12.00,1.01,9.19,"1,402,795",44.00,10.58,...,...,...,-64.59
Adaptimmune Therapeutics ADR,ADAP,7.86,8.04,6.30,6.53,-0.60,-8.42,"1,120,626",14.63,5.73,...,...,...,-2.25
Addus HomeCare,ADUS,63.31,71.51,62.86,69.67,4.74,7.30,"141,082",72.55,30.95,...,...,51.61,100.20
ADDvantage Technologies Group,AEY,1.37,1.37,1.37,1.37,0.03,2.24,"213",2.33,1.21,...,...,...,-6.80
Adobe,ADBE,240.48,244.64,237.76,240.56,0.67,0.28,"2,259,495",277.61,165.68,...,...,49.70,37.27
Adtran,ADTN,14.04,14.27,13.86,13.99,-0.06,-0.43,"282,307",23.15,13.05,0.36,2.57,...,-27.70
Aduro Biotech,ADRO,4.48,4.59,4.08,4.19,-0.29,-6.47,"484,364",10.00,3.69,...,...,...,-44.13
Advanced Emissions Solutions,ADES,10.01,10.28,10.01,10.17,0.17,1.70,"61,666",12.37,7.00,1.00,9.83,5.88,5.28
Advanced Energy Industries,AEIS,44.58,45.30,44.06,45.05,0.28,0.63,"326,422",87.38,40.43,...,...,18.24,-33.24
Advanced Micro Devices,AMD,19.50,21.65,19.48,20.68,0.78,3.92,"144,140,390",34.14,9.04,...,...,60.82,101.17
Advaxis,ADXS,0.54,0.59,0.53,0.59,0.05,9.19,"580,196",3.58,0.47,...,...,...,-79.21
Adverum Biotechnologies,ADVM,3.32,3.59,3.26,3.55,0.24,7.25,"630,529",8.59,2.62,...,...,...,1.43
Aegion,AEGN,19.77,21.06,19.54,20.79,0.93,4.68,"218,097",28.19,18.27,...,...,...,-18.25
Aeglea BioTherapeutics,AGLE,9.24,9.40,8.71,9.07,-0.17,-1.84,"107,639",12.00,3.75,...,...,...,67.65
Aemetis,AMTX,0.92,1.06,0.92,1.01,0.02,2.02,"106,900",3.12,0.45,...,...,...,83.64
Aerie Pharmaceuticals,AERI,53.33,55.17,52.85,54.55,1.43,2.69,"559,308",74.75,47.05,...,...,...,-8.70
AeroVironment,AVAV,94.96,98.92,94.13,98.81,3.69,3.88,"230,986",121.32,41.53,...,...,55.20,75.94
Aevi Genomic Medicine,GNMX,1.15,1.16,1.11,1.15,0.02,1.77,"44,839",2.65,0.83,...,...,...,-4.17
Affimed,AFMD,4.03,4.10,3.71,3.96,-0.06,-1.49,"956,698",7.35,1.15,...,...,...,204.62
Agile Therapeutics,AGRX,1.01,1.02,0.91,0.96,-0.06,-5.67,"1,825,725",5.33,0.23,...,...,...,-64.23
Agilysys,AGYS,16.00,16.23,15.93,16.11,0.11,0.69,"14,928",16.87,10.77,...,...,...,31.19
Agios Pharmaceuticals,AGIO,69.47,71.47,68.54,71.34,1.59,2.28,"350,009",99.82,51.62,...,...,...,24.79
AGNC Investment,AGNC,17.58,17.83,17.52,17.79,0.22,1.25,"6,861,508",20.84,17.52,2.16,12.14,5.61,-11.89
AgroFresh Solutions,AGFS,5.72,5.76,5.64,5.69,-0.02,-0.35,"102,576",8.75,4.94,...,...,...,-23.11
AgroFresh Solutions WT,AGFSW,0.20,0.22,0.19,0.21,-0.04,-14.08,"2,000",0.77,0.05,...,...,...,-47.61
Aileron Therapeutics,ALRN,2.17,2.19,1.75,2.03,-0.13,-6.02,"81,062",12.96,1.75,...,...,...,-80.74
Aimmune Therapeutics,AIMT,29.97,30.49,29.65,30.26,0.33,1.10,"407,869",42.00,24.56,...,...,...,-19.99
AirMedia Group ADR,AMCN,0.43,0.44,0.37,0.37,0.01,2.74,"1,087,347",2.22,0.33,...,...,...,-67.73
Air Transport Services Group,ATSG,18.12,19.20,18.04,19.17,0.95,5.21,"922,528",27.67,17.67,...,...,9.14,-17.16
Akamai Technologies,AKAM,68.73,69.84,68.60,69.83,0.88,1.28,"1,704,247",83.08,53.01,...,...,53.31,7.36
Akcea Therapeutics,AKCA,27.10,28.00,26.08,27.23,0.23,0.85,"540,500",40.75,15.20,...,...,...,56.85
Akebia Therapeutics,AKBA,7.82,7.82,7.38,7.49,-0.37,-4.71,"479,446",17.64,7.32,...,...,...,-49.63
Akorn,AKRX,7.46,7.49,7.25,7.49,0.10,1.35,"2,167,718",33.63,5.25,...,...,...,-76.76
Alarm.Com Holdings,ALRM,45.00,46.31,44.34,45.74,-0.17,-0.37,"392,260",60.20,33.39,...,...,60.99,21.17
Alaska Communications Systems Group,ALSK,1.51,1.60,1.50,1.57,0.08,5.37,"133,324",2.91,1.37,...,...,31.40,-41.42
Alder BioPharmaceuticals,ALDR,14.10,14.99,13.47,14.80,0.55,3.86,"929,950",20.87,9.55,...,...,...,29.26
Alexion Pharmaceuticals,ALXN,123.26,125.38,122.02,123.22,0.01,0.01,"977,798",140.77,102.10,...,...,186.70,3.04
Alico,ALCO,33.45,33.45,33.03,33.06,-0.20,-0.60,"2,897",34.65,25.55,0.24,0.73,...,12.07
Align Technology,ALGN,227.50,231.23,225.43,229.37,1.25,0.55,"895,397",398.88,203.12,...,...,59.73,3.23
Alimera Sciences,ALIM,1.00,1.15,1.00,1.09,...,...,"154,565",1.38,0.74,...,...,...,-18.05
ALJ Regional Holdings,ALJJ,1.85,1.85,1.76,1.76,0.05,2.93,"9,108",3.74,1.42,...,...,12.57,-44.12
Alkermes,ALKS,37.63,39.05,36.81,38.92,1.24,3.29,"1,076,125",71.22,36.67,...,...,...,-28.89
Allakos,ALLK,53.24,55.55,52.86,55.00,1.76,3.31,"192,866",55.55,26.00,...,...,...,...
Allegiance Bancshares,ABTX,38.60,39.28,38.34,39.28,0.51,1.32,"41,747",46.85,36.10,...,...,19.54,4.33
Allegiant Travel,ALGT,120.00,120.67,118.43,119.20,-0.80,-0.67,"129,986",181.45,105.21,2.80,2.35,9.47,-22.97
Allena Pharmaceuticals,ALNA,7.57,7.99,7.53,7.68,-0.13,-1.66,"17,684",17.56,6.13,...,...,...,-23.66
Alliance Resource Partners,ARLP,19.27,19.54,19.15,19.35,-0.01,-0.08,"452,394",21.90,15.55,2.10,10.85,6.64,-1.78
Allied Motion Technologies,AMOT,48.98,50.71,48.98,49.65,0.28,0.57,"60,639",55.47,28.08,0.12,0.24,34.75,50.05
Allogene Therapeutics,ALLO,28.50,33.30,28.47,33.30,4.95,17.46,"1,036,225",33.30,21.67,...,...,...,...
Allot Communications,ALLT,6.96,7.25,6.84,7.09,0.35,5.19,"517,043",7.25,4.74,...,...,...,33.02
Allscripts Healthcare Solutions,MDRX,9.85,10.34,9.80,10.26,0.37,3.74,"4,744,469",16.13,9.52,...,...,...,-29.48
Alnylam Pharmaceuticals,ALNY,87.38,88.34,85.41,86.28,-1.88,-2.13,"1,146,176",153.99,71.85,...,...,...,-32.09
Alphabet Cl A,GOOGL,1055.02,1079.82,1053.61,1069.57,13.84,1.31,"1,294,302",1291.44,984.00,...,...,40.24,1.54
Alphabet Cl C,GOOG,1039.48,1064.35,1038.07,1055.81,15.72,1.51,"1,199,952",1273.89,980.64,...,...,39.72,0.90
Alpha&Omega Semiconductor,AOSL,10.61,11.00,10.57,10.79,0.16,1.51,"80,559",18.25,9.01,...,...,18.93,-34.05
Alphatec Holdings,ATEC,3.05,3.12,3.05,3.05,0.01,0.33,"23,522",4.21,2.31,...,...,...,14.66
Alpine Immune Sciences,ALPN,4.73,5.04,4.73,4.76,0.04,0.85,"6,989",11.75,4.61,...,...,...,-57.50
Altaba,AABA,60.93,62.58,60.93,61.93,1.06,1.74,"5,261,849",82.45,55.76,...,...,2.42,-11.34
Altair Engineering Cl A,ALTR,30.53,32.48,30.50,31.92,1.22,3.97,"663,540",43.99,18.62,...,...,...,33.44
Altimmune,ALT,3.98,4.15,3.95,3.97,-0.02,-0.50,"204,420",71.40,3.55,...,...,...,-93.35
