Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.90,20.25,19.90,19.92,-0.12,-0.60,"10,584",27.00,16.15,0.24,1.20,21.42,8.85
1st Source,SRCE,53.50,53.50,52.56,52.65,0.02,0.04,"18,743",59.33,47.16,1.00,1.90,18.03,6.47
2U,TWOU,69.24,71.30,69.24,70.01,-0.10,-0.14,"516,703",98.58,57.84,...,...,...,8.53
21st Century Fox Cl A,FOXA,45.79,45.90,45.36,45.50,-0.22,-0.48,"8,108,851",50.15,24.81,0.36,0.79,18.96,31.77
21st Century Fox Cl B,FOX,45.62,45.66,45.13,45.26,-0.21,-0.46,"4,194,903",49.65,24.30,0.36,0.80,18.86,32.65
21Vianet Group ADR,VNET,9.55,10.18,9.53,9.77,0.22,2.30,"962,157",11.54,5.01,...,...,...,22.43
51job ADR,JOBS,63.54,65.17,62.80,63.35,-0.19,-0.30,"352,695",114.62,56.22,...,...,...,4.11
111 ADR,YI,11.86,11.86,10.26,11.15,-0.49,-4.21,"77,143",16.83,10.21,...,...,...,...
1347 Property Insurance Holdings,PIH,6.30,6.34,6.30,6.31,0.01,0.16,"1,149",8.25,6.10,...,...,19.72,-12.96
1-800-FLOWERS.COM Cl A,FLWS,11.12,11.48,11.12,11.21,0.03,0.27,"105,917",15.00,8.85,...,...,18.68,4.77
AAON,AAON,34.62,35.08,33.95,34.00,-0.64,-1.85,"134,978",43.30,29.05,0.32,0.94,38.64,-7.36
Abiomed,ABMD,397.35,408.87,393.96,395.08,-3.93,-0.98,"525,287",459.75,164.80,...,...,110.36,110.81
Acacia Communications,ACIA,38.07,39.00,37.71,37.91,-0.18,-0.47,"361,961",47.73,24.72,...,...,...,4.64
Acacia Research - Acacia Technologies,ACTG,3.19,3.30,3.12,3.15,-0.05,-1.56,"91,098",4.70,3.05,0.50,15.87,...,-22.22
Acadia Healthcare,ACHC,37.02,39.27,36.49,38.69,1.71,4.62,"2,190,278",45.27,26.92,...,...,15.05,18.57
ACADIA Pharmaceuticals,ACAD,21.03,21.59,20.74,21.16,0.05,0.24,"2,627,963",38.00,12.77,...,...,...,-29.72
Acceleron Pharma,XLRN,51.80,53.01,50.04,50.30,-2.18,-4.15,"349,681",59.59,32.53,...,...,...,18.52
Access National,ANCX,28.93,29.44,28.93,29.04,0.03,0.10,"231,835",30.99,25.81,0.64,2.20,22.17,4.31
Accuray,ARAY,4.14,4.34,4.14,4.18,0.04,0.97,"606,046",6.15,3.20,...,...,...,-2.79
AcelRx Pharmaceuticals,ACRX,2.90,2.96,2.65,2.65,-0.34,-11.37,"4,456,192",5.75,1.55,...,...,...,30.86
Aceto,ACET,2.35,2.43,2.23,2.23,-0.14,-5.91,"533,255",11.98,2.10,0.04,1.79,...,-78.41
Achaogen,AKAO,3.96,4.25,3.92,4.13,0.17,4.29,"539,518",15.00,3.82,...,...,...,-61.55
Achillion Pharmaceuticals,ACHN,3.43,3.50,3.27,3.27,-0.17,-4.94,"719,995",4.72,2.33,...,...,...,13.54
AC Immune,ACIU,7.35,8.00,7.35,7.95,0.60,8.16,"449,449",17.40,7.16,...,...,...,-37.89
ACI Worldwide,ACIW,26.62,26.79,26.15,26.43,-0.22,-0.83,"583,697",28.98,20.23,...,...,2643.00,16.59
