Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.70,20.75,20.55,20.65,0.15,0.73,"7,309",27.00,16.15,0.24,1.16,22.20,12.84
1st Source,SRCE,54.60,54.60,52.83,54.23,-0.36,-0.66,"23,504",59.33,45.96,1.00,1.84,18.57,9.67
2U,TWOU,79.37,81.01,78.56,79.20,0.25,0.32,"357,282",98.58,51.54,...,...,...,22.77
21st Century Fox Cl A,FOXA,44.83,44.87,44.49,44.54,-0.17,-0.38,"7,570,577",50.15,24.81,0.36,0.81,18.56,28.99
21st Century Fox Cl B,FOX,44.33,44.50,44.14,44.16,-0.18,-0.41,"3,447,431",49.65,24.30,0.36,0.82,18.40,29.43
21Vianet Group ADR,VNET,8.72,8.96,8.57,8.87,0.32,3.74,"305,270",11.54,5.01,...,...,...,11.15
51job ADR,JOBS,67.57,69.97,67.57,68.54,0.98,1.45,"163,731",114.62,56.22,...,...,...,12.64
111 ADR,YI,13.85,13.85,12.70,13.06,-0.66,-4.81,"259,155",16.83,11.57,...,...,...,...
1347 Property Insurance Holdings,PIH,6.25,6.35,6.20,6.20,-0.05,-0.80,"7,186",8.25,6.20,...,...,19.38,-14.48
1-800-FLOWERS.COM Cl A,FLWS,10.65,11.15,10.01,11.05,0.35,3.27,"269,111",15.00,8.85,...,...,18.42,3.27
AAON,AAON,40.65,40.80,39.73,39.95,-0.55,-1.36,"110,511",43.30,29.05,0.32,0.80,45.40,8.86
Abiomed,ABMD,369.06,380.64,368.55,376.56,7.66,2.08,"569,036",450.93,155.57,...,...,105.18,100.93
Acacia Communications,ACIA,37.75,39.10,37.55,38.78,-0.32,-0.82,"592,975",50.08,24.72,...,...,...,7.04
Acacia Research - Acacia Technologies,ACTG,3.30,3.35,3.20,3.20,-0.05,-1.54,"95,423",5.50,3.05,0.50,15.63,...,-20.99
Acadia Healthcare,ACHC,35.54,36.20,35.20,35.45,-0.08,-0.23,"680,366",48.35,26.92,...,...,13.79,8.64
ACADIA Pharmaceuticals,ACAD,14.02,14.30,13.94,14.28,0.23,1.64,"1,436,347",41.20,12.77,...,...,...,-52.57
Acceleron Pharma,XLRN,55.00,55.25,52.49,54.03,2.10,4.04,"707,557",55.25,32.53,...,...,...,27.31
Access National,ANCX,27.19,27.31,27.02,27.12,-0.11,-0.40,"22,517",30.99,25.58,0.64,2.36,20.70,-2.59
Accuray,ARAY,3.90,3.95,3.90,3.95,0.10,2.60,"371,373",6.15,3.20,...,...,...,-8.14
AcelRx Pharmaceuticals,ACRX,3.50,3.75,3.50,3.75,0.30,8.70,"971,319",5.75,1.55,...,...,...,85.19
Aceto,ACET,2.94,3.03,2.86,2.90,-0.03,-1.02,"183,419",11.98,2.22,0.04,1.38,...,-71.93
Achaogen,AKAO,4.11,4.44,4.06,4.28,0.17,4.14,"797,005",16.59,4.06,...,...,...,-60.15
Achillion Pharmaceuticals,ACHN,3.17,3.29,3.15,3.21,0.05,1.58,"541,974",4.82,2.33,...,...,...,11.46
AC Immune,ACIU,8.00,8.29,7.80,8.04,0.04,0.50,"42,605",17.40,7.57,...,...,...,-37.19
ACI Worldwide,ACIW,27.92,28.45,27.70,28.25,0.38,1.36,"547,670",28.98,20.23,...,...,2825.00,24.61
Aclaris Therapeutics,ACRS,15.05,15.26,14.72,14.98,-0.07,-0.47,"207,078",28.62,14.12,...,...,...,-39.25
ACM Research Cl A,ACMR,12.01,12.36,11.86,11.89,-0.13,-1.08,"26,632",15.60,4.74,...,...,198.17,126.48
Acorda Therapeutics,ACOR,17.40,17.85,16.95,17.80,0.40,2.30,"650,819",36.35,15.60,...,...,...,-17.02
Activision Blizzard,ATVI,78.82,80.38,78.82,79.63,0.75,0.95,"4,517,261",82.03,57.29,0.34,0.43,180.40,25.76
Acxiom,ACXM,48.11,48.82,48.10,48.47,0.30,0.62,"941,319",49.40,18.60,...,...,186.42,75.87
