Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.93,22.00,21.70,21.70,-0.30,-1.36,"8,125",22.52,16.15,0.24,1.11,26.14,18.58
1st Source,SRCE,51.22,51.67,50.76,50.91,-0.32,-0.62,"37,329",54.65,44.12,0.88,1.73,19.51,2.95
2U,TWOU,87.40,87.80,86.70,87.29,0.36,0.41,"293,601",91.00,39.58,...,...,...,35.31
8Point3 Energy Partners,CAFD,11.97,12.07,11.97,12.04,0.06,0.50,"94,844",15.92,11.69,1.12,9.31,16.49,-20.84
21st Century Fox Cl A,FOXA,37.58,37.76,37.24,37.31,-0.23,-0.61,"3,983,692",39.13,24.81,0.36,0.96,17.43,8.05
21st Century Fox Cl B,FOX,37.06,37.23,36.78,36.82,-0.27,-0.73,"1,704,295",38.56,24.30,0.36,0.98,17.21,7.91
21Vianet Group ADR,VNET,6.52,6.54,6.32,6.45,-0.08,-1.23,"93,640",9.59,4.17,...,...,6.08,-19.17
51job ADR,JOBS,91.50,93.16,91.00,92.51,2.14,2.37,"239,074",93.16,39.11,...,...,108.96,52.03
1347 Property Insurance Holdings,PIH,6.65,6.85,6.65,6.75,-0.00,-0.07,"4,342",8.50,6.55,...,...,168.75,-6.90
1-800-FLOWERS.COM Cl A,FLWS,13.10,13.30,12.90,13.20,0.15,1.15,"160,866",13.32,7.80,...,...,16.30,23.36
AAON,AAON,35.90,36.35,35.80,36.15,0.35,0.98,"177,112",40.25,29.95,0.26,0.72,35.10,-1.50
Abaxis,ABAX,74.00,74.15,73.28,73.44,-0.42,-0.57,"118,435",78.53,43.66,0.64,0.87,67.99,48.30
Abiomed,ABMD,305.84,309.28,302.18,307.63,3.20,1.05,"434,884",309.28,121.26,...,...,155.37,64.15
Ablynx ADR,ABLX,55.06,55.29,55.06,55.23,0.30,0.55,"14,141",55.29,17.75,...,...,...,121.01
Acacia Communications,ACIA,26.61,26.70,25.47,25.57,-0.86,-3.25,"2,575,781",54.37,24.72,...,...,28.73,-29.42
Acacia Research - Acacia Technologies,ACTG,3.50,3.60,3.45,3.55,0.10,2.90,"136,525",5.50,2.90,0.50,14.08,8.15,-12.35
Acadia Healthcare,ACHC,39.04,39.76,37.83,39.25,0.35,0.90,"705,148",54.34,26.92,...,...,17.14,20.29
ACADIA Pharmaceuticals,ACAD,19.85,20.20,19.56,19.98,0.10,0.50,"1,917,671",41.20,15.74,...,...,...,-33.64
Acceleron Pharma,XLRN,38.23,38.35,37.20,37.26,-0.70,-1.84,"233,986",46.93,24.37,...,...,...,-12.21
Access National,ANCX,29.25,29.46,28.93,29.03,-0.23,-0.79,"52,353",30.99,24.36,0.60,2.07,31.55,4.27
Accuray,ARAY,5.20,5.30,5.05,5.15,...,...,"360,292",6.15,3.60,...,...,...,19.77
AcelRx Pharmaceuticals,ACRX,2.40,2.50,2.35,2.40,...,...,"578,903",5.75,1.55,...,...,...,18.52
Aceto,ACET,7.37,7.58,7.37,7.40,0.03,0.41,"360,249",17.10,6.85,0.26,3.51,...,-28.36
Achaogen,AKAO,12.43,13.21,12.33,12.68,0.34,2.76,"1,464,833",27.49,9.83,...,...,...,18.06
Achillion Pharmaceuticals,ACHN,3.83,3.83,3.67,3.69,-0.15,-3.91,"749,815",5.66,2.58,...,...,...,28.13
AC Immune,ACIU,9.40,10.16,9.26,10.02,0.80,8.68,"70,945",13.91,6.03,...,...,...,-21.72
ACI Worldwide,ACIW,25.09,25.24,24.90,24.93,-0.07,-0.28,"255,393",26.37,20.23,...,...,498.60,9.97
Aclaris Therapeutics,ACRS,18.13,18.29,17.32,17.50,-0.73,-4.00,"218,259",32.65,16.01,...,...,...,-29.03
ACM Research Cl A,ACMR,12.26,12.48,12.01,12.04,-0.27,-2.19,"35,124",15.60,4.74,...,...,...,129.33
Acorda Therapeutics,ACOR,23.95,24.05,23.40,23.90,...,...,"297,968",29.60,13.60,...,...,...,11.42
Activision Blizzard,ATVI,68.75,69.01,67.97,68.69,0.41,0.60,"4,220,993",79.63,49.17,0.34,0.49,155.61,8.48
Acxiom,ACXM,25.35,25.95,25.24,25.77,0.53,2.10,"498,366",32.93,18.60,...,...,214.75,-6.49
Adamas Pharmaceuticals,ADMS,25.13,26.26,24.55,25.85,0.84,3.36,"657,944",44.00,13.50,...,...,...,-23.72
Adaptimmune Therapeutics ADR,ADAP,12.40,13.10,12.11,12.39,0.05,0.41,"662,063",13.41,4.28,...,...,...,85.48
Addus HomeCare,ADUS,53.20,55.15,53.20,54.40,1.35,2.54,"62,999",55.40,30.95,...,...,46.50,56.32
ADDvantage Technologies Group,AEY,1.23,1.26,1.23,1.24,0.01,0.81,"18,565",2.33,1.21,...,...,...,-15.65
Adobe Systems,ADBE,231.70,233.17,228.62,231.10,-0.06,-0.03,"2,220,076",233.17,129.82,...,...,61.46,31.88
Adtran,ADTN,14.80,15.35,14.40,14.95,-1.10,-6.85,"1,563,372",25.10,14.40,0.36,2.41,87.94,-22.74
Aduro Biotech,ADRO,7.40,7.55,7.00,7.10,-0.35,-4.70,"388,876",14.05,5.83,...,...,...,-5.33
Advanced Emissions Solutions,ADES,11.07,11.36,11.05,11.08,0.04,0.36,"93,641",12.20,7.00,1.00,9.03,8.59,14.70
Advanced Energy Industries,AEIS,68.10,68.10,65.83,65.95,-2.47,-3.61,"469,430",95.00,60.06,...,...,19.34,-2.27
Advaxis,ADXS,1.70,1.74,1.68,1.73,0.03,1.76,"614,484",9.55,1.51,...,...,...,-39.08
Adverum Biotechnologies,ADVM,6.65,6.85,6.40,6.53,-0.18,-2.61,"517,731",8.59,2.40,...,...,...,86.43
Aegion,AEGN,23.97,24.54,23.93,24.16,0.15,0.62,"115,782",28.19,19.11,...,...,...,-4.99
Aeglea BioTherapeutics,AGLE,8.21,8.93,8.21,8.49,-0.93,-9.87,"409,233",11.35,2.81,...,...,...,56.93
Aemetis,AMTX,1.80,1.94,1.78,1.90,0.10,5.56,"314,225",3.12,0.45,...,...,...,245.45
Aerie Pharmaceuticals,AERI,55.30,55.65,54.45,54.50,-0.65,-1.18,"134,601",66.60,38.14,...,...,...,-8.79
AeroVironment,AVAV,57.33,57.60,56.61,56.71,-0.52,-0.91,"251,651",58.99,28.13,...,...,41.70,0.98
Aevi Genomic Medicine,GNMX,1.55,1.71,1.55,1.62,0.07,4.52,"91,393",2.65,0.98,...,...,...,35.00
Affimed,AFMD,2.15,2.20,2.05,2.20,0.05,2.33,"206,951",2.85,1.15,...,...,...,69.23
Agile Therapeutics,AGRX,2.86,2.91,2.84,2.86,...,...,"59,577",5.60,1.93,...,...,...,6.32
Agilysys,AGYS,12.40,12.40,12.23,12.28,-0.07,-0.57,"25,227",13.00,9.10,...,...,...,...
Agios Pharmaceuticals,AGIO,87.24,88.83,86.84,88.03,1.17,1.35,"291,299",89.33,45.11,...,...,...,53.98
AGNC Investment,AGNC,18.80,18.90,18.76,18.76,-0.02,-0.11,"1,767,879",22.34,17.84,2.16,11.51,9.57,-7.08
AgroFresh Solutions,AGFS,7.32,7.43,7.27,7.31,-0.03,-0.41,"149,900",9.05,4.94,...,...,15.55,-1.22
AgroFresh Solutions WT,AGFSW,0.50,0.50,0.50,0.50,0.02,4.17,"1,000",1.25,0.13,...,...,...,21.95
