Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.25,22.25,21.50,21.80,-0.45,-2.02,"10,119",27.00,16.15,0.24,1.10,23.44,19.13
1st Source,SRCE,56.63,57.63,56.07,56.66,0.10,0.18,"46,753",59.33,44.59,1.00,1.76,19.40,14.58
2U,TWOU,76.35,77.88,76.02,76.81,1.15,1.52,"837,541",98.58,45.50,...,...,...,19.07
21st Century Fox Cl A,FOXA,44.87,45.21,44.76,45.00,...,...,"7,256,368",50.15,24.81,0.36,0.80,20.74,30.32
21st Century Fox Cl B,FOX,44.23,44.71,44.19,44.53,0.11,0.25,"3,668,117",49.65,24.30,0.36,0.81,20.52,30.51
21Vianet Group ADR,VNET,9.40,9.68,8.73,8.89,-0.55,-5.83,"475,768",11.54,4.17,...,...,...,11.40
51job ADR,JOBS,91.78,92.97,91.21,92.82,1.05,1.14,"163,124",114.62,48.86,...,...,...,52.54
1347 Property Insurance Holdings,PIH,7.20,7.20,7.06,7.06,-0.09,-1.23,"2,025",8.25,6.55,...,...,22.07,-2.59
1-800-FLOWERS.COM Cl A,FLWS,14.45,14.65,14.15,14.30,-0.20,-1.38,"115,990",14.99,7.80,...,...,16.82,33.64
AAON,AAON,37.75,37.90,36.75,37.50,-0.25,-0.66,"251,603",40.25,29.05,0.32,0.85,40.76,2.18
Abiomed,ABMD,353.10,368.50,351.76,363.19,8.66,2.44,"797,686",450.93,144.01,...,...,101.45,93.79
Acacia Communications,ACIA,32.14,32.93,32.03,32.41,0.27,0.84,"432,768",50.10,24.72,...,...,...,-10.54
Acacia Research - Acacia Technologies,ACTG,3.80,3.80,3.75,3.80,...,...,"62,451",5.50,2.90,0.50,13.16,82.97,-6.17
Acadia Healthcare,ACHC,39.26,41.76,38.58,40.38,0.90,2.27,"2,081,032",53.09,26.92,...,...,15.71,23.74
ACADIA Pharmaceuticals,ACAD,14.99,15.43,14.81,15.36,0.27,1.79,"1,766,970",41.20,14.51,...,...,...,-48.99
Acceleron Pharma,XLRN,43.56,44.15,43.17,43.53,-0.03,-0.07,"255,146",50.00,31.77,...,...,...,2.57
Access National,ANCX,27.79,27.96,27.20,27.88,0.10,0.36,"49,197",30.99,24.36,0.60,2.15,21.28,0.14
Accuray,ARAY,3.80,3.90,3.70,3.80,-0.05,-1.30,"471,930",6.15,3.60,...,...,...,-11.63
AcelRx Pharmaceuticals,ACRX,2.80,2.80,2.55,2.65,-0.15,-5.36,"843,042",5.75,1.55,...,...,...,30.86
Aceto,ACET,3.25,3.25,3.08,3.17,-0.10,-3.06,"135,053",17.03,2.22,0.04,1.26,...,-69.31
Achaogen,AKAO,7.07,7.22,6.84,6.91,-0.21,-2.95,"594,698",19.74,6.23,...,...,...,-35.66
Achillion Pharmaceuticals,ACHN,2.57,2.63,2.53,2.57,-0.01,-0.39,"647,942",5.66,2.50,...,...,...,-10.76
AC Immune,ACIU,9.65,10.11,9.65,9.92,0.27,2.80,"198,487",17.40,6.03,...,...,...,-22.50
ACI Worldwide,ACIW,25.90,26.70,25.90,26.46,0.62,2.40,"802,534",28.00,20.23,...,...,...,16.72
Aclaris Therapeutics,ACRS,17.10,17.74,17.10,17.48,0.34,1.98,"310,572",28.93,16.01,...,...,...,-29.12
ACM Research Cl A,ACMR,13.05,13.85,12.80,13.85,0.89,6.87,"78,643",15.60,4.74,...,...,...,163.81
Acorda Therapeutics,ACOR,24.95,25.71,24.35,24.75,-0.20,-0.80,"566,232",36.35,16.55,...,...,...,15.38
Activision Blizzard,ATVI,73.77,74.58,72.92,73.08,-0.34,-0.46,"5,878,466",81.64,57.29,0.34,0.47,165.56,15.41
Acxiom,ACXM,40.53,40.96,40.10,40.47,-0.07,-0.17,"787,337",44.31,18.60,...,...,144.54,46.84
Adamas Pharmaceuticals,ADMS,23.74,24.30,23.55,24.16,0.38,1.60,"373,093",44.00,13.50,...,...,...,-28.71
Adaptimmune Therapeutics ADR,ADAP,9.75,10.09,9.62,9.68,-0.10,-1.02,"230,398",14.63,4.82,...,...,...,44.91
Addus HomeCare,ADUS,66.45,69.20,66.05,68.55,2.40,3.63,"75,142",69.20,30.95,...,...,56.19,96.98
ADDvantage Technologies Group,AEY,1.46,1.46,1.41,1.46,0.01,0.69,"4,227",2.33,1.21,...,...,...,-0.68
Adobe Systems,ADBE,245.00,248.76,244.24,248.01,3.33,1.36,"3,110,171",263.83,143.95,...,...,57.15,41.53
Adtran,ADTN,16.30,16.35,16.00,16.15,-0.10,-0.62,"273,552",25.10,13.95,0.36,2.23,...,-16.54
Aduro Biotech,ADRO,5.85,5.95,5.40,5.40,-0.45,-7.69,"233,016",12.90,5.30,...,...,...,-28.00
Advanced Emissions Solutions,ADES,11.35,11.65,11.22,11.29,-0.06,-0.53,"58,841",12.20,7.00,1.00,8.86,8.89,16.87
Advanced Energy Industries,AEIS,61.16,61.76,59.30,59.90,-1.34,-2.19,"875,515",95.00,56.22,...,...,16.32,-11.23
Advaxis,ADXS,1.45,1.49,1.41,1.43,-0.03,-2.05,"134,408",7.45,1.15,...,...,...,-49.65
Adverum Biotechnologies,ADVM,4.75,4.80,4.55,4.60,-0.10,-2.13,"266,972",8.59,2.40,...,...,...,31.43
Aegion,AEGN,24.78,24.78,23.81,24.40,-0.38,-1.53,"96,069",28.19,19.11,...,...,...,-4.05
Aeglea BioTherapeutics,AGLE,8.40,9.39,8.40,9.19,0.78,9.27,"204,581",12.00,2.81,...,...,...,69.87
Aemetis,AMTX,1.26,1.30,1.23,1.26,...,0.38,"3,888",3.12,0.45,...,...,...,129.96
Aerie Pharmaceuticals,AERI,67.55,70.00,67.50,68.70,1.15,1.70,"426,242",74.75,47.05,...,...,...,14.98
AeroVironment,AVAV,73.82,75.03,73.30,74.83,1.22,1.66,"245,389",76.32,36.71,...,...,90.16,33.24
Aevi Genomic Medicine,GNMX,0.99,1.12,0.98,1.10,0.14,14.46,"310,695",2.65,0.83,...,...,...,-8.33
Affimed,AFMD,1.80,1.80,1.70,1.75,-0.05,-2.78,"148,573",2.85,1.15,...,...,...,34.62
Agile Therapeutics,AGRX,0.30,0.30,0.28,0.28,-0.01,-4.13,"288,614",5.40,0.27,...,...,...,-89.56
Agilysys,AGYS,16.47,16.49,16.12,16.35,-0.10,-0.61,"68,343",16.80,9.80,...,...,...,33.14
Agios Pharmaceuticals,AGIO,86.02,88.38,85.36,86.73,0.32,0.37,"265,562",99.82,51.62,...,...,...,51.71
AGNC Investment,AGNC,18.95,19.05,18.86,18.93,-0.54,-2.77,"46,948,355",21.94,17.84,2.16,11.41,5.47,-6.24
AgroFresh Solutions,AGFS,7.11,7.15,6.95,6.98,-0.13,-1.83,"71,231",8.75,4.94,...,...,15.51,-5.68
AgroFresh Solutions WT,AGFSW,0.30,0.30,0.30,0.30,-0.04,-11.76,"1,400",1.00,0.05,...,...,...,-26.83
Aileron Therapeutics,ALRN,3.09,3.36,3.04,3.22,0.13,4.21,"77,247",15.48,2.93,...,...,...,-69.45
Aimmune Therapeutics,AIMT,28.92,29.78,28.68,29.31,0.39,1.35,"617,901",42.00,18.25,...,...,...,-22.50
AirMedia Group ADR,AMCN,0.50,0.53,0.48,0.51,-0.02,-4.53,"136,492",2.87,0.48,...,...,...,-56.00
Air Transport Services Group,ATSG,22.53,22.97,22.15,22.64,0.11,0.49,"246,336",27.67,19.17,...,...,126.62,-2.16
Akamai Technologies,AKAM,70.26,72.00,69.38,71.63,-3.63,-4.82,"7,967,003",83.08,44.65,...,...,65.12,10.13
Akcea Therapeutics,AKCA,31.44,31.89,30.89,31.86,0.24,0.76,"108,599",35.00,13.70,...,...,...,83.53
Akebia Therapeutics,AKBA,10.27,10.54,10.25,10.49,0.19,1.84,"362,247",20.25,7.90,...,...,...,-29.46
Akorn,AKRX,18.52,19.30,17.85,17.94,-0.58,-3.13,"2,526,013",33.63,10.76,...,...,...,-44.34
Alarm.Com Holdings,ALRM,42.87,43.85,42.62,43.40,0.53,1.24,"220,962",49.49,33.39,...,...,59.45,14.97
Alaska Communications Systems Group,ALSK,1.62,1.68,1.62,1.67,0.06,3.73,"53,325",2.91,1.39,...,...,...,-37.69
Alder BioPharmaceuticals,ALDR,18.90,19.95,18.69,19.50,0.55,2.90,"1,301,592",19.95,8.60,...,...,...,70.31
Alexion Pharmaceuticals,ALXN,132.33,133.72,131.77,132.99,0.03,0.02,"1,237,177",149.34,102.10,...,...,...,11.20
Alico,ALCO,31.80,31.40,31.40,31.40,-0.60,-1.88,"422",34.80,25.55,0.24,0.76,...,6.44
Align Technology,ALGN,356.65,361.29,352.60,353.70,-2.95,-0.83,"862,735",385.00,165.18,...,...,97.98,59.19
Alimera Sciences,ALIM,1.02,1.05,0.96,0.99,-0.07,-6.61,"278,725",1.61,0.74,...,...,...,-25.57
ALJ Regional Holdings,ALJJ,2.14,2.14,1.90,1.97,-0.10,-4.94,"41,692",3.75,1.42,...,...,7.87,-37.53
Alkermes,ALKS,43.68,44.80,43.07,43.48,-0.37,-0.84,"855,656",71.22,39.54,...,...,...,-20.56
Allakos,ALLK,41.51,45.95,40.69,40.95,0.18,0.44,"434,804",45.95,26.00,...,...,...,...
Allegiance Bancshares,ABTX,45.00,45.10,44.30,44.85,-0.10,-0.22,"19,204",46.85,31.75,...,...,28.39,19.12
Allegiant Travel,ALGT,122.95,122.95,119.35,121.95,-1.65,-1.33,"316,666",181.45,111.54,2.80,2.30,9.36,-21.20
Allena Pharmaceuticals,ALNA,10.71,10.82,10.04,10.49,-0.22,-2.05,"161,309",17.56,6.13,...,...,...,4.27
Alliance Resource Partners,ARLP,20.35,20.40,19.80,20.00,-0.38,-1.84,"488,291",21.90,15.55,2.08,10.40,6.93,1.52
