Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.39,19.49,19.30,19.49,0.33,1.72,"3,676",27.00,16.15,0.30,1.54,17.84,6.50
1st Source,SRCE,44.56,46.04,44.36,45.21,1.09,2.47,"58,837",59.33,39.93,1.00,2.21,14.97,-8.57
2U,TWOU,59.94,60.25,59.03,59.85,0.75,1.27,"752,071",98.58,47.83,...,...,...,-7.22
21st Century Fox Cl A,FOXA,49.59,49.61,49.05,49.13,-0.11,-0.22,"11,579,200",50.15,32.35,0.36,0.73,18.68,42.28
21st Century Fox Cl B,FOX,49.37,49.37,48.81,48.92,-0.09,-0.18,"4,852,765",49.65,32.06,0.36,0.74,18.60,43.38
21Vianet Group ADR,VNET,9.24,9.56,9.19,9.43,0.31,3.40,"404,394",11.98,5.01,...,...,9.95,18.17
51job ADR,JOBS,69.00,70.00,67.56,68.84,0.33,0.48,"191,873",114.62,52.15,...,...,49.88,13.13
111 ADR,YI,7.08,7.44,6.65,7.00,...,...,"20,875",16.83,6.62,...,...,...,...
1347 Property Insurance Holdings,PIH,4.70,4.85,4.68,4.68,-0.17,-3.51,"8,684",8.25,4.65,...,...,52.70,-35.45
1-800-FLOWERS.COM Cl A,FLWS,12.84,12.99,12.47,12.64,-0.08,-0.63,"132,394",15.00,9.76,...,...,23.72,18.13
AAON,AAON,35.84,36.43,35.53,35.92,0.48,1.35,"96,890",44.90,29.05,0.32,0.89,41.40,-2.13
Abiomed,ABMD,335.00,341.09,330.32,330.69,2.56,0.78,"372,970",459.75,187.01,...,...,92.37,76.45
Acacia Communications,ACIA,42.00,43.84,42.00,42.87,1.57,3.80,"524,276",47.26,24.72,...,...,...,18.33
Acacia Research - Acacia Technologies,ACTG,3.28,3.28,3.05,3.10,-0.15,-4.62,"128,270",4.45,2.85,0.50,16.13,...,-23.46
Acadia Healthcare,ACHC,31.79,32.00,31.08,31.24,0.05,0.16,"1,570,755",45.35,28.02,...,...,12.12,-4.26
