Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.69,19.75,19.65,19.65,0.24,1.24,"2,295",27.00,16.45,0.30,1.53,17.99,-1.40
1st Source,SRCE,44.83,45.17,44.01,44.38,-0.25,-0.56,"41,159",59.33,38.44,1.00,2.25,14.70,10.01
2U,TWOU,56.66,58.26,55.81,55.83,-0.52,-0.92,"475,691",98.58,44.50,...,...,...,12.29
21st Century Fox Cl A,FOXA,48.70,48.92,48.49,48.65,0.09,0.19,"10,649,945",50.15,34.12,0.36,0.74,18.50,1.10
21st Century Fox Cl B,FOX,48.40,48.63,48.24,48.45,0.05,0.10,"4,133,342",49.65,33.75,0.36,0.74,18.42,1.40
21Vianet Group ADR,VNET,8.93,9.18,8.75,8.83,-0.07,-0.79,"223,564",11.98,5.01,...,...,9.32,2.20
51job ADR,JOBS,66.28,67.30,65.87,66.40,0.15,0.23,"260,487",114.62,52.15,...,...,48.11,6.34
111 ADR,YI,7.91,8.20,7.91,8.10,0.36,4.64,"1,651",16.83,5.95,...,...,...,31.92
360 Finance ADR,QFIN,12.07,13.58,12.07,12.63,0.43,3.52,"37,536",17.53,9.90,...,...,...,-18.55
1347 Property Insurance Holdings,PIH,4.12,4.35,4.12,4.35,-0.18,-3.97,"934",8.25,3.75,...,...,46.57,8.21
1-800-FLOWERS.COM Cl A,FLWS,12.90,13.42,12.90,13.40,0.53,4.12,"166,709",15.00,9.76,...,...,25.15,9.57
AAON,AAON,37.81,37.94,36.00,36.26,-1.42,-3.77,"122,026",44.90,29.05,0.32,0.88,41.68,3.42
Abiomed,ABMD,339.14,344.97,332.75,336.98,0.85,0.25,"366,410",459.75,219.13,...,...,81.62,3.67
Acacia Communications,ACIA,41.41,42.30,41.30,42.08,0.80,1.94,"290,445",47.26,24.72,...,...,...,10.74
Acacia Research - Acacia Technologies,ACTG,3.04,3.10,2.99,3.05,0.02,0.66,"94,763",4.40,2.75,0.50,16.39,...,2.35
Acadia Healthcare,ACHC,28.68,29.16,27.81,27.89,-0.43,-1.52,"863,223",45.35,24.27,...,...,10.82,8.48
ACADIA Pharmaceuticals,ACAD,20.44,20.94,20.12,20.81,0.49,2.41,"1,540,805",32.99,12.77,...,...,...,28.70
Acceleron Pharma,XLRN,41.15,42.00,40.21,41.15,0.51,1.25,"691,411",59.59,32.53,...,...,...,-5.51
Access National,ANCX,24.35,24.45,23.88,23.99,-0.36,-1.48,"56,770",30.40,20.34,0.68,2.83,16.79,12.47
Accuray,ARAY,4.50,4.61,4.12,4.42,0.45,11.34,"2,993,405",6.15,3.17,...,...,...,29.62
AcelRx Pharmaceuticals,ACRX,2.54,2.60,2.44,2.48,-0.05,-1.98,"2,030,846",5.05,1.65,...,...,...,7.36
Aceto,ACET,1.35,1.39,1.31,1.33,...,...,"66,243",11.98,0.79,0.04,3.01,...,58.33
Achaogen,AKAO,1.30,1.40,1.21,1.23,-0.06,-4.65,"1,122,860",15.00,1.14,...,...,...,...
Achillion Pharmaceuticals,ACHN,2.12,2.27,2.11,2.18,0.07,3.32,"1,682,782",4.34,1.29,...,...,...,37.11
AC Immune,ACIU,10.95,11.14,10.01,10.25,-0.58,-5.36,"226,894",17.40,7.16,...,...,...,8.47
ACI Worldwide,ACIW,28.33,28.46,27.96,28.43,0.20,0.71,"901,912",30.25,20.23,...,...,246.15,2.75
Aclaris Therapeutics,ACRS,6.18,6.32,6.03,6.06,-0.09,-1.46,"286,944",25.41,5.95,...,...,...,-18.00
ACM Research Cl A,ACMR,9.50,9.70,9.22,9.27,-0.08,-0.86,"28,635",15.60,5.11,...,...,20.97,-14.80
Acorda Therapeutics,ACOR,16.02,16.14,15.61,16.01,0.08,0.50,"599,717",36.35,12.86,...,...,...,2.76
Activision Blizzard,ATVI,47.32,47.44,45.63,46.02,-1.04,-2.21,"8,903,566",84.68,43.71,0.34,0.74,104.26,-1.18
Adamas Pharmaceuticals,ADMS,8.71,8.89,8.48,8.61,-0.06,-0.69,"268,440",44.00,7.42,...,...,...,0.82
Adaptimmune Therapeutics ADR,ADAP,4.48,4.74,4.41,4.47,-0.06,-1.32,"256,413",14.63,3.60,...,...,...,-22.26
Addus HomeCare,ADUS,61.58,63.02,61.49,62.50,0.93,1.51,"134,775",77.82,33.25,...,...,46.73,-7.93
ADDvantage Technologies Group,AEY,1.47,1.48,1.37,1.37,-0.11,-7.43,"3,416",1.83,1.21,...,...,...,-4.53
Adobe,ADBE,244.91,248.16,240.60,245.14,1.29,0.53,"1,961,137",277.61,179.34,...,...,47.05,8.35
Adtran,ADTN,11.79,12.28,11.79,12.27,0.49,4.16,"695,313",19.30,10.21,0.36,2.93,...,14.25
Aduro Biotech,ADRO,2.70,2.75,2.53,2.58,-0.13,-4.80,"308,893",9.93,2.34,...,...,...,-2.27
Advanced Emissions Solutions,ADES,11.25,11.42,11.15,11.36,0.17,1.52,"50,784",12.37,7.00,1.00,8.80,6.57,7.68
Advanced Energy Industries,AEIS,46.04,46.29,45.09,45.25,-0.38,-0.83,"240,900",77.25,38.74,...,...,18.32,5.40
Advanced Micro Devices,AMD,20.03,20.48,19.55,19.80,0.04,0.20,"76,394,400",34.14,9.04,...,...,58.24,7.26
Advaxis,ADXS,0.35,0.35,0.31,0.31,-0.04,-10.09,"351,034",3.29,0.18,...,...,...,64.21
Adverum Biotechnologies,ADVM,3.12,3.26,3.03,3.05,-0.09,-2.87,"108,076",8.59,2.62,...,...,...,-3.17
Aegion,AEGN,18.54,18.77,18.10,18.22,-0.27,-1.46,"50,689",26.80,15.12,...,...,...,11.64
Aeglea BioTherapeutics,AGLE,8.68,8.90,8.42,8.49,-0.25,-2.86,"55,668",12.00,5.12,...,...,...,13.35
Aemetis,AMTX,1.05,1.15,0.96,0.96,-0.04,-3.99,"149,379",3.12,0.42,...,...,...,58.30
Aerie Pharmaceuticals,AERI,44.06,45.16,43.08,43.64,-0.35,-0.80,"604,006",74.75,32.18,...,...,...,20.89
AeroVironment,AVAV,73.71,74.99,72.21,73.60,0.48,0.66,"130,506",121.32,41.60,...,...,41.64,8.31
Aevi Genomic Medicine,GNMX,0.21,0.21,0.20,0.20,-0.00,-1.51,"1,493,963",2.65,0.17,...,...,...,-71.16
Affimed,AFMD,3.37,3.40,3.25,3.32,-0.06,-1.78,"302,690",7.35,1.30,...,...,...,6.75
Agilysys,AGYS,14.37,14.65,14.22,14.27,-0.11,-0.76,"28,585",17.52,10.77,...,...,...,-0.49
Agios Pharmaceuticals,AGIO,52.56,53.61,50.83,52.03,-0.24,-0.46,"486,407",99.82,41.63,...,...,...,12.84
AGNC Investment,AGNC,17.98,18.03,17.92,18.01,0.07,0.39,"4,683,096",19.76,16.96,2.16,11.99,5.69,2.68
AgroFresh Solutions,AGFS,3.69,3.90,3.63,3.85,0.17,4.62,"156,632",8.75,3.41,...,...,...,1.58
AgroFresh Solutions WT,AGFSW,0.17,0.17,0.17,0.17,...,...,"577",0.77,0.05,...,...,...,5.63
Aileron Therapeutics,ALRN,1.05,1.13,1.01,1.06,-0.01,-0.93,"69,548",9.88,0.52,...,...,...,26.19
Aimmune Therapeutics,AIMT,22.15,22.25,21.32,21.69,-0.25,-1.14,"575,532",42.00,21.32,...,...,...,-9.32
Air Transport Services Group,ATSG,24.05,24.12,23.58,23.93,-0.09,-0.37,"171,978",27.59,17.06,...,...,11.41,4.91
Akamai Technologies,AKAM,64.57,64.89,63.75,64.35,-0.16,-0.25,"939,239",83.08,57.18,...,...,49.12,5.35
Akcea Therapeutics,AKCA,29.58,30.34,28.05,28.23,-1.09,-3.72,"79,612",40.75,15.73,...,...,...,-6.34
Akebia Therapeutics,AKBA,6.04,6.08,5.73,5.78,-0.24,-3.99,"640,073",15.78,5.20,...,...,...,4.52
Akorn,AKRX,3.67,3.89,3.65,3.85,0.18,4.90,"1,818,838",33.26,3.14,...,...,...,13.57
Alarm.Com Holdings,ALRM,60.28,60.87,59.16,60.17,0.77,1.30,"552,637",61.64,33.39,...,...,212.39,16.00
Alaska Communications Systems Group,ALSK,2.00,2.05,1.98,2.03,0.04,2.01,"148,470",2.43,1.37,...,...,26.54,40.97
Alder BioPharmaceuticals,ALDR,12.72,12.91,12.00,12.24,-0.42,-3.32,"798,006",20.87,9.44,...,...,...,19.41
Alexion Pharmaceuticals,ALXN,115.14,117.98,114.83,117.00,2.71,2.37,"2,334,765",140.77,92.56,...,...,176.74,20.17
Alico,ALCO,30.85,30.85,29.55,29.99,0.88,3.02,"4,939",34.65,25.55,0.24,0.80,19.25,1.66
Align Technology,ALGN,217.00,221.21,215.14,217.22,1.06,0.49,"1,084,235",398.88,177.93,...,...,56.57,3.72
Alimera Sciences,ALIM,0.85,0.87,0.83,0.86,0.02,2.33,"63,249",1.34,0.72,...,...,6.96,19.76
ALJ Regional Holdings,ALJJ,1.43,1.43,1.33,1.34,-0.04,-2.90,"12,586",3.49,1.05,...,...,...,2.29
Alkermes,ALKS,33.11,33.39,32.03,32.44,-0.61,-1.85,"467,313",71.22,27.54,...,...,...,9.93
Allakos,ALLK,41.67,44.70,41.50,42.84,1.69,4.11,"302,623",65.48,26.00,...,...,...,-18.04
Allegiance Bancshares,ABTX,35.85,35.90,35.60,35.77,-0.05,-0.14,"24,059",46.85,28.58,...,...,17.80,10.50
Allegiant Travel,ALGT,120.33,121.47,118.58,119.04,-0.47,-0.39,"111,979",181.45,98.18,2.80,2.35,9.46,18.78
Allena Pharmaceuticals,ALNA,8.42,9.24,8.30,8.40,0.08,0.96,"17,620",17.56,4.80,...,...,...,54.13
Alliance Resource Partners,ARLP,18.59,19.00,18.59,18.93,0.47,2.55,"375,222",21.90,15.55,2.10,11.09,6.52,9.17
Alliant Energy,LNT,43.00,43.65,43.00,43.64,0.50,1.16,"1,691,753",46.58,36.84,1.42,3.25,19.53,3.29
Allied Motion Technologies,AMOT,41.36,42.16,40.80,41.29,-0.08,-0.19,"25,001",55.47,28.08,0.12,0.29,28.90,-7.61
Allogene Therapeutics,ALLO,27.90,28.46,27.04,27.81,0.03,0.11,"136,390",35.55,21.67,...,...,...,3.27
Allot,ALLT,6.32,6.39,6.29,6.39,0.08,1.27,"51,187",7.32,4.74,...,...,...,5.27
Allscripts Healthcare Solutions,MDRX,12.10,12.19,11.79,11.86,-0.19,-1.58,"2,824,125",15.55,8.54,...,...,...,23.03
Alnylam Pharmaceuticals,ALNY,81.25,82.42,78.52,80.01,-0.65,-0.81,"808,730",153.99,60.27,...,...,...,9.74
