Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.35,22.50,21.95,22.35,...,...,"7,107",27.00,16.15,0.24,1.07,24.03,22.13
1st Source,SRCE,58.25,58.25,57.10,57.63,-0.63,-1.08,"27,180",59.33,44.59,1.00,1.74,19.74,16.54
2U,TWOU,84.68,86.89,84.56,85.99,1.29,1.52,"530,999",98.58,45.50,...,...,...,33.30
21st Century Fox Cl A,FOXA,45.13,45.31,44.59,45.19,-0.04,-0.09,"13,626,068",50.15,24.81,0.36,0.80,20.82,30.87
21st Century Fox Cl B,FOX,44.90,45.01,44.29,44.87,-0.04,-0.09,"3,962,257",49.65,24.30,0.36,0.80,20.68,31.51
21Vianet Group ADR,VNET,10.30,10.36,9.99,10.32,0.01,0.10,"576,119",11.54,4.17,...,...,...,29.32
51job ADR,JOBS,92.58,95.99,92.13,95.23,2.64,2.85,"288,700",114.62,47.12,...,...,...,56.50
1347 Property Insurance Holdings,PIH,7.10,7.10,7.10,7.10,0.02,0.22,"116",8.25,6.55,...,...,22.19,-2.04
1-800-FLOWERS.COM Cl A,FLWS,13.90,14.45,13.90,14.35,0.45,3.24,"254,913",14.45,7.80,...,...,16.88,34.11
AAON,AAON,36.30,36.35,35.90,36.15,-0.20,-0.55,"155,769",40.25,29.05,0.32,0.89,39.29,-1.50
Abaxis,ABAX,83.11,83.33,83.10,83.13,0.03,0.04,"68,857",83.98,43.66,0.72,0.87,70.45,67.87
Abiomed,ABMD,423.80,431.82,422.70,430.64,7.23,1.71,"576,500",450.93,141.56,...,...,175.77,129.78
Acacia Communications,ACIA,32.45,33.34,32.45,32.86,0.56,1.73,"503,002",50.10,24.72,...,...,...,-9.30
Acacia Research - Acacia Technologies,ACTG,3.75,3.85,3.70,3.80,0.05,1.33,"87,806",5.50,2.90,0.50,13.16,82.97,-6.17
Acadia Healthcare,ACHC,42.81,43.80,42.81,43.77,1.04,2.43,"500,585",54.34,26.92,...,...,17.72,34.14
ACADIA Pharmaceuticals,ACAD,15.86,16.24,15.83,16.05,0.06,0.38,"1,767,337",41.20,14.51,...,...,...,-46.70
Acceleron Pharma,XLRN,45.86,46.11,43.83,44.10,-1.59,-3.48,"333,774",50.00,30.78,...,...,...,3.91
Access National,ANCX,28.93,28.93,28.27,28.27,-0.69,-2.38,"38,882",30.99,24.36,0.60,2.12,26.42,1.54
Accuray,ARAY,4.00,4.10,4.00,4.10,0.10,2.50,"278,115",6.15,3.60,...,...,...,-4.65
AcelRx Pharmaceuticals,ACRX,2.90,2.99,2.85,2.90,-0.05,-1.69,"397,581",5.75,1.55,...,...,...,43.21
