Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.50,22.80,21.55,21.60,-0.95,-4.21,"35,839",27.00,16.15,0.24,1.11,22.98,18.03
1st Source,SRCE,56.48,56.72,56.09,56.54,0.28,0.50,"39,182",56.72,44.59,0.96,1.70,20.79,14.34
2U,TWOU,94.88,95.90,94.27,94.48,0.17,0.18,"588,118",98.58,44.69,...,...,...,46.46
21st Century Fox Cl A,FOXA,47.59,48.52,47.26,48.08,3.37,7.54,"65,770,104",48.52,24.81,0.36,0.75,22.16,39.24
21st Century Fox Cl B,FOX,47.35,48.02,46.93,47.50,3.21,7.25,"34,213,206",48.02,24.30,0.36,0.76,21.89,39.21
21Vianet Group ADR,VNET,8.68,8.89,8.42,8.58,-0.07,-0.81,"669,297",9.59,4.17,...,...,...,7.52
51job ADR,JOBS,104.95,107.82,104.90,107.39,3.47,3.34,"265,622",114.62,44.15,...,...,...,76.48
1347 Property Insurance Holdings,PIH,7.30,7.49,7.30,7.49,0.19,2.59,"2,908",8.40,6.55,...,...,23.40,3.30
1-800-FLOWERS.COM Cl A,FLWS,13.20,13.30,12.95,13.20,0.10,0.76,"96,210",13.32,7.80,...,...,15.53,23.36
AAON,AAON,33.75,33.77,33.35,33.65,0.15,0.45,"162,830",40.25,29.05,0.32,0.95,36.58,-8.31
Abaxis,ABAX,83.11,83.37,82.98,83.02,-0.03,-0.04,"269,177",83.98,43.66,0.72,0.87,70.36,67.65
Abiomed,ABMD,441.10,450.93,441.10,446.21,6.57,1.49,"561,735",450.93,139.49,...,...,182.13,138.09
Acacia Communications,ACIA,34.22,35.11,34.08,34.65,0.71,2.09,"369,628",50.10,24.72,...,...,...,-4.36
Acacia Research - Acacia Technologies,ACTG,4.30,4.30,4.15,4.20,-0.05,-1.18,"285,822",5.50,2.90,0.50,11.90,91.70,3.70
Acadia Healthcare,ACHC,42.94,44.08,42.34,43.92,1.23,2.88,"1,004,596",54.34,26.92,...,...,17.78,34.60
ACADIA Pharmaceuticals,ACAD,16.33,17.06,16.33,17.05,0.72,4.41,"1,921,390",41.20,14.51,...,...,...,-43.37
Acceleron Pharma,XLRN,37.21,37.85,36.83,37.47,0.48,1.30,"450,854",46.93,29.35,...,...,...,-11.71
Access National,ANCX,29.63,30.00,28.88,30.00,0.38,1.28,"66,282",30.99,24.36,0.60,2.00,28.04,7.76
Accuray,ARAY,4.30,4.35,4.10,4.20,-0.13,-2.89,"775,126",6.15,3.60,...,...,...,-2.33
AcelRx Pharmaceuticals,ACRX,4.20,4.25,3.95,4.00,-0.18,-4.19,"600,050",5.75,1.55,...,...,...,97.53
Aceto,ACET,4.06,4.20,4.05,4.18,0.13,3.21,"439,438",17.10,2.22,0.04,0.96,...,-59.54
Achaogen,AKAO,12.24,13.29,12.21,13.02,0.81,6.63,"1,307,784",25.22,9.83,...,...,...,21.23
Achillion Pharmaceuticals,ACHN,2.89,3.07,2.85,3.05,0.18,6.27,"990,322",5.66,2.58,...,...,...,5.90
AC Immune,ACIU,9.35,9.82,9.21,9.77,0.23,2.41,"12,026",13.91,6.03,...,...,...,-23.67
ACI Worldwide,ACIW,26.90,27.16,26.79,26.83,-0.01,-0.04,"541,149",27.16,20.23,...,...,...,18.35
Aclaris Therapeutics,ACRS,19.92,20.43,19.75,20.33,0.48,2.42,"214,123",30.08,16.01,...,...,...,-17.56
ACM Research Cl A,ACMR,12.83,13.26,12.56,12.96,0.25,1.97,"82,480",15.60,4.74,...,...,...,146.86
Acorda Therapeutics,ACOR,30.65,30.70,30.10,30.50,-0.05,-0.16,"593,930",36.35,16.55,...,...,...,42.19
Activision Blizzard,ATVI,77.25,77.67,76.78,76.84,-0.40,-0.52,"3,419,551",79.63,55.86,0.34,0.44,174.08,21.35
Acxiom,ACXM,30.25,30.86,30.03,30.33,0.30,1.00,"775,467",32.93,18.60,...,...,108.32,10.05
Adamas Pharmaceuticals,ADMS,25.41,26.81,25.30,26.19,0.92,3.64,"522,891",44.00,13.50,...,...,...,-22.72
