Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.60,21.85,21.50,21.80,0.20,0.93,"8,450",22.52,16.15,0.24,1.10,23.19,19.13
1st Source,SRCE,53.10,53.60,52.85,53.21,0.18,0.34,"37,695",54.65,44.33,0.96,1.80,19.56,7.60
2U,TWOU,90.30,92.91,89.97,92.68,1.80,1.98,"463,401",92.91,39.58,...,...,...,43.67
8Point3 Energy Partners,CAFD,12.14,12.23,12.09,12.17,0.07,0.58,"88,060",15.92,11.69,1.12,9.21,16.67,-19.99
21st Century Fox Cl A,FOXA,38.21,38.32,37.57,37.70,-0.29,-0.76,"10,784,011",39.35,24.81,0.36,0.95,17.62,9.18
21st Century Fox Cl B,FOX,37.50,37.74,37.10,37.24,-0.21,-0.56,"2,286,950",38.71,24.30,0.36,0.97,17.40,9.14
21Vianet Group ADR,VNET,5.17,5.37,5.11,5.17,0.03,0.58,"424,787",9.59,4.17,...,...,...,-35.21
51job ADR,JOBS,97.56,102.51,97.31,101.76,4.53,4.66,"399,894",102.51,42.01,...,...,123.89,67.23
1347 Property Insurance Holdings,PIH,6.68,6.68,6.68,6.68,-0.08,-1.15,"618",8.50,6.55,...,...,167.08,-7.82
1-800-FLOWERS.COM Cl A,FLWS,12.40,12.50,12.05,12.45,0.10,0.81,"268,017",13.32,7.80,...,...,14.65,16.36
AAON,AAON,30.70,30.70,30.05,30.15,-0.35,-1.15,"164,985",40.25,29.05,0.26,0.86,32.77,-17.85
Abaxis,ABAX,68.38,68.97,67.72,68.40,0.13,0.19,"132,611",78.53,43.66,0.72,1.05,57.97,38.13
Abiomed,ABMD,347.65,361.83,347.57,358.16,10.78,3.10,"488,378",361.83,129.55,...,...,146.19,91.11
Ablynx ADR,ABLX,52.99,53.09,52.96,52.96,-0.38,-0.71,"1,098",55.29,17.75,...,...,...,111.92
Acacia Communications,ACIA,30.83,31.87,30.28,31.17,0.20,0.65,"955,264",50.10,24.72,...,...,...,-13.97
Acacia Research - Acacia Technologies,ACTG,3.75,3.84,3.75,3.80,0.05,1.33,"200,312",5.50,2.90,0.50,13.16,82.97,-6.17
Acadia Healthcare,ACHC,41.48,42.62,41.33,42.06,0.81,1.96,"1,142,728",54.34,26.92,...,...,17.03,28.90
ACADIA Pharmaceuticals,ACAD,18.14,18.65,18.00,18.58,0.47,2.60,"1,357,901",41.20,14.51,...,...,...,-38.29
Acceleron Pharma,XLRN,38.49,38.49,36.12,36.24,0.25,0.69,"423,845",46.93,24.37,...,...,...,-14.61
Access National,ANCX,27.25,27.46,27.15,27.33,0.12,0.44,"39,253",30.99,24.36,0.60,2.20,25.54,-1.83
Accuray,ARAY,4.50,4.70,4.50,4.65,0.15,3.33,"367,856",6.15,3.60,...,...,...,8.14
AcelRx Pharmaceuticals,ACRX,2.60,2.65,2.50,2.50,...,...,"349,925",5.75,1.55,...,...,...,23.46
Aceto,ACET,2.68,2.86,2.68,2.80,0.11,4.09,"842,306",17.10,2.22,0.04,1.43,...,-72.89
Achaogen,AKAO,13.12,13.31,12.75,13.09,0.01,0.08,"951,210",27.49,9.83,...,...,...,21.88
Achillion Pharmaceuticals,ACHN,3.67,3.75,3.63,3.69,0.02,0.54,"1,145,739",5.66,2.58,...,...,...,28.13
AC Immune,ACIU,10.00,10.06,9.80,9.80,-0.33,-3.26,"9,747",13.91,6.03,...,...,...,-23.44
ACI Worldwide,ACIW,23.55,23.89,23.36,23.89,0.39,1.66,"1,150,465",26.37,20.23,...,...,477.80,5.38
Aclaris Therapeutics,ACRS,17.45,18.50,17.45,18.01,-0.36,-1.96,"267,696",30.08,16.01,...,...,...,-26.97
ACM Research Cl A,ACMR,11.38,11.93,11.38,11.75,0.21,1.82,"26,916",15.60,4.74,...,...,...,123.81
