Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.17,20.46,20.12,20.12,0.01,0.05,"4,111",27.00,16.15,0.30,1.49,18.42,9.95
1st Source,SRCE,47.60,47.60,45.97,46.54,-0.74,-1.57,"36,110",59.33,39.93,1.00,2.15,15.41,-5.88
2U,TWOU,52.91,53.32,51.67,51.77,-0.57,-1.09,"676,986",98.58,49.73,...,...,...,-19.75
21st Century Fox Cl A,FOXA,47.88,48.29,47.70,47.93,0.21,0.44,"8,958,413",50.15,27.53,0.36,0.75,18.22,38.81
21st Century Fox Cl B,FOX,47.41,47.81,47.32,47.43,0.15,0.32,"4,490,361",49.65,26.86,0.36,0.76,18.03,39.01
21Vianet Group ADR,VNET,10.75,11.06,10.72,10.91,0.15,1.39,"261,437",11.54,5.01,...,...,...,36.72
51job ADR,JOBS,68.00,70.75,66.27,66.64,-0.71,-1.05,"209,315",114.62,52.15,...,...,48.28,9.52
111 ADR,YI,9.73,9.82,9.73,9.80,0.18,1.87,"2,042",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.71,5.71,5.53,5.55,-0.29,-4.97,"5,483",8.25,5.25,...,...,17.34,-23.45
1-800-FLOWERS.COM Cl A,FLWS,13.12,13.46,12.94,12.95,...,...,"284,919",15.00,8.95,...,...,24.31,21.03
AAON,AAON,43.36,43.41,41.44,41.52,-1.60,-3.71,"319,665",44.90,29.05,0.32,0.77,47.86,13.13
Abiomed,ABMD,333.30,335.16,309.82,312.56,-18.07,-5.47,"1,110,252",459.75,186.72,...,...,87.31,66.78
Acacia Communications,ACIA,43.93,45.16,43.50,44.62,0.84,1.92,"468,320",47.26,24.72,...,...,...,23.16
Acacia Research - Acacia Technologies,ACTG,3.25,3.25,3.13,3.16,-0.06,-1.86,"54,476",4.45,2.85,0.50,15.82,...,-21.98
Acadia Healthcare,ACHC,36.28,38.08,36.14,37.49,1.48,4.11,"3,612,680",45.35,26.92,...,...,14.54,14.89
ACADIA Pharmaceuticals,ACAD,18.13,18.18,17.02,17.53,-0.28,-1.57,"2,146,567",32.99,12.77,...,...,...,-41.78
Acceleron Pharma,XLRN,51.34,51.80,49.24,50.00,-1.36,-2.65,"295,591",59.59,32.53,...,...,...,17.81
Access National,ANCX,26.31,26.62,25.73,25.90,-0.30,-1.15,"30,343",30.40,23.95,0.68,2.63,18.12,-6.97
Accuray,ARAY,4.82,4.82,4.54,4.59,-0.17,-3.57,"323,112",6.15,3.20,...,...,...,6.74
AcelRx Pharmaceuticals,ACRX,3.14,3.19,2.92,3.00,-0.16,-5.06,"3,302,783",5.05,1.65,...,...,...,48.15
Aceto,ACET,1.72,2.05,1.71,1.87,0.16,9.36,"373,381",11.98,1.53,0.04,2.14,...,-81.90
Achaogen,AKAO,1.94,1.94,1.70,1.80,-0.13,-6.74,"1,200,160",15.00,1.70,...,...,...,-83.24
Achillion Pharmaceuticals,ACHN,2.74,2.81,2.55,2.62,-0.08,-2.96,"1,216,174",4.34,2.33,...,...,...,-9.03
AC Immune,ACIU,8.93,9.07,8.50,8.84,-0.09,-1.01,"40,751",17.40,7.16,...,...,...,-30.94
ACI Worldwide,ACIW,29.15,29.45,28.40,28.51,-0.29,-1.01,"580,108",30.25,20.23,...,...,251.19,25.76
Aclaris Therapeutics,ACRS,9.70,9.85,8.98,9.11,-0.53,-5.50,"293,752",26.25,8.98,...,...,...,-63.06
ACM Research Cl A,ACMR,11.73,11.73,11.20,11.35,-0.11,-0.96,"19,912",15.60,4.74,...,...,25.80,116.19
Acorda Therapeutics,ACOR,19.47,19.53,18.27,18.60,-0.70,-3.63,"454,738",36.35,15.60,...,...,...,-13.29
Activision Blizzard,ATVI,53.19,53.49,51.37,51.60,-0.95,-1.81,"8,937,893",84.68,51.37,0.34,0.66,116.90,-18.51
Adamas Pharmaceuticals,ADMS,11.63,11.94,10.59,10.86,-0.66,-5.73,"660,295",44.00,10.58,...,...,...,-67.96
Adaptimmune Therapeutics ADR,ADAP,6.02,6.13,5.50,5.65,-0.35,-5.83,"544,646",14.63,5.50,...,...,...,-15.42
Addus HomeCare,ADUS,70.26,70.57,68.26,68.28,-1.74,-2.49,"133,540",76.89,31.20,...,...,50.88,96.21
ADDvantage Technologies Group,AEY,1.34,1.38,1.34,1.34,...,0.27,"749",2.33,1.21,...,...,...,-8.84
Adobe,ADBE,242.16,242.91,231.91,235.22,-3.52,-1.47,"3,086,647",277.61,165.68,...,...,48.60,34.23
Adtran,ADTN,13.80,13.94,13.47,13.63,-0.07,-0.51,"374,218",23.15,13.05,0.36,2.64,...,-29.56
Aduro Biotech,ADRO,3.23,3.39,3.20,3.33,0.13,4.06,"439,451",10.00,3.19,...,...,...,-55.60
Advanced Emissions Solutions,ADES,9.80,9.96,9.71,9.85,0.09,0.92,"51,058",12.37,7.00,1.00,10.15,5.69,1.97
