Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.95,19.95,19.53,19.65,-0.27,-1.36,"13,989",27.00,16.15,0.24,1.22,21.13,7.38
1st Source,SRCE,52.65,54.30,52.20,52.23,-0.42,-0.80,"47,118",59.33,47.16,1.00,1.91,17.89,5.62
2U,TWOU,69.48,69.48,66.00,66.59,-3.42,-4.89,"951,492",98.58,57.84,...,...,...,3.22
21st Century Fox Cl A,FOXA,45.51,45.57,44.62,44.62,-0.88,-1.93,"7,275,417",50.15,24.81,0.36,0.81,18.59,29.22
21st Century Fox Cl B,FOX,45.06,45.32,44.36,44.40,-0.86,-1.90,"3,387,837",49.65,24.30,0.36,0.81,18.50,30.13
21Vianet Group ADR,VNET,9.74,10.10,9.46,9.67,-0.10,-1.02,"763,902",11.54,5.01,...,...,...,21.18
51job ADR,JOBS,62.96,64.35,60.27,60.55,-2.80,-4.42,"411,459",114.62,56.22,...,...,...,-0.49
111 ADR,YI,10.98,11.05,10.31,10.51,-0.64,-5.74,"20,279",16.83,10.21,...,...,...,...
1347 Property Insurance Holdings,PIH,6.31,6.33,6.26,6.26,-0.05,-0.79,"1,833",8.25,6.10,...,...,19.56,-13.65
1-800-FLOWERS.COM Cl A,FLWS,11.20,11.40,11.01,11.04,-0.17,-1.52,"164,339",15.00,8.85,...,...,18.40,3.18
AAON,AAON,34.00,34.43,32.90,33.00,-1.00,-2.94,"195,130",43.30,29.05,0.32,0.97,37.50,-10.08
Abiomed,ABMD,394.64,396.99,375.61,376.89,-18.19,-4.60,"830,602",459.75,164.80,...,...,105.28,101.10
Acacia Communications,ACIA,37.72,38.00,35.97,36.51,-1.40,-3.69,"526,977",47.66,24.72,...,...,...,0.77
Acacia Research - Acacia Technologies,ACTG,3.15,3.16,3.00,3.10,-0.05,-1.59,"564,851",4.70,3.00,0.50,16.13,...,-23.46
Acadia Healthcare,ACHC,38.41,38.48,36.22,36.55,-2.14,-5.53,"2,826,911",45.27,26.92,...,...,14.22,12.01
ACADIA Pharmaceuticals,ACAD,21.02,21.22,20.15,20.24,-0.92,-4.35,"1,898,676",38.00,12.77,...,...,...,-32.78
Acceleron Pharma,XLRN,49.99,50.81,48.38,48.51,-1.79,-3.56,"425,933",59.59,32.53,...,...,...,14.30
Access National,ANCX,29.06,29.50,28.93,28.97,-0.07,-0.24,"167,222",30.99,25.81,0.64,2.21,22.11,4.06
