Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.80,20.80,20.30,20.55,-0.10,-0.48,"5,495",27.00,16.15,0.24,1.17,22.10,12.30
1st Source,SRCE,54.26,55.14,53.75,54.25,0.02,0.04,"22,395",59.33,45.96,1.00,1.84,18.58,9.71
2U,TWOU,78.97,79.46,76.33,77.92,-1.28,-1.62,"374,665",98.58,51.54,...,...,...,20.79
21st Century Fox Cl A,FOXA,44.81,44.81,44.49,44.62,0.08,0.18,"4,929,044",50.15,24.81,0.36,0.81,18.59,29.22
21st Century Fox Cl B,FOX,44.12,44.38,44.11,44.26,0.10,0.23,"2,334,368",49.65,24.30,0.36,0.81,18.44,29.72
21Vianet Group ADR,VNET,8.97,9.24,8.92,9.20,0.33,3.72,"189,863",11.54,5.01,...,...,...,15.29
51job ADR,JOBS,68.68,70.10,67.39,69.18,0.64,0.93,"320,768",114.62,56.22,...,...,...,13.69
111 ADR,YI,13.26,13.82,12.71,13.82,0.76,5.82,"96,010",16.83,11.57,...,...,...,...
1347 Property Insurance Holdings,PIH,6.20,6.45,6.10,6.20,...,...,"14,004",8.25,6.10,...,...,19.38,-14.48
1-800-FLOWERS.COM Cl A,FLWS,11.00,11.22,10.90,11.15,0.10,0.90,"182,324",15.00,8.85,...,...,18.58,4.21
AAON,AAON,39.90,40.10,38.90,39.10,-0.85,-2.13,"164,947",43.30,29.05,0.32,0.82,44.43,6.54
Abiomed,ABMD,377.00,380.53,366.91,376.75,0.19,0.05,"433,668",450.93,156.53,...,...,105.24,101.03
Acacia Communications,ACIA,38.63,39.43,38.63,39.12,0.34,0.88,"433,500",48.90,24.72,...,...,...,7.98
Acacia Research - Acacia Technologies,ACTG,3.20,3.30,3.10,3.25,0.05,1.56,"198,352",5.50,3.05,0.50,15.38,...,-19.75
Acadia Healthcare,ACHC,35.51,35.87,34.91,35.11,-0.34,-0.96,"633,419",48.35,26.92,...,...,13.66,7.60
ACADIA Pharmaceuticals,ACAD,14.28,15.17,14.19,15.10,0.82,5.74,"1,611,246",41.20,12.77,...,...,...,-49.85
Acceleron Pharma,XLRN,53.44,56.76,53.44,56.34,2.31,4.28,"658,124",56.76,32.53,...,...,...,32.75
Access National,ANCX,27.00,27.61,27.00,27.37,0.25,0.92,"47,397",30.99,26.07,0.64,2.34,20.89,-1.69
Accuray,ARAY,3.90,4.10,3.80,3.90,-0.05,-1.27,"1,345,709",6.15,3.20,...,...,...,-9.30
AcelRx Pharmaceuticals,ACRX,3.75,3.75,3.65,3.70,-0.05,-1.33,"641,156",5.75,1.55,...,...,...,82.72
Aceto,ACET,2.89,2.97,2.86,2.92,0.02,0.69,"153,303",11.98,2.22,0.04,1.37,...,-71.73
Achaogen,AKAO,4.30,4.68,4.20,4.56,0.28,6.54,"653,315",16.59,4.06,...,...,...,-57.54
Achillion Pharmaceuticals,ACHN,3.21,3.27,3.15,3.26,0.05,1.56,"408,176",4.82,2.33,...,...,...,13.19
AC Immune,ACIU,8.03,8.50,8.03,8.30,0.26,3.23,"68,124",17.40,7.57,...,...,...,-35.16
ACI Worldwide,ACIW,28.28,28.34,27.81,28.01,-0.24,-0.85,"446,046",28.98,20.23,...,...,2801.00,23.56
Aclaris Therapeutics,ACRS,14.98,15.68,14.98,15.45,0.47,3.14,"204,652",28.62,14.12,...,...,...,-37.35
ACM Research Cl A,ACMR,11.85,11.92,11.48,11.71,-0.18,-1.51,"25,639",15.60,4.74,...,...,195.17,123.05
Acorda Therapeutics,ACOR,17.75,18.55,17.75,18.00,0.20,1.12,"540,819",36.35,15.60,...,...,...,-16.08
Activision Blizzard,ATVI,79.93,80.13,78.52,79.58,-0.05,-0.06,"3,635,764",82.03,57.29,0.34,0.43,180.29,25.68
Acxiom,ACXM,48.60,48.66,47.54,48.19,-0.28,-0.58,"1,419,377",49.40,18.60,...,...,185.35,74.85
Adamas Pharmaceuticals,ADMS,18.65,19.11,18.26,18.82,0.15,0.80,"485,577",44.00,17.68,...,...,...,-44.47
Adaptimmune Therapeutics ADR,ADAP,11.48,11.92,11.43,11.83,0.35,3.05,"699,485",14.63,6.60,...,...,...,77.10
Addus HomeCare,ADUS,71.30,72.55,70.00,70.55,-0.70,-0.98,"137,358",72.55,30.95,...,...,52.26,102.73
ADDvantage Technologies Group,AEY,1.38,1.42,1.38,1.40,0.02,1.45,"808",2.33,1.21,...,...,...,-4.76
Adobe Systems,ADBE,271.14,271.95,263.61,264.88,-5.91,-2.18,"2,756,403",277.61,143.95,...,...,54.73,51.15
Adtran,ADTN,18.55,18.60,18.25,18.35,-0.25,-1.34,"290,324",25.10,13.95,0.36,1.96,...,-5.17
Aduro Biotech,ADRO,6.65,6.78,6.30,6.40,-0.35,-5.19,"660,533",11.55,5.10,...,...,...,-14.67
Advanced Emissions Solutions,ADES,11.71,11.80,11.60,11.64,-0.11,-0.94,"52,181",12.20,7.00,1.00,8.59,6.73,20.50
Advanced Energy Industries,AEIS,53.15,53.30,52.03,52.59,-0.40,-0.75,"225,293",95.00,51.94,...,...,14.33,-22.07
Advaxis,ADXS,0.79,0.85,0.79,0.83,0.04,4.82,"700,075",5.05,0.78,...,...,...,-70.84
Adverum Biotechnologies,ADVM,5.75,5.95,5.72,5.85,...,...,"429,535",8.59,2.85,...,...,...,67.14
Aegion,AEGN,24.02,24.34,23.96,24.06,0.06,0.25,"135,212",28.19,19.81,...,...,...,-5.39
Aeglea BioTherapeutics,AGLE,8.50,8.66,8.44,8.49,...,...,"261,908",12.00,3.75,...,...,...,56.93
Aemetis,AMTX,1.16,1.16,1.01,1.04,-0.15,-12.24,"23,007",3.12,0.45,...,...,...,89.09
Aerie Pharmaceuticals,AERI,56.55,57.40,55.90,56.20,-0.35,-0.62,"316,810",74.75,47.05,...,...,...,-5.94
AeroVironment,AVAV,119.90,121.00,113.46,114.47,-5.36,-4.47,"525,545",121.32,41.53,...,...,63.95,103.83
Aevi Genomic Medicine,GNMX,1.38,1.40,1.30,1.35,-0.03,-2.17,"87,357",2.65,0.83,...,...,...,12.50
Affimed,AFMD,4.40,4.85,4.35,4.70,0.35,8.05,"2,695,393",7.35,1.15,...,...,...,261.54
Agile Therapeutics,AGRX,0.35,0.36,0.33,0.34,-0.03,-8.22,"1,472,225",5.40,0.23,...,...,...,-87.51
Agilysys,AGYS,16.03,16.41,15.97,16.30,0.30,1.88,"113,664",16.87,10.42,...,...,...,32.74
Agios Pharmaceuticals,AGIO,71.14,74.33,71.07,72.50,0.83,1.16,"190,624",99.82,51.62,...,...,...,26.81
AGNC Investment,AGNC,18.78,18.82,18.68,18.71,-0.06,-0.32,"6,302,674",21.94,17.84,2.16,11.54,5.41,-7.33
AgroFresh Solutions,AGFS,6.70,6.85,6.65,6.71,...,...,"163,108",8.75,4.94,...,...,...,-9.32
AgroFresh Solutions WT,AGFSW,0.21,0.21,0.19,0.19,-0.02,-9.33,"2,575",0.77,0.05,...,...,...,-53.56
Aileron Therapeutics,ALRN,3.39,3.54,3.00,3.39,0.06,1.80,"115,206",15.48,1.98,...,...,...,-67.84
Aimmune Therapeutics,AIMT,27.69,28.14,27.26,27.55,-0.14,-0.51,"345,892",42.00,23.01,...,...,...,-27.15
AirMedia Group ADR,AMCN,0.41,0.42,0.40,0.41,-0.01,-1.21,"153,494",2.80,0.38,...,...,...,-63.93
Air Transport Services Group,ATSG,22.18,22.53,22.06,22.28,0.12,0.54,"302,716",27.67,19.17,...,...,17.15,-3.72
Akamai Technologies,AKAM,74.14,74.86,73.44,73.74,-0.59,-0.79,"1,101,815",83.08,46.97,...,...,72.29,13.38
Akcea Therapeutics,AKCA,26.41,27.78,26.13,27.05,0.55,2.08,"244,524",40.75,15.20,...,...,...,55.82
Akebia Therapeutics,AKBA,7.74,7.86,7.64,7.74,-0.04,-0.51,"487,234",20.25,7.32,...,...,...,-47.95
Akorn,AKRX,13.40,13.70,13.26,13.38,...,...,"1,057,426",33.63,10.76,...,...,...,-58.49
Alarm.Com Holdings,ALRM,56.00,56.66,55.26,55.86,0.02,0.04,"392,768",59.05,33.39,...,...,74.48,47.97
