Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.37,3.40,3.13,3.37,0.06,1.81,"83,834",4.49,2.63,...,...,...,...
Abeona Therapeutics,ABEO,14.95,15.65,14.95,15.40,0.50,3.36,"367,480",22.75,10.50,...,...,...,-2.84
Abeona Therapeutics WT,ABEOW,10.40,10.40,10.40,10.40,-0.10,-0.95,"200",17.56,5.90,...,...,...,-10.34
Ability,ABIL,3.80,3.92,3.62,3.79,0.09,2.43,"60,704",14.55,2.14,...,...,...,-13.86
Abraxas Petroleum,AXAS,2.25,2.26,2.23,2.25,-0.01,-0.44,"729,121",3.27,1.59,...,...,...,-8.54
Acasti Pharma,ACST,0.55,0.59,0.52,0.56,0.02,3.53,"189,800",3.36,0.43,...,...,...,-40.81
Accelerate Diagnostics,AXDX,24.20,24.75,23.85,24.60,0.40,1.65,"153,290",30.35,16.75,...,...,...,-6.11
Acer Therapeutics,ACER,31.31,32.84,30.93,32.08,0.87,2.79,"21,373",34.10,8.55,...,...,...,131.62
Achieve Life Sciences,ACHV,3.07,3.15,3.01,3.01,-0.04,-1.31,"24,283",38.45,2.67,...,...,...,-77.59
ACNB,ACNB,35.75,35.95,35.45,35.80,0.30,0.85,"4,173",36.00,26.10,0.92,2.57,16.97,21.15
Adamis Pharmaceuticals,ADMP,2.80,2.90,2.72,2.85,0.05,1.79,"679,139",5.85,2.20,...,...,...,-35.23
Adesto Technologies,IOTS,5.90,6.33,5.90,6.05,0.15,2.54,"556,775",10.80,4.70,...,...,...,-6.20
ADial Pharmaceuticals,ADIL,3.00,3.10,3.00,3.08,-0.07,-2.09,"14,263",4.40,2.94,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.40,0.49,0.35,0.48,0.01,2.13,"6,785",0.75,0.30,...,...,...,...
ADMA Biologics,ADMA,6.38,6.49,6.15,6.39,0.01,0.16,"113,483",6.86,2.01,...,...,...,99.07
ADOMANI,ADOM,0.68,0.68,0.65,0.68,0.01,1.39,"273,030",13.81,0.50,...,...,...,-84.55
Advanced Micro Devices,AMD,24.89,25.24,24.72,25.17,0.28,1.12,"64,543,665",27.30,9.04,...,...,78.66,144.84
Aehr Test Systems,AEHR,2.55,2.59,2.53,2.53,-0.03,-1.17,"7,099",4.10,2.12,...,...,110.00,-6.64
Aerpio Pharmaceuticals,ARPO,3.50,3.60,3.37,3.57,-0.04,-1.11,"26,339",6.75,3.29,...,...,...,-24.84
AEterna Zentaris,AEZS,1.78,1.83,1.78,1.82,-0.02,-1.09,"75,411",3.25,1.12,...,...,26.00,-22.88
Aethlon Medical,AEMD,0.91,1.01,0.91,0.97,0.04,3.92,"73,846",3.85,0.79,...,...,...,-14.15
Agenus,AGEN,2.09,2.24,2.09,2.21,0.11,5.24,"1,452,692",6.19,1.55,...,...,...,-32.21
AGM Group Holdings,AGMH,27.08,27.08,24.50,26.00,-1.50,-5.45,"31,606",37.63,5.01,...,...,...,...
Airgain,AIRG,11.84,11.98,11.84,11.90,0.02,0.17,"30,079",12.22,7.31,...,...,...,32.37
Air T,AIRT,33.72,33.90,32.25,32.25,-1.35,-4.02,"12,627",35.74,14.90,...,...,15.97,30.61
Akari Therapeutics ADR,AKTX,1.86,1.90,1.85,1.88,0.02,1.08,"29,489",11.95,1.70,...,...,...,-56.58
Akers Biosciences,AKER,0.25,0.28,0.25,0.27,0.02,7.05,"3,206,572",1.82,0.12,...,...,...,103.96
Akoustis Technologies,AKTS,8.53,8.53,8.06,8.34,-0.20,-2.34,"137,455",9.50,4.86,...,...,...,33.87
Albireo Pharma,ALBO,33.45,34.70,32.82,34.58,1.07,3.19,"50,193",39.87,20.25,...,...,...,35.08
