Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.52,3.65,3.50,3.59,0.01,0.28,"28,687",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,7.60,7.71,7.30,7.37,-0.21,-2.84,"511,695",22.00,6.94,...,...,...,-53.53
Abeona Therapeutics WT,ABEOW,3.40,3.40,3.40,3.40,-0.35,-9.33,"430",16.00,3.18,...,...,...,-70.69
Ability,ABIL,2.21,2.30,2.11,2.24,0.04,1.82,"187,999",14.55,2.11,...,...,...,-49.09
Abraxas Petroleum,AXAS,1.40,1.41,1.23,1.25,-0.16,-11.35,"2,274,351",3.27,1.23,...,...,...,-49.19
Acasti Pharma,ACST,0.68,0.70,0.65,0.66,-0.01,-1.52,"455,192",1.80,0.43,...,...,...,-30.00
Accelerate Diagnostics,AXDX,13.01,13.10,12.61,12.89,-0.17,-1.30,"345,875",30.35,12.61,...,...,...,-50.80
Acer Therapeutics,ACER,19.11,20.75,17.04,17.88,-1.10,-5.80,"40,623",34.10,11.36,...,...,...,29.10
Achieve Life Sciences,ACHV,1.41,1.45,1.35,1.45,0.01,0.69,"61,601",32.00,1.32,...,...,...,-89.21
ACNB,ACNB,37.41,37.79,36.21,36.21,-1.09,-2.92,"7,930",41.45,27.30,0.92,2.54,13.42,22.54
Adamis Pharmaceuticals,ADMP,2.85,2.89,2.71,2.81,-0.08,-2.77,"440,781",5.10,2.20,...,...,...,-36.14
Adesto Technologies,IOTS,4.69,4.86,4.68,4.76,0.02,0.42,"122,155",10.80,3.51,...,...,...,-26.20
ADial Pharmaceuticals,ADIL,3.65,4.09,3.33,3.80,-0.36,-8.65,"4,431,554",5.00,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.70,0.70,0.42,0.50,-0.11,-18.02,"83,506",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,4.82,4.98,4.49,4.53,-0.30,-6.21,"152,761",6.96,2.45,...,...,...,41.12
ADOMANI,ADOM,0.39,0.44,0.32,0.37,-0.00,-0.03,"1,177,348",6.73,0.32,...,...,...,-91.59
Aehr Test Systems,AEHR,1.68,1.74,1.57,1.63,-0.06,-3.55,"50,535",3.37,1.57,...,...,...,-39.85
Aerpio Pharmaceuticals,ARPO,2.10,2.10,1.94,2.04,0.05,2.51,"66,437",5.25,1.75,...,...,...,-57.05
AEterna Zentaris,AEZS,3.05,3.05,2.81,2.85,-0.20,-6.56,"434,701",3.92,1.12,...,...,5.40,20.76
Aethlon Medical,AEMD,1.26,1.35,1.26,1.33,0.05,3.67,"102,008",2.04,0.82,...,...,...,17.43
Agenus,AGEN,2.50,2.55,2.40,2.42,-0.08,-3.20,"773,696",6.19,1.54,...,...,...,-25.77
AGM Group Holdings,AGMH,31.60,32.28,30.30,32.28,-0.90,-2.72,"2,182",52.00,5.01,...,...,...,...
Airgain,AIRG,11.40,11.49,11.07,11.22,-0.28,-2.48,"12,680",14.17,7.40,...,...,...,24.81
AirMedia Group ADR,AMCN,0.23,0.26,0.21,0.21,-0.03,-11.21,"292,556",1.84,0.20,...,...,...,-81.47
Air T,AIRT,26.20,26.87,26.15,26.68,-1.10,-3.96,"1,126",44.29,23.00,...,...,22.93,8.06
Akari Therapeutics ADR,AKTX,1.71,1.77,1.70,1.77,0.07,4.12,"24,850",4.89,1.62,...,...,...,-59.12
Akers Biosciences,AKER,1.23,1.23,1.12,1.16,-0.08,-6.45,"159,550",7.84,0.98,...,...,...,8.21
Akoustis Technologies,AKTS,5.28,5.51,5.28,5.36,0.04,0.75,"70,136",9.50,3.40,...,...,...,-13.96
Alberton Acquisition Cl A,ALAC,9.77,9.77,9.77,9.77,...,...,"1,100",10.50,9.65,...,...,...,...
Alberton Acquisition Rt,ALACR,0.25,0.25,0.25,0.25,-0.03,-10.71,"15,050",0.34,0.22,...,...,...,...
Alberton Acquisition WT,ALACW,0.10,0.10,0.10,0.10,...,...,"100",0.20,0.08,...,...,...,...
Albireo Pharma,ALBO,24.09,24.58,23.15,23.50,-0.91,-3.73,"73,657",39.87,23.05,...,...,...,-8.20
Aldeyra Therapeutics,ALDX,9.43,9.56,9.25,9.46,-0.03,-0.32,"136,993",16.70,6.20,...,...,...,39.12
Alithya Group Cl A,ALYA,3.65,3.74,3.58,3.65,...,0.03,"4,023",6.00,3.32,...,...,...,...
Alkaline Water,WTER,4.10,4.58,3.91,4.53,0.25,5.84,"181,305",5.56,3.91,...,...,...,120.98
Allegro Merger,ALGR,9.75,9.75,9.75,9.75,...,...,"400",9.80,9.02,...,...,...,...
Allegro Merger,ALGRU,10.10,10.29,10.10,10.29,...,...,"415",10.40,10.04,...,...,...,...
Allegro Merger Rt,ALGRR,0.29,0.29,0.29,0.29,-0.01,-3.33,"200",0.46,0.17,...,...,...,...
Allegro Merger WT,ALGRW,0.33,0.33,0.33,0.33,-0.02,-5.72,"200",1.00,0.24,...,...,...,...
Alliance MMA,AMMA,0.19,0.21,0.18,0.19,...,1.84,"87,049",1.54,0.15,...,...,...,-83.25
Alliqua BioMedical,ALQA,2.95,3.35,2.54,2.69,0.56,26.29,"27,109,802",5.24,1.55,...,...,...,48.62
Alta Mesa Resources,AMR,1.32,1.36,1.25,1.25,-0.07,-5.30,"1,436,735",10.79,1.25,...,...,...,-87.39
Alta Mesa Resources WT,AMRWW,0.11,0.11,0.09,0.11,...,1.22,"92,968",2.85,0.06,...,...,...,-92.75
Altus Midstream,ALTM,9.46,10.20,8.45,8.73,-0.72,-7.62,"392,405",10.39,7.33,...,...,...,-10.09
Altus Midstream WT,ALTMW,0.90,0.90,0.77,0.78,-0.10,-11.36,"65,400",1.75,0.66,...,...,...,-8.24
American Electric Technologies,AETI,0.82,0.94,0.81,0.89,0.02,2.30,"314,641",2.53,0.40,...,...,...,-40.67
Ameri Holdings,AMRH,0.23,0.24,0.21,0.23,-0.02,-6.34,"411,729",13.50,0.21,...,...,...,-92.52
Ameri Holdings WT,AMRHW,0.04,0.04,0.04,0.04,0.01,33.33,"11,700",7.58,0.03,...,...,...,-94.77
Ames National,ATLO,26.09,26.31,25.70,25.70,-0.59,-2.24,"12,197",32.15,25.70,0.92,3.58,15.48,-7.72
Anavex Life Sciences,AVXL,2.03,2.07,1.98,2.01,-0.03,-1.47,"279,825",4.35,1.85,...,...,...,-37.58
Anixa Biosciences,ANIX,3.95,4.00,3.88,3.94,-0.06,-1.50,"28,324",6.86,2.27,...,...,...,66.95
Antares Pharma,ATRS,3.08,3.15,3.00,3.02,-0.09,-2.89,"1,021,954",3.93,1.85,...,...,...,51.76
Apollo Medical Holdings,AMEH,18.12,18.33,16.63,17.07,-1.10,-6.05,"44,026",30.00,13.01,...,...,11.10,-28.88
Appliance Recycling Centers of America,ARCI,0.53,0.55,0.52,0.53,-0.01,-1.39,"34,153",1.68,0.52,...,...,0.99,-49.52
Applied DNA Sciences,APDN,1.02,1.02,0.86,0.90,-0.10,-10.00,"312,032",2.70,0.86,...,...,...,-43.40
Applied DNA Sciences WT,APDNW,0.02,0.02,0.01,0.02,-0.01,-35.48,"19,520",0.80,0.01,...,...,...,-94.44
Apricus Biosciences,APRI,0.34,0.35,0.27,0.28,-0.05,-15.06,"1,493,232",3.34,0.25,...,...,...,-84.77
Aptose Biosciences,APTO,2.31,2.32,2.20,2.26,-0.07,-3.12,"223,527",4.55,1.69,...,...,...,0.78
AquaBounty Technologies,AQB,2.21,2.40,2.15,2.15,-0.08,-3.59,"15,834",9.99,2.11,...,...,...,-38.92
Aqua Metals,AQMS,1.85,1.85,1.75,1.81,-0.03,-1.63,"468,063",4.22,1.42,...,...,...,-15.02
Aradigm,ARDM,0.46,0.48,0.44,0.47,-0.04,-8.49,"152,125",7.35,0.44,...,...,...,-93.03
ARCA biopharma,ABIO,0.52,0.53,0.50,0.52,0.02,3.98,"47,664",1.95,0.45,...,...,...,-61.48
Arcadia Biosciences,RKDA,3.80,3.94,3.75,3.90,0.10,2.63,"75,388",66.56,3.50,...,...,...,-29.09
ARC Group Worldwide,ARCW,1.30,1.30,1.30,1.30,...,...,"638",2.60,0.91,...,...,...,-38.10
Arcimoto,FUV,1.83,2.39,1.55,2.15,0.24,12.57,"86,272",5.35,1.55,...,...,...,-46.38
Aridis Pharmaceuticals,ARDS,10.74,10.75,8.66,9.60,-1.15,-10.70,"2,277",13.85,7.59,...,...,...,...
Art's Way Manufacturing,ARTW,2.25,2.33,2.25,2.25,-0.09,-3.71,"9,800",5.45,2.05,0.10,4.44,...,-24.59
ARYA Sciences Acquisiton,ARYAU,10.29,10.32,10.29,10.29,-0.04,-0.38,"605",10.44,10.12,...,...,...,...
Aspen Group,ASPU,5.40,5.67,5.36,5.55,0.35,6.73,"42,579",9.61,4.93,...,...,...,-37.78
Assembly Biosciences,ASMB,22.57,23.20,21.40,21.92,-0.83,-3.65,"137,418",67.36,20.61,...,...,...,-51.56
Astrotech,ASTC,3.31,3.67,3.31,3.52,-0.17,-4.61,"274,224",8.15,1.64,...,...,...,5.07
Asure Software,ASUR,5.55,5.75,5.45,5.54,-0.08,-1.42,"135,467",19.78,5.40,...,...,...,-60.76
ASV Holdings,ASV,2.35,2.47,2.30,2.32,-0.09,-3.73,"5,722",10.80,2.28,...,...,...,-77.14
Athersys,ATHX,1.95,1.98,1.81,1.92,-0.07,-3.52,"581,771",3.09,1.29,...,...,...,6.08
Atomera,ATOM,3.31,3.74,3.23,3.51,0.06,1.74,"15,421",8.00,2.84,...,...,...,-18.94
Atossa Genetics,ATOS,1.22,1.25,1.15,1.23,0.04,3.36,"90,499",10.68,1.12,...,...,...,-61.03
Attis Industries,ATIS,0.19,0.19,0.17,0.19,...,2.65,"41,470",1.45,0.16,...,...,...,-82.08
Attunity,ATTU,20.14,20.78,20.08,20.36,-0.27,-1.31,"93,052",23.85,6.51,...,...,...,191.69
AudioEye,AEYE,7.03,7.10,7.00,7.00,-0.10,-1.41,"8,588",10.24,0.13,...,...,...,4419.04
Auris Medical Holding,EARS,0.46,0.47,0.41,0.43,-0.02,-3.76,"966,552",6.60,0.23,...,...,...,-92.63
AutoWeb,AUTO,2.36,2.38,2.32,2.33,-0.07,-2.92,"86,375",9.87,1.90,...,...,...,-74.14
Avalon GloboCare,AVCO,2.85,2.85,2.85,2.85,0.02,0.81,"400",3.97,0.98,...,...,...,14.00
Avenue Therapeutics,ATXI,5.17,5.29,5.05,5.28,0.18,3.53,"20,786",6.00,2.08,...,...,...,45.86
Avid Bioservices,CDMO,5.17,5.42,5.15,5.22,0.04,0.77,"336,967",8.44,2.24,...,...,...,34.54
Avinger,AVGR,0.32,0.34,0.32,0.32,-0.01,-2.22,"917,713",10.20,0.27,...,...,...,-95.54
AxoGen,AXGN,28.76,29.59,28.28,28.60,-0.49,-1.68,"461,833",56.85,23.60,...,...,...,1.06
Aytu BioScience,AYTU,0.94,0.95,0.90,0.90,-0.01,-1.58,"66,624",123.00,0.79,...,...,...,-97.97
AzurRx BioPharma,AZRX,1.74,1.77,1.71,1.76,0.03,1.73,"13,300",4.08,1.69,...,...,...,-51.61
Bancorp 34,BCTF,15.03,15.42,15.00,15.29,0.04,0.30,"7,585",17.25,14.02,...,...,152.34,3.69
Bank First National,BFC,49.00,49.50,48.25,49.50,...,...,"1,060",58.50,42.60,0.80,1.62,14.56,10.74
Bank of Marin Bancorp,BMRC,39.24,40.31,39.24,39.69,0.38,0.97,"33,056",45.42,31.75,1.40,3.53,23.14,16.74
Bank of South Carolina,BKSC,18.20,18.61,18.03,18.30,0.25,1.39,"7,089",22.50,16.59,0.60,3.28,17.49,4.25
Bank of the James Financial Group,BOTJ,12.78,13.53,12.78,13.05,-0.38,-2.83,"3,171",18.00,12.60,0.24,1.84,13.58,-12.59
Benitec Biopharma ADR,BNTC,1.86,1.88,1.86,1.88,-0.10,-4.98,"600",4.90,1.78,...,...,...,-36.49
BeyondSpring,BYSI,20.50,20.70,20.11,20.40,0.20,0.99,"13,583",34.00,16.15,...,...,...,-29.85
Bioanalytical Systems,BASI,1.30,1.36,1.30,1.36,0.04,2.72,"230",2.92,1.27,...,...,41.29,-44.38
Bioblast Pharma,ORPN,1.08,1.12,1.07,1.12,-0.06,-5.33,"9,508",5.99,1.03,...,...,...,-51.13
Biocept,BIOC,0.76,0.84,0.72,0.82,0.05,6.14,"353,708",24.60,0.72,...,...,...,-96.07
BioDelivery Sciences International,BDSI,3.65,3.75,3.45,3.55,-0.14,-3.79,"482,168",4.14,1.70,...,...,...,20.34
Biofrontera ADR,BFRA,12.20,12.20,12.20,12.20,-0.06,-0.50,"151",17.98,11.04,...,...,...,...
BioHiTech Global,BHTG,2.50,2.52,2.45,2.45,-0.10,-3.92,"3,935",5.76,2.40,...,...,...,-37.50
BIO-key International,BKYI,1.25,1.25,1.23,1.23,-0.05,-4.17,"10,810",3.64,1.02,...,...,...,-30.51
Biolase,BIOL,1.01,1.09,1.00,1.01,-0.01,-0.98,"37,084",2.98,1.00,...,...,...,-52.63
BioLife Solutions,BLFS,10.88,11.26,10.76,11.09,0.02,0.18,"80,899",26.35,4.63,...,...,286.56,84.83
BioLine RX ADR,BLRX,0.63,0.64,0.61,0.62,-0.02,-3.28,"327,427",1.84,0.61,...,...,...,-43.21
Biomerica,BMRA,2.57,2.65,2.57,2.60,-0.01,-0.38,"899",9.32,2.39,...,...,...,-30.48
Bionano Genomics,BNGO,6.51,6.51,6.40,6.45,-0.05,-0.77,"36,164",10.00,5.51,...,...,...,...
Bionano Genomics WT,BNGOW,2.58,2.58,2.58,2.58,0.07,2.77,"3,263",7.15,1.00,...,...,...,...
BiondVax Pharmaceuticals ADR,BVXV,5.30,5.30,5.23,5.30,-0.06,-1.12,"2,229",7.71,4.60,...,...,...,-1.12
Bio-Path Holdings,BPTH,0.27,0.29,0.25,0.26,...,0.70,"54,967",3.09,0.21,...,...,...,-87.16
Biosig Technologies,BSGM,3.98,4.10,3.86,3.90,-0.15,-3.70,"29,329",7.13,1.28,...,...,...,170.81
BioXcel Therapeutics,BTAI,4.15,4.50,3.83,3.84,-0.34,-8.13,"80,395",14.79,3.83,...,...,...,...
Blink Charging,BLNK,1.92,1.96,1.86,1.88,-0.02,-1.05,"133,296",15.00,1.28,...,...,1.20,-58.22
Blink Charging WT,BLNKW,0.56,0.63,0.50,0.63,0.08,14.55,"5,074",4.10,0.18,...,...,...,...
Bonso Electronics International,BNSO,2.25,2.37,2.25,2.37,0.07,2.95,"682",5.04,2.18,...,...,...,-3.27
Borqs Technologies,BRQS,3.75,4.99,3.75,3.88,0.13,3.47,"13,377",11.15,2.11,...,...,131.08,-28.81
