Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.57,3.59,3.46,3.59,0.01,0.28,"39,004",5.33,2.63,...,...,...,1.99
Abeona Therapeutics,ABEO,6.77,7.12,6.54,7.02,0.40,6.04,"484,588",22.00,6.26,...,...,...,-1.68
Abeona Therapeutics WT,ABEOW,2.93,3.25,2.93,3.25,-0.20,-5.70,"1,600",16.00,2.46,...,...,...,4.84
Ability,ABIL,1.88,1.94,1.87,1.90,...,...,"296,874",14.55,1.54,...,...,...,...
Abraxas Petroleum,AXAS,1.32,1.38,1.28,1.35,0.08,6.30,"1,516,329",3.27,0.90,...,...,...,23.85
Acasti Pharma,ACST,0.83,0.91,0.83,0.90,0.03,3.10,"273,396",1.80,0.43,...,...,...,8.19
Accelerate Diagnostics,AXDX,12.00,13.18,11.84,13.03,1.27,10.80,"588,035",30.35,10.23,...,...,...,13.30
Acer Therapeutics,ACER,20.50,21.60,20.40,21.50,1.10,5.39,"19,649",34.10,15.01,...,...,...,6.86
Achieve Life Sciences,ACHV,1.30,1.45,1.26,1.35,0.04,3.05,"171,809",32.00,1.04,...,...,...,11.57
ACNB,ACNB,39.25,39.25,38.50,38.84,-0.31,-0.79,"12,108",41.45,27.30,0.92,2.37,14.40,-1.04
Adamis Pharmaceuticals,ADMP,2.37,2.50,2.35,2.45,0.11,4.70,"436,300",5.10,2.01,...,...,...,8.89
Adesto Technologies,IOTS,4.59,4.94,4.54,4.85,0.35,7.78,"130,821",10.80,3.51,...,...,...,10.23
ADial Pharmaceuticals,ADIL,6.78,7.15,6.11,6.40,-0.35,-5.19,"769,202",7.45,1.11,...,...,...,25.00
ADial Pharmaceuticals WT,ADILW,0.75,0.76,0.65,0.67,-0.08,-10.61,"3,152",0.95,0.26,...,...,...,21.89
ADMA Biologics,ADMA,2.85,2.96,2.81,2.95,0.14,4.98,"217,881",6.96,2.08,...,...,...,23.43
ADOMANI,ADOM,0.30,0.32,0.28,0.30,0.02,6.67,"262,778",4.04,0.16,...,...,...,11.76
