Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,13.00,13.45,12.63,13.40,0.40,3.08,"630,274",22.75,7.01,...,...,...,-15.46
Ability,ABIL,3.90,3.90,3.50,3.58,-0.25,-6.53,"38,615",14.55,2.14,...,...,...,-18.64
Abraxas Petroleum,AXAS,2.73,2.76,2.57,2.58,-0.18,-6.52,"1,746,475",3.27,1.52,...,...,34.26,4.88
Acasti Pharma,ACST,0.58,0.58,0.55,0.55,-0.02,-3.51,"39,338",3.36,0.53,...,...,...,-41.66
Accelerate Diagnostics,AXDX,20.60,20.77,20.34,20.40,-0.25,-1.21,"177,038",30.35,16.75,...,...,...,-22.14
Acer Therapeutics,ACER,20.07,20.34,19.75,19.75,-0.46,-2.28,"1,337",27.80,7.35,...,...,...,42.60
Achieve Life Sciences,ACHV,3.39,3.44,3.25,3.28,-0.09,-2.62,"83,310",52.68,3.21,...,...,...,-75.58
ACNB,ACNB,34.95,34.95,34.50,34.60,-0.40,-1.14,"5,126",36.00,24.45,0.92,2.66,19.45,17.09
Adamis Pharmaceuticals,ADMP,3.75,3.80,3.60,3.75,...,...,"342,245",5.85,2.35,...,...,...,-14.77
Adesto Technologies,IOTS,5.90,5.95,5.71,5.85,...,...,"338,298",10.80,4.25,...,...,...,-9.30
ADial Pharmaceuticals,ADIL,4.00,4.40,3.95,4.05,-0.95,-19.00,"285,420",5.00,3.95,...,...,...,...
ADMA Biologics,ADMA,6.00,6.22,5.69,6.09,0.09,1.50,"722,547",6.29,2.01,...,...,...,89.72
ADOMANI,ADOM,0.70,0.72,0.67,0.67,-0.03,-4.12,"343,937",13.81,0.50,...,...,...,-84.77
Advanced Micro Devices,AMD,19.07,19.88,18.31,18.94,0.59,3.22,"160,270,132",19.88,9.04,...,...,60.88,84.24
Aehr Test Systems,AEHR,2.50,2.54,2.21,2.25,-0.27,-10.70,"177,442",4.12,2.12,...,...,...,-16.97
Aerpio Pharmaceuticals,ARPO,4.15,4.15,4.02,4.06,-0.04,-0.91,"48,749",6.75,3.29,...,...,...,-14.53
AEterna Zentaris,AEZS,1.75,1.82,1.75,1.77,0.02,1.13,"46,442",3.25,1.12,...,...,35.40,-25.01
