Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,17.95,18.15,16.95,17.50,-0.20,-1.13,"931,545",22.75,4.55,...,...,...,10.41
Abeona Therapeutics WT,ABEOW,12.17,12.17,12.15,12.15,-1.05,-7.95,"500",17.56,2.50,...,...,...,4.74
Ability,ABIL,2.21,2.43,2.21,2.40,0.14,6.19,"6,764",16.90,2.16,...,...,...,-45.45
Abraxas Petroleum,AXAS,2.71,2.73,2.61,2.62,-0.08,-2.96,"1,767,684",3.27,1.45,...,...,34.79,6.50
Acasti Pharma,ACST,0.70,0.70,0.68,0.69,...,0.42,"53,351",3.36,0.60,...,...,...,-26.40
Accelerate Diagnostics,AXDX,20.45,20.70,19.95,20.40,...,...,"172,321",30.45,16.75,...,...,...,-22.14
Acer Therapeutics,ACER,17.66,18.17,17.65,18.17,0.17,0.94,"12,309",22.63,5.70,...,...,...,31.19
Achieve Life Sciences,ACHV,8.79,9.83,8.61,9.59,0.86,9.85,"55,716",62.70,8.57,...,...,...,-28.61
ACNB,ACNB,31.75,31.85,31.48,31.60,0.10,0.32,"8,033",32.10,24.45,0.92,2.91,17.75,6.94
Adamis Pharmaceuticals,ADMP,4.25,4.45,4.10,4.15,-0.15,-3.49,"461,067",6.45,2.35,...,...,...,-5.68
Adesto Technologies,IOTS,9.10,9.35,9.05,9.30,0.20,2.20,"115,577",9.95,4.00,...,...,...,44.19
ADMA Biologics,ADMA,5.49,5.49,5.36,5.39,-0.03,-0.55,"52,665",5.70,2.01,...,...,...,67.91
ADOMANI,ADOM,1.53,1.56,1.40,1.47,-0.06,-3.92,"779,054",18.31,0.50,...,...,...,-66.59
Advanced Micro Devices,AMD,13.98,14.40,13.92,14.40,0.67,4.88,"66,811,406",15.65,9.04,...,...,75.79,40.08
Advaxis WT,ADXSW,0.30,0.30,0.27,0.28,0.03,12.00,"17,800",4.84,0.20,...,...,...,-72.00
Aehr Test Systems,AEHR,2.60,2.72,2.59,2.72,0.12,4.62,"131,631",4.54,2.12,...,...,...,0.37
AEterna Zentaris,AEZS,2.41,2.48,2.32,2.37,...,...,"214,888",3.29,0.89,...,...,47.40,0.42
Aethlon Medical,AEMD,1.24,1.25,1.22,1.25,...,...,"27,472",3.85,0.79,...,...,...,10.62
Agenus,AGEN,3.37,3.40,3.31,3.36,0.01,0.30,"793,299",6.19,3.06,...,...,...,3.07
AGM Group Holdings,AGMH,9.84,10.30,9.82,10.13,0.29,2.95,"40,897",14.99,5.01,...,...,...,...
Airgain,AIRG,8.27,8.39,8.20,8.35,0.10,1.21,"59,762",15.54,7.31,...,...,...,-7.12
Air T,AIRT,31.85,32.00,31.72,31.91,0.16,0.49,"2,281",34.83,14.40,...,...,69.36,29.21
Akari Therapeutics ADR,AKTX,1.84,1.96,1.84,1.93,0.09,4.89,"38,627",11.95,1.70,...,...,...,-55.43
Akers Biosciences,AKER,0.48,0.49,0.42,0.45,-0.02,-5.06,"7,606,859",1.82,0.12,...,...,...,235.82
Akoustis Technologies,AKTS,6.57,6.78,6.51,6.67,0.05,0.76,"37,014",10.20,4.86,...,...,...,7.06
Albireo Pharma,ALBO,31.50,31.55,30.72,30.75,-0.58,-1.85,"89,908",39.87,15.31,...,...,...,20.12
Aldeyra Therapeutics,ALDX,8.50,8.50,8.05,8.10,-0.30,-3.57,"95,387",11.90,3.90,...,...,...,19.12
