Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,18.70,19.70,18.70,19.65,0.80,4.24,"543,037",22.75,4.55,...,...,...,23.97
Ability,ABIL,2.71,2.80,2.70,2.75,-0.02,-0.72,"14,315",16.90,2.37,...,...,...,-37.50
Abraxas Petroleum,AXAS,2.90,2.90,2.83,2.86,-0.02,-0.69,"816,010",2.99,1.45,...,...,37.98,16.26
Acasti Pharma,ACST,0.64,0.66,0.64,0.66,0.01,1.22,"87,525",3.36,0.60,...,...,...,-30.22
Accelerate Diagnostics,AXDX,19.00,20.00,18.50,19.90,0.88,4.60,"821,059",30.45,16.75,...,...,...,-24.05
Acer Therapeutics,ACER,18.60,18.70,18.31,18.33,-0.38,-2.03,"6,390",22.63,5.70,...,...,...,32.35
Achieve Life Sciences,ACHV,1.20,1.22,1.01,1.07,-0.18,-14.40,"308,868",6.27,1.01,...,...,...,-20.35
ACNB,ACNB,32.00,32.00,31.65,31.90,0.10,0.31,"3,433",32.00,24.45,0.92,2.88,17.92,7.95
Adamis Pharmaceuticals,ADMP,3.80,3.95,3.55,3.80,-0.03,-0.65,"734,344",6.45,2.35,...,...,...,-13.64
Adesto Technologies,IOTS,8.85,9.00,8.75,8.85,...,...,"162,148",9.95,4.00,...,...,...,37.21
ADMA Biologics,ADMA,4.81,5.00,4.80,4.99,0.18,3.74,"83,003",5.50,2.01,...,...,...,55.45
ADOMANI,ADOM,0.61,0.61,0.56,0.57,-0.02,-3.16,"52,078",18.31,0.50,...,...,...,-87.11
Advanced Micro Devices,AMD,11.89,12.03,11.69,11.95,-0.18,-1.48,"43,496,253",15.65,9.04,...,...,62.89,16.25
Advaxis WT,ADXSW,0.20,0.43,0.20,0.32,0.01,2.56,"8,493",5.18,0.20,...,...,...,-68.00
Aehr Test Systems,AEHR,2.28,2.31,2.25,2.28,...,...,"56,911",4.83,2.12,...,...,...,-15.87
AEterna Zentaris,AEZS,1.68,1.85,1.66,1.79,0.12,6.87,"231,349",3.29,0.82,...,...,35.80,-24.15
Aethlon Medical,AEMD,1.34,1.36,1.33,1.35,0.02,1.50,"50,772",3.85,0.79,...,...,...,19.47
Agenus,AGEN,3.49,3.56,3.42,3.56,0.08,2.30,"861,754",6.19,3.06,...,...,...,9.20
AGM Group Holdings,AGMH,10.51,11.03,9.96,10.30,-0.75,-6.79,"79,260",14.99,5.01,...,...,...,...
Airgain,AIRG,8.20,8.33,7.90,7.94,-0.18,-2.22,"118,362",15.54,7.31,...,...,...,-11.68
Air T,AIRT,28.46,30.00,28.20,29.00,0.55,1.93,"11,535",34.83,14.40,...,...,63.04,17.45
Akari Therapeutics ADR,AKTX,2.16,2.20,1.80,2.05,-0.11,-5.09,"300,352",11.95,1.70,...,...,...,-52.66
Akers Biosciences,AKER,0.46,0.47,0.41,0.44,-0.02,-4.51,"4,111,074",1.82,0.12,...,...,...,229.93
Akoustis Technologies,AKTS,5.90,6.89,5.80,6.81,0.89,15.03,"223,830",10.80,4.86,...,...,...,9.31
Albireo Pharma,ALBO,31.00,31.40,29.77,30.80,-0.06,-0.19,"133,515",39.87,15.31,...,...,...,20.31
Aldeyra Therapeutics,ALDX,7.80,8.30,7.75,8.30,0.55,7.10,"101,461",11.90,3.85,...,...,...,22.06
Alliance MMA,AMMA,0.38,0.39,0.35,0.35,-0.03,-8.90,"53,246",3.07,0.31,...,...,...,-69.83
Allied Healthcare Products,AHPI,2.99,3.30,2.87,2.96,0.13,4.59,"32,916",5.25,1.64,...,...,...,41.63
Alliqua BioMedical,ALQA,2.49,2.55,2.18,2.20,-0.31,-12.35,"48,824",4.60,1.58,...,...,...,21.55
Alta Mesa Resources,AMR,7.34,7.41,7.04,7.19,-0.20,-2.71,"755,909",10.79,6.79,...,...,326.82,-27.45
Alta Mesa Resources WT,AMRWW,1.40,1.50,1.37,1.49,...,...,"58,347",2.85,1.03,...,...,...,...
Amedica,AMDA,1.17,1.29,1.16,1.20,0.06,5.26,"1,856,150",6.93,1.05,...,...,...,-63.30
American Electric Technologies,AETI,0.65,0.70,0.65,0.67,...,...,"16,423",2.25,0.62,...,...,...,-55.33
Ameri Holdings,AMRH,1.26,1.37,1.20,1.29,...,...,"50,844",13.50,1.10,...,...,...,-58.39
Ameri Holdings WT,AMRHW,0.18,0.19,0.18,0.18,0.03,20.00,"11,042",7.58,0.15,...,...,...,-76.47
Ames National,ATLO,28.00,28.40,27.90,28.40,0.95,3.46,"2,332",31.90,26.00,0.92,3.24,18.81,1.97
Anavex Life Sciences,AVXL,2.08,2.19,1.96,2.18,0.09,4.31,"457,111",6.27,1.85,...,...,...,-32.30
Antares Pharma,ATRS,2.47,2.54,2.44,2.52,0.03,1.20,"861,025",4.09,1.58,...,...,...,26.63
Anthera Pharmaceuticals,ANTH,0.33,0.33,0.31,0.32,-0.01,-1.67,"528,804",2.97,0.30,...,...,...,-80.79
