Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,4.02,4.47,4.02,4.26,0.26,6.50,"300,809",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,9.32,9.87,9.05,9.23,...,...,"567,276",22.00,8.52,...,...,...,-41.77
Abeona Therapeutics WT,ABEOW,4.52,4.52,4.50,4.51,...,...,"512",16.00,4.20,...,...,...,-61.12
Ability,ABIL,3.10,3.19,3.10,3.13,0.01,0.32,"20,311",14.55,2.14,...,...,...,-28.86
Abraxas Petroleum,AXAS,1.83,1.85,1.76,1.78,-0.03,-1.66,"1,108,439",3.27,1.76,...,...,...,-27.64
Acasti Pharma,ACST,1.10,1.10,0.98,0.99,-0.11,-10.00,"1,363,353",3.36,0.43,...,...,...,5.01
Accelerate Diagnostics,AXDX,15.72,16.30,15.51,16.18,0.57,3.65,"422,163",30.35,14.20,...,...,...,-38.24
Acer Therapeutics,ACER,25.49,26.51,24.50,25.09,-0.31,-1.22,"52,802",34.10,11.36,...,...,...,81.16
Achieve Life Sciences,ACHV,2.13,2.22,2.05,2.21,0.11,5.24,"184,765",32.00,1.85,...,...,...,-83.55
ACNB,ACNB,40.35,40.93,39.24,39.24,-1.70,-4.15,"6,814",41.45,26.80,0.92,2.34,22.06,32.79
Adamis Pharmaceuticals,ADMP,2.70,2.87,2.66,2.73,0.02,0.74,"502,411",5.25,2.20,...,...,...,-37.95
Adesto Technologies,IOTS,4.31,4.47,4.28,4.44,0.11,2.54,"209,858",10.80,3.51,...,...,...,-31.16
ADial Pharmaceuticals,ADIL,1.88,2.12,1.87,2.00,0.09,4.71,"45,580",4.40,1.85,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.35,0.38,0.30,0.30,...,...,"8,070",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,5.56,5.71,5.55,5.62,0.09,1.63,"96,021",6.96,2.01,...,...,...,75.08
ADOMANI,ADOM,0.45,0.47,0.41,0.45,0.03,7.77,"215,887",6.73,0.35,...,...,...,-89.73
Aehr Test Systems,AEHR,2.00,2.02,1.98,1.98,-0.02,-1.00,"27,828",3.60,1.80,...,...,...,-26.94
