Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.89,3.99,3.81,3.90,0.09,2.36,"53,408",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,11.47,11.85,11.08,11.54,0.11,0.96,"376,363",22.75,10.50,...,...,...,-27.19
Abeona Therapeutics WT,ABEOW,6.77,6.80,6.60,6.60,-0.02,-0.30,"2,861",17.56,5.90,...,...,...,-43.10
Ability,ABIL,3.54,3.54,3.31,3.45,0.07,2.07,"39,643",14.55,2.14,...,...,...,-21.59
Abraxas Petroleum,AXAS,2.38,2.42,2.33,2.38,0.02,0.85,"820,063",3.27,1.86,...,...,...,-3.25
Acasti Pharma,ACST,1.40,1.43,1.22,1.34,-0.12,-8.22,"3,161,666",3.36,0.43,...,...,...,42.13
Accelerate Diagnostics,AXDX,19.01,20.31,18.86,20.16,1.14,5.99,"583,355",30.35,16.75,...,...,...,-23.05
Acer Therapeutics,ACER,28.37,29.97,27.20,28.23,-0.05,-0.18,"8,461",34.10,11.36,...,...,...,103.83
Achieve Life Sciences,ACHV,2.71,2.78,2.51,2.59,-0.10,-3.72,"727,784",38.45,2.40,...,...,...,-80.72
ACNB,ACNB,38.50,38.50,37.50,38.20,-0.08,-0.21,"3,518",41.45,26.80,0.92,2.41,18.10,29.27
Adamis Pharmaceuticals,ADMP,3.09,3.14,3.05,3.10,-0.01,-0.32,"413,002",5.85,2.20,...,...,...,-29.55
Adesto Technologies,IOTS,5.69,5.69,5.25,5.27,-0.32,-5.72,"374,626",10.80,4.70,...,...,...,-18.29
ADial Pharmaceuticals,ADIL,2.72,3.00,2.72,2.75,-0.00,-0.08,"1,823",4.40,2.51,...,...,...,...
ADMA Biologics,ADMA,5.97,6.20,5.70,5.91,-0.09,-1.50,"174,301",6.96,2.01,...,...,...,84.11
ADOMANI,ADOM,0.52,0.56,0.50,0.53,0.02,3.14,"530,561",7.20,0.45,...,...,...,-88.05
Advanced Micro Devices,AMD,28.07,28.47,26.93,27.35,-0.43,-1.55,"87,116,481",34.14,9.04,...,...,85.47,166.05
Aehr Test Systems,AEHR,1.95,1.99,1.88,1.95,0.01,0.52,"69,682",3.95,1.88,...,...,...,-28.04
