Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.84,3.98,3.66,3.67,-0.29,-7.32,"136,611",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,13.00,13.05,12.72,12.80,-0.20,-1.54,"351,843",22.75,10.50,...,...,...,-19.24
Ability,ABIL,3.39,3.65,3.35,3.50,0.15,4.48,"102,861",14.55,2.14,...,...,...,-20.45
Abraxas Petroleum,AXAS,2.26,2.36,2.26,2.33,0.05,2.19,"764,716",3.27,1.85,...,...,...,-5.28
Acasti Pharma,ACST,1.09,1.40,1.00,1.29,0.30,30.30,"4,653,152",3.36,0.43,...,...,...,36.83
Accelerate Diagnostics,AXDX,23.30,23.30,22.75,22.95,-0.45,-1.92,"177,649",30.35,16.75,...,...,...,-12.40
Acer Therapeutics,ACER,29.30,30.93,29.30,30.84,1.63,5.58,"16,238",34.10,11.36,...,...,...,122.67
Achieve Life Sciences,ACHV,3.58,3.95,3.02,3.15,-0.66,-17.32,"3,696,138",38.45,2.40,...,...,...,-76.55
ACNB,ACNB,38.52,38.52,36.45,37.20,-0.75,-1.98,"7,407",41.45,26.80,0.92,2.47,17.63,25.89
Adamis Pharmaceuticals,ADMP,3.90,3.95,3.23,3.50,-0.53,-13.04,"4,506,928",5.85,2.20,...,...,...,-20.45
Adesto Technologies,IOTS,5.75,5.95,5.60,5.95,0.20,3.48,"174,636",10.80,4.70,...,...,...,-7.75
ADial Pharmaceuticals,ADIL,2.93,3.08,2.73,2.73,-0.15,-5.05,"17,782",4.40,2.51,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.26,0.26,0.26,0.26,-0.04,-13.33,"200",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,6.16,6.34,6.01,6.21,0.01,0.16,"143,461",6.96,2.01,...,...,...,93.46
ADOMANI,ADOM,0.58,0.58,0.56,0.56,-0.01,-2.43,"107,863",7.49,0.45,...,...,...,-87.25
Advanced Micro Devices,AMD,32.24,32.78,29.98,30.89,-1.70,-5.22,"164,527,851",34.14,9.04,...,...,96.53,200.49
Aehr Test Systems,AEHR,2.28,2.30,2.08,2.22,-0.10,-4.31,"177,998",4.10,2.08,...,...,96.52,-18.08
