Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,14.15,14.72,14.00,14.70,0.60,4.26,"288,632",22.75,7.01,...,...,...,-7.26
Abeona Therapeutics WT,ABEOW,9.50,9.50,9.50,9.50,0.39,4.28,"100",17.56,4.05,...,...,...,-18.10
Ability,ABIL,2.94,2.94,2.73,2.83,-0.11,-3.89,"20,431",14.55,2.14,...,...,...,-35.68
Abraxas Petroleum,AXAS,2.41,2.43,2.39,2.40,0.02,0.84,"1,216,772",3.27,1.52,...,...,31.87,-2.44
Acasti Pharma,ACST,0.56,0.58,0.56,0.57,-0.00,-0.66,"239,807",3.36,0.53,...,...,...,-39.53
Accelerate Diagnostics,AXDX,21.65,21.95,21.45,21.80,0.40,1.87,"241,036",30.35,16.75,...,...,...,-16.79
Acer Therapeutics,ACER,21.30,23.45,21.25,23.05,1.95,9.24,"99,347",27.80,7.35,...,...,...,66.43
Achieve Life Sciences,ACHV,3.22,3.30,3.20,3.29,0.11,3.46,"25,886",42.70,3.07,...,...,...,-75.51
ACNB,ACNB,33.75,33.95,33.25,33.75,-0.25,-0.74,"7,506",36.00,24.45,0.92,2.73,16.00,14.21
Adamis Pharmaceuticals,ADMP,3.20,3.55,3.15,3.40,0.20,6.25,"1,718,483",5.85,2.35,...,...,...,-22.73
Adesto Technologies,IOTS,5.05,5.15,5.00,5.15,0.10,1.98,"435,113",10.80,4.70,...,...,...,-20.16
ADial Pharmaceuticals,ADIL,4.14,4.18,3.98,3.98,-0.02,-0.50,"6,767",4.40,3.75,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.50,0.50,0.40,0.40,-0.02,-5.91,"39,612",0.75,0.31,...,...,...,...
ADMA Biologics,ADMA,6.27,6.41,6.08,6.28,0.05,0.80,"83,272",6.86,2.01,...,...,...,95.64
ADOMANI,ADOM,0.78,0.79,0.72,0.76,-0.07,-8.54,"1,101,336",13.81,0.50,...,...,...,-82.73
Advanced Micro Devices,AMD,18.89,19.44,18.46,19.43,0.94,5.08,"82,473,991",20.18,9.04,...,...,62.46,89.01
Aehr Test Systems,AEHR,2.37,2.44,2.33,2.33,-0.05,-2.10,"38,128",4.10,2.12,...,...,...,-14.02
Aerpio Pharmaceuticals,ARPO,3.77,3.89,3.75,3.89,0.26,7.16,"5,531",6.75,3.29,...,...,...,-18.11
AEterna Zentaris,AEZS,1.97,1.99,1.94,1.94,-0.03,-1.27,"38,341",3.25,1.12,...,...,38.80,-17.80
Aethlon Medical,AEMD,1.20,1.23,1.20,1.22,0.02,1.82,"54,717",3.85,0.79,...,...,...,7.96
Agenus,AGEN,1.74,1.75,1.68,1.68,-0.06,-3.45,"740,075",6.19,1.68,...,...,...,-48.47
AGM Group Holdings,AGMH,15.93,16.55,15.55,15.60,-0.21,-1.33,"13,165",37.63,5.01,...,...,...,...
Airgain,AIRG,9.07,9.18,9.00,9.06,-0.02,-0.17,"45,247",13.85,7.31,...,...,...,0.83
Air T,AIRT,32.92,33.98,32.90,33.55,0.45,1.36,"6,646",35.08,14.90,...,...,30.23,35.87
Akari Therapeutics ADR,AKTX,1.96,1.99,1.83,1.88,-0.09,-4.56,"65,251",11.95,1.70,...,...,...,-56.58
Akers Biosciences,AKER,0.27,0.27,0.25,0.25,-0.02,-7.61,"2,227,793",1.82,0.12,...,...,...,90.22
Akoustis Technologies,AKTS,7.65,7.68,7.40,7.65,-0.03,-0.39,"65,953",9.50,4.86,...,...,...,22.79
Albireo Pharma,ALBO,32.39,32.57,31.15,31.54,-0.81,-2.50,"29,565",39.87,20.25,...,...,...,23.20
Aldeyra Therapeutics,ALDX,6.95,7.10,6.75,6.95,...,...,"47,370",11.90,3.90,...,...,...,2.21
Allegro Merger,ALGRU,10.10,10.20,10.10,10.19,...,...,"114,269",10.22,10.04,...,...,...,...
Alliance MMA,AMMA,0.18,0.18,0.16,0.16,-0.01,-5.08,"107,053",3.07,0.15,...,...,...,-86.09
Allied Healthcare Products,AHPI,2.40,2.41,2.36,2.41,0.06,2.55,"9,951",5.25,1.72,...,...,...,15.31
Alliqua BioMedical,ALQA,2.11,2.15,2.10,2.15,...,...,"6,966",4.58,1.58,...,...,...,18.78
Alta Mesa Resources,AMR,6.04,6.15,6.01,6.11,0.09,1.50,"586,736",10.79,5.86,...,...,...,-38.35
Alta Mesa Resources WT,AMRWW,1.10,1.10,0.99,1.04,0.02,1.76,"28,547",2.85,0.95,...,...,...,-30.20
