Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.50,3.57,3.44,3.49,-0.10,-2.79,"70,460",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,7.30,7.66,7.11,7.31,-0.06,-0.75,"879,573",22.00,6.94,...,...,...,-53.88
Ability,ABIL,2.28,2.46,2.25,2.29,0.05,2.23,"653,842",14.55,2.11,...,...,...,-47.95
Abraxas Petroleum,AXAS,1.26,1.38,1.24,1.26,0.01,0.80,"2,204,888",3.27,1.23,...,...,...,-48.78
Acasti Pharma,ACST,0.68,0.69,0.66,0.66,...,0.21,"115,939",1.80,0.43,...,...,...,-29.85
Accelerate Diagnostics,AXDX,12.83,12.86,12.05,12.28,-0.61,-4.73,"516,791",30.35,12.05,...,...,...,-53.13
Acer Therapeutics,ACER,17.36,18.17,16.02,17.50,-0.38,-2.13,"50,237",34.10,11.36,...,...,...,26.35
Achieve Life Sciences,ACHV,1.42,1.49,1.35,1.35,-0.10,-6.90,"40,950",32.00,1.32,...,...,...,-89.95
ACNB,ACNB,36.11,37.97,36.11,37.80,1.59,4.39,"14,857",41.45,27.30,0.92,2.43,14.01,27.92
Adamis Pharmaceuticals,ADMP,2.84,2.84,2.56,2.60,-0.21,-7.47,"466,577",5.10,2.20,...,...,...,-40.91
Adesto Technologies,IOTS,4.76,5.05,4.71,4.80,0.04,0.84,"165,325",10.80,3.51,...,...,...,-25.58
ADial Pharmaceuticals,ADIL,3.46,3.60,2.80,2.80,-1.00,-26.32,"717,084",5.00,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.60,0.74,0.30,0.36,-0.14,-27.99,"9,200",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,4.66,4.79,4.40,4.45,-0.08,-1.77,"223,879",6.96,2.49,...,...,...,38.63
ADOMANI,ADOM,0.36,0.37,0.32,0.32,-0.05,-13.46,"311,467",6.73,0.32,...,...,...,-92.72
Aehr Test Systems,AEHR,1.62,1.67,1.50,1.57,-0.06,-3.53,"39,720",3.37,1.50,...,...,...,-41.97
Aerpio Pharmaceuticals,ARPO,2.05,2.05,1.90,1.90,-0.14,-6.86,"39,676",5.25,1.75,...,...,...,-60.00
AEterna Zentaris,AEZS,2.78,3.19,2.65,2.90,0.05,1.75,"411,089",3.92,1.12,...,...,5.50,22.88
Aethlon Medical,AEMD,1.30,1.33,1.29,1.32,-0.01,-0.53,"47,558",2.04,0.82,...,...,...,16.81
Agenus,AGEN,2.39,2.47,2.19,2.21,-0.21,-8.68,"1,135,818",6.19,1.54,...,...,...,-32.21
Airgain,AIRG,11.12,11.40,10.52,10.61,-0.61,-5.44,"29,935",14.17,7.40,...,...,...,18.02
AirMedia Group ADR,AMCN,0.21,0.25,0.21,0.23,0.02,9.48,"336,610",1.84,0.20,...,...,...,-79.71
Air T,AIRT,26.70,28.86,26.70,28.27,1.59,5.95,"3,302",44.29,23.00,...,...,24.30,14.49
Akari Therapeutics ADR,AKTX,1.75,1.76,1.70,1.76,-0.01,-0.56,"43,506",4.89,1.62,...,...,...,-59.35
Akers Biosciences,AKER,1.12,1.18,0.94,1.00,-0.16,-13.79,"546,325",7.84,0.94,...,...,...,-6.72
Akoustis Technologies,AKTS,5.38,5.75,5.28,5.69,0.33,6.16,"192,269",9.50,3.40,...,...,...,-8.67
Alberton Acquisition Rt,ALACR,0.25,0.25,0.24,0.24,-0.01,-4.00,"10,000",0.34,0.22,...,...,...,...
Alberton Acquisition WT,ALACW,0.10,0.10,0.10,0.10,...,...,"12,490",0.20,0.08,...,...,...,...
Albireo Pharma,ALBO,23.60,24.74,23.50,23.85,0.35,1.49,"25,275",39.87,23.05,...,...,...,-6.84
Aldeyra Therapeutics,ALDX,9.35,9.41,8.77,8.82,-0.64,-6.77,"211,526",16.70,6.20,...,...,...,29.71
Alithya Group Cl A,ALYA,3.65,3.65,3.44,3.56,-0.09,-2.53,"21,498",6.00,3.32,...,...,...,...
Alkaline Water,WTER,4.59,4.74,4.26,4.47,-0.06,-1.32,"134,678",5.56,3.91,...,...,...,118.05
Allegro Merger,ALGRU,10.28,10.28,10.28,10.28,-0.01,-0.10,"200",10.40,10.04,...,...,...,...
Allegro Merger,ALGR,9.75,9.60,9.60,9.60,-0.15,-1.54,"674",9.80,9.02,...,...,...,...
Allegro Merger Rt,ALGRR,0.29,0.29,0.29,0.29,...,...,"200",0.46,0.17,...,...,...,...
Allegro Merger WT,ALGRW,0.31,0.31,0.31,0.31,-0.02,-6.06,"1,000",1.00,0.24,...,...,...,...
Alliance MMA,AMMA,0.20,0.21,0.20,0.20,0.01,3.43,"87,852",1.54,0.15,...,...,...,-82.67
Allied Healthcare Products,AHPI,1.97,2.06,1.97,1.98,0.01,0.47,"3,445",5.25,1.72,...,...,...,-5.30
Alliqua BioMedical,ALQA,2.50,2.59,2.26,2.42,-0.27,-10.04,"1,169,907",5.24,1.55,...,...,...,33.70
Alta Mesa Resources,AMR,1.26,1.28,1.03,1.04,-0.21,-16.80,"2,802,606",10.79,1.03,...,...,...,-89.51
Alta Mesa Resources WT,AMRWW,0.09,0.11,0.08,0.09,-0.01,-12.22,"678,912",2.85,0.06,...,...,...,-93.64
Altus Midstream,ALTM,10.48,10.48,8.76,9.06,0.33,3.78,"305,676",10.48,7.33,...,...,...,-6.69
Altus Midstream WT,ALTMW,0.88,0.90,0.75,0.83,0.05,6.41,"259,812",1.75,0.66,...,...,...,-2.35
AMCI Acquisition,AMCIU,9.98,9.98,9.95,9.95,-0.05,-0.50,"2,000",10.02,9.95,...,...,...,...
American Electric Technologies,AETI,0.95,0.95,0.83,0.84,-0.05,-5.62,"249,576",2.53,0.40,...,...,...,-44.00
Ameri Holdings,AMRH,0.21,0.24,0.21,0.22,-0.01,-4.44,"528,543",13.50,0.21,...,...,...,-92.85
Ameri Holdings WT,AMRHW,0.05,0.05,0.04,0.04,-0.01,-12.50,"502",7.58,0.03,...,...,...,-95.42
Ames National,ATLO,25.60,25.90,25.52,25.64,-0.06,-0.23,"12,424",32.15,25.52,0.92,3.59,15.45,-7.94
Anavex Life Sciences,AVXL,1.98,2.01,1.88,1.90,-0.11,-5.47,"384,383",4.35,1.85,...,...,...,-40.99
Anixa Biosciences,ANIX,3.75,3.98,3.67,3.82,-0.12,-3.05,"46,784",6.86,2.27,...,...,...,61.86
Antares Pharma,ATRS,3.02,3.09,2.87,2.88,-0.14,-4.64,"1,299,525",3.93,1.85,...,...,...,44.72
Apollo Medical Holdings,AMEH,17.01,17.98,16.61,16.63,-0.44,-2.58,"69,807",30.00,13.01,...,...,10.82,-30.71
Appliance Recycling Centers of America,ARCI,0.53,0.53,0.50,0.50,-0.03,-4.76,"117,421",1.68,0.50,...,...,0.94,-51.92
Applied DNA Sciences,APDN,0.93,0.93,0.75,0.79,-0.11,-12.21,"359,554",2.68,0.75,...,...,...,-50.31
Applied DNA Sciences WT,APDNW,0.06,0.06,0.02,0.02,...,...,"89,599",0.80,0.01,...,...,...,-94.44
Apricus Biosciences,APRI,0.28,0.29,0.26,0.26,-0.02,-7.24,"812,954",3.34,0.25,...,...,...,-85.87
Aptose Biosciences,APTO,2.24,2.29,2.16,2.16,-0.09,-4.19,"306,640",4.55,1.69,...,...,...,-3.45
AquaBounty Technologies,AQB,2.13,2.20,2.08,2.09,-0.06,-2.79,"8,974",9.99,2.08,...,...,...,-40.63
Aqua Metals,AQMS,1.82,1.85,1.68,1.73,-0.08,-4.42,"392,188",4.22,1.42,...,...,...,-18.78
Aradigm,ARDM,0.48,0.48,0.40,0.40,-0.07,-14.08,"153,146",7.35,0.40,...,...,...,-94.01
ARCA biopharma,ABIO,0.52,0.52,0.50,0.50,-0.02,-2.88,"90,374",1.95,0.45,...,...,...,-62.59
Arcadia Biosciences,RKDA,3.92,3.92,3.30,3.51,-0.39,-10.00,"152,327",66.56,3.30,...,...,...,-36.18
ARC Group Worldwide,ARCW,1.33,1.39,1.20,1.20,-0.10,-7.69,"8,937",2.60,0.91,...,...,...,-42.86
Arcimoto,FUV,2.45,2.45,2.00,2.01,-0.14,-6.51,"25,021",5.32,1.55,...,...,...,-49.88
Aridis Pharmaceuticals,ARDS,10.39,10.39,9.00,9.31,-0.29,-3.02,"3,444",13.85,7.59,...,...,...,...
Art's Way Manufacturing,ARTW,2.25,2.29,2.25,2.29,0.04,1.78,"4,538",5.45,2.05,0.10,4.37,...,-23.25
ARYA Sciences Acquisiton,ARYAU,10.33,10.33,10.33,10.33,0.04,0.39,"100",10.44,10.12,...,...,...,...
ARYA Sciences Acquisiton Cl A,ARYA,9.60,9.75,9.60,9.75,0.15,1.59,"25,100",9.80,9.50,...,...,...,...
Aspen Group,ASPU,5.65,5.65,5.24,5.28,-0.27,-4.86,"52,873",9.61,4.93,...,...,...,-40.81
