Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.59,3.59,3.53,3.55,-0.04,-1.11,"28,140",5.33,2.63,...,...,...,0.85
Abeona Therapeutics,ABEO,7.09,7.56,7.02,7.51,0.49,6.98,"683,481",22.00,6.26,...,...,...,5.18
Ability,ABIL,1.90,2.05,1.86,1.99,0.09,4.74,"432,852",14.55,1.54,...,...,...,4.74
Abraxas Petroleum,AXAS,1.38,1.40,1.33,1.40,0.05,3.70,"1,001,247",3.27,0.90,...,...,...,28.44
Acasti Pharma,ACST,0.91,0.96,0.90,0.92,0.02,2.22,"573,747",1.80,0.43,...,...,...,10.59
Accelerate Diagnostics,AXDX,12.80,14.67,12.52,14.62,1.59,12.20,"749,051",30.35,10.23,...,...,...,27.13
Acer Therapeutics,ACER,21.65,23.25,21.00,23.09,1.59,7.40,"39,208",34.10,15.01,...,...,...,14.76
Achieve Life Sciences,ACHV,1.37,1.43,1.23,1.35,-0.00,-0.15,"119,949",32.00,1.04,...,...,...,11.40
ACNB,ACNB,38.57,39.25,37.48,38.27,-0.57,-1.47,"8,461",41.45,27.30,0.92,2.40,14.18,-2.50
Adamis Pharmaceuticals,ADMP,2.47,2.55,2.39,2.43,-0.02,-0.82,"386,250",5.10,2.01,...,...,...,8.00
Adesto Technologies,IOTS,4.84,5.13,4.84,5.11,0.26,5.36,"130,279",10.80,3.51,...,...,...,16.14
ADial Pharmaceuticals,ADIL,6.40,6.55,5.70,6.00,-0.40,-6.25,"259,349",7.45,1.11,...,...,...,17.19
ADial Pharmaceuticals WT,ADILW,0.65,0.65,0.65,0.65,-0.02,-3.04,"900",0.95,0.26,...,...,...,18.18
ADMA Biologics,ADMA,3.08,3.39,3.00,3.14,0.19,6.44,"522,303",6.96,2.08,...,...,...,31.38
ADOMANI,ADOM,0.31,0.32,0.28,0.31,0.01,2.93,"217,075",3.54,0.16,...,...,...,15.04
Aehr Test Systems,AEHR,1.44,1.49,1.36,1.36,-0.08,-5.56,"86,222",3.32,1.30,...,...,...,-3.55
Aerpio Pharmaceuticals,ARPO,2.15,2.23,2.06,2.13,...,0.24,"87,979",5.25,1.56,...,...,...,25.29
AEterna Zentaris,AEZS,3.56,3.70,3.42,3.49,0.08,2.35,"610,817",3.92,1.12,...,...,6.62,18.71
Aethlon Medical,AEMD,1.46,1.51,1.42,1.51,0.03,2.27,"51,829",2.04,0.82,...,...,...,-9.04
Agenus,AGEN,3.02,3.39,3.01,3.25,0.28,9.43,"4,492,905",6.19,1.54,...,...,...,36.55
Agile Therapeutics,AGRX,0.76,0.80,0.70,0.76,-0.02,-2.46,"213,001",3.92,0.23,...,...,...,32.11
AGM Group Holdings,AGMH,28.90,28.90,28.90,28.90,1.58,5.78,"266",52.00,5.01,...,...,...,8.04
Airgain,AIRG,10.17,10.48,10.10,10.26,0.09,0.88,"19,890",14.17,7.40,...,...,...,3.53
AirMedia Group ADR,AMCN,0.30,0.33,0.28,0.31,0.01,3.40,"273,794",1.50,0.18,...,...,...,22.35
Air T,AIRT,26.84,26.84,26.84,26.84,-0.66,-2.40,"175",44.29,22.43,...,...,23.07,9.55
Akari Therapeutics ADR,AKTX,1.80,1.87,1.73,1.82,0.03,1.68,"20,640",4.28,1.56,...,...,...,15.93
Akers Biosciences,AKER,1.19,1.33,1.12,1.24,0.05,4.26,"554,310",7.84,0.57,...,...,...,9.80
Akoustis Technologies,AKTS,5.75,6.04,5.70,5.76,0.04,0.70,"247,289",9.50,3.40,...,...,...,15.90
Alberton Acquisition Cl A,ALAC,9.75,9.76,9.75,9.75,...,...,"10,000",10.50,9.65,...,...,...,-0.51
Alberton Acquisition WT,ALACW,0.12,0.12,0.12,0.12,-0.01,-7.69,"100",0.20,0.08,...,...,...,4.35
Albireo Pharma,ALBO,25.58,26.57,24.42,25.70,0.31,1.22,"14,267",39.87,19.10,...,...,...,4.77
Aldeyra Therapeutics,ALDX,9.83,10.03,9.65,9.77,-0.01,-0.10,"193,329",16.70,6.25,...,...,...,17.71
Alithya Group Cl A,ALYA,2.82,2.92,2.77,2.92,0.06,2.10,"94,840",6.00,2.25,...,...,...,24.26
Alkaline Water,WTER,2.90,2.93,2.65,2.75,-0.14,-4.78,"224,048",5.56,2.45,...,...,...,-11.00
Allegro Merger,ALGR,9.76,9.80,9.75,9.80,0.01,0.10,"227,780",9.85,9.02,...,...,...,0.51
Allegro Merger Rt,ALGRR,0.30,0.30,0.30,0.30,0.01,3.45,"1,000",0.46,0.16,...,...,...,3.45
Allegro Merger WT,ALGRW,0.30,0.30,0.30,0.30,-0.00,-0.03,"100",1.00,0.24,...,...,...,-0.03
Alliance MMA,AMMA,0.17,0.21,0.17,0.19,0.02,10.22,"792,370",1.49,0.13,...,...,...,19.21
Allied Healthcare Products,AHPI,1.77,1.95,1.77,1.94,0.15,8.38,"5,220",5.25,1.62,...,...,...,6.19
Alliqua BioMedical,ALQA,2.22,2.30,2.10,2.28,0.04,1.79,"194,993",5.24,1.55,...,...,...,21.93
Alta Mesa Resources,AMR,1.32,1.36,1.25,1.29,0.01,0.78,"1,588,859",10.79,0.75,...,...,...,29.00
Alta Mesa Resources WT,AMRWW,0.07,0.09,0.07,0.09,-0.00,-2.62,"121,800",2.85,0.05,...,...,...,21.97
Altus Midstream,ALTM,8.18,8.75,7.93,8.18,0.07,0.86,"188,450",10.48,7.15,...,...,...,5.82
AMCI Acquisition,AMCIU,9.95,9.95,9.94,9.94,-0.01,-0.10,"3,000",10.02,9.94,...,...,...,-0.10
American Electric Technologies,AETI,0.84,0.89,0.80,0.84,...,0.41,"282,838",2.53,0.40,...,...,...,-3.42
Ameri Holdings,AMRH,0.21,0.24,0.20,0.21,-0.01,-4.55,"523,207",13.50,0.15,...,...,...,20.41
Ames National,ATLO,26.15,26.25,25.87,26.14,-0.01,-0.04,"9,828",32.15,24.51,0.92,3.52,15.75,2.83
Anavex Life Sciences,AVXL,1.87,2.10,1.84,2.03,0.20,10.93,"351,035",4.35,1.25,...,...,...,30.13
Anixa Biosciences,ANIX,3.96,4.10,3.94,3.97,-0.03,-0.75,"48,525",6.86,2.62,...,...,...,0.76
Antares Pharma,ATRS,2.97,3.11,2.96,3.06,0.13,4.44,"1,047,733",3.93,1.85,...,...,...,12.50
Apollo Medical Holdings,AMEH,19.42,19.81,19.00,19.20,-0.20,-1.03,"12,430",30.00,13.01,...,...,12.49,-3.27
Appliance Recycling Centers of America,ARCI,0.41,0.48,0.41,0.45,0.03,7.14,"71,957",1.68,0.36,...,...,0.85,1.23
Applied DNA Sciences,APDN,0.43,0.50,0.40,0.45,0.02,4.71,"391,740",1.84,0.30,...,...,...,11.25
Applied DNA Sciences WT,APDNW,0.01,0.02,0.01,0.01,...,30.00,"1,895",0.39,...,...,...,...,225.00
Apricus Biosciences,APRI,0.25,0.28,0.24,0.26,0.03,13.04,"787,304",3.34,0.18,...,...,...,35.42
Aptose Biosciences,APTO,2.23,2.53,2.22,2.34,0.13,5.88,"234,902",4.55,1.78,...,...,...,22.51
AquaBounty Technologies,AQB,2.32,2.39,2.30,2.35,...,...,"6,835",8.06,1.51,...,...,...,14.63
Aqua Metals,AQMS,1.90,1.93,1.86,1.90,0.02,1.06,"253,101",4.22,1.42,...,...,...,4.40
