Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,16.00,16.14,15.20,15.85,-0.10,-0.63,"608,652",22.75,7.01,...,...,...,...
Ability,ABIL,7.48,7.50,6.70,6.88,-0.60,-8.02,"197,230",14.55,2.14,...,...,...,56.36
Abraxas Petroleum,AXAS,2.98,3.15,2.98,3.10,0.12,4.03,"2,336,440",3.27,1.51,...,...,41.17,26.02
Acasti Pharma,ACST,0.61,0.61,0.55,0.58,-0.01,-1.36,"169,344",3.36,0.55,...,...,...,-38.48
Accelerate Diagnostics,AXDX,21.20,21.50,20.80,21.15,...,...,"191,214",30.35,16.75,...,...,...,-19.27
Acer Therapeutics,ACER,24.16,24.89,24.03,24.63,0.80,3.36,"21,061",24.89,7.25,...,...,...,77.83
Achieve Life Sciences,ACHV,3.69,3.74,3.59,3.68,0.10,2.79,"113,090",52.80,3.28,...,...,...,-72.60
ACNB,ACNB,35.75,35.75,34.40,35.30,-0.20,-0.56,"10,444",36.00,24.45,0.92,2.61,19.83,19.46
Adamis Pharmaceuticals,ADMP,4.50,4.50,4.25,4.28,-0.23,-5.00,"940,234",5.85,2.35,...,...,...,-2.84
Adesto Technologies,IOTS,8.40,8.40,6.35,6.40,-2.10,-24.71,"1,818,923",10.80,4.25,...,...,...,-0.78
ADMA Biologics,ADMA,4.36,4.44,4.34,4.40,...,...,"247,268",5.70,2.01,...,...,...,37.07
ADOMANI,ADOM,0.81,0.84,0.69,0.74,-0.07,-8.61,"727,363",18.31,0.50,...,...,...,-83.12
Advanced Micro Devices,AMD,16.73,16.84,16.17,16.61,0.25,1.53,"57,859,136",17.34,9.04,...,...,87.42,61.58
Aehr Test Systems,AEHR,2.60,2.72,2.59,2.71,0.10,3.83,"101,289",4.33,2.12,...,...,...,...
Aerpio Pharmaceuticals,ARPO,4.24,4.35,4.05,4.27,0.16,3.89,"296,539",6.75,3.29,...,...,...,-10.11
AEterna Zentaris,AEZS,2.00,2.08,1.97,1.99,-0.04,-1.94,"72,963",3.29,0.98,...,...,39.80,-15.67
Aethlon Medical,AEMD,1.33,1.36,1.31,1.33,-0.01,-0.75,"84,653",3.85,0.79,...,...,...,17.70
Agenus,AGEN,2.43,2.43,2.33,2.35,-0.07,-2.89,"998,793",6.19,2.13,...,...,...,-27.91
AGM Group Holdings,AGMH,22.62,23.79,20.76,21.25,-1.42,-6.24,"70,088",37.63,5.01,...,...,...,...
Airgain,AIRG,10.15,10.50,10.11,10.41,0.29,2.87,"59,848",14.05,7.31,...,...,...,15.80
Air T,AIRT,30.40,32.50,30.40,32.50,1.95,6.38,"1,081",35.08,14.40,...,...,29.28,31.62
Akari Therapeutics ADR,AKTX,2.01,2.08,2.01,2.05,-0.01,-0.49,"15,598",11.95,1.70,...,...,...,-52.66
Akers Biosciences,AKER,0.38,0.38,0.36,0.37,-0.01,-2.39,"1,363,349",1.82,0.12,...,...,...,173.88
Akoustis Technologies,AKTS,8.92,8.95,8.31,8.64,-0.15,-1.71,"200,312",9.50,4.86,...,...,...,38.68
Albireo Pharma,ALBO,36.87,37.21,36.06,36.87,0.24,0.66,"51,245",39.87,20.25,...,...,...,44.02
Aldeyra Therapeutics,ALDX,8.30,8.35,8.05,8.25,0.05,0.61,"66,446",11.90,3.90,...,...,...,21.32
Allegro Merger,ALGRU,10.06,10.06,10.05,10.06,...,...,"111,623",10.07,10.04,...,...,...,...
Alliance MMA,AMMA,0.31,0.37,0.30,0.35,0.05,17.25,"1,095,623",3.07,0.28,...,...,...,-69.58
Allied Healthcare Products,AHPI,2.44,2.69,2.44,2.60,0.15,5.99,"62,810",5.25,1.72,...,...,...,24.25
Alliqua BioMedical,ALQA,2.00,2.02,1.99,2.02,0.04,2.02,"2,211",4.58,1.58,...,...,...,11.60
Alta Mesa Resources,AMR,6.87,7.09,6.85,7.08,0.29,4.27,"671,974",10.79,6.35,...,...,...,-28.56
Alta Mesa Resources WT,AMRWW,1.40,1.50,1.40,1.50,0.05,3.45,"190,528",2.85,1.03,...,...,...,0.67
Amedica,AMDA,0.79,0.79,0.73,0.75,-0.04,-5.40,"304,215",6.93,0.70,...,...,...,-77.10
American Electric Technologies,AETI,1.30,1.49,1.27,1.33,0.06,4.72,"910,339",2.53,0.62,...,...,...,-11.33
Ameri Holdings,AMRH,1.12,1.24,1.12,1.18,0.05,4.42,"308,024",13.50,0.70,...,...,...,-61.94
Ameri Holdings WT,AMRHW,0.18,0.18,0.18,0.18,...,0.06,"235",7.58,0.12,...,...,...,-76.46
Ames National,ATLO,31.70,32.00,31.45,32.00,0.40,1.27,"6,030",32.00,26.00,0.92,2.88,21.19,14.90
Anavex Life Sciences,AVXL,3.47,3.49,3.23,3.32,-0.12,-3.49,"664,729",5.55,1.85,...,...,...,3.11
Antares Pharma,ATRS,2.73,2.73,2.66,2.67,-0.03,-1.11,"440,737",4.09,1.58,...,...,...,34.17
Apollo Medical Holdings,AMEH,25.03,26.34,24.91,25.06,0.11,0.44,"158,083",30.00,5.50,...,...,...,4.42
