Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.80,3.95,3.80,3.82,-0.04,-1.04,"39,015",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,8.95,9.07,7.70,7.71,-1.65,-17.63,"1,253,658",22.00,7.70,...,...,...,-51.36
Abeona Therapeutics WT,ABEOW,4.62,4.62,3.67,3.67,-1.83,-33.27,"2,850",16.00,3.67,...,...,...,-68.36
Ability,ABIL,3.04,3.18,2.99,2.99,-0.02,-0.66,"31,154",14.55,2.14,...,...,...,-32.05
Abraxas Petroleum,AXAS,1.76,1.81,1.67,1.68,-0.07,-4.00,"1,111,581",3.27,1.67,...,...,...,-31.71
Acasti Pharma,ACST,0.96,0.96,0.76,0.85,-0.14,-14.14,"2,946,893",3.36,0.43,...,...,...,-9.84
Accelerate Diagnostics,AXDX,14.66,14.75,14.06,14.49,-0.18,-1.23,"266,870",30.35,13.25,...,...,...,-44.69
Acer Therapeutics,ACER,24.44,25.18,24.00,24.18,-0.73,-2.93,"9,550",34.10,11.36,...,...,...,74.58
Achieve Life Sciences,ACHV,2.06,2.06,1.94,1.95,-0.12,-5.80,"73,758",32.00,1.85,...,...,...,-85.48
ACNB,ACNB,39.68,39.68,38.77,38.95,-0.10,-0.26,"4,348",41.45,27.30,0.92,2.36,14.44,31.81
Adamis Pharmaceuticals,ADMP,2.50,2.62,2.33,2.62,-0.16,-5.76,"920,478",5.10,2.20,...,...,...,-40.45
Adesto Technologies,IOTS,5.36,5.41,4.77,4.82,-0.49,-9.23,"338,933",10.80,3.51,...,...,...,-25.27
ADial Pharmaceuticals,ADIL,1.62,1.64,1.40,1.41,-0.16,-10.19,"38,234",4.40,1.23,...,...,...,...
ADMA Biologics,ADMA,5.21,5.26,5.02,5.16,-0.10,-1.90,"129,457",6.96,2.28,...,...,...,60.75
ADOMANI,ADOM,0.59,0.59,0.52,0.53,-0.03,-5.71,"370,080",6.73,0.35,...,...,...,-88.00
Aehr Test Systems,AEHR,1.98,1.98,1.93,1.93,-0.04,-2.03,"32,182",3.37,1.80,...,...,...,-28.78
Aerpio Pharmaceuticals,ARPO,1.99,2.07,1.88,1.88,-0.10,-5.05,"56,061",6.00,1.85,...,...,...,-60.42
AEterna Zentaris,AEZS,2.28,2.50,2.28,2.41,0.15,6.64,"482,407",3.25,1.12,...,...,4.57,2.12
Aethlon Medical,AEMD,1.18,1.20,1.16,1.16,-0.01,-0.85,"5,477",2.04,0.82,...,...,...,2.65
Agenus,AGEN,2.00,2.00,1.86,1.92,-0.07,-3.52,"623,131",6.19,1.54,...,...,...,-41.10
AGM Group Holdings,AGMH,18.00,21.41,18.00,21.00,0.28,1.34,"5,742",52.00,5.01,...,...,...,...
Airgain,AIRG,13.66,13.76,12.41,12.55,-1.18,-8.59,"84,323",14.17,7.40,...,...,...,39.60
