Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.96,4.25,3.96,4.05,0.06,1.50,"64,949",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,9.40,9.56,8.62,9.41,0.07,0.75,"1,200,756",22.00,8.62,...,...,...,-40.63
Abeona Therapeutics WT,ABEOW,4.31,4.41,4.31,4.36,-0.99,-18.51,"850",16.00,4.31,...,...,...,-62.42
Ability,ABIL,3.68,3.70,3.02,3.10,-0.92,-22.80,"388,968",14.55,2.14,...,...,...,-29.55
Abraxas Petroleum,AXAS,2.07,2.07,2.00,2.00,-0.05,-2.44,"785,413",3.27,1.89,...,...,...,-18.70
Acasti Pharma,ACST,1.02,1.08,0.97,1.00,...,...,"468,719",3.36,0.43,...,...,...,6.07
Accelerate Diagnostics,AXDX,16.78,16.85,15.83,16.04,-0.69,-4.12,"345,562",30.35,15.77,...,...,...,-38.78
Acer Therapeutics,ACER,25.26,25.26,23.43,23.76,-1.54,-6.09,"7,542",34.10,11.36,...,...,...,71.55
Achieve Life Sciences,ACHV,2.42,2.43,2.30,2.36,-0.07,-2.88,"126,116",38.45,2.12,...,...,...,-82.43
ACNB,ACNB,36.95,38.19,36.34,37.34,0.39,1.06,"11,799",41.45,26.80,0.92,2.46,17.70,26.36
Adamis Pharmaceuticals,ADMP,2.93,2.94,2.79,2.85,-0.08,-2.73,"297,030",5.85,2.20,...,...,...,-35.23
Adesto Technologies,IOTS,4.24,4.29,4.09,4.16,-0.08,-1.89,"305,307",10.80,4.09,...,...,...,-35.50
ADial Pharmaceuticals,ADIL,2.62,2.62,2.40,2.41,-0.22,-8.37,"2,580",4.40,2.17,...,...,...,...
ADMA Biologics,ADMA,5.54,5.54,5.40,5.50,-0.03,-0.54,"147,234",6.96,2.01,...,...,...,71.34
ADOMANI,ADOM,0.53,0.53,0.49,0.49,-0.02,-3.92,"253,363",6.73,0.45,...,...,...,-88.86
Aehr Test Systems,AEHR,2.04,2.05,1.96,2.02,-0.02,-0.98,"16,702",3.90,1.80,...,...,...,-25.46
Aerpio Pharmaceuticals,ARPO,2.25,2.25,2.05,2.07,-0.13,-5.91,"41,184",6.10,2.05,...,...,...,-56.42
AEterna Zentaris,AEZS,1.45,1.50,1.44,1.45,-0.01,-0.68,"21,609",3.25,1.12,...,...,20.71,-38.56
Aethlon Medical,AEMD,1.05,1.08,1.03,1.03,-0.03,-2.83,"41,136",2.04,0.79,...,...,...,-8.85
Agenus,AGEN,1.89,1.92,1.76,1.81,-0.15,-7.65,"1,536,577",6.19,1.55,...,...,...,-44.48
AGM Group Holdings,AGMH,37.51,38.14,35.25,36.00,-2.54,-6.59,"8,008",52.00,5.01,...,...,...,...
Airgain,AIRG,12.61,12.65,12.30,12.37,-0.18,-1.43,"8,547",13.87,7.31,...,...,...,37.60
Air T,AIRT,40.40,42.76,40.30,40.35,0.05,0.13,"8,318",44.29,17.75,...,...,19.98,63.43
Akari Therapeutics ADR,AKTX,1.89,1.89,1.80,1.82,-0.10,-5.21,"33,983",5.49,1.70,...,...,...,-57.97
Akers Biosciences,AKER,0.37,0.38,0.35,0.37,0.01,2.64,"1,930,683",1.08,0.12,...,...,...,175.75
Akoustis Technologies,AKTS,4.20,4.25,3.82,4.12,...,...,"1,298,920",9.50,3.82,...,...,...,-33.87
Albireo Pharma,ALBO,27.70,28.71,27.46,28.34,0.72,2.61,"12,283",39.87,21.25,...,...,...,10.70
Aldeyra Therapeutics,ALDX,11.92,12.29,11.39,11.83,-0.09,-0.76,"170,427",16.70,5.55,...,...,...,73.97
Allegro Merger,ALGRU,10.27,10.27,10.27,10.27,-0.02,-0.19,"500",10.40,10.04,...,...,...,...
Alliance MMA,AMMA,0.30,0.30,0.27,0.29,-0.01,-3.33,"493,209",1.80,0.15,...,...,...,-75.00
Allied Healthcare Products,AHPI,2.07,2.11,2.03,2.03,0.02,1.00,"1,442",5.25,1.72,...,...,...,-2.87
Alliqua BioMedical,ALQA,2.02,2.09,1.83,1.95,-0.09,-4.41,"28,623",3.85,1.58,...,...,...,7.73
Alta Mesa Resources,AMR,3.52,3.60,3.45,3.47,-0.05,-1.42,"916,986",10.79,3.45,...,...,...,-64.98
