Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,19.95,20.80,19.85,20.05,0.25,1.26,"1,164,969",22.75,4.55,...,...,...,26.50
Ability,ABIL,3.02,3.02,2.92,2.98,-0.15,-4.79,"8,246",16.90,2.37,...,...,...,-32.27
Abraxas Petroleum,AXAS,2.95,2.99,2.85,2.89,-0.02,-0.69,"2,024,839",2.99,1.45,...,...,27.45,17.48
Acasti Pharma,ACST,1.09,1.10,1.07,1.08,...,...,"53,526",3.36,0.84,...,...,...,14.55
Accelerate Diagnostics,AXDX,24.80,24.93,24.25,24.35,-0.60,-2.40,"85,743",30.45,16.75,...,...,...,-7.06
Acer Therapeutics,ACER,19.00,19.00,18.68,18.94,-0.12,-0.63,"3,332",22.63,5.70,...,...,...,36.75
Achieve Life Sciences,ACHV,1.34,1.39,1.34,1.35,0.02,1.50,"52,708",6.27,1.15,...,...,...,0.50
ACNB,ACNB,29.30,29.50,29.30,29.45,...,...,"4,002",31.60,24.45,0.92,3.12,19.50,-0.34
Adamis Pharmaceuticals,ADMP,3.80,3.90,3.70,3.90,0.10,2.63,"279,187",6.45,2.35,...,...,...,-11.36
Adesto Technologies,IOTS,8.95,9.00,8.65,8.80,-0.15,-1.68,"114,962",9.20,4.00,...,...,...,36.43
ADMA Biologics,ADMA,4.77,4.91,4.74,4.82,0.10,2.12,"40,784",5.50,2.01,...,...,...,50.16
ADOMANI,ADOM,0.78,0.79,0.74,0.77,-0.02,-2.53,"171,715",18.31,0.74,...,...,...,-82.50
Advanced Micro Devices,AMD,10.18,10.33,9.99,10.11,-0.25,-2.41,"56,422,181",15.65,9.04,...,...,337.00,-1.65
Aehr Test Systems,AEHR,2.57,2.66,2.42,2.43,-0.14,-5.45,"78,955",4.99,2.12,...,...,...,-10.33
AEterna Zentaris,AEZS,1.47,1.54,1.44,1.50,0.02,1.35,"79,355",3.75,0.78,...,...,...,-36.44
Aethlon Medical,AEMD,1.36,1.38,1.30,1.33,-0.02,-1.48,"82,360",3.85,0.79,...,...,...,17.70
Agenus,AGEN,3.92,4.01,3.63,3.76,-0.19,-4.81,"2,837,370",6.19,3.24,...,...,...,15.34
AGM Group Holdings,AGMH,6.80,8.86,6.68,8.48,2.18,34.60,"299,465",8.86,5.00,...,...,...,...
Airgain,AIRG,8.54,8.80,8.16,8.21,-0.18,-2.15,"40,048",16.23,7.31,...,...,74.64,-8.68
Air T,AIRT,25.40,25.40,25.40,25.40,0.20,0.79,"656",34.83,14.40,...,...,55.22,2.87
Akari Therapeutics ADR,AKTX,2.14,2.14,2.00,2.00,-0.02,-0.75,"38,135",21.86,1.70,...,...,...,-53.81
Akers Biosciences,AKER,0.57,0.57,0.54,0.54,-0.01,-2.52,"3,282,765",2.10,0.12,...,...,...,303.81
Akoustis Technologies,AKTS,5.30,5.30,5.20,5.23,-0.08,-1.51,"31,198",10.83,4.86,...,...,...,-16.05
Albireo Pharma,ALBO,32.99,33.48,32.38,32.78,-0.27,-0.82,"56,504",39.87,15.31,...,...,...,28.05
Aldeyra Therapeutics,ALDX,7.15,7.17,7.00,7.05,-0.10,-1.40,"45,376",11.90,3.80,...,...,...,3.68
Alliance MMA,AMMA,0.42,0.44,0.42,0.42,-0.00,-0.14,"36,944",3.07,0.40,...,...,...,-63.84
Allied Healthcare Products,AHPI,2.67,2.71,2.65,2.66,-0.03,-1.12,"3,940",5.25,1.53,...,...,...,27.27
Alliqua BioMedical,ALQA,2.30,2.32,2.13,2.26,-0.06,-2.59,"20,567",4.60,1.58,...,...,...,24.86
Alta Mesa Resources,AMR,7.74,7.92,7.44,7.57,-0.13,-1.69,"792,234",10.79,6.79,...,...,344.09,-23.61
Alta Mesa Resources WT,AMRWW,1.65,1.67,1.54,1.58,-0.02,-1.25,"24,333",2.85,1.03,...,...,...,6.04
Amedica,AMDA,1.52,1.53,1.46,1.47,-0.00,-0.13,"31,495",6.93,1.25,...,...,...,-55.05
American Electric Technologies,AETI,0.81,0.84,0.77,0.81,-0.01,-1.46,"48,963",2.80,0.74,...,...,...,-46.07
Ameri Holdings,AMRH,1.43,1.50,1.42,1.45,0.04,2.84,"36,649",13.50,1.27,...,...,...,-53.23
Ames National,ATLO,27.90,28.15,27.85,27.95,0.10,0.36,"4,013",32.00,26.00,0.92,3.29,18.51,0.36
Anavex Life Sciences,AVXL,2.16,2.27,2.14,2.26,0.09,4.15,"332,222",6.27,1.85,...,...,...,-29.81
Antares Pharma,ATRS,2.45,2.45,2.33,2.34,-0.11,-4.49,"698,390",4.09,1.58,...,...,...,17.59
Anthera Pharmaceuticals,ANTH,0.34,0.35,0.33,0.34,0.01,2.99,"1,392,635",3.39,0.30,...,...,...,-79.33
Apollo Medical Holdings,AMEH,13.98,15.44,13.98,15.14,1.16,8.30,"13,565",30.00,5.50,...,...,...,-36.92
Appliance Recycling Centers of America,ARCI,0.81,0.84,0.81,0.81,-0.02,-1.93,"22,925",1.75,0.52,...,...,1.10,-21.73
Applied DNA Sciences,APDN,1.50,1.50,1.43,1.44,-0.03,-2.01,"6,570",3.45,0.90,...,...,...,-9.40
Apricus Biosciences,APRI,0.28,0.28,0.26,0.27,-0.01,-4.71,"1,045,953",3.34,0.26,...,...,...,-85.48
Aptose Biosciences,APTO,3.57,3.70,3.55,3.60,0.03,0.84,"157,512",3.97,0.78,...,...,...,60.71
