Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.28,3.30,2.63,2.83,-0.37,-11.56,"310,443",4.49,2.63,...,...,...,...
Abeona Therapeutics,ABEO,13.10,13.90,12.85,13.70,0.65,4.98,"588,049",22.75,7.45,...,...,...,-13.56
Ability,ABIL,5.00,5.00,4.50,4.68,-0.32,-6.40,"266,509",14.55,2.14,...,...,...,6.36
Abraxas Petroleum,AXAS,2.12,2.19,2.12,2.17,0.07,3.33,"1,054,293",3.27,1.59,...,...,...,-11.79
Acasti Pharma,ACST,0.46,0.46,0.43,0.45,-0.00,-0.68,"151,562",3.36,0.43,...,...,...,-52.07
Accelerate Diagnostics,AXDX,22.05,22.05,21.70,21.80,...,...,"153,037",30.35,16.75,...,...,...,-16.79
Acer Therapeutics,ACER,27.00,27.00,25.46,26.24,-0.73,-2.71,"53,742",30.23,7.35,...,...,...,89.46
Achieve Life Sciences,ACHV,2.91,2.98,2.71,2.84,-0.01,-0.35,"52,971",42.00,2.67,...,...,...,-78.86
ACNB,ACNB,34.00,34.40,33.65,33.90,0.20,0.59,"7,348",36.00,26.00,0.92,2.71,16.07,14.72
Adamis Pharmaceuticals,ADMP,3.40,3.50,2.80,2.83,-0.58,-16.91,"2,587,227",5.85,2.35,...,...,...,-35.80
Adesto Technologies,IOTS,5.35,5.55,5.35,5.40,0.05,0.93,"353,134",10.80,4.70,...,...,...,-16.28
ADial Pharmaceuticals,ADIL,3.75,3.75,3.75,3.75,...,...,"619",4.40,3.00,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.39,0.40,0.39,0.40,0.04,12.45,"1,660",0.75,0.30,...,...,...,...
ADMA Biologics,ADMA,5.89,5.90,5.49,5.52,-0.35,-5.96,"347,707",6.86,2.01,...,...,...,71.96
ADOMANI,ADOM,0.72,0.80,0.72,0.79,0.08,11.27,"1,083,294",13.81,0.50,...,...,...,-82.05
Advanced Micro Devices,AMD,19.86,20.07,19.25,19.33,-0.37,-1.88,"67,542,888",20.28,9.04,...,...,60.41,88.04
Aehr Test Systems,AEHR,2.37,2.38,2.33,2.37,-0.05,-2.07,"116,955",4.10,2.12,...,...,...,-12.55
Aerpio Pharmaceuticals,ARPO,3.40,3.62,3.40,3.62,0.29,8.71,"5,037",6.75,3.29,...,...,...,-23.79
AEterna Zentaris,AEZS,1.86,1.87,1.82,1.82,-0.06,-3.19,"30,226",3.25,1.12,...,...,26.00,-22.88
Aethlon Medical,AEMD,1.14,1.14,1.09,1.10,-0.02,-1.46,"48,557",3.85,0.79,...,...,...,-2.33
Agenus,AGEN,1.72,1.77,1.65,1.70,0.01,0.59,"1,762,408",6.19,1.65,...,...,...,-47.85
AGM Group Holdings,AGMH,13.25,14.70,12.71,14.24,-0.31,-2.13,"111,185",37.63,5.01,...,...,...,...
Airgain,AIRG,11.79,12.15,11.78,12.10,0.31,2.63,"177,366",12.15,7.31,...,...,...,34.59
Air T,AIRT,31.95,32.75,31.95,32.50,0.60,1.88,"1,368",35.08,14.90,...,...,16.09,31.62
Akari Therapeutics ADR,AKTX,1.87,1.87,1.82,1.82,-0.05,-2.67,"34,412",11.95,1.70,...,...,...,-57.97
Akers Biosciences,AKER,0.26,0.29,0.26,0.27,0.01,3.40,"1,796,700",1.82,0.12,...,...,...,104.48
Akoustis Technologies,AKTS,7.21,7.21,6.93,6.96,-0.24,-3.33,"73,015",9.50,4.86,...,...,...,11.72
Albireo Pharma,ALBO,30.00,30.70,29.27,29.73,-0.10,-0.34,"46,044",39.87,20.25,...,...,...,16.13
Aldeyra Therapeutics,ALDX,7.30,7.40,7.15,7.25,0.05,0.69,"50,029",11.90,3.90,...,...,...,6.62
Allegro Merger,ALGRU,10.10,10.22,10.10,10.22,-0.03,-0.29,"2,600",10.26,10.04,...,...,...,...
Allegro Merger,ALGR,9.52,9.52,9.52,9.52,-0.01,-0.10,"266,455",9.58,9.52,...,...,...,...
Allegro Merger Rt,ALGRR,0.40,0.40,0.40,0.40,...,...,"10,000",0.42,0.34,...,...,...,...
Alliance MMA,AMMA,0.17,0.23,0.16,0.19,0.03,19.49,"677,081",3.07,0.15,...,...,...,-83.28
Allied Healthcare Products,AHPI,2.50,2.50,2.36,2.36,-0.15,-5.86,"1,080",5.25,1.72,...,...,...,12.92
Alliqua BioMedical,ALQA,2.19,2.54,2.15,2.30,0.17,7.98,"28,304",4.58,1.58,...,...,...,27.07
Alta Mesa Resources,AMR,4.17,4.60,4.17,4.33,-0.01,-0.23,"4,389,490",10.79,4.17,...,...,...,-56.31
Alta Mesa Resources WT,AMRWW,0.55,0.66,0.53,0.60,0.01,1.69,"167,886",2.85,0.47,...,...,...,-59.73
Amedica,AMDA,0.43,0.45,0.35,0.38,-0.05,-11.74,"548,528",6.93,0.35,...,...,...,-88.53
American Electric Technologies,AETI,0.90,1.03,0.88,0.91,0.01,1.53,"70,764",2.53,0.62,...,...,...,-39.07
Ameri Holdings,AMRH,1.48,1.54,1.43,1.43,-0.08,-5.30,"97,915",13.50,0.70,...,...,...,-53.87
Ames National,ATLO,30.15,30.95,30.15,30.90,0.65,2.15,"3,286",32.15,26.00,0.92,2.98,19.31,10.95
Anavex Life Sciences,AVXL,2.69,2.75,2.65,2.70,0.04,1.50,"104,732",5.15,1.85,...,...,...,-16.15
Antares Pharma,ATRS,3.21,3.54,3.15,3.30,0.13,4.10,"4,259,775",4.09,1.58,...,...,...,65.83
Apollo Medical Holdings,AMEH,21.06,21.22,20.21,20.25,-0.39,-1.89,"65,194",30.00,5.50,...,...,...,-15.63
Appliance Recycling Centers of America,ARCI,0.74,0.76,0.69,0.75,0.07,10.29,"291,641",1.75,0.57,...,...,1.41,-27.88
Applied DNA Sciences,APDN,1.11,1.15,1.11,1.15,0.04,3.30,"99,160",3.45,1.10,...,...,...,-27.67
Applied DNA Sciences WT,APDNW,0.22,0.22,0.21,0.22,0.05,29.27,"19,802",1.04,0.12,...,...,...,-38.96
Apricus Biosciences,APRI,0.27,0.28,0.27,0.28,0.01,3.38,"83,093",3.34,0.25,...,...,...,-85.05
Aptose Biosciences,APTO,2.90,2.99,2.88,2.90,-0.02,-0.85,"44,202",4.55,1.30,...,...,...,29.46
AquaBounty Technologies,AQB,2.43,2.55,2.43,2.44,-0.03,-1.21,"31,877",9.99,2.25,...,...,...,-30.68
Aqua Metals,AQMS,2.38,2.43,2.35,2.41,0.03,1.26,"173,689",8.17,1.42,...,...,...,13.15
Aradigm,ARDM,1.30,1.31,1.28,1.29,-0.04,-3.01,"16,349",7.35,1.03,...,...,...,-80.75
ARCA biopharma,ABIO,0.60,0.62,0.57,0.60,...,0.19,"198,445",2.00,0.45,...,...,...,-55.56
Arcadia Biosciences,RKDA,5.54,5.72,5.39,5.58,0.05,0.90,"111,358",66.56,3.60,...,...,...,1.45
ARC Group Worldwide,ARCW,1.95,1.95,1.95,1.95,0.05,2.63,"803",2.94,1.80,...,...,...,-7.14
Arcimoto,FUV,3.85,3.89,3.70,3.87,0.11,2.93,"8,905",6.35,2.26,...,...,...,-3.49
Aridis Pharmaceuticals,ARDS,12.86,13.00,12.85,12.92,-0.04,-0.31,"21,220",13.85,12.61,...,...,...,...
Art's Way Manufacturing,ARTW,2.81,2.85,2.81,2.85,-0.05,-1.61,"2,233",5.45,2.00,0.10,3.51,...,-4.38
Aspen Group,ASPU,7.51,7.58,7.27,7.29,-0.14,-1.88,"11,813",9.61,5.35,...,...,...,-18.27
Assembly Biosciences,ASMB,36.00,37.19,35.34,36.72,0.83,2.31,"265,062",67.36,24.17,...,...,...,-18.85
Astrotech,ASTC,3.42,3.70,3.41,3.49,-0.04,-1.11,"38,386",8.15,1.64,...,...,...,4.18
Asure Software,ASUR,13.75,13.87,13.19,13.19,-0.50,-3.65,"184,602",19.78,9.89,...,...,...,-6.59
ASV Holdings,ASV,5.98,6.00,5.98,6.00,0.10,1.69,"689",10.80,4.75,...,...,...,-40.89
Athersys,ATHX,1.97,2.02,1.92,1.98,0.03,1.54,"305,222",3.09,1.29,...,...,...,9.39
Atlantic Acquisition,ATAC,13.49,13.59,13.00,13.01,-0.49,-3.67,"16,702",15.00,9.75,...,...,...,31.90
Atlantic Acquisition Un,ATACU,13.00,14.50,13.00,14.50,0.50,3.57,"1,300",15.00,9.56,...,...,...,42.16
Atlantic Acquisition WT,ATACR,1.25,1.26,1.25,1.25,0.04,3.31,"15,500",1.40,0.33,...,...,...,108.33
Atomera,ATOM,5.70,5.75,5.70,5.70,0.05,0.93,"9,550",8.00,2.45,...,...,...,31.70
Atossa Genetics,ATOS,2.17,2.35,2.17,2.31,0.14,6.45,"78,020",19.08,2.01,...,...,...,-26.81
Attis Industries,ATIS,0.35,0.37,0.35,0.35,-0.01,-1.56,"130,271",3.63,0.35,...,...,...,-66.57
Attunity,ATTU,19.00,19.50,18.71,19.00,0.11,0.58,"213,739",19.63,6.25,...,...,...,172.21
Auris Medical Holding,EARS,0.24,0.24,0.23,0.24,-0.00,-1.23,"228,276",9.50,0.23,...,...,...,-95.94
AutoWeb,AUTO,3.62,3.71,3.55,3.55,-0.08,-2.20,"12,612",9.91,2.88,...,...,...,-60.60
