Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.33,3.33,3.15,3.20,-0.09,-2.74,"42,494",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,6.60,6.77,6.42,6.64,-0.03,-0.45,"852,667",22.00,6.26,...,...,...,-58.11
Ability,ABIL,1.78,1.83,1.70,1.77,0.06,3.51,"141,643",14.55,1.54,...,...,...,-59.77
Abraxas Petroleum,AXAS,1.10,1.20,1.06,1.12,0.02,1.82,"2,839,370",3.27,0.90,...,...,...,-54.47
Acasti Pharma,ACST,0.66,0.70,0.66,0.69,-0.01,-1.43,"496,599",1.80,0.43,...,...,...,-26.81
Accelerate Diagnostics,AXDX,10.78,11.00,10.30,10.99,0.09,0.83,"437,544",30.35,10.23,...,...,...,-58.05
Acer Therapeutics,ACER,18.09,18.67,17.70,18.53,0.11,0.60,"32,119",34.10,13.33,...,...,...,33.79
Achieve Life Sciences,ACHV,1.25,1.27,1.19,1.20,-0.05,-4.00,"30,811",32.00,1.04,...,...,...,-91.07
ACNB,ACNB,38.00,38.32,37.22,38.00,-0.47,-1.22,"8,843",41.45,27.30,0.92,2.42,14.08,28.60
Adamis Pharmaceuticals,ADMP,2.16,2.39,2.12,2.18,0.01,0.46,"513,258",5.10,2.01,...,...,...,-50.45
Adesto Technologies,IOTS,4.37,4.42,4.25,4.40,0.01,0.23,"169,981",10.80,3.51,...,...,...,-31.78
ADial Pharmaceuticals,ADIL,5.70,6.67,5.45,5.78,-0.53,-8.40,"2,566,056",7.45,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.90,0.90,0.60,0.60,-0.20,-25.00,"8,836",0.95,0.26,...,...,...,...
ADMA Biologics,ADMA,2.11,2.35,2.08,2.34,0.17,7.83,"506,782",6.96,2.08,...,...,...,-27.10
ADOMANI,ADOM,0.25,0.27,0.25,0.25,-0.01,-4.00,"151,623",5.14,0.16,...,...,...,-94.27
Aehr Test Systems,AEHR,1.46,1.55,1.41,1.41,-0.07,-4.73,"63,019",3.37,1.30,...,...,...,-47.97
Aerpio Pharmaceuticals,ARPO,1.60,1.75,1.60,1.60,...,...,"82,517",5.25,1.56,...,...,...,-66.32
AEterna Zentaris,AEZS,2.73,2.89,2.65,2.85,0.13,4.78,"183,004",3.92,1.12,...,...,5.40,20.76
Aethlon Medical,AEMD,1.33,1.40,1.33,1.37,0.02,1.48,"129,956",2.04,0.82,...,...,...,21.24
Agenus,AGEN,2.48,2.50,2.29,2.39,-0.11,-4.40,"2,432,839",6.19,1.54,...,...,...,-26.69
AGM Group Holdings,AGMH,28.78,28.78,28.29,28.40,1.81,6.83,"1,320",52.00,5.01,...,...,...,...
Airgain,AIRG,9.70,9.98,9.01,9.61,-0.09,-0.93,"38,170",14.17,7.40,...,...,...,6.90
AirMedia Group ADR,AMCN,0.21,0.23,0.18,0.21,0.02,9.11,"226,264",1.50,0.18,...,...,...,-81.97
Air T,AIRT,29.01,29.01,24.26,24.60,-1.41,-5.42,"16,118",44.29,23.75,...,...,21.14,-0.37
Akari Therapeutics ADR,AKTX,1.72,1.76,1.70,1.73,-0.03,-1.70,"25,221",4.74,1.62,...,...,...,-60.05
Akers Biosciences,AKER,0.67,1.08,0.63,1.00,0.29,40.60,"969,727",7.84,0.57,...,...,...,-6.93
Akoustis Technologies,AKTS,4.74,5.00,4.60,4.72,-0.03,-0.63,"98,899",9.50,3.40,...,...,...,-24.24
