Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.61,3.61,3.52,3.58,...,...,"47,165",5.33,2.63,...,...,...,1.70
Abeona Therapeutics,ABEO,7.03,7.11,6.51,6.62,-0.41,-5.83,"528,123",22.00,6.26,...,...,...,-7.28
Ability,ABIL,1.91,1.93,1.83,1.90,-0.05,-2.56,"251,646",14.55,1.54,...,...,...,...
Abraxas Petroleum,AXAS,1.28,1.33,1.21,1.27,-0.02,-1.55,"1,356,927",3.27,0.90,...,...,...,16.51
Acasti Pharma,ACST,0.90,0.90,0.84,0.87,-0.03,-3.01,"293,878",1.80,0.43,...,...,...,4.93
Accelerate Diagnostics,AXDX,11.87,12.19,11.35,11.76,-0.13,-1.09,"312,740",30.35,10.23,...,...,...,2.26
Acer Therapeutics,ACER,21.24,21.24,19.69,20.40,-1.05,-4.90,"35,102",34.10,15.01,...,...,...,1.39
Achieve Life Sciences,ACHV,1.27,1.36,1.16,1.31,0.03,2.34,"244,220",32.00,1.04,...,...,...,8.26
ACNB,ACNB,38.50,39.20,38.50,39.15,0.50,1.29,"5,720",41.45,27.30,0.92,2.35,14.51,-0.25
Adamis Pharmaceuticals,ADMP,2.39,2.45,2.31,2.34,-0.05,-2.09,"260,293",5.10,2.01,...,...,...,4.00
Adesto Technologies,IOTS,4.53,4.67,4.44,4.50,-0.16,-3.43,"115,487",10.80,3.51,...,...,...,2.27
ADial Pharmaceuticals,ADIL,6.29,7.18,6.05,6.75,0.25,3.85,"2,128,264",7.45,1.11,...,...,...,31.84
ADial Pharmaceuticals WT,ADILW,0.75,0.94,0.57,0.75,0.01,1.37,"23,531",0.95,0.26,...,...,...,36.36
ADMA Biologics,ADMA,2.61,3.11,2.61,2.81,0.19,7.25,"419,957",6.96,2.08,...,...,...,17.57
ADOMANI,ADOM,0.30,0.32,0.28,0.28,-0.02,-7.53,"173,542",4.55,0.16,...,...,...,4.78
Aehr Test Systems,AEHR,1.54,1.54,1.43,1.49,-0.05,-3.25,"53,631",3.37,1.30,...,...,...,5.67
Aerpio Pharmaceuticals,ARPO,2.03,2.15,1.90,2.07,0.08,4.02,"77,842",5.25,1.56,...,...,...,21.76
AEterna Zentaris,AEZS,3.04,3.08,3.02,3.08,0.05,1.65,"114,802",3.92,1.12,...,...,5.84,4.76
Aethlon Medical,AEMD,1.54,1.57,1.41,1.49,-0.09,-5.70,"134,509",2.04,0.82,...,...,...,-10.24
Agenus,AGEN,2.52,2.85,2.51,2.80,0.29,11.55,"3,264,693",6.19,1.54,...,...,...,17.65
Agile Therapeutics,AGRX,0.71,0.75,0.66,0.74,0.03,3.50,"194,889",3.92,0.23,...,...,...,28.49
AGM Group Holdings,AGMH,27.30,27.32,27.30,27.32,-3.43,-11.16,"410",52.00,5.01,...,...,...,2.13
Airgain,AIRG,10.00,10.43,9.93,10.23,0.01,0.10,"10,869",14.17,7.40,...,...,...,3.23
AirMedia Group ADR,AMCN,0.26,0.27,0.25,0.27,...,0.04,"88,793",1.50,0.18,...,...,...,5.58
Air T,AIRT,24.98,26.79,22.81,25.54,1.74,7.31,"4,540",44.29,22.43,...,...,21.95,4.24
Akari Therapeutics ADR,AKTX,1.71,1.75,1.66,1.69,0.02,1.50,"26,737",4.45,1.56,...,...,...,7.64
Akers Biosciences,AKER,1.11,1.20,1.05,1.16,-0.04,-3.33,"245,099",7.84,0.57,...,...,...,2.65
Akoustis Technologies,AKTS,5.44,5.65,5.21,5.49,-0.11,-1.96,"196,413",9.50,3.40,...,...,...,10.46
Albireo Pharma,ALBO,23.92,24.67,23.12,23.40,-0.73,-3.03,"14,296",39.87,19.10,...,...,...,-4.61
Aldeyra Therapeutics,ALDX,8.51,8.99,8.51,8.87,0.36,4.23,"296,449",16.70,6.25,...,...,...,6.87
Alithya Group Cl A,ALYA,2.61,2.90,2.60,2.81,0.02,0.72,"3,825",6.00,2.25,...,...,...,19.57
Alkaline Water,WTER,2.98,2.98,2.65,2.68,-0.27,-9.15,"345,036",5.56,2.65,...,...,...,-13.27
Allegro Merger,ALGR,9.83,9.84,9.82,9.82,0.06,0.62,"1,128",9.85,9.02,...,...,...,0.72
Alliance MMA,AMMA,0.18,0.19,0.16,0.17,-0.01,-5.67,"421,907",1.54,0.13,...,...,...,7.84
Allied Healthcare Products,AHPI,1.81,1.96,1.71,1.71,-0.06,-3.39,"3,276",5.25,1.62,...,...,...,-6.40
Alliqua BioMedical,ALQA,2.66,2.85,2.06,2.14,0.15,7.54,"3,911,705",5.24,1.55,...,...,...,14.44
Alta Mesa Resources,AMR,1.12,1.31,1.06,1.30,0.19,17.12,"3,613,573",10.79,0.75,...,...,...,30.00
Alta Mesa Resources WT,AMRWW,0.07,0.09,0.07,0.08,0.01,8.84,"30,266",2.85,0.05,...,...,...,14.12
Altus Midstream,ALTM,7.60,7.77,7.15,7.42,-0.24,-3.13,"244,763",10.48,7.15,...,...,...,-4.01
AMCI Acquisition,AMCIU,9.95,9.95,9.95,9.95,...,...,"140",10.02,9.94,...,...,...,...
American Electric Technologies,AETI,0.86,0.86,0.75,0.81,-0.03,-3.80,"94,826",2.53,0.40,...,...,...,-6.90
Ameri Holdings,AMRH,0.19,0.19,0.17,0.19,0.01,3.26,"201,837",13.50,0.15,...,...,...,8.94
Ameri Holdings WT,AMRHW,0.05,0.09,0.05,0.09,0.04,79.20,"10,400",7.58,0.02,...,...,...,79.20
Ames National,ATLO,25.97,25.97,25.41,25.41,-0.57,-2.19,"6,428",32.15,24.51,0.92,3.62,15.31,-0.04
Anavex Life Sciences,AVXL,1.67,1.79,1.63,1.73,0.05,2.98,"248,257",4.35,1.25,...,...,...,10.90
