Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,15.70,16.50,15.30,16.45,0.70,4.44,"640,050",22.75,6.00,...,...,...,3.79
Abeona Therapeutics WT,ABEOW,11.18,11.18,11.16,11.16,0.41,3.80,"400",17.56,3.20,...,...,...,-3.81
Ability,ABIL,8.37,8.37,5.85,7.15,-0.96,-11.84,"697,614",15.40,2.14,...,...,...,62.50
Abraxas Petroleum,AXAS,2.92,3.02,2.85,2.95,0.01,0.34,"2,360,508",3.27,1.51,...,...,39.18,19.92
Acasti Pharma,ACST,0.63,0.65,0.62,0.63,-0.01,-1.89,"165,674",3.36,0.60,...,...,...,-33.40
Accelerate Diagnostics,AXDX,22.45,22.45,21.75,22.00,-0.45,-2.00,"153,178",30.35,16.75,...,...,...,-16.03
Acer Therapeutics,ACER,19.90,20.29,19.27,19.75,-0.12,-0.60,"24,649",22.63,6.56,...,...,...,42.60
Achieve Life Sciences,ACHV,4.04,4.08,3.50,3.62,-0.47,-11.49,"1,029,259",62.70,3.28,...,...,...,-73.05
ACNB,ACNB,34.22,34.60,33.67,34.15,-0.55,-1.59,"9,246",36.00,24.45,0.92,2.69,19.19,15.57
Adamis Pharmaceuticals,ADMP,3.15,3.20,3.10,3.20,...,...,"165,683",5.85,2.35,...,...,...,-27.27
Adesto Technologies,IOTS,8.85,8.85,8.55,8.80,-0.05,-0.56,"150,534",10.80,4.25,...,...,...,36.43
ADMA Biologics,ADMA,4.53,4.59,4.41,4.54,...,...,"115,967",5.70,2.01,...,...,...,41.43
ADOMANI,ADOM,1.09,1.09,1.02,1.08,-0.01,-0.92,"319,481",18.31,0.50,...,...,...,-75.45
Advanced Micro Devices,AMD,14.85,15.36,14.75,15.31,0.34,2.27,"47,970,694",17.34,9.04,...,...,80.58,48.93
Advaxis WT,ADXSW,0.18,0.18,0.17,0.17,0.07,74.70,"280",4.18,0.08,...,...,...,-82.53
Aehr Test Systems,AEHR,2.41,2.46,2.32,2.34,0.01,0.43,"43,005",4.33,2.12,...,...,...,-13.65
Aerpio Pharmaceuticals,ARPO,3.80,4.21,3.80,4.19,0.31,7.99,"244,822",6.75,3.29,...,...,...,-11.79
AEterna Zentaris,AEZS,1.87,1.99,1.80,1.98,0.10,5.32,"134,057",3.29,0.94,...,...,39.60,-16.10
Aethlon Medical,AEMD,1.28,1.32,1.26,1.27,-0.01,-1.06,"20,736",3.85,0.79,...,...,...,12.30
Agenus,AGEN,2.25,2.35,2.17,2.31,0.05,2.21,"1,213,863",6.19,2.13,...,...,...,-29.14
AGM Group Holdings,AGMH,24.33,25.50,23.50,24.25,-0.25,-1.02,"85,964",37.63,5.01,...,...,...,...
Airgain,AIRG,8.84,9.02,8.67,9.01,0.15,1.69,"28,100",14.54,7.31,...,...,...,0.22
Air T,AIRT,33.61,33.85,32.95,33.65,-0.10,-0.30,"5,018",35.08,14.40,...,...,73.15,36.28
Akari Therapeutics ADR,AKTX,2.04,2.08,2.00,2.01,-0.02,-0.99,"95,227",11.95,1.70,...,...,...,-53.58
Akers Biosciences,AKER,0.34,0.46,0.31,0.37,0.02,6.00,"9,315,019",1.82,0.12,...,...,...,176.87
Akoustis Technologies,AKTS,6.97,7.97,6.73,7.05,0.02,0.28,"490,972",9.14,4.86,...,...,...,13.16
Albireo Pharma,ALBO,36.90,37.11,36.02,36.09,-0.82,-2.22,"114,472",39.87,17.55,...,...,...,40.98
Aldeyra Therapeutics,ALDX,8.10,8.20,7.80,8.15,0.10,1.24,"60,546",11.90,3.90,...,...,...,19.85
Alliance MMA,AMMA,0.31,0.44,0.28,0.38,0.07,22.90,"1,961,056",3.07,0.28,...,...,...,-67.16
Allied Healthcare Products,AHPI,2.42,2.50,2.41,2.41,-0.01,-0.41,"35,274",5.25,1.72,...,...,...,15.31
Alliqua BioMedical,ALQA,2.06,2.07,2.02,2.03,-0.05,-2.40,"2,862",4.60,1.58,...,...,...,12.15
Alta Mesa Resources,AMR,6.94,6.97,6.77,6.79,-0.13,-1.88,"787,605",10.79,6.35,...,...,...,-31.48
Alta Mesa Resources WT,AMRWW,1.35,1.39,1.33,1.39,-0.01,-0.71,"56,883",2.85,1.03,...,...,...,-6.71
Amedica,AMDA,1.06,1.06,0.90,0.96,-0.06,-5.88,"262,385",6.93,0.90,...,...,...,-70.64
American Electric Technologies,AETI,1.28,1.37,1.21,1.26,-0.01,-0.79,"426,518",2.53,0.62,...,...,...,-16.00
Ameri Holdings,AMRH,1.21,1.27,1.10,1.12,-0.05,-4.27,"505,440",13.50,0.70,...,...,...,-63.87
Ameri Holdings WT,AMRHW,0.20,0.20,0.18,0.18,-0.01,-5.26,"700",7.58,0.12,...,...,...,-76.47
Ames National,ATLO,30.75,31.25,30.75,31.25,0.15,0.48,"3,625",31.90,26.00,0.92,2.94,20.70,12.21
Anavex Life Sciences,AVXL,2.91,2.95,2.65,2.71,-0.25,-8.45,"686,628",5.57,1.85,...,...,...,-15.84
Antares Pharma,ATRS,2.52,2.62,2.50,2.62,0.09,3.56,"657,056",4.09,1.58,...,...,...,31.66
Apollo Medical Holdings,AMEH,26.47,29.80,26.47,28.76,0.81,2.90,"121,384",30.00,5.50,...,...,...,19.83
Appliance Recycling Centers of America,ARCI,0.71,0.71,0.67,0.68,-0.00,-0.04,"20,964",1.75,0.52,...,...,0.92,-34.62
Applied DNA Sciences,APDN,1.29,1.29,1.26,1.26,-0.02,-1.56,"28,512",3.45,1.25,...,...,...,-20.75
Applied DNA Sciences WT,APDNW,0.29,0.29,0.29,0.29,0.02,7.41,"100",1.04,0.12,...,...,...,-19.44
Apricus Biosciences,APRI,0.38,0.41,0.37,0.41,0.04,9.34,"630,472",3.34,0.25,...,...,...,-77.72
Aptose Biosciences,APTO,3.75,3.80,3.47,3.78,0.02,0.53,"385,036",4.55,1.15,...,...,...,68.75
AquaBounty Technologies,AQB,3.08,3.10,2.96,2.96,-0.08,-2.63,"17,901",9.99,2.25,...,...,...,-15.91
Aqua Metals,AQMS,2.99,3.02,2.71,2.84,-0.15,-5.02,"1,078,691",12.65,1.42,...,...,...,33.33
Aradigm,ARDM,1.35,1.49,1.35,1.41,...,...,"53,878",7.35,1.03,...,...,...,-78.96
ARCA biopharma,ABIO,0.54,0.63,0.53,0.57,0.03,6.16,"939,416",2.71,0.45,...,...,...,-57.84
Arcadia Biosciences,RKDA,8.20,8.23,7.82,8.09,-0.40,-4.71,"329,620",66.56,3.60,...,...,...,47.09
ARC Group Worldwide,ARCW,2.35,2.35,2.30,2.35,...,...,"3,444",3.10,1.80,...,...,...,11.90
Arcimoto,FUV,4.36,4.50,4.32,4.40,0.07,1.62,"42,745",6.35,2.26,...,...,...,9.73
Art's Way Manufacturing,ARTW,2.80,2.80,2.75,2.75,-0.10,-3.60,"4,706",5.45,2.00,0.10,3.64,...,-7.92
Aspen Group,ASPU,7.45,7.53,7.30,7.36,-0.04,-0.54,"24,905",9.61,5.35,...,...,...,-17.49
Assembly Biosciences,ASMB,39.48,40.20,37.25,39.29,-0.88,-2.19,"308,068",67.36,18.60,...,...,...,-13.17
Astrotech,ASTC,3.32,3.60,3.23,3.41,0.12,3.65,"190,534",8.15,1.64,...,...,...,1.79
Asure Software,ASUR,16.14,16.42,15.93,16.19,-0.04,-0.25,"191,086",19.78,9.89,...,...,...,14.66
ASV Holdings,ASV,6.11,6.11,4.75,5.00,-0.96,-16.11,"686,804",10.80,4.75,...,...,35.71,-50.74
Athersys,ATHX,1.96,2.00,1.93,1.94,-0.03,-1.52,"490,380",3.09,1.29,...,...,...,7.18
Atlantic Acquisition WT,ATACR,0.55,0.55,0.55,0.55,...,...,"20,000",0.66,0.33,...,...,...,-8.33
Atomera,ATOM,5.70,5.94,5.56,5.92,0.31,5.53,"12,041",8.00,2.45,...,...,...,36.72
Atossa Genetics,ATOS,2.36,2.42,2.26,2.28,-0.10,-4.20,"91,182",19.08,2.26,...,...,...,-27.76
Attis Industries,ATIS,0.40,0.51,0.38,0.43,0.05,12.99,"3,450,553",3.63,0.35,...,...,...,-59.39
Attis Industries WT,ATISW,0.06,0.06,0.06,0.06,...,0.17,"9,000",0.35,0.05,...,...,...,-62.44
Attunity,ATTU,11.70,11.70,11.45,11.63,-0.14,-1.19,"73,776",12.39,6.25,...,...,...,66.62
Auris Medical Holding,EARS,0.80,0.82,0.77,0.77,...,...,"91,022",9.70,0.75,...,...,...,-86.96
AutoWeb,AUTO,4.30,4.30,3.91,4.15,-0.12,-2.81,"36,954",14.22,2.88,...,...,...,-53.94
Avenue Therapeutics,ATXI,3.95,3.95,3.43,3.70,-0.15,-3.90,"18,440",8.27,3.28,...,...,...,2.21
Avid Bioservices,CDMO,3.92,4.02,3.85,3.88,-0.05,-1.27,"264,398",5.78,2.24,...,...,...,...
