Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,13.75,14.60,13.35,14.35,0.70,5.13,"700,882",22.75,4.55,...,...,...,-9.46
Abeona Therapeutics WT,ABEOW,9.20,9.50,9.20,9.50,1.18,14.25,"2,100",17.56,2.50,...,...,...,-18.10
Ability,ABIL,4.05,4.05,3.08,3.28,-0.03,-0.91,"129,348",21.50,2.64,...,...,...,-25.45
Abraxas Petroleum,AXAS,2.18,2.25,2.16,2.22,0.05,2.30,"679,924",2.75,1.45,...,...,21.08,-9.76
Acasti Pharma,ACST,0.97,1.03,0.97,1.02,0.02,2.00,"63,049",3.36,0.84,...,...,...,8.19
Accelerate Diagnostics,AXDX,22.55,23.22,22.45,22.85,0.30,1.33,"148,060",30.45,16.75,...,...,...,-12.79
Acer Therapeutics,ACER,17.80,19.31,17.36,19.27,1.55,8.75,"21,669",22.63,5.70,...,...,...,39.13
Acer Therapeutics WT,ACERW,0.01,0.01,...,...,-0.00,-30.12,"385,791",0.34,...,...,...,...,-67.69
Achieve Life Sciences,ACHV,1.26,1.30,1.26,1.27,-0.01,-1.17,"22,175",6.27,1.15,...,...,...,-5.46
ACNB,ACNB,29.30,29.50,29.25,29.25,0.15,0.52,"4,328",31.60,24.45,0.92,3.15,19.37,-1.02
Adamis Pharmaceuticals,ADMP,3.35,3.50,3.20,3.50,0.15,4.48,"415,375",6.45,2.35,...,...,...,-20.45
Adesto Technologies,IOTS,7.10,7.60,7.05,7.40,0.30,4.23,"64,576",9.20,3.71,...,...,...,14.73
ADMA Biologics,ADMA,4.68,4.72,4.46,4.60,-0.06,-1.29,"57,329",5.44,2.01,...,...,...,43.30
ADOMANI,ADOM,1.18,1.20,1.14,1.18,...,...,"90,253",18.31,1.06,...,...,...,-73.18
Advanced Micro Devices,AMD,9.94,10.08,9.81,10.05,0.24,2.45,"47,883,812",15.65,9.70,...,...,335.00,-2.24
Advaxis WT,ADXSW,0.38,0.40,0.38,0.40,0.01,3.15,"893",5.18,0.22,...,...,...,-60.00
Aehr Test Systems,AEHR,2.25,2.29,2.24,2.25,0.03,1.35,"60,513",6.10,2.16,...,...,...,-16.97
AEterna Zentaris,AEZS,1.47,1.55,1.45,1.46,-0.04,-2.67,"136,309",3.75,0.78,...,...,...,-38.14
Aethlon Medical,AEMD,1.19,1.20,1.12,1.19,0.02,1.71,"234,852",3.85,0.79,...,...,...,5.31
Agenus,AGEN,4.75,4.79,4.67,4.71,-0.01,-0.21,"1,033,493",6.19,3.20,...,...,...,44.48
Airgain,AIRG,8.07,8.38,7.74,7.74,-0.15,-1.90,"33,220",16.23,7.31,...,...,70.36,-13.90
Air T,AIRT,25.30,25.30,25.30,25.30,-0.20,-0.78,"146",34.83,14.40,...,...,55.00,2.46
Akari Therapeutics ADR,AKTX,1.76,1.83,1.74,1.82,0.05,2.82,"36,619",22.20,1.70,...,...,...,-57.97
Akers Biosciences,AKER,0.83,0.84,0.78,0.83,...,...,"7,156,922",2.25,0.12,...,...,...,519.33
Akoustis Technologies,AKTS,5.96,5.96,5.82,5.83,-0.08,-1.35,"81,421",13.24,4.91,...,...,...,-6.42
Albireo Pharma,ALBO,33.17,34.17,32.22,32.57,-0.60,-1.81,"37,041",39.87,15.31,...,...,...,27.23
Aldeyra Therapeutics,ALDX,8.15,8.15,7.25,7.50,-0.65,-7.98,"201,604",11.90,3.80,...,...,...,10.29
Alliance MMA,AMMA,0.43,0.47,0.43,0.45,0.01,1.79,"77,144",3.38,0.40,...,...,...,-60.78
Allied Healthcare Products,AHPI,2.86,2.98,2.85,2.85,-0.15,-5.00,"15,159",5.25,1.53,...,...,...,36.36
Alliqua BioMedical,ALQA,1.98,1.98,1.93,1.94,-0.01,-0.51,"26,159",5.33,1.58,...,...,...,7.18
Alta Mesa Resources,AMR,8.39,8.50,7.95,8.00,-0.38,-4.53,"889,698",10.79,7.15,...,...,...,-19.27
Alta Mesa Resources WT,AMRWW,1.75,1.83,1.41,1.55,-0.15,-8.82,"356,795",2.85,1.03,...,...,...,4.03
Amedica,AMDA,1.54,1.77,1.51,1.52,...,0.01,"75,895",6.93,1.37,...,...,...,-53.51
American Electric Technologies,AETI,1.40,1.50,0.95,1.10,-0.10,-8.33,"1,531,701",2.80,0.95,...,...,...,-26.67
Ameri Holdings,AMRH,1.63,1.73,1.60,1.64,0.02,1.23,"43,156",13.50,1.27,...,...,...,-47.10
Ameri Holdings WT,AMRHW,0.45,0.45,0.44,0.44,0.06,15.79,"2,900",7.58,0.25,...,...,...,-42.48
Ames National,ATLO,27.70,27.85,27.30,27.50,-0.35,-1.26,"5,492",32.00,26.00,0.92,3.35,18.71,-1.26
Anavex Life Sciences,AVXL,2.80,2.80,2.71,2.76,...,...,"175,856",6.49,2.25,...,...,...,-14.29
Antares Pharma,ATRS,2.22,2.22,2.10,2.20,...,...,"1,642,523",4.09,1.58,...,...,...,10.55
Anthera Pharmaceuticals,ANTH,0.31,0.33,0.30,0.32,0.01,4.07,"1,014,056",3.84,0.30,...,...,...,-80.64
Apollo Medical Holdings,AMEH,16.03,16.16,15.88,15.95,-0.01,-0.06,"7,468",30.00,5.50,...,...,...,-33.54
Appliance Recycling Centers of America,ARCI,0.89,0.89,0.81,0.83,-0.06,-6.39,"81,654",1.75,0.52,...,...,1.13,-20.19
Applied DNA Sciences,APDN,1.46,1.48,1.42,1.44,-0.04,-2.70,"33,999",3.45,0.90,...,...,...,-9.43
Apricus Biosciences,APRI,0.40,0.42,0.38,0.41,0.01,1.96,"1,132,102",3.34,0.38,...,...,...,-77.93
Aptose Biosciences,APTO,3.00,3.17,2.88,3.16,0.31,10.88,"345,886",3.97,0.78,...,...,...,41.07
AquaBounty Technologies,AQB,2.82,2.96,2.78,2.95,0.15,5.36,"28,244",11.45,2.25,...,...,...,-16.19
Aqua Metals,AQMS,2.54,2.68,2.46,2.59,0.10,4.02,"345,341",20.23,1.42,...,...,...,21.60
Aradigm,ARDM,1.30,1.30,1.20,1.22,-0.08,-6.15,"90,362",7.35,0.78,...,...,...,-81.79
ARCA biopharma,ABIO,0.50,0.50,0.48,0.50,0.01,1.71,"265,818",2.76,0.45,...,...,...,-63.01
Arcadia Biosciences,RKDA,22.41,26.09,21.75,24.01,1.36,6.00,"241,866",66.56,3.60,...,...,...,336.55
ARC Group Worldwide,ARCW,1.95,2.05,1.95,2.05,0.05,2.50,"10,773",4.25,1.80,...,...,...,-2.38
Arcimoto,FUV,3.37,3.37,3.08,3.25,0.09,2.85,"8,972",6.35,2.54,...,...,...,-18.95
Argos Therapeutics,ARGS,0.97,0.97,0.81,0.90,-0.01,-1.11,"398,963",16.40,0.81,...,...,...,-70.00
Art's Way Manufacturing,ARTW,2.35,2.40,2.35,2.40,0.01,0.30,"10,005",3.75,2.00,0.10,4.17,...,-19.56
Aspen Group,ASPU,7.04,7.22,7.04,7.06,0.01,0.14,"14,803",9.61,5.35,...,...,...,-20.85
Assembly Biosciences,ASMB,50.82,51.43,48.70,49.14,-1.60,-3.15,"364,898",67.36,18.60,...,...,...,8.60
Astrotech,ASTC,2.69,2.69,2.52,2.65,0.08,3.11,"83,023",7.15,2.01,...,...,...,-20.90
Asure Software,ASUR,12.87,13.21,12.19,12.24,-0.47,-3.70,"213,507",17.53,9.47,...,...,...,-13.31
ASV Holdings,ASV,7.60,7.89,7.22,7.26,-0.15,-2.02,"13,442",10.80,6.60,...,...,37.48,-28.47
Athersys,ATHX,1.83,1.88,1.79,1.83,...,...,"359,266",2.63,1.29,...,...,...,1.10
Atlantic Acquisition,ATAC,9.97,9.97,9.92,9.92,-0.06,-0.60,"2,028",15.00,9.75,...,...,...,0.61
Atlantic Acquisition Un,ATACU,10.48,10.48,10.34,10.38,-0.08,-0.77,"21,400",10.84,9.56,...,...,...,1.76
Atlantic Acquisition WT,ATACR,0.49,0.49,0.49,0.49,0.04,9.80,"100",0.66,0.33,...,...,...,-17.65
Atomera,ATOM,6.25,6.48,6.06,6.24,-0.05,-0.79,"43,441",8.00,2.45,...,...,...,44.11
Atossa Genetics,ATOS,0.46,0.47,0.45,0.45,-0.02,-4.50,"737,827",1.59,0.22,...,...,...,69.58
Attunity,ATTU,7.20,7.55,7.05,7.50,0.30,4.17,"47,151",8.24,6.25,...,...,...,7.45
Auris Medical Holding,EARS,1.71,1.77,1.60,1.60,-0.11,-6.43,"103,433",9.70,1.36,...,...,...,-72.90
AutoWeb,AUTO,3.05,3.12,2.93,2.98,-0.01,-0.33,"253,487",14.30,2.88,...,...,...,-66.93
Avenue Therapeutics,ATXI,4.49,4.54,4.41,4.51,0.01,0.22,"19,246",8.58,3.40,...,...,...,24.59
Avid Bioservices,CDMO,2.55,2.94,2.55,2.92,0.44,17.74,"1,225,729",5.78,2.24,...,...,...,-24.74
Avinger,AVGR,1.40,1.65,1.25,1.33,0.17,14.66,"15,518,270",78.00,0.95,...,...,...,-81.73
Avista Healthcare Public Acquisition WT,AHPAW,0.33,0.33,0.33,0.33,...,...,"22,000",0.51,0.20,...,...,...,17.82
AxoGen,AXGN,35.95,37.40,35.15,36.50,0.05,0.14,"605,786",40.95,10.05,...,...,...,28.98
Aytu BioScience,AYTU,0.60,0.67,0.55,0.64,0.04,7.08,"5,226,211",6.82,0.17,...,...,...,-71.43
AzurRx BioPharma,AZRX,3.17,3.40,2.86,3.14,-0.06,-1.88,"26,415",5.25,2.31,...,...,...,-13.67
Bancorp 34,BCTF,15.00,15.00,15.00,15.00,...,...,"6,005",16.49,12.55,...,...,124.58,1.69
Bank of Marin Bancorp,BMRC,68.95,70.83,68.55,68.95,0.15,0.22,"27,891",77.90,59.05,1.16,1.68,26.72,1.40
Bank of South Carolina,BKSC,20.10,20.10,20.10,20.10,0.15,0.75,"730",22.00,17.35,0.60,2.99,20.94,4.09
Bank of the James Financial Group,BOTJ,15.40,15.40,15.29,15.29,0.21,1.42,"1,944",16.25,13.87,0.24,1.57,23.17,2.41
Barington/Hilco Acquisition Rt,BHACR,0.33,0.35,0.30,0.35,-0.00,-0.20,"1,100",0.47,0.11,...,...,...,118.13
Barington/Hilco Acquisition WT,BHACW,0.22,0.22,0.21,0.21,...,...,"400",0.28,0.03,...,...,...,200.00
Bay Bancorp,BYBK,13.55,13.70,13.35,13.35,...,...,"95,381",14.85,6.75,...,...,30.34,9.20
Benitec Biopharma ADR,BNTC,3.18,3.21,3.13,3.18,-0.05,-1.42,"23,456",5.48,1.85,...,...,...,7.57
BeyondSpring,BYSI,26.70,26.70,25.60,25.62,-0.84,-3.17,"12,443",48.49,19.40,...,...,...,-11.90
Big Rock Partners Acquisition Un,BRPAU,10.32,10.35,10.32,10.35,0.03,0.29,"29,400",11.00,9.99,...,...,...,1.13
Bioanalytical Systems,BASI,1.63,1.63,1.60,1.60,...,...,"3,194",2.95,1.11,...,...,14.16,-34.69
Bioblast Pharma,ORPN,2.03,2.13,1.87,1.98,0.01,0.51,"30,767",5.99,1.49,...,...,...,-13.39
