Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,16.10,16.55,16.00,16.25,0.20,1.25,"631,554",22.75,4.55,...,...,...,2.52
Ability,ABIL,2.48,2.49,2.45,2.49,0.05,2.05,"6,460",16.90,2.35,...,...,...,-43.41
Abraxas Petroleum,AXAS,2.94,2.96,2.82,2.89,-0.09,-3.02,"1,448,200",3.27,1.45,...,...,38.38,17.48
Acasti Pharma,ACST,0.72,0.75,0.72,0.73,0.01,0.81,"179,140",3.36,0.60,...,...,...,-22.98
Accelerate Diagnostics,AXDX,20.85,21.00,20.35,20.45,-0.55,-2.62,"150,856",30.45,16.75,...,...,...,-21.95
Acer Therapeutics,ACER,19.02,19.02,18.26,18.26,-0.54,-2.87,"14,459",22.63,5.70,...,...,...,31.84
Achieve Life Sciences,ACHV,9.51,14.31,9.51,10.39,0.39,3.90,"69,167",...,...,...,...,...,-22.65
ACNB,ACNB,31.48,31.84,31.28,31.60,...,...,"2,039",32.10,24.45,0.92,2.91,17.75,6.94
Adamis Pharmaceuticals,ADMP,4.50,4.55,4.30,4.35,-0.15,-3.33,"384,742",6.45,2.35,...,...,...,-1.14
Adesto Technologies,IOTS,8.80,9.20,8.80,9.15,0.40,4.57,"135,125",9.95,4.00,...,...,...,41.86
ADMA Biologics,ADMA,5.28,5.37,5.17,5.28,0.04,0.76,"35,564",5.70,2.01,...,...,...,64.49
ADOMANI,ADOM,1.24,1.24,1.09,1.09,-0.16,-12.80,"1,053,879",18.31,0.50,...,...,...,-75.23
Advanced Micro Devices,AMD,13.06,13.43,13.03,13.41,0.31,2.37,"46,914,220",15.65,9.04,...,...,70.58,30.45
Aehr Test Systems,AEHR,2.44,2.46,2.39,2.39,-0.02,-0.87,"24,808",4.83,2.12,...,...,...,-11.81
AEterna Zentaris,AEZS,1.93,2.06,1.92,2.03,0.09,4.60,"204,528",3.29,0.89,...,...,40.60,-13.99
Aethlon Medical,AEMD,1.23,1.24,1.18,1.20,-0.06,-4.62,"255,553",3.85,0.79,...,...,...,6.35
Agenus,AGEN,3.47,3.52,3.43,3.47,-0.01,-0.29,"410,091",6.19,3.06,...,...,...,6.44
AGM Group Holdings,AGMH,9.28,10.49,9.07,9.85,0.63,6.83,"129,754",14.99,5.01,...,...,...,...
Airgain,AIRG,8.29,8.40,8.20,8.24,-0.19,-2.25,"48,808",15.54,7.31,...,...,...,-8.34
Air T,AIRT,31.60,32.75,30.15,32.75,...,...,"1,788",34.83,14.40,...,...,71.20,32.63
Akari Therapeutics ADR,AKTX,1.85,1.92,1.81,1.81,-0.03,-1.63,"24,447",11.95,1.70,...,...,...,-58.20
Akers Biosciences,AKER,0.60,0.60,0.56,0.58,-0.01,-1.82,"3,304,580",1.82,0.12,...,...,...,335.22
Akoustis Technologies,AKTS,6.67,6.72,6.40,6.61,0.03,0.46,"55,937",10.80,4.86,...,...,...,6.10
Albireo Pharma,ALBO,33.05,33.05,32.25,32.79,-0.34,-1.03,"29,164",39.87,15.31,...,...,...,28.09
Aldeyra Therapeutics,ALDX,8.75,8.80,8.60,8.72,0.03,0.29,"100,175",11.90,3.90,...,...,...,28.31
Alliance MMA,AMMA,0.48,0.48,0.43,0.44,-0.02,-4.35,"162,166",3.07,0.31,...,...,...,-62.07
Allied Healthcare Products,AHPI,2.44,2.71,2.43,2.46,-0.08,-3.07,"5,407",5.25,1.72,...,...,...,17.70
Alliqua BioMedical,ALQA,2.15,2.16,2.12,2.12,0.01,0.47,"3,977",4.60,1.58,...,...,...,17.13
Alta Mesa Resources,AMR,7.27,7.28,7.04,7.14,-0.23,-3.12,"924,573",10.79,6.60,...,...,...,-27.95
Alta Mesa Resources WT,AMRWW,1.41,1.54,1.41,1.51,-0.06,-3.82,"35,350",2.85,1.03,...,...,...,1.34
Amedica,AMDA,1.13,1.18,1.11,1.12,-0.01,-0.88,"311,923",6.93,1.02,...,...,...,-65.75
American Electric Technologies,AETI,0.90,0.95,0.77,0.77,-0.14,-14.88,"245,768",2.25,0.62,...,...,...,-48.53
Ameri Holdings,AMRH,0.95,0.95,0.70,0.83,-0.12,-13.08,"222,324",13.50,0.70,...,...,...,-73.39
