Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.99,4.00,3.91,4.00,0.02,0.50,"33,463",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,8.70,9.25,8.54,9.23,0.63,7.33,"651,783",22.00,8.52,...,...,...,-41.77
Abeona Therapeutics WT,ABEOW,4.39,4.51,4.39,4.51,0.03,0.67,"1,000",16.00,4.20,...,...,...,-61.12
Ability,ABIL,3.06,3.27,2.98,3.12,0.06,1.96,"56,700",14.55,2.14,...,...,...,-29.09
Abraxas Petroleum,AXAS,1.85,1.89,1.79,1.81,-0.03,-1.63,"1,572,196",3.27,1.76,...,...,...,-26.42
Acasti Pharma,ACST,1.00,1.11,0.99,1.10,0.10,10.00,"2,405,692",3.36,0.43,...,...,...,16.67
Accelerate Diagnostics,AXDX,15.02,15.63,15.02,15.61,0.67,4.48,"386,812",30.35,14.20,...,...,...,-40.42
Acer Therapeutics,ACER,22.74,25.71,22.28,25.40,2.82,12.49,"56,448",34.10,11.36,...,...,...,83.39
Achieve Life Sciences,ACHV,2.01,2.13,1.97,2.10,0.06,2.94,"240,867",32.00,1.85,...,...,...,-84.37
ACNB,ACNB,40.50,41.18,40.12,40.94,0.84,2.09,"10,027",41.45,26.80,0.92,2.25,23.01,38.54
Adamis Pharmaceuticals,ADMP,2.60,2.77,2.56,2.71,0.15,5.86,"292,817",5.25,2.20,...,...,...,-38.41
Adesto Technologies,IOTS,4.10,4.38,4.00,4.33,0.34,8.52,"229,280",10.80,3.51,...,...,...,-32.87
ADial Pharmaceuticals,ADIL,1.97,1.97,1.85,1.91,0.02,0.82,"19,851",4.40,1.85,...,...,...,...
ADMA Biologics,ADMA,5.38,5.67,5.32,5.53,0.16,2.98,"230,711",6.96,2.01,...,...,...,72.27
ADOMANI,ADOM,0.41,0.46,0.41,0.42,0.02,4.77,"540,126",6.73,0.35,...,...,...,-90.47
Aehr Test Systems,AEHR,1.90,2.00,1.89,2.00,0.08,4.17,"57,748",3.60,1.80,...,...,...,-26.20
Aerpio Pharmaceuticals,ARPO,2.00,2.24,2.00,2.20,0.29,15.18,"22,639",6.10,1.85,...,...,...,-53.68
AEterna Zentaris,AEZS,1.95,2.29,1.81,2.18,...,...,"2,598,703",3.25,1.12,...,...,31.14,-7.63
Aethlon Medical,AEMD,1.05,1.08,1.04,1.06,0.02,1.97,"16,110",2.04,0.79,...,...,...,-6.15
Agenus,AGEN,1.66,1.79,1.61,1.79,0.20,12.58,"1,675,507",6.19,1.54,...,...,...,-45.09
AGM Group Holdings,AGMH,31.00,31.95,30.30,31.06,0.34,1.12,"2,343",52.00,5.01,...,...,...,...
Airgain,AIRG,12.90,14.00,12.89,13.99,1.16,9.04,"104,393",14.00,7.31,...,...,...,55.62
Air T,AIRT,35.72,37.00,35.02,37.00,0.81,2.25,"1,440",44.29,19.40,...,...,18.32,49.84
Akari Therapeutics ADR,AKTX,1.82,1.85,1.79,1.85,0.05,2.78,"22,643",5.49,1.62,...,...,...,-57.27
Akers Biosciences,AKER,0.38,0.38,0.34,0.34,-0.03,-7.61,"5,032,571",0.98,0.12,...,...,...,153.81
Akoustis Technologies,AKTS,4.08,4.16,3.90,4.07,...,...,"208,761",9.50,3.46,...,...,...,-34.67
Alberton Acquisition Un,ALACU,10.05,10.10,10.05,10.10,0.06,0.60,"4,100",10.10,10.00,...,...,...,...
Albireo Pharma,ALBO,26.69,30.18,26.06,29.94,3.23,12.09,"72,959",39.87,21.25,...,...,...,16.95
Aldeyra Therapeutics,ALDX,10.77,11.33,10.76,10.90,0.13,1.21,"159,553",16.70,5.55,...,...,...,60.29
