Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.32,3.35,3.20,3.30,-0.02,-0.60,"71,387",4.49,2.63,...,...,...,...
Abeona Therapeutics,ABEO,14.95,15.10,13.60,13.70,-1.20,-8.05,"575,151",22.75,10.50,...,...,...,-13.56
Ability,ABIL,3.51,3.51,3.37,3.48,-0.04,-1.14,"45,780",14.55,2.14,...,...,...,-20.91
Abraxas Petroleum,AXAS,2.32,2.32,2.12,2.13,-0.19,-8.19,"1,436,548",3.27,1.59,...,...,...,-13.41
Acasti Pharma,ACST,0.56,0.59,0.55,0.58,0.03,5.47,"174,508",3.36,0.43,...,...,...,-38.48
Accelerate Diagnostics,AXDX,23.70,23.75,23.25,23.60,0.05,0.21,"161,831",30.35,16.75,...,...,...,-9.92
Acer Therapeutics,ACER,31.66,32.00,30.61,31.09,-0.32,-1.02,"17,648",34.10,8.55,...,...,...,124.48
Achieve Life Sciences,ACHV,3.06,3.21,2.92,3.00,-0.05,-1.64,"209,396",38.45,2.67,...,...,...,-77.67
ACNB,ACNB,35.85,35.85,35.38,35.60,-0.05,-0.14,"3,302",36.00,26.35,0.92,2.58,16.87,20.47
Adamis Pharmaceuticals,ADMP,2.85,3.00,2.83,2.95,0.10,3.51,"678,710",5.85,2.20,...,...,...,-32.95
Adesto Technologies,IOTS,5.90,6.03,5.80,5.80,-0.13,-2.11,"188,159",10.80,4.70,...,...,...,-10.08
ADial Pharmaceuticals,ADIL,2.99,3.58,2.90,2.90,...,...,"21,499",4.40,2.74,...,...,...,...
ADMA Biologics,ADMA,6.88,6.96,6.43,6.61,-0.24,-3.50,"247,692",6.96,2.01,...,...,...,105.92
ADOMANI,ADOM,0.64,0.64,0.60,0.61,-0.01,-0.89,"244,724",13.81,0.50,...,...,...,-86.04
Advanced Micro Devices,AMD,28.12,28.58,27.19,27.84,-0.67,-2.35,"142,523,002",29.94,9.04,...,...,87.00,170.82
Aehr Test Systems,AEHR,2.53,2.53,2.45,2.47,...,...,"21,655",4.10,2.12,...,...,107.39,-8.86
Aerpio Pharmaceuticals,ARPO,3.50,3.50,3.40,3.40,0.05,1.49,"8,446",6.75,3.29,...,...,...,-28.42
AEterna Zentaris,AEZS,1.78,1.82,1.73,1.76,-0.02,-1.12,"49,139",3.25,1.12,...,...,25.14,-25.42
Aethlon Medical,AEMD,1.01,1.06,0.98,1.05,0.03,3.03,"207,516",3.85,0.79,...,...,...,-7.08
Agenus,AGEN,2.14,2.15,1.95,2.02,-0.12,-5.61,"1,228,135",6.19,1.55,...,...,...,-38.04
AGM Group Holdings,AGMH,26.00,26.00,22.66,23.70,-2.66,-10.09,"41,120",37.63,5.01,...,...,...,...
Airgain,AIRG,11.26,11.88,11.25,11.68,0.35,3.09,"50,390",12.22,7.31,...,...,...,29.92
Air T,AIRT,33.15,33.50,33.15,33.45,0.17,0.52,"3,446",35.74,14.90,...,...,16.56,35.47
Akari Therapeutics ADR,AKTX,2.06,2.07,1.96,2.06,-0.03,-1.44,"13,067",11.95,1.70,...,...,...,-52.42
Akers Biosciences,AKER,0.25,0.26,0.25,0.25,-0.00,-0.24,"601,104",1.82,0.12,...,...,...,88.88
Akoustis Technologies,AKTS,8.17,8.37,8.00,8.00,-0.18,-2.20,"38,725",9.50,4.86,...,...,...,28.41
Albireo Pharma,ALBO,33.70,34.30,33.00,33.62,-0.05,-0.15,"73,277",39.87,20.25,...,...,...,31.33
Aldeyra Therapeutics,ALDX,8.70,8.70,7.75,7.85,0.05,0.64,"101,040",11.90,4.00,...,...,...,15.44
Allegro Merger,ALGR,9.58,9.60,9.55,9.55,-0.02,-0.21,"11,500",9.60,9.50,...,...,...,...
Allegro Merger Rt,ALGRR,0.38,0.40,0.38,0.39,-0.01,-2.50,"3,600",0.45,0.34,...,...,...,...
Allegro Merger WT,ALGRW,0.31,0.31,0.31,0.31,-0.02,-6.06,"7,700",0.37,0.28,...,...,...,...
Alliance MMA,AMMA,0.26,0.33,0.25,0.33,0.06,24.17,"831,202",3.07,0.15,...,...,...,-71.61
Allied Healthcare Products,AHPI,2.22,2.24,2.22,2.24,-0.08,-3.32,"3,362",5.25,1.72,...,...,...,7.13
Alliqua BioMedical,ALQA,2.48,2.60,2.45,2.45,-0.08,-3.16,"3,124",4.50,1.58,...,...,...,35.36
Alta Mesa Resources,AMR,4.84,4.86,4.61,4.69,-0.18,-3.70,"1,208,613",10.79,4.04,...,...,...,-52.67
Alta Mesa Resources WT,AMRWW,0.56,0.65,0.56,0.60,-0.02,-3.23,"105,856",2.85,0.47,...,...,...,-59.73
Amedica,AMDA,0.63,0.66,0.47,0.47,...,0.43,"4,479,966",6.93,0.33,...,...,...,-85.57
American Electric Technologies,AETI,0.97,0.97,0.92,0.95,-0.02,-2.06,"35,760",2.53,0.62,...,...,...,-36.67
Ameri Holdings,AMRH,1.31,1.38,1.31,1.31,-0.02,-1.50,"30,811",13.50,0.70,...,...,...,-57.74
Ameri Holdings WT,AMRHW,0.26,0.26,0.20,0.25,-0.04,-13.49,"3,100",7.58,0.12,...,...,...,-67.39
