Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Abeona Therapeutics,ABEO,19.75,20.15,19.13,19.30,-0.80,-3.98,"1,747,793",22.75,4.55,...,...,...,21.77
Abeona Therapeutics WT,ABEOW,14.85,14.85,14.55,14.75,-0.25,-1.65,"490",17.56,2.50,...,...,...,27.16
Ability,ABIL,3.35,3.39,2.98,3.11,-0.24,-7.16,"11,222",16.90,2.37,...,...,...,-29.32
Abraxas Petroleum,AXAS,2.71,2.80,2.70,2.79,0.08,2.95,"1,507,189",2.80,1.45,...,...,26.50,13.41
Acasti Pharma,ACST,1.10,1.13,1.07,1.10,...,...,"62,550",3.36,0.84,...,...,...,16.67
Accelerate Diagnostics,AXDX,24.35,24.75,23.95,24.70,0.40,1.65,"98,091",30.45,16.75,...,...,...,-5.73
Acer Therapeutics,ACER,19.10,19.40,18.64,19.00,-0.49,-2.51,"15,732",22.63,5.70,...,...,...,37.18
Achieve Life Sciences,ACHV,1.32,1.35,1.32,1.33,0.01,0.76,"42,323",6.27,1.15,...,...,...,-0.99
ACNB,ACNB,29.50,29.65,29.10,29.25,-0.05,-0.17,"9,862",31.60,24.45,0.92,3.15,19.37,-1.02
Adamis Pharmaceuticals,ADMP,3.60,3.80,3.60,3.75,0.10,2.74,"314,959",6.45,2.35,...,...,...,-14.77
Adesto Technologies,IOTS,9.00,9.00,8.65,9.00,0.20,2.27,"161,649",9.20,4.00,...,...,...,39.53
ADMA Biologics,ADMA,5.05,5.13,4.80,4.85,-0.22,-4.34,"116,854",5.50,2.01,...,...,...,51.09
ADOMANI,ADOM,0.84,0.84,0.82,0.84,-0.00,-0.24,"33,294",18.31,0.82,...,...,...,-80.95
Advanced Micro Devices,AMD,10.28,10.53,10.20,10.52,0.43,4.26,"41,172,665",15.65,9.04,...,...,350.67,2.33
Advaxis WT,ADXSW,0.35,0.35,0.31,0.31,-0.06,-16.24,"6,500",5.18,0.22,...,...,...,-69.01
Aehr Test Systems,AEHR,2.60,2.64,2.51,2.55,-0.03,-1.16,"151,540",4.99,2.12,...,...,...,-5.90
AEterna Zentaris,AEZS,1.45,1.49,1.43,1.43,-0.06,-4.03,"46,718",3.75,0.78,...,...,...,-39.41
Aethlon Medical,AEMD,1.32,1.46,1.32,1.39,0.07,5.03,"338,342",3.85,0.79,...,...,...,23.01
Agenus,AGEN,4.14,4.25,3.98,4.09,-0.02,-0.49,"1,647,257",6.19,3.24,...,...,...,25.46
Airgain,AIRG,8.54,9.01,8.54,8.65,0.14,1.59,"42,876",16.23,7.31,...,...,78.64,-3.78
Air T,AIRT,25.12,25.12,25.12,25.12,0.03,0.12,"288",34.83,14.40,...,...,54.60,1.71
Akari Therapeutics ADR,AKTX,2.01,2.14,2.01,2.06,0.09,4.57,"29,486",21.86,1.70,...,...,...,-52.42
Akers Biosciences,AKER,0.55,0.56,0.53,0.53,-0.01,-1.44,"5,603,133",2.10,0.12,...,...,...,299.03
Akoustis Technologies,AKTS,5.17,5.69,5.10,5.29,0.38,7.74,"225,203",11.80,4.86,...,...,...,-15.09
Albireo Pharma,ALBO,33.19,33.90,32.79,32.95,-0.15,-0.45,"32,876",39.87,15.31,...,...,...,28.71
Aldeyra Therapeutics,ALDX,7.05,7.24,6.95,7.05,0.05,0.71,"68,060",11.90,3.80,...,...,...,3.68
Alliance MMA,AMMA,0.43,0.46,0.43,0.44,0.02,3.95,"118,553",3.07,0.40,...,...,...,-61.87
Allied Healthcare Products,AHPI,2.60,2.77,2.50,2.74,0.17,6.61,"43,919",5.25,1.53,...,...,...,31.10
