Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.48,3.56,3.39,3.50,0.05,1.45,"121,856",4.49,2.63,...,...,...,...
Abeona Therapeutics,ABEO,14.10,15.00,13.87,15.00,0.85,6.01,"441,869",22.75,9.60,...,...,...,-5.36
Abeona Therapeutics WT,ABEOW,9.90,9.90,9.90,9.90,0.61,6.52,"400",17.56,5.20,...,...,...,-14.66
Ability,ABIL,4.00,4.55,3.87,4.06,0.55,15.67,"1,094,009",14.55,2.14,...,...,...,-7.73
Abraxas Petroleum,AXAS,2.19,2.29,2.17,2.25,0.08,3.69,"1,323,537",3.27,1.59,...,...,...,-8.54
Acasti Pharma,ACST,0.53,0.55,0.50,0.51,-0.03,-5.61,"225,631",3.36,0.43,...,...,...,-46.06
Accelerate Diagnostics,AXDX,23.95,24.00,23.60,23.80,-0.10,-0.42,"85,413",30.35,16.75,...,...,...,-9.16
Acer Therapeutics,ACER,32.84,33.48,31.21,31.62,-1.13,-3.45,"21,151",34.10,8.28,...,...,...,128.30
Achieve Life Sciences,ACHV,3.27,3.30,3.20,3.26,...,...,"23,611",42.00,2.67,...,...,...,-75.73
ACNB,ACNB,35.35,35.70,35.35,35.50,0.15,0.42,"3,549",36.00,26.00,0.92,2.59,16.82,20.14
Adamis Pharmaceuticals,ADMP,2.85,2.85,2.70,2.80,...,...,"519,829",5.85,2.20,...,...,...,-36.36
Adesto Technologies,IOTS,5.80,5.95,5.70,5.70,-0.15,-2.56,"243,720",10.80,4.70,...,...,...,-11.63
ADial Pharmaceuticals,ADIL,3.10,3.10,3.02,3.10,0.08,2.64,"2,954",4.40,2.94,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.43,0.48,0.43,0.48,-0.01,-2.02,"24,110",0.75,0.30,...,...,...,...
ADMA Biologics,ADMA,5.82,6.06,5.61,6.04,0.30,5.23,"265,511",6.86,2.01,...,...,...,88.16
ADOMANI,ADOM,0.68,0.70,0.68,0.69,0.01,1.01,"132,615",13.81,0.50,...,...,...,-84.32
Advanced Micro Devices,AMD,25.51,26.18,24.04,25.05,-0.21,-0.83,"213,600,226",27.30,9.04,...,...,78.28,143.68
Aehr Test Systems,AEHR,2.59,2.67,2.55,2.55,...,...,"57,484",4.10,2.12,...,...,...,-5.90
Aerpio Pharmaceuticals,ARPO,3.41,3.55,3.34,3.55,0.12,3.50,"27,342",6.75,3.29,...,...,...,-25.26
AEterna Zentaris,AEZS,1.74,1.81,1.74,1.80,0.04,2.27,"41,180",3.25,1.12,...,...,25.71,-23.73
Aethlon Medical,AEMD,1.06,1.08,1.05,1.05,-0.01,-0.94,"51,576",3.85,0.79,...,...,...,-7.08
Agenus,AGEN,2.24,2.24,2.07,2.10,-0.06,-2.78,"1,309,588",6.19,1.55,...,...,...,-35.58
AGM Group Holdings,AGMH,23.85,29.44,22.96,27.26,3.25,13.54,"43,246",37.63,5.01,...,...,...,...
Airgain,AIRG,11.88,12.00,11.78,11.95,0.17,1.44,"48,096",12.22,7.31,...,...,...,32.93
Air T,AIRT,35.10,35.10,34.35,34.35,0.25,0.73,"1,147",35.74,14.90,...,...,17.00,39.11
Akari Therapeutics ADR,AKTX,1.91,1.91,1.85,1.85,-0.04,-2.12,"32,078",11.95,1.70,...,...,...,-57.27
Akers Biosciences,AKER,0.25,0.26,0.25,0.25,-0.00,-1.23,"1,071,845",1.82,0.12,...,...,...,85.45
Akoustis Technologies,AKTS,7.54,7.82,7.54,7.78,0.24,3.18,"36,595",9.50,4.86,...,...,...,24.88
Albireo Pharma,ALBO,31.93,32.66,31.68,31.87,-0.15,-0.47,"25,978",39.87,20.25,...,...,...,24.49
Aldeyra Therapeutics,ALDX,7.60,7.75,7.60,7.65,0.10,1.32,"33,953",11.90,4.00,...,...,...,12.50
Allegro Merger,ALGR,9.59,9.59,9.55,9.55,-0.00,-0.05,"13,712",9.59,9.50,...,...,...,...
Allegro Merger,ALGRU,10.17,10.30,10.17,10.30,0.10,0.98,"14,670",10.30,10.04,...,...,...,...
Allegro Merger Rt,ALGRR,0.41,0.45,0.41,0.42,...,...,"8,760",0.45,0.34,...,...,...,...
Allegro Merger WT,ALGRW,0.33,0.33,0.33,0.33,0.01,3.13,"20,050",0.37,0.31,...,...,...,...
Alliance MMA,AMMA,0.36,0.38,0.34,0.36,...,0.27,"1,539,483",3.07,0.15,...,...,...,-68.53
Allied Healthcare Products,AHPI,2.37,2.40,2.35,2.35,-0.02,-0.84,"4,826",5.25,1.72,...,...,...,12.44
Alliqua BioMedical,ALQA,2.57,2.67,2.44,2.56,-0.03,-1.16,"11,139",4.58,1.58,...,...,...,41.44
Alta Mesa Resources,AMR,4.82,4.91,4.67,4.90,0.12,2.51,"1,892,409",10.79,4.04,...,...,...,-50.55
Alta Mesa Resources WT,AMRWW,0.60,0.63,0.60,0.60,...,...,"98,703",2.85,0.47,...,...,...,-59.73
Amedica,AMDA,0.45,0.45,0.40,0.41,-0.01,-2.05,"220,521",6.93,0.33,...,...,...,-87.42
American Electric Technologies,AETI,0.85,0.90,0.85,0.89,0.02,1.74,"25,822",2.53,0.62,...,...,...,-40.99
Ameri Holdings,AMRH,1.49,1.61,1.41,1.56,0.06,4.00,"78,407",13.50,0.70,...,...,...,-49.68
Ames National,ATLO,30.00,30.35,29.65,29.95,-0.05,-0.17,"2,253",32.15,26.00,0.92,3.07,18.72,7.54
Anavex Life Sciences,AVXL,2.83,2.85,2.63,2.73,-0.05,-1.80,"342,068",5.15,1.85,...,...,...,-15.22
Antares Pharma,ATRS,3.60,3.66,3.58,3.59,-0.01,-0.28,"879,865",4.09,1.58,...,...,...,80.40
Apollo Medical Holdings,AMEH,17.94,17.94,16.11,16.51,-1.43,-7.97,"94,206",30.00,5.50,...,...,...,-31.21
Appliance Recycling Centers of America,ARCI,0.82,0.84,0.80,0.84,0.05,6.70,"214,089",1.56,0.59,...,...,1.58,-18.95
Applied DNA Sciences,APDN,1.17,1.19,1.11,1.11,-0.06,-5.13,"105,133",3.45,1.10,...,...,...,-30.19
Apricus Biosciences,APRI,0.31,0.33,0.31,0.31,...,0.16,"586,418",3.34,0.25,...,...,...,-83.13
Aptose Biosciences,APTO,2.85,2.89,2.78,2.78,-0.09,-3.14,"85,929",4.55,1.30,...,...,...,24.11
AquaBounty Technologies,AQB,2.90,2.94,2.81,2.81,0.05,1.81,"16,928",9.99,2.25,...,...,...,-20.17
Aqua Metals,AQMS,2.33,2.34,2.25,2.28,-0.05,-2.15,"194,008",8.17,1.42,...,...,...,7.04
Aradigm,ARDM,1.38,1.46,1.35,1.35,-0.11,-7.53,"15,472",7.35,1.03,...,...,...,-79.85
ARCA biopharma,ABIO,0.60,0.63,0.58,0.60,-0.00,-0.02,"231,167",2.00,0.45,...,...,...,-55.56
Arcadia Biosciences,RKDA,6.29,6.33,6.16,6.29,0.01,0.16,"34,371",66.56,3.60,...,...,...,14.36
ARC Group Worldwide,ARCW,2.00,2.00,1.95,1.95,-0.05,-2.50,"9,705",2.94,1.80,...,...,...,-7.14
Arcimoto,FUV,4.39,4.47,4.30,4.40,0.05,1.15,"23,937",6.35,2.26,...,...,...,9.73
Aridis Pharmaceuticals,ARDS,13.13,13.22,13.13,13.20,0.09,0.69,"14,426",13.85,12.61,...,...,...,...
Art's Way Manufacturing,ARTW,2.85,2.87,2.77,2.80,0.05,1.82,"13,627",5.45,2.00,0.10,3.57,...,-6.16
Aspen Group,ASPU,7.96,8.08,7.85,7.99,0.09,1.14,"32,100",9.61,5.35,...,...,...,-10.43
Assembly Biosciences,ASMB,39.61,40.01,38.40,38.63,-0.73,-1.85,"103,338",67.36,25.91,...,...,...,-14.63
Astrotech,ASTC,3.56,3.60,3.55,3.59,0.03,0.84,"14,666",8.15,1.64,...,...,...,7.16
Asure Software,ASUR,14.31,14.84,14.26,14.44,0.30,2.12,"216,121",19.78,9.89,...,...,...,2.27
ASV Holdings,ASV,5.72,5.76,5.40,5.65,0.20,3.67,"1,697",10.80,4.75,...,...,...,-44.33
Athersys,ATHX,2.01,2.06,1.99,1.99,-0.03,-1.49,"336,890",3.09,1.29,...,...,...,9.94
Atomera,ATOM,5.34,5.53,5.30,5.40,0.05,0.93,"5,126",8.00,2.45,...,...,...,24.71
Atossa Genetics,ATOS,2.20,2.24,2.16,2.20,0.02,0.92,"293,890",19.08,2.01,...,...,...,-30.29
Attis Industries,ATIS,0.35,0.38,0.35,0.35,...,0.57,"320,332",3.63,0.32,...,...,...,-66.79
Attunity,ATTU,21.69,22.11,20.85,21.09,-0.60,-2.77,"697,949",22.11,6.25,...,...,...,202.15
Auris Medical Holding,EARS,0.29,0.29,0.27,0.28,...,0.36,"355,642",9.50,0.23,...,...,...,-95.26
AutoWeb,AUTO,3.53,3.55,3.46,3.48,-0.06,-1.69,"5,421",9.91,2.88,...,...,...,-61.38
Avenue Therapeutics,ATXI,3.89,3.95,3.80,3.81,-0.02,-0.52,"7,874",6.90,3.06,...,...,...,5.25
Avid Bioservices,CDMO,6.09,6.30,6.03,6.07,-0.05,-0.82,"163,259",6.57,2.24,...,...,...,56.44
Avinger,AVGR,1.41,1.48,1.38,1.47,0.07,5.00,"435,852",25.20,0.95,...,...,...,-79.81
Avista Healthcare Public Acquisition Cl A,AHPA,10.10,10.11,10.09,10.10,...,...,"6,913",10.20,9.28,...,...,...,1.81
Avista Healthcare Public Acquisition WT,AHPAW,0.20,0.20,0.18,0.18,-0.02,-7.95,"458,000",0.51,0.18,...,...,...,-34.27
AxoGen,AXGN,41.90,44.05,41.90,43.45,1.55,3.70,"440,808",56.85,16.45,...,...,...,53.53
Aytu BioScience,AYTU,4.34,4.34,4.21,4.23,-0.09,-2.08,"16,169",136.40,3.86,...,...,...,-90.52
AzurRx BioPharma,AZRX,2.47,2.60,2.47,2.50,0.01,0.40,"7,659",5.25,2.20,...,...,...,-31.27
Bancorp 34,BCTF,16.20,16.00,16.00,16.00,...,...,"193",17.25,14.00,...,...,51.55,8.47
Bank of Marin Bancorp,BMRC,88.05,88.35,87.85,88.25,0.20,0.23,"9,632",90.85,62.38,1.28,1.45,29.13,29.78
Bank of South Carolina,BKSC,19.50,19.50,19.20,19.50,...,...,"2,268",22.50,15.77,0.60,3.08,19.84,11.09
Barington/Hilco Acquisition Rt,BHACR,0.19,0.19,0.16,0.18,-0.06,-23.02,"1,400",0.45,0.10,...,...,...,14.98
Benitec Biopharma ADR,BNTC,2.72,3.00,2.72,2.76,0.02,0.80,"15,063",4.90,1.85,...,...,...,-6.76
BeyondSpring,BYSI,23.00,23.03,23.00,23.00,...,...,"2,313",42.49,19.15,...,...,...,-20.91
Bioanalytical Systems,BASI,1.67,1.69,1.66,1.68,...,...,"4,378",2.95,1.37,...,...,50.91,-31.43
