Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,3.67,3.80,3.60,3.60,-0.03,-0.83,"89,118",5.33,2.63,...,...,...,...
Abeona Therapeutics,ABEO,8.55,8.61,7.56,7.59,-0.91,-10.71,"596,880",22.00,6.94,...,...,...,-52.11
Abeona Therapeutics WT,ABEOW,4.45,4.45,4.45,4.45,0.25,5.95,"2,775",16.00,3.18,...,...,...,-61.64
Ability,ABIL,2.60,2.67,2.36,2.52,-0.10,-3.82,"306,785",14.55,2.14,...,...,...,-42.73
Abraxas Petroleum,AXAS,1.84,1.84,1.69,1.69,-0.15,-8.15,"766,707",3.27,1.58,...,...,...,-31.30
Acasti Pharma,ACST,0.69,0.71,0.65,0.66,-0.05,-6.47,"346,492",1.80,0.43,...,...,...,-30.53
Accelerate Diagnostics,AXDX,14.95,15.02,14.32,14.33,-0.68,-4.53,"339,346",30.35,12.70,...,...,...,-45.31
Acer Therapeutics,ACER,22.75,23.00,21.38,22.58,-0.37,-1.61,"23,316",34.10,11.36,...,...,...,63.03
Achieve Life Sciences,ACHV,1.54,1.62,1.46,1.48,-0.05,-3.27,"59,346",32.00,1.46,...,...,...,-88.98
ACNB,ACNB,36.52,37.40,35.00,35.11,-1.89,-5.11,"12,003",41.45,27.30,0.92,2.62,13.01,18.82
Adamis Pharmaceuticals,ADMP,2.91,3.02,2.83,2.83,-0.06,-2.08,"261,471",5.10,2.20,...,...,...,-35.68
Adesto Technologies,IOTS,5.40,5.49,5.10,5.13,-0.28,-5.18,"201,704",10.80,3.51,...,...,...,-20.47
ADial Pharmaceuticals,ADIL,2.80,3.39,2.67,2.80,-0.03,-1.06,"610,939",5.00,1.11,...,...,...,...
ADial Pharmaceuticals WT,ADILW,0.35,0.40,0.35,0.40,-0.09,-17.90,"1,300",0.75,0.26,...,...,...,...
ADMA Biologics,ADMA,5.22,5.23,4.82,4.94,-0.32,-6.08,"253,536",6.96,2.42,...,...,...,53.89
ADOMANI,ADOM,0.41,0.42,0.36,0.41,-0.02,-5.28,"396,153",6.73,0.35,...,...,...,-90.74
Aehr Test Systems,AEHR,1.88,1.89,1.86,1.89,-0.01,-0.53,"20,388",3.37,1.80,...,...,...,-30.26
Aerpio Pharmaceuticals,ARPO,2.10,2.13,1.94,2.10,...,...,"33,494",5.50,1.75,...,...,...,-55.79
AEterna Zentaris,AEZS,3.92,3.92,3.39,3.66,-0.21,-5.43,"673,490",3.92,1.12,...,...,6.94,55.08
Aethlon Medical,AEMD,1.31,1.35,1.25,1.30,-0.01,-0.76,"201,480",2.04,0.82,...,...,...,15.04
Agenus,AGEN,2.45,2.50,2.29,2.31,-0.17,-6.85,"654,497",6.19,1.54,...,...,...,-29.14
AGM Group Holdings,AGMH,37.30,42.98,37.30,38.25,0.95,2.55,"34,505",52.00,5.01,...,...,...,...
Airgain,AIRG,12.35,12.35,11.75,11.90,-0.44,-3.57,"32,882",14.17,7.40,...,...,...,32.37
AirMedia Group ADR,AMCN,0.26,0.28,0.25,0.25,-0.02,-6.70,"144,614",2.11,0.25,...,...,...,-78.08
Air T,AIRT,30.09,30.25,29.30,29.30,0.30,1.03,"1,180",44.29,23.00,...,...,25.18,18.66
