Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3PEA International,TPNL,4.30,4.31,4.10,4.10,-0.08,-1.91,"76,584",5.33,2.63,...,...,...,16.48
1895 Bancorp of Wisconsin,BCOW,9.85,9.85,9.68,9.76,-0.06,-0.61,"9,788",10.50,9.46,...,...,...,...
Abeona Therapeutics,ABEO,7.19,7.28,6.87,6.89,-0.37,-5.10,"224,765",22.00,6.26,...,...,...,-3.50
Ability,ABIL,2.10,2.47,2.10,2.31,0.17,7.94,"2,698,108",14.55,1.54,...,...,...,21.58
Abraxas Petroleum,AXAS,1.32,1.34,1.23,1.25,-0.09,-6.72,"940,186",3.27,0.90,...,...,...,14.68
Acasti Pharma,ACST,1.08,1.10,1.07,1.10,-0.01,-0.90,"168,254",1.80,0.43,...,...,...,32.23
Accelerate Diagnostics,AXDX,16.67,17.06,16.40,16.85,0.09,0.54,"576,806",30.35,10.23,...,...,...,46.52
Acer Therapeutics,ACER,25.20,25.20,23.91,24.80,-0.19,-0.76,"10,514",34.10,16.02,...,...,...,23.26
Achieve Life Sciences,ACHV,1.30,1.30,1.25,1.29,-0.04,-3.01,"100,095",32.00,1.04,...,...,...,6.61
ACNB,ACNB,37.50,38.20,36.54,36.56,-0.99,-2.64,"16,210",41.45,27.30,0.92,2.52,13.55,-6.85
Adamis Pharmaceuticals,ADMP,2.85,2.86,2.71,2.82,-0.06,-2.08,"299,386",5.10,2.01,...,...,...,25.33
Adesto Technologies,IOTS,5.05,5.29,4.92,4.97,-0.06,-1.19,"210,857",10.80,3.51,...,...,...,12.95
ADial Pharmaceuticals,ADIL,6.44,7.14,5.78,5.80,-0.90,-13.43,"430,290",9.44,1.11,...,...,...,13.28
ADial Pharmaceuticals WT,ADILW,1.45,1.47,1.05,1.08,0.06,5.88,"5,130",2.45,0.26,...,...,...,96.36
ADMA Biologics,ADMA,3.34,3.45,3.30,3.40,0.04,1.19,"227,796",6.96,2.08,...,...,...,42.26
ADOMANI,ADOM,0.27,0.28,0.24,0.25,-0.01,-2.00,"150,100",2.05,0.16,...,...,...,-8.09
Aehr Test Systems,AEHR,1.16,1.21,1.04,1.12,-0.01,-0.88,"375,693",2.94,1.03,...,...,...,-20.57
Aerpio Pharmaceuticals,ARPO,3.30,3.74,3.25,3.56,0.26,7.88,"429,447",5.25,1.56,...,...,...,109.41
AEterna Zentaris,AEZS,3.55,3.62,3.41,3.59,0.05,1.41,"258,066",4.14,1.12,...,...,6.81,22.11
Aethlon Medical,AEMD,1.40,1.45,1.36,1.36,-0.04,-2.86,"46,867",2.04,0.82,...,...,...,-18.07
Agenus,AGEN,3.66,3.66,3.46,3.56,-0.11,-3.00,"1,485,003",6.19,1.54,...,...,...,49.58
Agile Therapeutics,AGRX,0.90,0.90,0.85,0.88,-0.01,-1.22,"209,167",3.92,0.23,...,...,...,52.82
AGM Group Holdings,AGMH,26.44,28.00,26.44,28.00,1.68,6.37,"2,260",52.00,5.01,...,...,...,4.67
Airgain,AIRG,11.59,11.94,11.56,11.71,0.12,1.04,"17,902",14.17,7.40,...,...,...,18.16
AirMedia Group ADR,AMCN,0.40,0.43,0.39,0.43,0.03,8.01,"248,992",1.38,0.18,...,...,...,71.31
Air T,AIRT,31.19,31.50,30.65,30.65,0.64,2.13,"1,844",44.29,22.43,...,...,26.34,25.10
Akari Therapeutics ADR,AKTX,1.97,1.97,1.84,1.90,0.05,2.66,"6,372",3.56,1.56,...,...,...,21.02
Akers Biosciences,AKER,1.39,1.39,1.30,1.33,-0.06,-4.32,"223,626",7.84,0.57,...,...,...,17.70
Akoustis Technologies,AKTS,6.40,6.67,6.30,6.60,0.20,3.12,"207,186",9.50,3.40,...,...,...,32.80
Alberton Acquisition Cl A,ALAC,9.87,9.87,9.87,9.87,0.01,0.10,"603",10.50,9.65,...,...,...,0.71
Alberton Acquisition WT,ALACW,0.12,0.12,0.12,0.12,...,...,"300",0.20,0.08,...,...,...,4.35
Albireo Pharma,ALBO,24.20,24.32,22.91,24.04,-0.11,-0.46,"41,172",39.87,19.10,...,...,...,-2.00
Aldeyra Therapeutics,ALDX,8.87,8.89,8.30,8.48,-0.42,-4.72,"119,310",16.70,6.25,...,...,...,2.17
Alithya Group Cl A,ALYA,2.91,2.95,2.84,2.95,0.12,4.24,"14,350",6.00,2.25,...,...,...,25.53
Alkaline Water,WTER,3.66,3.75,3.41,3.74,0.08,2.19,"828,150",5.56,2.45,...,...,...,21.04
Allegro Merger,ALGR,9.79,9.79,9.79,9.79,-0.04,-0.41,"1,000",9.89,9.02,...,...,...,0.41
Allegro Merger WT,ALGRW,0.28,0.28,0.27,0.28,-0.01,-3.45,"8,100",1.00,0.24,...,...,...,-6.67
Alliance MMA,AMMA,0.20,0.20,0.18,0.18,-0.01,-7.55,"232,328",0.93,0.13,...,...,...,11.18
Allied Healthcare Products,AHPI,1.93,2.08,1.93,1.95,0.01,0.52,"5,276",5.25,1.62,...,...,...,6.74
Alliqua BioMedical,ALQA,2.29,2.60,2.25,2.30,...,...,"821,944",5.24,1.55,...,...,...,22.99
Alta Mesa Resources,AMR,1.17,1.22,1.10,1.12,-0.05,-4.27,"1,479,195",10.79,0.75,...,...,...,12.00
Alta Mesa Resources WT,AMRWW,0.10,0.10,0.09,0.10,0.01,17.18,"497,380",2.85,0.05,...,...,...,42.08
Altus Midstream,ALTM,8.50,8.50,8.15,8.28,-0.29,-3.38,"216,079",10.48,7.15,...,...,...,7.12
AMCI Acquisition,AMCIU,10.01,10.01,10.01,10.01,0.03,0.30,"205",10.03,9.90,...,...,...,0.60
American Electric Technologies,AETI,0.93,0.93,0.85,0.86,-0.07,-7.53,"115,846",2.53,0.40,...,...,...,-1.15
Ameri Holdings,AMRH,0.24,0.24,0.20,0.23,-0.01,-2.30,"740,761",3.48,0.15,...,...,...,31.65
Ames National,ATLO,25.33,25.51,24.73,24.90,-0.37,-1.46,"9,431",32.15,24.51,0.92,3.69,13.69,-2.05
Anavex Life Sciences,AVXL,1.84,1.84,1.72,1.72,-0.10,-5.49,"207,139",4.35,1.25,...,...,...,10.26
Anixa Biosciences,ANIX,4.26,4.49,4.24,4.39,0.13,3.05,"59,521",6.86,2.62,...,...,...,11.42
Antares Pharma,ATRS,3.05,3.08,2.93,3.00,-0.07,-2.28,"617,037",3.93,1.85,...,...,...,10.29
Apollo Medical Holdings,AMEH,19.62,19.65,18.10,18.11,-1.47,-7.51,"24,188",30.00,13.01,...,...,11.78,-8.77
Appliance Recycling Centers of America,ARCI,0.51,0.53,0.46,0.50,-0.02,-3.55,"16,422",1.68,0.36,...,...,0.94,12.48
Applied DNA Sciences,APDN,0.44,0.46,0.43,0.44,-0.01,-1.34,"149,411",1.84,0.30,...,...,...,10.50
Applied DNA Sciences WT,APDNW,0.01,0.01,0.01,0.01,...,...,"100",0.39,...,...,...,...,150.00
Apricus Biosciences,APRI,0.24,0.24,0.21,0.23,-0.01,-4.87,"1,364,001",3.34,0.18,...,...,...,17.97
